SHIPMENT_ID,PO_NUMBER,ORIGIN_PORT,DESTINATION,CARRIER_SCAC,TRANSPORT_MODE,SHIP_DATE,ETA_DATE,ACTUAL_ARRIVAL_DATE,CONTAINER_NUMBER,GROSS_WEIGHT,WEIGHT_UOM,FREIGHT_COST,FREIGHT_CURRENCY,INCOTERMS,SHIPMENT_STATUS,HS_CODE
SHP-210010,4500087693,TWKHH,MER-3PL-MY-03,MAEU,TRUCK,15-FEB-25,21-FEB-25,19-FEB-25,MAEU1001858,"15,710 kg",KG,"8,800.00",EUR,DDP,DELIVERED,853400
SHP-210011,4500087757,VNSGN,MER-DC-US-05,EGLV,RAIL,19-FEB-25,26-FEB-25,25-FEB-25,MAEU1001858,"24,912 lb",LB,"14,600.00",USD,DAP,DELIVERED,850760
SHP-210012,4500087809,KRPUS,MER-DC-CN-02,ONEY,OCEAN,23-FEB-25,22-MAR-25,22-MAR-25,EGHU1002227,"18,840 kg",KG,"21,300.00",USD,FOB,DELIVERED,853400
SHP-210013,4500087884,JPNGO,MER-3PL-US-01,FDXG,OCEAN,27-FEB-25,27-MAR-25,28-MAR-25,EGHU1002227,"11,530 kg",KG,"4,300.00",CNY,FCA,DELIVERED,850760
SHP-210014,4500087957,CNXMN,MER-DC-US-03,MAEU,OCEAN,03-MAR-25,01-APR-25,03-APR-25,ONEU1002597,"20,084 lb",LB,"13,900.00",CNY,EXW,DELIVERED,392690
SHP-210015,4500088022,TWTPE,MER-DC-DE-01,EGLV,AIR,07-MAR-25,12-MAR-25,15-MAR-25,ONEU1002597,"9,250 kg",KG,"19,400.00",USD,CIF,DELIVERED,853400
SHP-210016,4500088082,CNSHA,MER-DC-MX-01,FDXG,TRUCK,11-MAR-25,17-MAR-25,21-MAR-25,MSKU1002960,"17,328 lb",LB,"18,600.00",USD,DDP,DELIVERED,853400
SHP-210017,,CNYTN,MER-DC-NL-01,EGLV,RAIL,15-MAR-25,22-MAR-25,N/A,MSKU1002960,"1,590 kg",KG,"21,000.00",USD,DAP,IN_TRANSIT,392690
SHP-210018,,TWKHH,MER-DC-US-06,CMDU,OCEAN,19-MAR-25,15-APR-25,N/A,MAEU1003336,"11,770 kg",KG,"3,200.00",USD,FOB,IN_TRANSIT,850760
SHP-210019,,VNSGN,MER-DC-JP-01,CMDU,OCEAN,23-MAR-25,20-APR-25,N/A,MAEU1003336,"1,990 kg",KG,"13,600.00",EUR,FCA,EXCEPTION,853400
SHP-210020,4500088351,KRPUS,MER-3PL-PL-02,EGLV,OCEAN,27-MAR-25,25-APR-25,24-APR-25,EGHU1003706,"35,229 lb",LB,"2,500.00",EUR,CIF,DELIVERED,847330
SHP-210021,4500088419,JPNGO,MER-DC-US-04,CMDU,AIR,31-MAR-25,05-APR-25,05-APR-25,EGHU1003706,"19,490 kg",KG,"6,900.00",USD,CIF,DELIVERED,853400
SHP-210022,4500088495,CNXMN,MER-DC-CN-01,ONEY,TRUCK,04-APR-25,10-APR-25,11-APR-25,ONEU1004075,"4,610 kg",KG,"21,000.00",USD,DDP,DELIVERED,392690
SHP-210023,4500088555,TWTPE,MER-DC-SG-01,ONEY,RAIL,08-APR-25,15-APR-25,17-APR-25,ONEU1004075,815 lb,LB,"21,300.00",USD,DAP,DELIVERED,853400
SHP-210024,4500088614,CNSHA,MER-DC-US-02,EGLV,OCEAN,12-APR-25,09-MAY-25,12-MAY-25,MSKU1004449,"15,150 kg",KG,"20,400.00",USD,FOB,DELIVERED,853400
SHP-210025,4500088682,CNYTN,MER-DC-NL-01,MAEU,OCEAN,16-APR-25,14-MAY-25,18-MAY-25,MSKU1004449,"4,409 lb",LB,"2,000.00",USD,FCA,DELIVERED,392690
SHP-210026,4500088741,TWKHH,MER-DC-GB-01,FDXG,OCEAN,20-APR-25,19-MAY-25,24-MAY-25,MAEU1004815,"19,100 kg",KG,"20,500.00",USD,EXW,DELIVERED,851770
SHP-210027,,VNSGN,MER-3PL-MY-03,FDXG,AIR,24-APR-25,29-APR-25,N/A,MAEU1004815,810 kg,KG,"23,600.00",USD,CIF,IN_TRANSIT,847330
SHP-210028,,KRPUS,MER-DC-US-05,CMDU,TRUCK,28-APR-25,04-MAY-25,N/A,EGHU1005186,"9,160 kg",KG,"14,100.00",USD,DDP,IN_TRANSIT,852990
SHP-210029,,JPNGO,MER-DC-CN-02,FDXG,RAIL,02-MAY-25,09-MAY-25,N/A,EGHU1005186,"12,786 lb",LB,"16,700.00",CNY,DAP,EXCEPTION,847330
SHP-210030,4500088993,CNXMN,MER-3PL-US-01,FDXG,OCEAN,06-MAY-25,02-JUN-25,02-JUN-25,ONEU1005554,"18,950 kg",KG,"20,800.00",EUR,FOB,DELIVERED,852990
SHP-210031,4500089072,TWTPE,MER-DC-US-03,HLCU,OCEAN,10-MAY-25,07-JUN-25,08-JUN-25,ONEU1005554,"17,700 kg",KG,"19,700.00",CNY,FCA,DELIVERED,852990
SHP-210032,4500089124,CNSHA,Berlin DC Bldg A,EGLV,OCEAN,14-MAY-25,12-JUN-25,14-JUN-25,MSKU1005928,"13,161 lb",LB,"12,700.00",EUR,EXW,DELIVERED,847330
SHP-210033,4500089184,CNYTN,MER-DC-MX-01,FDXG,AIR,18-MAY-25,23-MAY-25,26-MAY-25,MSKU1005928,850 kg,KG,"21,100.00",CNY,CIF,DELIVERED,847330
SHP-210034,4500089246,TWKHH,MER-DC-NL-01,HLCU,TRUCK,22-MAY-25,28-MAY-25,01-JUN-25,MAEU1006295,"33,576 lb",LB,"13,800.00",CNY,DDP,DELIVERED,392690
SHP-210035,4500089303,VNSGN,MER-DC-US-06,EGLV,RAIL,26-MAY-25,02-JUN-25,07-JUN-25,MAEU1006295,"6,370 kg",KG,"20,600.00",USD,DAP,DELIVERED,392690
SHP-210036,4500089380,KRPUS,MER-DC-JP-01,FDXG,OCEAN,30-MAY-25,26-JUN-25,23-JUN-25,EGHU1006665,"1,490 kg",KG,"12,600.00",USD,FOB,DELIVERED,853400
SHP-210037,,JPNGO,MER-3PL-PL-02,CMDU,OCEAN,20-OCT-24,17-NOV-24,N/A,EGHU1006665,"2,230 kg",KG,"9,900.00",EUR,FCA,IN_TRANSIT,847330
SHP-210038,,CNXMN,MER-DC-US-04,CMDU,OCEAN,07-JUN-25,06-JUL-25,N/A,ONEU1007032,"34,744 lb",LB,"6,400.00",EUR,EXW,IN_TRANSIT,851770
SHP-210039,,TWTPE,MER-DC-CN-01,EGLV,AIR,11-JUN-25,16-JUN-25,N/A,ONEU1007032,"18,990 kg",KG,"1,000.00",EUR,CIF,EXCEPTION,851770
SHP-210040,4500089640,CNSHA,MER-DC-SG-01,HLCU,TRUCK,15-JUN-25,21-JUN-25,22-JUN-25,MSKU1007406,"19,470 kg",KG,"2,400.00",CNY,DAP,DELIVERED,852990
SHP-210041,4500089703,CNYTN,MER-DC-US-02,MAEU,RAIL,19-JUN-25,26-JUN-25,28-JUN-25,MSKU1007406,"28,880 lb",LB,"5,600.00",USD,DAP,DELIVERED,851770
SHP-210042,4500089759,TWKHH,MER-DC-NL-01,MAEU,OCEAN,23-JUN-25,20-JUL-25,23-JUL-25,MAEU1007774,260 kg,KG,"13,000.00",USD,FOB,DELIVERED,851770
SHP-210043,4500089824,VNSGN,MER-DC-GB-01,CMDU,OCEAN,27-JUN-25,25-JUL-25,29-JUL-25,MAEU1007774,793 lb,LB,"23,200.00",CNY,FCA,DELIVERED,847330
SHP-210044,4500089890,KRPUS,MER-3PL-MY-03,MAEU,OCEAN,01-JUL-25,30-JUL-25,04-AUG-25,EGHU1008143,"4,570 kg",KG,"15,800.00",EUR,EXW,DELIVERED,851770
SHP-210045,4500089953,JPNGO,MER-DC-US-05,MAEU,AIR,05-JUL-25,10-JUL-25,07-JUL-25,EGHU1008143,"9,520 kg",KG,"16,000.00",USD,CIF,DELIVERED,852990
SHP-210046,4500087022,CNXMN,MER-DC-CN-02,HLCU,TRUCK,09-JUL-25,15-JUL-25,13-JUL-25,ONEU1008511,"5,580 kg",KG,"19,200.00",EUR,DDP,DELIVERED,853400
SHP-210047,,TWTPE,MER-3PL-US-01,ONEY,RAIL,13-JUL-25,20-JUL-25,N/A,ONEU1008511,"22,553 lb",LB,"17,600.00",CNY,DAP,IN_TRANSIT,847330
SHP-210048,,CNSHA,MER-DC-US-03,HLCU,OCEAN,17-JUL-25,13-AUG-25,N/A,MSKU1008887,520 kg,KG,"18,200.00",USD,FOB,IN_TRANSIT,853400
SHP-210049,,CNYTN,MER-DC-DE-01,FDXG,OCEAN,21-JUL-25,18-AUG-25,N/A,MSKU1008887,"11,280 kg",KG,"16,500.00",CNY,FCA,EXCEPTION,850760
SHP-210050,4500087300,TWKHH,MER-DC-MX-01,CMDU,OCEAN,25-JUL-25,23-AUG-25,25-AUG-25,MAEU1009252,"35,803 lb",LB,"20,300.00",CNY,EXW,DELIVERED,847330
SHP-210051,4500087377,VNSGN,MER-DC-NL-01,FDXG,AIR,29-JUL-25,03-AUG-25,06-AUG-25,MAEU1009252,"6,140 kg",KG,"18,200.00",USD,CIF,DELIVERED,847330
SHP-210052,4500087432,KRPUS,MER-DC-US-06,ONEY,TRUCK,02-AUG-25,08-AUG-25,12-AUG-25,EGHU1009622,"13,117 lb",LB,"21,400.00",USD,DDP,DELIVERED,852990
SHP-210053,4500087502,JPNGO,MER-DC-JP-01,HLCU,RAIL,06-AUG-25,13-AUG-25,18-AUG-25,EGHU1009622,"4,830 kg",KG,"21,000.00",USD,DAP,DELIVERED,392690
SHP-210054,4500087566,CNXMN,MER-3PL-PL-02,HLCU,OCEAN,10-AUG-25,06-SEP-25,03-SEP-25,ONEU1009992,"6,190 kg",KG,"3,100.00",EUR,FOB,DELIVERED,392690
SHP-210055,4500087640,TWTPE,MER-DC-US-04,CMDU,OCEAN,14-AUG-25,11-SEP-25,09-SEP-25,ONEU1009992,"5,910 kg",KG,"14,000.00",USD,FCA,DELIVERED,850760
SHP-210056,4500087710,CNSHA,Shanghai DC,HLCU,OCEAN,18-AUG-25,16-SEP-25,15-SEP-25,MSKU1010360,"3,461 lb",LB,"3,600.00",CNY,EXW,DELIVERED,852990
SHP-210057,4500900057,CNYTN,MER-DC-SG-01,FDXG,AIR,22-AUG-25,27-AUG-25,N/A,MSKU1010360,"11,820 kg",KG,"9,200.00",USD,CIF,IN_TRANSIT,847330
SHP-210058,,TWKHH,MER-DC-US-02,EGLV,TRUCK,26-AUG-25,01-SEP-25,N/A,MAEU1010736,"6,160 kg",KG,"5,500.00",CNY,DDP,IN_TRANSIT,851770
SHP-210059,,VNSGN,MER-DC-NL-01,ONEY,RAIL,30-AUG-25,06-SEP-25,N/A,MAEU1010736,"1,190 lb",LB,"5,600.00",USD,DAP,EXCEPTION,847330
SHP-210060,4500087972,KRPUS,MER-DC-GB-01,EGLV,OCEAN,03-SEP-25,30-SEP-25,03-OCT-25,EGHU1011105,"12,110 kg",KG,"5,300.00",USD,FCA,DELIVERED,850760
SHP-210061,4500088040,JPNGO,MER-3PL-MY-03,FDXG,OCEAN,07-SEP-25,05-OCT-25,09-OCT-25,EGHU1011105,"1,190 lb",LB,"18,400.00",EUR,FCA,DELIVERED,853400
SHP-210062,4500088093,CNXMN,MER-DC-US-05,MAEU,OCEAN,11-SEP-25,10-OCT-25,15-OCT-25,ONEU1011475,"14,130 kg",KG,"22,100.00",USD,EXW,DELIVERED,392690
SHP-210063,4500088166,TWTPE,MER-DC-CN-02,ONEY,AIR,15-SEP-25,20-SEP-25,17-SEP-25,ONEU1011475,"10,840 kg",KG,"9,000.00",USD,CIF,DELIVERED,852990
SHP-210064,4500088222,CNSHA,MER-3PL-US-01,MAEU,TRUCK,19-SEP-25,25-SEP-25,23-SEP-25,MSKU1011849,"9,930 kg",KG,"16,500.00",USD,DDP,DELIVERED,853400
SHP-210065,4500088300,CNYTN,MER-DC-US-03,ONEY,RAIL,23-SEP-25,30-SEP-25,29-SEP-25,MSKU1011849,"38,625 lb",LB,"21,000.00",USD,DAP,DELIVERED,392690
SHP-210066,4500088367,TWKHH,MER-DC-DE-01,ONEY,OCEAN,27-SEP-25,24-OCT-25,24-OCT-25,MAEU1012214,"6,140 kg",KG,"11,900.00",CNY,FOB,DELIVERED,851770
SHP-210067,,VNSGN,MER-DC-MX-01,EGLV,OCEAN,01-OCT-25,29-OCT-25,N/A,MAEU1012214,"16,720 kg",KG,"7,200.00",EUR,FCA,IN_TRANSIT,850760
SHP-210068,,KRPUS,MER-DC-NL-01,CMDU,OCEAN,05-OCT-25,03-NOV-25,N/A,EGHU1012586,"2,138 lb",LB,"22,600.00",EUR,EXW,IN_TRANSIT,847330
SHP-210069,,JPNGO,MER-DC-US-06,MAEU,AIR,09-OCT-25,14-OCT-25,N/A,EGHU1012586,"12,980 kg",KG,"12,400.00",USD,CIF,EXCEPTION,852990
SHP-210070,4500088627,CNXMN,MER-DC-JP-01,FDXG,TRUCK,13-OCT-25,19-OCT-25,23-OCT-25,ONEU1012954,"10,868 lb",LB,"12,100.00",EUR,DDP,DELIVERED,852990
SHP-210071,4500088691,TWTPE,MER-3PL-PL-02,ONEY,RAIL,17-OCT-25,24-OCT-25,29-OCT-25,ONEU1012954,"16,750 kg",KG,"20,600.00",CNY,DAP,DELIVERED,852990
SHP-210072,4500088754,CNSHA,MER-DC-US-04,CMDU,OCEAN,21-OCT-25,17-NOV-25,14-NOV-25,MSKU1013327,"17,790 kg",KG,"12,700.00",CNY,FOB,DELIVERED,851770
SHP-210073,4500088822,CNYTN,MER-DC-CN-01,FDXG,OCEAN,25-OCT-25,22-NOV-25,20-NOV-25,MSKU1013327,"2,380 kg",KG,"17,900.00",USD,FCA,DELIVERED,851770
SHP-210074,4500088871,TWKHH,MER-DC-SG-01,MAEU,OCEAN,19-FEB-25,20-MAR-25,19-MAR-25,MAEU1013695,"41,072 lb",LB,"9,200.00",CNY,EXW,DELIVERED,851770
SHP-210075,4500088937,VNSGN,MER-DC-US-02,CMDU,AIR,02-NOV-25,07-NOV-25,07-NOV-25,MAEU1013695,970 kg,KG,"7,000.00",USD,CIF,DELIVERED,852990
SHP-210076,4500089010,KRPUS,MER-DC-NL-01,ONEY,TRUCK,06-NOV-25,12-NOV-25,13-NOV-25,EGHU1014064,"9,870 kg",KG,"8,900.00",USD,DDP,DELIVERED,851770
SHP-210077,,JPNGO,MER-DC-GB-01,ONEY,RAIL,10-NOV-25,17-NOV-25,N/A,EGHU1014064,485 lb,LB,"14,200.00",EUR,DAP,IN_TRANSIT,852990
SHP-210078,,CNXMN,MER-3PL-MY-03,HLCU,OCEAN,14-NOV-25,11-DEC-25,N/A,ONEU1014432,"7,410 kg",KG,"14,100.00",CNY,FOB,IN_TRANSIT,847330
SHP-210079,,TWTPE,MER-DC-US-05,CMDU,OCEAN,18-NOV-25,16-DEC-25,N/A,ONEU1014432,"37,522 lb",LB,"21,300.00",USD,FCA,EXCEPTION,851770
SHP-210080,4500089254,CNSHA,MER-DC-CN-02,FDXG,OCEAN,22-NOV-25,21-DEC-25,26-DEC-25,MSKU1014806,"3,930 kg",KG,"3,400.00",USD,CIF,DELIVERED,850760
SHP-210081,4500089320,CNYTN,MER-3PL-US-01,FDXG,AIR,26-NOV-25,01-DEC-25,28-NOV-25,MSKU1014806,"5,400 kg",KG,"19,300.00",USD,CIF,DELIVERED,850760
SHP-210082,4500089391,TWKHH,MER-DC-US-03,FDXG,TRUCK,30-NOV-25,06-DEC-25,04-DEC-25,MAEU1015173,"4,390 kg",KG,"18,500.00",EUR,DDP,DELIVERED,852990
SHP-210083,4500089462,VNSGN,MER-DC-DE-01,ONEY,RAIL,04-DEC-25,11-DEC-25,10-DEC-25,MAEU1015173,"12,875 lb",LB,"12,600.00",CNY,DAP,DELIVERED,852990
SHP-210084,4500089525,KRPUS,MER-DC-MX-01,CMDU,OCEAN,08-DEC-25,04-JAN-26,04-JAN-26,EGHU1015543,"13,680 kg",KG,"11,700.00",USD,FOB,DELIVERED,853400
SHP-210085,4500089592,JPNGO,MER-DC-NL-01,MAEU,OCEAN,12-DEC-25,09-JAN-26,10-JAN-26,EGHU1015543,"18,910 kg",KG,"5,200.00",EUR,FCA,DELIVERED,853400
SHP-210086,4500089657,CNXMN,MER-DC-US-06,ONEY,OCEAN,16-DEC-25,14-JAN-26,16-JAN-26,ONEU1015911,"8,576 lb",LB,"13,300.00",USD,EXW,DELIVERED,847330
SHP-210087,,TWTPE,MER-DC-JP-01,FDXG,AIR,20-DEC-25,25-DEC-25,N/A,ONEU1015911,"13,940 kg",KG,"20,600.00",USD,CIF,IN_TRANSIT,851770
SHP-210088,,CNSHA,MER-3PL-PL-02,HLCU,TRUCK,24-DEC-25,30-DEC-25,N/A,MSKU1016286,"40,939 lb",LB,"14,200.00",CNY,DDP,IN_TRANSIT,851770
SHP-210089,,CNYTN,MER-DC-US-04,MAEU,RAIL,28-DEC-25,04-JAN-26,N/A,MSKU1016286,"7,660 kg",KG,"3,800.00",CNY,DAP,EXCEPTION,850760
SHP-210090,4500089907,TWKHH,MER-DC-CN-01,CMDU,OCEAN,01-JAN-26,28-JAN-26,25-JAN-26,MAEU1016652,"2,490 kg",KG,"17,900.00",USD,FOB,DELIVERED,392690
SHP-210091,4500089968,VNSGN,MER-DC-SG-01,FDXG,OCEAN,05-JAN-26,02-FEB-26,31-JAN-26,MAEU1016652,"17,090 kg",KG,"19,000.00",USD,FCA,DELIVERED,853400
SHP-210092,4500087037,KRPUS,MER-DC-US-02,ONEY,OCEAN,09-JAN-26,07-FEB-26,06-FEB-26,EGHU1017021,"19,422 lb",LB,"9,800.00",CNY,EXW,DELIVERED,847330
SHP-210093,4500087108,JPNGO,MER-DC-NL-01,HLCU,AIR,13-JAN-26,18-JAN-26,18-JAN-26,EGHU1017021,300 kg,KG,"5,900.00",USD,CIF,DELIVERED,847330
SHP-210094,4500087186,CNXMN,MER-DC-GB-01,HLCU,TRUCK,17-JAN-26,23-JAN-26,24-JAN-26,ONEU1017391,"13,640 kg",KG,"1,700.00",CNY,DDP,DELIVERED,853400
SHP-210095,4500087251,TWTPE,MER-3PL-MY-03,EGLV,RAIL,21-JAN-26,28-JAN-26,30-JAN-26,ONEU1017391,"20,216 lb",LB,"6,500.00",CNY,DAP,DELIVERED,853400
SHP-210096,4500087318,CNSHA,MER-DC-US-05,CMDU,OCEAN,25-JAN-26,21-FEB-26,N/A,MSKU1017765,"14,870 kg",KG,"16,200.00",CNY,FOB,CUSTOMS_HOLD,852990
SHP-210097,,CNYTN,MER-DC-CN-02,MAEU,OCEAN,29-JAN-26,26-FEB-26,N/A,MSKU1017765,"31,305 lb",LB,"6,100.00",CNY,FCA,IN_TRANSIT,852990
SHP-210098,,TWKHH,MER-3PL-US-01,MAEU,OCEAN,02-FEB-26,03-MAR-26,N/A,MAEU1018130,"16,190 kg",KG,"14,500.00",USD,EXW,IN_TRANSIT,853400
SHP-210099,,VNSGN,MER-DC-US-03,HLCU,AIR,06-FEB-26,11-FEB-26,N/A,MAEU1018130,"17,190 kg",KG,"3,300.00",USD,CIF,EXCEPTION,392690
SHP-210100,4500087586,KRPUS,Berlin DC Bldg A,EGLV,TRUCK,10-FEB-26,16-FEB-26,14-FEB-26,EGHU1018500,"8,120 kg",KG,"23,100.00",USD,DAP,DELIVERED,852990
SHP-210101,4500087654,JPNGO,MER-DC-MX-01,FDXG,RAIL,14-FEB-26,21-FEB-26,20-FEB-26,EGHU1018500,"20,062 lb",LB,"20,800.00",USD,DAP,DELIVERED,852990
SHP-210102,4500087727,CNXMN,MER-DC-NL-01,MAEU,OCEAN,18-FEB-26,17-MAR-26,17-MAR-26,ONEU1018870,520 kg,KG,"22,900.00",EUR,FOB,DELIVERED,851770
SHP-210103,4500087776,TWTPE,MER-DC-US-06,ONEY,OCEAN,22-FEB-26,22-MAR-26,23-MAR-26,ONEU1018870,"17,290 kg",KG,"15,100.00",CNY,FCA,DELIVERED,850760
SHP-210104,4500087839,CNSHA,MER-DC-JP-01,FDXG,OCEAN,26-FEB-26,27-MAR-26,29-MAR-26,MSKU1019243,"34,215 lb",LB,"4,500.00",EUR,EXW,DELIVERED,853400
SHP-210105,4500087913,CNYTN,MER-3PL-PL-02,MAEU,AIR,02-MAR-26,07-MAR-26,10-MAR-26,MSKU1019243,"15,090 kg",KG,"17,000.00",USD,CIF,DELIVERED,847330
SHP-210106,4500087983,TWKHH,MER-DC-US-04,FDXG,TRUCK,06-MAR-26,12-MAR-26,16-MAR-26,MAEU1019610,"4,321 lb",LB,"8,900.00",USD,DDP,DELIVERED,853400
SHP-210107,4500900107,VNSGN,MER-DC-CN-01,FDXG,RAIL,10-MAR-26,17-MAR-26,N/A,MAEU1019610,"1,920 kg",KG,"8,300.00",USD,DAP,IN_TRANSIT,852990
SHP-210108,,KRPUS,MER-DC-SG-01,CMDU,OCEAN,14-MAR-26,10-APR-26,N/A,EGHU1019981,"15,640 kg",KG,"17,700.00",USD,FOB,IN_TRANSIT,851770
SHP-210109,,JPNGO,MER-DC-US-02,EGLV,OCEAN,18-MAR-26,15-APR-26,N/A,EGHU1019981,"19,010 kg",KG,"4,500.00",USD,FCA,EXCEPTION,853400
SHP-210110,4500088241,CNXMN,MER-DC-NL-01,HLCU,OCEAN,22-MAR-26,20-APR-26,19-APR-26,ONEU1020353,"21,318 lb",LB,"4,700.00",USD,EXW,DELIVERED,851770
SHP-210111,4500088314,TWTPE,MER-DC-GB-01,ONEY,AIR,25-AUG-25,30-AUG-25,30-AUG-25,ONEU1020353,"3,210 kg",KG,"7,600.00",USD,CIF,DELIVERED,853400
SHP-210112,4500088383,CNSHA,MER-3PL-MY-03,CMDU,TRUCK,30-MAR-26,05-APR-26,06-APR-26,MSKU1020727,700 kg,KG,"21,600.00",EUR,DDP,DELIVERED,853400
SHP-210113,4500088453,CNYTN,MER-DC-US-05,ONEY,RAIL,03-APR-26,10-APR-26,12-APR-26,MSKU1020727,573 lb,LB,"2,800.00",EUR,DAP,DELIVERED,852990
SHP-210114,4500088525,TWKHH,MER-DC-CN-02,CMDU,OCEAN,07-APR-26,04-MAY-26,07-MAY-26,MAEU1021094,"8,630 kg",KG,"11,600.00",CNY,FOB,DELIVERED,853400
SHP-210115,4500088584,VNSGN,MER-3PL-US-01,EGLV,OCEAN,11-APR-26,09-MAY-26,13-MAY-26,MAEU1021094,"16,380 lb",LB,"19,800.00",USD,FCA,DELIVERED,392690
SHP-210116,4500088640,KRPUS,MER-DC-US-03,CMDU,OCEAN,15-APR-26,14-MAY-26,19-MAY-26,EGHU1021464,"19,060 kg",KG,"20,400.00",CNY,EXW,DELIVERED,853400
SHP-210117,,JPNGO,MER-DC-DE-01,MAEU,AIR,19-APR-26,24-APR-26,N/A,EGHU1021464,"12,190 kg",KG,"19,400.00",USD,CIF,IN_TRANSIT,853400
SHP-210118,,CNXMN,MER-DC-MX-01,EGLV,TRUCK,23-APR-26,29-APR-26,N/A,ONEU1021832,"7,580 kg",KG,"3,000.00",USD,DDP,IN_TRANSIT,850760
SHP-210119,,TWTPE,MER-DC-NL-01,FDXG,RAIL,27-APR-26,04-MAY-26,N/A,ONEU1021832,"41,314 lb",LB,"19,200.00",CNY,DAP,EXCEPTION,392690
SHP-210120,4500088888,CNSHA,MER-DC-US-06,FDXG,OCEAN,01-MAY-26,28-MAY-26,28-MAY-26,MSKU1022205,"18,570 kg",KG,"13,600.00",EUR,FCA,DELIVERED,851770
SHP-210121,4500088958,CNYTN,MER-DC-JP-01,ONEY,OCEAN,05-MAY-26,02-JUN-26,03-JUN-26,MSKU1022205,"8,390 kg",KG,"13,400.00",EUR,FCA,DELIVERED,853400
SHP-210122,4500089023,TWKHH,MER-3PL-PL-02,CMDU,OCEAN,09-MAY-26,07-JUN-26,09-JUN-26,MAEU1022573,"28,131 lb",LB,"13,100.00",USD,EXW,DELIVERED,852990
SHP-210123,4500089094,VNSGN,MER-DC-US-04,MAEU,AIR,13-MAY-26,18-MAY-26,21-MAY-26,MAEU1022573,"14,740 kg",KG,"22,000.00",EUR,CIF,DELIVERED,851770
SHP-210124,4500089151,KRPUS,Shanghai DC,CMDU,TRUCK,17-MAY-26,23-MAY-26,27-MAY-26,EGHU1022943,"5,952 lb",LB,"2,200.00",EUR,DDP,DELIVERED,852990
SHP-210125,4500089215,JPNGO,MER-DC-SG-01,MAEU,RAIL,21-MAY-26,28-MAY-26,02-JUN-26,EGHU1022943,"17,480 kg",KG,"19,400.00",EUR,DAP,DELIVERED,851770
SHP-210126,4500089267,CNXMN,MER-DC-US-02,ONEY,OCEAN,25-MAY-26,21-JUN-26,18-JUN-26,ONEU1023310,"10,640 kg",KG,"15,300.00",EUR,FOB,DELIVERED,853400
SHP-210127,,TWTPE,MER-DC-NL-01,EGLV,OCEAN,29-MAY-26,26-JUN-26,N/A,ONEU1023310,"12,040 kg",KG,"20,000.00",CNY,FCA,CUSTOMS_HOLD,851770
SHP-210128,,CNSHA,MER-DC-GB-01,HLCU,OCEAN,02-JUN-26,01-JUL-26,N/A,MSKU1023686,"11,905 lb",LB,"3,100.00",CNY,EXW,IN_TRANSIT,850760
SHP-210129,,CNYTN,MER-3PL-MY-03,MAEU,AIR,06-JUN-26,11-JUN-26,N/A,MSKU1023686,"12,790 kg",KG,"22,200.00",USD,CIF,EXCEPTION,392690
