SNAPSHOT_DATE,FACILITY_CODE,SITE_NAME,COUNTRY,DEPARTMENT,HEADCOUNT_FTE,CONTRACTOR_COUNT,OPEN_REQUISITIONS
2025-01-01,MER-RTL-CA-0004,Meridian Store Vancouver 04,CA,RETAIL_OPS,14,1,2
2025-04-01,MER-RTL-CA-0004,Meridian Store Vancouver 04,CA,RETAIL_OPS,14,0,3
2025-07-01,MER-RTL-CA-0004,Meridian Store Vancouver 04,CA,RETAIL_OPS,15,0,4
2025-10-01,MER-RTL-CA-0004,Meridian Store Vancouver 04,CA,RETAIL_OPS,15,0,5
2026-01-01,MER-RTL-CA-0004,Meridian Store Vancouver 04,CA,RETAIL_OPS,16,0,6
2026-04-01,MER-RTL-CA-0004,Meridian Store Vancouver 04,CA,RETAIL_OPS,16,-,0
2025-01-01,MER-RTL-GB-0005,Meridian Store London 05,GB,RETAIL_OPS,12,1,1
2025-04-01,MER-RTL-GB-0005,Meridian Store London 05,GB,RETAIL_OPS,12,0,2
2025-07-01,MER-RTL-GB-0005,Meridian Store London 05,GB,RETAIL_OPS,13,0,3
2025-10-01,MER-RTL-GB-0005,Meridian Store London 05,GB,RETAIL_OPS,13,0,4
2026-01-01,MER-RTL-GB-0005,Meridian Store London 05,GB,RETAIL_OPS,13,0,5
2026-04-01,MER-RTL-GB-0005,Meridian Store London 05,GB,RETAIL_OPS,14,-,6
2025-01-01,MER-RTL-DE-0006,Meridian Store Munich 06,DE,RETAIL_OPS,12,1,2
2025-04-01,MER-RTL-DE-0006,Meridian Store Munich 06,DE,RETAIL_OPS,13,0,3
2025-07-01,MER-RTL-DE-0006,Meridian Store Munich 06,DE,RETAIL_OPS,13,0,4
2025-10-01,MER-RTL-DE-0006,Meridian Store Munich 06,DE,RETAIL_OPS,14,0,5
2026-01-01,MER-RTL-DE-0006,Meridian Store Munich 06,DE,RETAIL_OPS,14,0,6
2026-04-01,MER-RTL-DE-0006,Meridian Store Munich 06,DE,RETAIL_OPS,14,-,0
2025-01-01,MER-RTL-FR-0007,Meridian Store Paris 07,FR,RETAIL_OPS,11,1,4
2025-04-01,MER-RTL-FR-0007,Meridian Store Paris 07,FR,RETAIL_OPS,11,0,5
2025-07-01,MER-RTL-FR-0007,Meridian Store Paris 07,FR,RETAIL_OPS,12,0,6
2025-10-01,MER-RTL-FR-0007,Meridian Store Paris 07,FR,RETAIL_OPS,12,0,0
2026-01-01,MER-RTL-FR-0007,Meridian Store Paris 07,FR,RETAIL_OPS,13,0,1
2026-04-01,MER-RTL-FR-0007,Meridian Store Paris 07,FR,RETAIL_OPS,13,-,2
2025-01-01,MER-RTL-NL-0008,Meridian Store Tilburg 08,NL,RETAIL_OPS,13,1,0
2025-04-01,MER-RTL-NL-0008,Meridian Store Tilburg 08,NL,RETAIL_OPS,13,0,1
2025-07-01,MER-RTL-NL-0008,Meridian Store Tilburg 08,NL,RETAIL_OPS,14,0,2
2025-10-01,MER-RTL-NL-0008,Meridian Store Tilburg 08,NL,RETAIL_OPS,14,0,3
2026-01-01,MER-RTL-NL-0008,Meridian Store Tilburg 08,NL,RETAIL_OPS,15,0,4
2026-04-01,MER-RTL-NL-0008,Meridian Store Tilburg 08,NL,RETAIL_OPS,15,-,5
2025-01-01,MER-RTL-CN-0009,Meridian Store Shanghai 09,CN,RETAIL_OPS,14,1,6
2025-04-01,MER-RTL-CN-0009,Meridian Store Shanghai 09,CN,RETAIL_OPS,14,0,0
2025-07-01,MER-RTL-CN-0009,Meridian Store Shanghai 09,CN,RETAIL_OPS,15,0,1
2025-10-01,MER-RTL-CN-0009,Meridian Store Shanghai 09,CN,RETAIL_OPS,15,0,2
2026-01-01,MER-RTL-CN-0009,Meridian Store Shanghai 09,CN,RETAIL_OPS,16,0,3
2026-04-01,MER-RTL-CN-0009,Meridian Store Shanghai 09,CN,RETAIL_OPS,16,-,4
2025-01-01,MER-RTL-JP-0010,Meridian Store Osaka 10,JP,RETAIL_OPS,14,1,0
2025-04-01,MER-RTL-JP-0010,Meridian Store Osaka 10,JP,RETAIL_OPS,15,0,1
2025-07-01,MER-RTL-JP-0010,Meridian Store Osaka 10,JP,RETAIL_OPS,15,0,2
2025-10-01,MER-RTL-JP-0010,Meridian Store Osaka 10,JP,RETAIL_OPS,16,0,3
2026-01-01,MER-RTL-JP-0010,Meridian Store Osaka 10,JP,RETAIL_OPS,16,0,4
2026-04-01,MER-RTL-JP-0010,Meridian Store Osaka 10,JP,RETAIL_OPS,17,-,5
2025-01-01,MER-RTL-AU-0011,Meridian Store Sydney 11,AU,RETAIL_OPS,12,1,4
2025-04-01,MER-RTL-AU-0011,Meridian Store Sydney 11,AU,RETAIL_OPS,13,0,5
2025-07-01,MER-RTL-AU-0011,Meridian Store Sydney 11,AU,RETAIL_OPS,13,0,6
2025-10-01,MER-RTL-AU-0011,Meridian Store Sydney 11,AU,RETAIL_OPS,14,0,0
2026-01-01,MER-RTL-AU-0011,Meridian Store Sydney 11,AU,RETAIL_OPS,14,0,1
2026-04-01,MER-RTL-AU-0011,Meridian Store Sydney 11,AU,RETAIL_OPS,14,-,2
2025-01-01,MER-RTL-US-0012,Meridian Store Chicago 12,US,RETAIL_OPS,13,1,2
2025-04-01,MER-RTL-US-0012,Meridian Store Chicago 12,US,RETAIL_OPS,13,0,3
2025-07-01,MER-RTL-US-0012,Meridian Store Chicago 12,US,RETAIL_OPS,14,0,4
2025-10-01,MER-RTL-US-0012,Meridian Store Chicago 12,US,RETAIL_OPS,14,0,5
2026-01-01,MER-RTL-US-0012,Meridian Store Chicago 12,US,RETAIL_OPS,15,0,6
2026-04-01,MER-RTL-US-0012,Meridian Store Chicago 12,US,RETAIL_OPS,15,-,0
2025-01-01,MER-RTL-US-0013,Meridian Store Boston 13,US,RETAIL_OPS,14,1,3
2025-04-01,MER-RTL-US-0013,Meridian Store Boston 13,US,RETAIL_OPS,14,0,4
2025-07-01,MER-RTL-US-0013,Meridian Store Boston 13,US,RETAIL_OPS,15,0,5
2025-10-01,MER-RTL-US-0013,Meridian Store Boston 13,US,RETAIL_OPS,15,0,6
2026-01-01,MER-RTL-US-0013,Meridian Store Boston 13,US,RETAIL_OPS,16,0,0
2026-04-01,MER-RTL-US-0013,Meridian Store Boston 13,US,RETAIL_OPS,16,-,1
2025-01-01,MER-RTL-US-0014,Meridian Store Miami 14,US,RETAIL_OPS,14,1,4
2025-04-01,MER-RTL-US-0014,Meridian Store Miami 14,US,RETAIL_OPS,15,0,5
2025-07-01,MER-RTL-US-0014,Meridian Store Miami 14,US,RETAIL_OPS,15,0,6
2025-10-01,MER-RTL-US-0014,Meridian Store Miami 14,US,RETAIL_OPS,16,0,0
2026-01-01,MER-RTL-US-0014,Meridian Store Miami 14,US,RETAIL_OPS,16,0,1
2026-04-01,MER-RTL-US-0014,Meridian Store Miami 14,US,RETAIL_OPS,17,-,2
2025-01-01,MER-RTL-US-0015,Meridian Store Portland 15,US,RETAIL_OPS,15,1,5
2025-04-01,MER-RTL-US-0015,Meridian Store Portland 15,US,RETAIL_OPS,15,0,6
2025-07-01,MER-RTL-US-0015,Meridian Store Portland 15,US,RETAIL_OPS,16,0,0
2025-10-01,MER-RTL-US-0015,Meridian Store Portland 15,US,RETAIL_OPS,16,0,1
2026-01-01,MER-RTL-US-0015,Meridian Store Portland 15,US,RETAIL_OPS,17,0,2
2026-04-01,MER-RTL-US-0015,Meridian Store Portland 15,US,RETAIL_OPS,17,-,3
2025-01-01,MER-RTL-CA-0016,Meridian Store Vancouver 16,CA,RETAIL_OPS,10,1,5
2025-04-01,MER-RTL-CA-0016,Meridian Store Vancouver 16,CA,RETAIL_OPS,10,0,6
2025-07-01,MER-RTL-CA-0016,Meridian Store Vancouver 16,CA,RETAIL_OPS,10,0,0
2025-10-01,MER-RTL-CA-0016,Meridian Store Vancouver 16,CA,RETAIL_OPS,11,0,1
2026-01-01,MER-RTL-CA-0016,Meridian Store Vancouver 16,CA,RETAIL_OPS,11,0,2
2026-04-01,MER-RTL-CA-0016,Meridian Store Vancouver 16,CA,RETAIL_OPS,11,-,3
2025-01-01,MER-RTL-GB-0017,Meridian Store London 17,GB,RETAIL_OPS,14,1,4
2025-04-01,MER-RTL-GB-0017,Meridian Store London 17,GB,RETAIL_OPS,14,0,5
2025-07-01,MER-RTL-GB-0017,Meridian Store London 17,GB,RETAIL_OPS,15,0,6
2025-10-01,MER-RTL-GB-0017,Meridian Store London 17,GB,RETAIL_OPS,15,0,0
2026-01-01,MER-RTL-GB-0017,Meridian Store London 17,GB,RETAIL_OPS,16,0,1
2026-04-01,MER-RTL-GB-0017,Meridian Store London 17,GB,RETAIL_OPS,16,-,2
2025-01-01,MER-RTL-DE-0018,Meridian Store Munich 18,DE,RETAIL_OPS,14,1,5
2025-04-01,MER-RTL-DE-0018,Meridian Store Munich 18,DE,RETAIL_OPS,15,0,6
2025-07-01,MER-RTL-DE-0018,Meridian Store Munich 18,DE,RETAIL_OPS,15,0,0
2025-10-01,MER-RTL-DE-0018,Meridian Store Munich 18 ,DE,RETAIL_OPS,16,0,1
2026-01-01,MER-RTL-DE-0018,Meridian Store Munich 18,DE,RETAIL_OPS,16,0,2
2026-04-01,MER-RTL-DE-0018,Meridian Store Munich 18,DE,RETAIL_OPS,17,-,3
2025-01-01,MER-RTL-FR-0019,Meridian Store Paris 19,FR,RETAIL_OPS,13,1,0
2025-04-01,MER-RTL-FR-0019,Meridian Store Paris 19,FR,RETAIL_OPS,13,0,1
2025-07-01,MER-RTL-FR-0019,Meridian Store Paris 19,FR,RETAIL_OPS,14,0,2
2025-10-01,MER-RTL-FR-0019,Meridian Store Paris 19,FR,RETAIL_OPS,14,0,3
2026-01-01,MER-RTL-FR-0019,Meridian Store Paris 19,FR,RETAIL_OPS,15,0,4
2026-04-01,MER-RTL-FR-0019,Meridian Store Paris 19,FR,RETAIL_OPS,15,-,5
2025-01-01,MER-RTL-NL-0020,Meridian Store Tilburg 20,NL,RETAIL_OPS,15,1,1
2025-04-01,MER-RTL-NL-0020,Meridian Store Tilburg 20,NL,RETAIL_OPS,15,0,2
2025-07-01,MER-RTL-NL-0020,Meridian Store Tilburg 20,NL,RETAIL_OPS,16,0,3
2025-10-01,MER-RTL-NL-0020,Meridian Store Tilburg 20,NL,RETAIL_OPS,16,0,4
2026-01-01,MER-RTL-NL-0020,Meridian Store Tilburg 20,NL,RETAIL_OPS,17,0,5
2026-04-01,MER-RTL-NL-0020,Meridian Store Tilburg 20,NL,RETAIL_OPS,17,-,6
2025-01-01,MER-RTL-CN-0021,Meridian Store Shanghai 21,CN,RETAIL_OPS,10,1,0
2025-04-01,MER-RTL-CN-0021,Meridian Store Shanghai 21,CN,RETAIL_OPS,10,0,1
2025-07-01,MER-RTL-CN-0021,Meridian Store Shanghai 21,CN,RETAIL_OPS,10,0,2
2025-10-01,MER-RTL-CN-0021,Meridian Store Shanghai 21,CN,RETAIL_OPS,11,0,3
2026-01-01,MER-RTL-CN-0021,Meridian Store Shanghai 21,CN,RETAIL_OPS,11,0,4
2026-04-01,MER-RTL-CN-0021,Meridian Store Shanghai 21,CN,RETAIL_OPS,11,-,5
2025-01-01,MER-RTL-JP-0022,Meridian Store Osaka 22,JP,RETAIL_OPS,10,1,3
2025-04-01,MER-RTL-JP-0022,Meridian Store Osaka 22,JP,RETAIL_OPS,11,0,4
2025-07-01,MER-RTL-JP-0022,Meridian Store Osaka 22,JP,RETAIL_OPS,11,0,5
2025-10-01,MER-RTL-JP-0022,Meridian Store Osaka 22,JP,RETAIL_OPS,12,0,6
2026-01-01,MER-RTL-JP-0022,Meridian Store Osaka 22,JP,RETAIL_OPS,12,0,0
2026-04-01,MER-RTL-JP-0022,Meridian Store Osaka 22,JP,RETAIL_OPS,12,-,1
2025-01-01,MER-RTL-AU-0023,Meridian Store Sydney 23,AU,RETAIL_OPS,14,1,0
2025-04-01,MER-RTL-AU-0023,Meridian Store Sydney 23,AU,RETAIL_OPS,15,0,1
2025-07-01,MER-RTL-AU-0023,Meridian Store Sydney 23,AU,RETAIL_OPS,15,0,2
2025-10-01,MER-RTL-AU-0023,Meridian Store Sydney 23,AU,RETAIL_OPS,16,0,3
2026-01-01,MER-RTL-AU-0023,Meridian Store Sydney 23,AU,RETAIL_OPS,16,0,4
2026-04-01,MER-RTL-AU-0023,Meridian Store Sydney 23,AU,RETAIL_OPS,17,-,5
2025-01-01,MER-RTL-US-0024,Meridian Store San Diego 24,US,RETAIL_OPS,15,1,5
2025-04-01,MER-RTL-US-0024,Meridian Store San Diego 24,US,RETAIL_OPS,15,0,6
2025-07-01,MER-RTL-US-0024,Meridian Store San Diego 24,US,RETAIL_OPS,16,0,0
2025-10-01,MER-RTL-US-0024,Meridian Store San Diego 24,US,RETAIL_OPS,16,0,1
2026-01-01,MER-RTL-US-0024,Meridian Store San Diego 24,US,RETAIL_OPS,17,0,2
2026-04-01,MER-RTL-US-0024,Meridian Store San Diego 24,US,RETAIL_OPS,17,-,3
2025-01-01,MER-RTL-US-0025,Meridian Store Austin 25,US,RETAIL_OPS,10,1,6
2025-04-01,MER-RTL-US-0025,Meridian Store Austin 25,US,RETAIL_OPS,10,0,0
2025-07-01,MER-RTL-US-0025,Meridian Store Austin 25,US,RETAIL_OPS,10,0,1
2025-10-01,MER-RTL-US-0025,Meridian Store Austin 25,US,RETAIL_OPS,11,0,2
2026-01-01,MER-RTL-US-0025,Meridian Store Austin 25,US,RETAIL_OPS,11,0,3
2026-04-01,MER-RTL-US-0025,Meridian Store Austin 25,US,RETAIL_OPS,11,-,4
2025-01-01,MER-RTL-US-0026,Meridian Store Denver 26,US,RETAIL_OPS,10,1,0
2025-04-01,MER-RTL-US-0026,Meridian Store Denver 26,US,RETAIL_OPS,11,0,1
2025-07-01,MER-RTL-US-0026,Meridian Store Denver 26,US,RETAIL_OPS,11,0,2
2025-10-01,MER-RTL-US-0026,Meridian Store Denver 26 ,US,RETAIL_OPS,12,0,3
2026-01-01,MER-RTL-US-0026,Meridian Store Denver 26,US,RETAIL_OPS,12,0,4
2026-04-01,MER-RTL-US-0026,Meridian Store Denver 26,US,RETAIL_OPS,12,-,5
2025-01-01,MER-RTL-US-0027,Meridian Store Seattle 27,US,RETAIL_OPS,11,1,1
2025-04-01,MER-RTL-US-0027,Meridian Store Seattle 27,US,RETAIL_OPS,11,0,2
2025-07-01,MER-RTL-US-0027,Meridian Store Seattle 27,US,RETAIL_OPS,12,0,3
2025-10-01,MER-RTL-US-0027,Meridian Store Seattle 27,US,RETAIL_OPS,12,0,4
2026-01-01,MER-RTL-US-0027,Meridian Store Seattle 27,US,RETAIL_OPS,13,0,5
2026-04-01,MER-RTL-US-0027,Meridian Store Seattle 27,US,RETAIL_OPS,13,-,6
2025-01-01,MER-RTL-CA-0028,Meridian Store Vancouver 28,CA,RETAIL_OPS,12,1,1
2025-04-01,MER-RTL-CA-0028,Meridian Store Vancouver 28,CA,RETAIL_OPS,12,0,2
2025-07-01,MER-RTL-CA-0028,Meridian Store Vancouver 28,CA,RETAIL_OPS,13,0,3
2025-10-01,MER-RTL-CA-0028,Meridian Store Vancouver 28,CA,RETAIL_OPS,13,0,4
2026-01-01,MER-RTL-CA-0028,Meridian Store Vancouver 28,CA,RETAIL_OPS,13,0,5
2026-04-01,MER-RTL-CA-0028,Meridian Store Vancouver 28,CA,RETAIL_OPS,14,-,6
2025-01-01,MER-RTL-GB-0029,Meridian Store London 29,GB,RETAIL_OPS,10,1,0
2025-04-01,MER-RTL-GB-0029,Meridian Store London 29,GB,RETAIL_OPS,10,0,1
2025-07-01,MER-RTL-GB-0029,Meridian Store London 29,GB,RETAIL_OPS,10,0,2
2025-10-01,MER-RTL-GB-0029,Meridian Store London 29 ,GB,RETAIL_OPS,11,0,3
2026-01-01,MER-RTL-GB-0029,Meridian Store London 29,GB,RETAIL_OPS,11,0,4
2026-04-01,MER-RTL-GB-0029,Meridian Store London 29,GB,RETAIL_OPS,11,-,5
2025-01-01,MER-RTL-DE-0030,Meridian Store Munich 30,DE,RETAIL_OPS,10,1,6
2025-04-01,MER-RTL-DE-0030,Meridian Store Munich 30,DE,RETAIL_OPS,11,0,0
2025-07-01,MER-RTL-DE-0030,Meridian Store Munich 30,DE,RETAIL_OPS,11,0,1
2025-10-01,MER-RTL-DE-0030,Meridian Store Munich 30,DE,RETAIL_OPS,12,0,2
2026-01-01,MER-RTL-DE-0030,Meridian Store Munich 30,DE,RETAIL_OPS,12,0,3
2026-04-01,MER-RTL-DE-0030,Meridian Store Munich 30,DE,RETAIL_OPS,12,-,4
2025-01-01,MER-RTL-FR-0031,Meridian Store Paris 31,FR,RETAIL_OPS,15,1,1
2025-04-01,MER-RTL-FR-0031,Meridian Store Paris 31,FR,RETAIL_OPS,15,0,2
2025-07-01,MER-RTL-FR-0031,Meridian Store Paris 31,FR,RETAIL_OPS,16,0,3
2025-10-01,MER-RTL-FR-0031,Meridian Store Paris 31,FR,RETAIL_OPS,16,0,4
2026-01-01,MER-RTL-FR-0031,Meridian Store Paris 31,FR,RETAIL_OPS,17,0,5
2026-04-01,MER-RTL-FR-0031,Meridian Store Paris 31,FR,RETAIL_OPS,17,-,6
2025-01-01,MER-RTL-NL-0032,Meridian Store Tilburg 32,NL,RETAIL_OPS,11,1,4
2025-04-01,MER-RTL-NL-0032,Meridian Store Tilburg 32,NL,RETAIL_OPS,11,0,5
2025-07-01,MER-RTL-NL-0032,Meridian Store Tilburg 32,NL,RETAIL_OPS,12,0,6
2025-10-01,MER-RTL-NL-0032,Meridian Store Tilburg 32,NL,RETAIL_OPS,12,0,0
2026-01-01,MER-RTL-NL-0032,Meridian Store Tilburg 32,NL,RETAIL_OPS,13,0,1
2026-04-01,MER-RTL-NL-0032,Meridian Store Tilburg 32,NL,RETAIL_OPS,13,-,2
2025-01-01,MER-RTL-CN-0033,Meridian Store Shanghai 33,CN,RETAIL_OPS,12,1,3
2025-04-01,MER-RTL-CN-0033,Meridian Store Shanghai 33,CN,RETAIL_OPS,12,0,4
2025-07-01,MER-RTL-CN-0033,Meridian Store Shanghai 33,CN,RETAIL_OPS,13,0,5
2025-10-01,MER-RTL-CN-0033,Meridian Store Shanghai 33 ,CN,RETAIL_OPS,13,0,6
2026-01-01,MER-RTL-CN-0033,Meridian Store Shanghai 33,CN,RETAIL_OPS,13,0,0
2026-04-01,MER-RTL-CN-0033,Meridian Store Shanghai 33,CN,RETAIL_OPS,14,-,1
2025-01-01,MER-RTL-JP-0034,Meridian Store Osaka 34,JP,RETAIL_OPS,12,1,6
2025-04-01,MER-RTL-JP-0034,Meridian Store Osaka 34,JP,RETAIL_OPS,13,0,0
2025-07-01,MER-RTL-JP-0034,Meridian Store Osaka 34,JP,RETAIL_OPS,13,0,1
2025-10-01,MER-RTL-JP-0034,Meridian Store Osaka 34,JP,RETAIL_OPS,14,0,2
2026-01-01,MER-RTL-JP-0034,Meridian Store Osaka 34,JP,RETAIL_OPS,14,0,3
2026-04-01,MER-RTL-JP-0034,Meridian Store Osaka 34,JP,RETAIL_OPS,14,-,4
2025-01-01,MER-RTL-AU-0035,Meridian Store Sydney 35,AU,RETAIL_OPS,10,1,3
2025-04-01,MER-RTL-AU-0035,Meridian Store Sydney 35,AU,RETAIL_OPS,11,0,4
2025-07-01,MER-RTL-AU-0035,Meridian Store Sydney 35,AU,RETAIL_OPS,11,0,5
2025-10-01,MER-RTL-AU-0035,Meridian Store Sydney 35,AU,RETAIL_OPS,12,0,6
2026-01-01,MER-RTL-AU-0035,Meridian Store Sydney 35,AU,RETAIL_OPS,12,0,0
2026-04-01,MER-RTL-AU-0035,Meridian Store Sydney 35,AU,RETAIL_OPS,12,-,1
2025-01-01,MER-RTL-US-0036,Meridian Store Chicago 36,US,RETAIL_OPS,11,1,1
2025-04-01,MER-RTL-US-0036,Meridian Store Chicago 36,US,RETAIL_OPS,11,0,2
2025-07-01,MER-RTL-US-0036,Meridian Store Chicago 36,US,RETAIL_OPS,12,0,3
2025-10-01,MER-RTL-US-0036,Meridian Store Chicago 36,US,RETAIL_OPS,12,0,4
2026-01-01,MER-RTL-US-0036,Meridian Store Chicago 36,US,RETAIL_OPS,13,0,5
2026-04-01,MER-RTL-US-0036,Meridian Store Chicago 36,US,RETAIL_OPS,13,-,6
2025-01-01,MER-RTL-US-0037,Meridian Store Boston 37,US,RETAIL_OPS,12,1,2
2025-04-01,MER-RTL-US-0037,Meridian Store Boston 37,US,RETAIL_OPS,12,0,3
2025-07-01,MER-RTL-US-0037,Meridian Store Boston 37,US,RETAIL_OPS,13,0,4
2025-10-01,MER-RTL-US-0037,Meridian Store Boston 37,US,RETAIL_OPS,13,0,5
2026-01-01,MER-RTL-US-0037,Meridian Store Boston 37,US,RETAIL_OPS,13,0,6
2026-04-01,MER-RTL-US-0037,Meridian Store Boston 37,US,RETAIL_OPS,14,-,0
2025-01-01,MER-RTL-US-0038,Meridian Store Miami 38,US,RETAIL_OPS,12,1,3
2025-04-01,MER-RTL-US-0038,Meridian Store Miami 38,US,RETAIL_OPS,13,0,4
2025-07-01,MER-RTL-US-0038,Meridian Store Miami 38,US,RETAIL_OPS,13,0,5
2025-10-01,MER-RTL-US-0038,Meridian Store Miami 38,US,RETAIL_OPS,14,0,6
2026-01-01,MER-RTL-US-0038,Meridian Store Miami 38,US,RETAIL_OPS,14,0,0
2026-04-01,MER-RTL-US-0038,Meridian Store Miami 38,US,RETAIL_OPS,14,-,1
2025-01-01,MER-RTL-US-0039,Meridian Store Portland 39,US,RETAIL_OPS,13,1,4
2025-04-01,MER-RTL-US-0039,Meridian Store Portland 39,US,RETAIL_OPS,13,0,5
2025-07-01,MER-RTL-US-0039,Meridian Store Portland 39,US,RETAIL_OPS,14,0,6
2025-10-01,MER-RTL-US-0039,Meridian Store Portland 39,US,RETAIL_OPS,14,0,0
2026-01-01,MER-RTL-US-0039,Meridian Store Portland 39,US,RETAIL_OPS,15,0,1
2026-04-01,MER-RTL-US-0039,Meridian Store Portland 39,US,RETAIL_OPS,15,-,2
2025-01-01,MER-RTL-CA-0040,Meridian Store Vancouver 40,CA,RETAIL_OPS,14,1,2
2025-04-01,MER-RTL-CA-0040,Meridian Store Vancouver 40,CA,RETAIL_OPS,14,0,3
2025-07-01,MER-RTL-CA-0040,Meridian Store Vancouver 40,CA,RETAIL_OPS,15,0,4
2025-10-01,MER-RTL-CA-0040,Meridian Store Vancouver 40,CA,RETAIL_OPS,15,0,5
2026-01-01,MER-RTL-CA-0040,Meridian Store Vancouver 40,CA,RETAIL_OPS,16,0,6
2026-04-01,MER-RTL-CA-0040,Meridian Store Vancouver 40,CA,RETAIL_OPS,16,-,0
2025-01-01,MER-RTL-GB-0041,Meridian Store London 41,GB,RETAIL_OPS,12,1,1
2025-04-01,MER-RTL-GB-0041,Meridian Store London 41,GB,RETAIL_OPS,12,0,2
2025-07-01,MER-RTL-GB-0041,Meridian Store London 41,GB,RETAIL_OPS,13,0,3
2025-10-01,MER-RTL-GB-0041,Meridian Store London 41 ,GB,RETAIL_OPS,13,0,4
2026-01-01,MER-RTL-GB-0041,Meridian Store London 41,GB,RETAIL_OPS,13,0,5
2026-04-01,MER-RTL-GB-0041,Meridian Store London 41,GB,RETAIL_OPS,14,-,6
2025-01-01,MER-RTL-DE-0042,Meridian Store Munich 42,DE,RETAIL_OPS,12,1,2
2025-04-01,MER-RTL-DE-0042,Meridian Store Munich 42,DE,RETAIL_OPS,13,0,3
2025-07-01,MER-RTL-DE-0042,Meridian Store Munich 42,DE,RETAIL_OPS,13,0,4
2025-10-01,MER-RTL-DE-0042,Meridian Store Munich 42,DE,RETAIL_OPS,14,0,5
2026-01-01,MER-RTL-DE-0042,Meridian Store Munich 42,DE,RETAIL_OPS,14,0,6
2026-04-01,MER-RTL-DE-0042,Meridian Store Munich 42,DE,RETAIL_OPS,14,-,0
2025-01-01,MER-RTL-FR-0043,Meridian Store Paris 43,FR,RETAIL_OPS,11,1,4
2025-04-01,MER-RTL-FR-0043,Meridian Store Paris 43,FR,RETAIL_OPS,11,0,5
2025-07-01,MER-RTL-FR-0043,Meridian Store Paris 43,FR,RETAIL_OPS,12,0,6
2025-10-01,MER-RTL-FR-0043,Meridian Store Paris 43,FR,RETAIL_OPS,12,0,0
2026-01-01,MER-RTL-FR-0043,Meridian Store Paris 43,FR,RETAIL_OPS,13,0,1
2026-04-01,MER-RTL-FR-0043,Meridian Store Paris 43,FR,RETAIL_OPS,13,-,2
2025-01-01,MER-RTL-NL-0044,Meridian Store Tilburg 44,NL,RETAIL_OPS,13,1,0
2025-04-01,MER-RTL-NL-0044,Meridian Store Tilburg 44,NL,RETAIL_OPS,13,0,1
2025-07-01,MER-RTL-NL-0044,Meridian Store Tilburg 44,NL,RETAIL_OPS,14,0,2
2025-10-01,MER-RTL-NL-0044,Meridian Store Tilburg 44,NL,RETAIL_OPS,14,0,3
2026-01-01,MER-RTL-NL-0044,Meridian Store Tilburg 44,NL,RETAIL_OPS,15,0,4
2026-04-01,MER-RTL-NL-0044,Meridian Store Tilburg 44,NL,RETAIL_OPS,15,-,5
2025-01-01,MER-RTL-CN-0045,Meridian Store Shanghai 45,CN,RETAIL_OPS,14,1,6
2025-04-01,MER-RTL-CN-0045,Meridian Store Shanghai 45,CN,RETAIL_OPS,14,0,0
2025-07-01,MER-RTL-CN-0045,Meridian Store Shanghai 45,CN,RETAIL_OPS,15,0,1
2025-10-01,MER-RTL-CN-0045,Meridian Store Shanghai 45,CN,RETAIL_OPS,15,0,2
2026-01-01,MER-RTL-CN-0045,Meridian Store Shanghai 45,CN,RETAIL_OPS,16,0,3
2026-04-01,MER-RTL-CN-0045,Meridian Store Shanghai 45,CN,RETAIL_OPS,16,-,4
2025-01-01,MER-RTL-JP-0046,Meridian Store Osaka 46,JP,RETAIL_OPS,14,1,2
