BOM_ID,PARENT_MODEL_CODE,PARENT_DESCRIPTION,BOM_LEVEL,COMPONENT_PART_NUMBER,COMPONENT_DESCRIPTION,COMPONENT_CATEGORY,QTY_PER_ASSEMBLY,UOM,REF_DESIGNATOR,APPROVED_SUPPLIER_ID,EFFECTIVE_FROM_DATE,EFFECTIVE_TO_DATE,ECO_NUMBER
BOM-50034,PLS8,Meridian Pulse 8 128GB Black,1,CMP-PCB-0172,main logic board assembly 073,PCBA,2,EA,P09,0000126926,2021-08-15,9999-12-31,ECO-2025-0115
BOM-50035,PLS8,Meridian Pulse 8 128GB Black,1,CMP-CBL-0177,flex ribbon cable 078,CABLE,1,EA,C10,0000108431,2021-08-15,9999-12-31,ECO-2025-0115
BOM-50036,PLS8,Meridian Pulse 8 128GB Black,1,CMP-ENC-0182,machined housing 083,ENCLOSURE,1,EA,E11,0000117336,2021-08-15,9999-12-31,ECO-2025-0115
BOM-50037,PLS8,Meridian Pulse 8 128GB Black,3,CMP-DSP-0187,OLED display module 088,DISPLAY,2,EA,D12,0000126241,2021-08-15,9999-12-31,ECO-2025-0115
BOM-50038,PLS8,Meridian Pulse 8 128GB Black,2,CMP-ADH-0192,structural adhesive 093,ADHESIVE,1,GR,A13,0000107746,2021-08-15,9999-12-31,ECO-2025-0116
BOM-50039,PLS8,Meridian Pulse 8 128GB Black,2,CMP-CAM-0197,camera module 098,CAMERA,8,EA,C14,0000116651,2021-08-15,9999-12-31,ECO-2025-0116
BOM-50040,PLS8P,Meridian Pulse 8 Pro 128GB Black,1,CMP-CAM-0149,camera module 050,CAMERA,1,EA,C01,0000113363,2021-07-15,9999-12-31,ECO-2026-0121
BOM-50041,PLS8P,Meridian Pulse 8 Pro 128GB Black,1,CMP-BAT-0154,Li-ion battery pack 055,BATTERY,8,EA,B02,0000122268,2021-07-15,9999-12-31,ECO-2026-0121
BOM-50042,PLS8P,Meridian Pulse 8 Pro 128GB Black,1,CMP-FST-0159,torx screw 060,FASTENER,9,EA,F03,0000133913,2021-07-15,9999-12-31,ECO-2026-0121
BOM-50043,PLS8P,Meridian Pulse 8 Pro 128GB Black,1,CMP-PCB-0164,main logic board assembly 065,PCBA,1,EA,P04,0000112678,2021-07-15,9999-12-31,ECO-2026-0121
BOM-50044,PLS8P,Meridian Pulse 8 Pro 128GB Black,1,CMP-CBL-0169,flex ribbon cable 070,CABLE,1,EA,C05,0000121583,2021-07-15,9999-12-31,ECO-2026-0121
BOM-50045,PLS8P,Meridian Pulse 8 Pro 128GB Black,1,CMP-ENC-0174,machined housing 075,ENCLOSURE,2,EA,E06,0000133228,2021-07-15,2026-12-31,ECO-2026-0121
BOM-50046,PLS8P,Meridian Pulse 8 Pro 128GB Black,1,CMP-DSP-0179,OLED display module 080,DISPLAY,2,EA,D07,0000111993,2021-07-15,9999-12-31,ECO-2026-0122
BOM-50047,PLS8P,Meridian Pulse 8 Pro 128GB Black,1,CMP-ADH-0184,structural adhesive 077,ADHESIVE,2,ML,A08,0000120898,2021-07-15,9999-12-31,ECO-2026-0122
BOM-50048,PLS8P,Meridian Pulse 8 Pro 128GB Black,1,CMP-CAM-0189,camera module 090,CAMERA,4,EA,C09,,2021-07-15,9999-12-31,ECO-2026-0122
BOM-50049,PLS8P,Meridian Pulse 8 Pro 128GB Black,1,CMP-BAT-0194,Li-ion battery pack 095,BATTERY,2,EA,B10,0000111308,2021-07-15,9999-12-31,ECO-2026-0122
BOM-50050,PLS8P,Meridian Pulse 8 Pro 128GB Black,1,CMP-FST-0199,torx screw 100,FASTENER,9,EA,F11,0000120213,2021-07-15,9999-12-31,ECO-2026-0122
BOM-50051,PLS8P,Meridian Pulse 8 Pro 128GB Black,1,CMP-PCB-0204,main logic board assembly 105,PCBA,8,EA,P12,0000131858,2021-07-15,9999-12-31,ECO-2026-0122
BOM-50052,PLS8P,Meridian Pulse 8 Pro 128GB Black,2,CMP-CBL-0209,flex ribbon cable 110,CABLE,2,EA,C13,0000110623,2021-07-15,9999-12-31,ECO-2026-0123
BOM-50053,PLS8P,Meridian Pulse 8 Pro 128GB Black,2,CMP-ENC-0214,machined housing 115,ENCLOSURE,1,EA,E14,0000119528,2021-07-15,9999-12-31,ECO-2026-0123
BOM-50054,PLS8P,Meridian Pulse 8 Pro 128GB Black,3,CMP-DSP-0219,OLED display module 120,DISPLAY,2,EA,D15,0000128433,2021-07-15,2026-12-31,ECO-2026-0123
BOM-50055,PLS8L,Meridian Pulse 8 Lite 128GB Black,1,CMP-ENC-0166,machined housing 059,ENCLOSURE,1,EA,E01,0000116240,2022-06-15,9999-12-31,ECO-2023-0128
BOM-50056,PLS8L,Meridian Pulse 8 Lite 128GB Black,1,CMP-DSP-0171,OLED display module 072,DISPLAY,8,EA,D02,0000125145,2022-06-15,9999-12-31,ECO-2023-0128
BOM-50057,PLS8L,Meridian Pulse 8 Lite 128GB Black,1,CMP-ADH-0176,structural adhesive 077,ADHESIVE,4,ML,A03,0000106650,2022-06-15,9999-12-31,ECO-2023-0128
BOM-50058,PLS8L,Meridian Pulse 8 Lite 128GB Black,1,CMP-CAM-0181,camera module 082,CAMERA,1,EA,C04,0000115555,2022-06-15,9999-12-31,ECO-2023-0128
BOM-50059,PLS8L,Meridian Pulse 8 Lite 128GB Black,1,CMP-BAT-0186,Li-ion battery pack 087,BATTERY,1,EA,B05,0000124460,2022-06-15,9999-12-31,ECO-2023-0128
BOM-50060,PLS8L,Meridian Pulse 8 Lite 128GB Black,1,CMP-FST-0191,torx screw 092,FASTENER,11,EA,F06,0000105965,2022-06-15,9999-12-31,ECO-2023-0128
BOM-50061,PLS8L,Meridian Pulse 8 Lite 128GB Black,1,CMP-PCB-0196,main logic board assembly 097,PCBA,2,EA,P07,0000114870,2022-06-15,9999-12-31,ECO-2023-0129
BOM-50062,PLS8L,Meridian Pulse 8 Lite 128GB Black,1,CMP-CBL-0201,flex ribbon cable 102,CABLE,2,EA,C08,0000123775,2022-06-15,9999-12-31,ECO-2023-0129
BOM-50063,PLS8L,Meridian Pulse 8 Lite 128GB Black,1,CMP-ENC-0206,machined housing 107,ENCLOSURE,2,EA,E09,0000105280,2022-06-15,9999-12-31,ECO-2023-0129
BOM-50064,PLS8L,Meridian Pulse 8 Lite 128GB Black,1,CMP-DSP-0211,OLED display module 104,DISPLAY,4,EA,D10,0000114185,2022-06-15,9999-12-31,ECO-2023-0129
BOM-50065,PLS8L,Meridian Pulse 8 Lite 128GB Black,1,CMP-ADH-0216,structural adhesive 117,ADHESIVE,1,GR,A11,0000123090,2022-06-15,9999-12-31,ECO-2023-0129
BOM-50066,PLS8L,Meridian Pulse 8 Lite 128GB Black,1,CMP-CAM-0221,camera module 122,CAMERA,8,EA,C12,0000134735,2022-06-15,9999-12-31,ECO-2023-0129
BOM-50067,PLS8L,Meridian Pulse 8 Lite 128GB Black,1,CMP-BAT-0226,Li-ion battery pack 127,BATTERY,2,EA,B13,0000113500,2022-06-15,9999-12-31,ECO-2023-0130
BOM-50068,PLS8L,Meridian Pulse 8 Lite 128GB Black,2,CMP-FST-0231,torx screw 132,FASTENER,11,EA,F14,0000122405,2022-06-15,9999-12-31,ECO-2023-0130
BOM-50069,PLS8L,Meridian Pulse 8 Lite 128GB Black,3,CMP-PCB-0236,main logic board assembly 137,PCBA,4,EA,P15,0000134050,2022-06-15,9999-12-31,ECO-2023-0130
BOM-50070,PLS8L,Meridian Pulse 8 Lite 128GB Black,2,CMP-CBL-0241,flex ribbon cable 142,CABLE,8,EA,C16,0000112815,2022-06-15,9999-12-31,ECO-2023-0130
BOM-50071,PLS9,Meridian Pulse 9 128GB Black,1,CMP-BAT-0118,Li-ion battery pack 4500mAh,BATTERY,1,EA,B01,0000105143,2022-05-15,9999-12-31,ECO-2024-0135
BOM-50072,PLS9,Meridian Pulse 9 128GB Black,1,CMP-DSP-0451,6.7-inch OLED display module,DISPLAY,4,EA,D02,0000104732,2022-05-15,9999-12-31,ECO-2024-0135
BOM-50073,PLS9,Meridian Pulse 9 128GB Black,1,CMP-CBL-0193,flex ribbon cable 086,CABLE,8,EA,C03,0000109527,2022-05-15,9999-12-31,ECO-2024-0135
BOM-50074,PLS9,Meridian Pulse 9 128GB Black,1,CMP-ENC-0198,machined housing 099,ENCLOSURE,4,EA,E04,0000118432,2022-05-15,9999-12-31,ECO-2024-0135
BOM-50075,PLS9,Meridian Pulse 9 128GB Black,1,CMP-DSP-0203,OLED display module 104,DISPLAY,8,EA,D05,0000127337,2022-05-15,9999-12-31,ECO-2024-0135
BOM-50076,PLS9,Meridian Pulse 9 128GB Black,1,CMP-ADH-0208,structural adhesive 109,ADHESIVE,4,GR,A06,0000108842,2022-05-15,9999-12-31,ECO-2024-0135
BOM-50077,PLS9,Meridian Pulse 9 128GB Black,1,CMP-CAM-0213,camera module 114,CAMERA,8,EA,C07,0000117747,2022-05-15,9999-12-31,ECO-2024-0136
BOM-50078,PLS9,Meridian Pulse 9 128GB Black,1,CMP-BAT-0218,Li-ion battery pack 119,BATTERY,1,EA,B08,0000126652,2022-05-15,9999-12-31,ECO-2024-0136
BOM-50079,PLS9,Meridian Pulse 9 128GB Black,1,CMP-FST-0223,torx screw 124,FASTENER,6,EA,F09,0000108157,2022-05-15,9999-12-31,ECO-2024-0136
BOM-50080,PLS9,Meridian Pulse 9 128GB Black,1,CMP-PCB-0228,main logic board assembly 129,PCBA,1,EA,P10,0000117062,2022-05-15,9999-12-31,ECO-2024-0136
BOM-50081,PLS9,Meridian Pulse 9 128GB Black,1,CMP-CBL-0233,flex ribbon cable 134,CABLE,1,EA,C11,0000125967,2022-05-15,9999-12-31,ECO-2024-0136
BOM-50082,PLS9,Meridian Pulse 9 128GB Black,1,CMP-ENC-0238,machined housing 131,ENCLOSURE,1,EA,E12,0000107472,2022-05-15,9999-12-31,ECO-2024-0136
BOM-50083,PLS9,Meridian Pulse 9 128GB Black,1,CMP-DSP-0243,OLED display module 144,DISPLAY,4,EA,D13,0000116377,2022-05-15,9999-12-31,ECO-2024-0137
BOM-50084,PLS9,Meridian Pulse 9 128GB Black,1,CMP-ADH-0248,structural adhesive 149,ADHESIVE,1,GR,A14,0000125282,2022-05-15,9999-12-31,ECO-2024-0137
BOM-50085,PLS9,Meridian Pulse 9 128GB Black,3,CMP-CAM-0253,camera module 154,CAMERA,1,EA,C15,0000106787,2022-05-15,9999-12-31,ECO-2024-0137
BOM-50086,PLS9,Meridian Pulse 9 128GB Black,2,CMP-BAT-0258,Li-ion battery pack 159,BATTERY,1,EA,B16,0000115692,2022-05-15,9999-12-31,ECO-2024-0137
BOM-50087,PLS9,Meridian Pulse 9 128GB Black,2,CMP-FST-0263,torx screw 164,FASTENER,8,EA,F17,0000124597,2022-05-15,9999-12-31,ECO-2024-0137
BOM-50088,PLS9P,Meridian Pulse 9 Pro 128GB Black,1,CMP-BAT-0118,Li-ion battery pack 4500mAh,BATTERY,1,EA,B01,0000105143,2022-04-15,9999-12-31,ECO-2025-0142
BOM-50089,PLS9P,Meridian Pulse 9 Pro 128GB Black,1,CMP-DSP-0451,6.7-inch OLED display module,DISPLAY,2,EA,D02,0000104732,2022-04-15,9999-12-31,ECO-2025-0142
BOM-50090,PLS9P,Meridian Pulse 9 Pro 128GB Black,1,CMP-BAT-0210,Li-ion battery pack 111,BATTERY,1,EA,B03,0000112404,2022-04-15,9999-12-31,ECO-2025-0142
BOM-50091,PLS9P,Meridian Pulse 9 Pro 128GB Black,1,CMP-FST-0215,torx screw 116,FASTENER,10,EA,F04,0000121309,2022-04-15,9999-12-31,ECO-2025-0142
BOM-50092,PLS9P,Meridian Pulse 9 Pro 128GB Black,1,CMP-PCB-0220,main logic board assembly 113,PCBA,1,EA,P05,,2022-04-15,9999-12-31,ECO-2025-0142
BOM-50093,PLS9P,Meridian Pulse 9 Pro 128GB Black,1,CMP-CBL-0225,flex ribbon cable 126,CABLE,8,EA,C06,0000111719,2022-04-15,9999-12-31,ECO-2025-0142
BOM-50094,PLS9P,Meridian Pulse 9 Pro 128GB Black,1,CMP-ENC-0230,machined housing 131,ENCLOSURE,8,EA,E07,0000120624,2022-04-15,9999-12-31,ECO-2025-0143
BOM-50095,PLS9P,Meridian Pulse 9 Pro 128GB Black,1,CMP-DSP-0235,OLED display module 136,DISPLAY,8,EA,D08,0000132269,2022-04-15,9999-12-31,ECO-2025-0143
BOM-50096,PLS9P,Meridian Pulse 9 Pro 128GB Black,1,CMP-ADH-0240,structural adhesive 141,ADHESIVE,2,ML,A09,0000111034,2022-04-15,9999-12-31,ECO-2025-0143
BOM-50097,PLS9P,Meridian Pulse 9 Pro 128GB Black,1,CMP-CAM-0245,camera module 146,CAMERA,4,EA,C10,0000119939,2022-04-15,9999-12-31,ECO-2025-0143
BOM-50098,PLS9P,Meridian Pulse 9 Pro 128GB Black,1,CMP-BAT-0250,Li-ion battery pack 151,BATTERY,4,EA,B11,0000128844,2022-04-15,9999-12-31,ECO-2025-0143
BOM-50099,PLS9P,Meridian Pulse 9 Pro 128GB Black,1,CMP-FST-0255,torx screw 156,FASTENER,8,EA,F12,0000110349,2022-04-15,9999-12-31,ECO-2025-0143
BOM-50100,PLS9P,Meridian Pulse 9 Pro 128GB Black,1,CMP-PCB-0260,main logic board assembly 161,PCBA,4,EA,P13,0000119254,2022-04-15,9999-12-31,ECO-2025-0144
BOM-50101,PLS9P,Meridian Pulse 9 Pro 128GB Black,1,CMP-CBL-0265,flex ribbon cable 158,CABLE,1,EA,C14,0000128159,2022-04-15,9999-12-31,ECO-2025-0144
BOM-50102,PLS9P,Meridian Pulse 9 Pro 128GB Black,1,CMP-ENC-0270,machined housing 171,ENCLOSURE,8,EA,E15,0000109664,2022-04-15,2026-12-31,ECO-2025-0144
BOM-50103,PLS9P,Meridian Pulse 9 Pro 128GB Black,2,CMP-DSP-0275,OLED display module 176,DISPLAY,1,EA,D16,0000118569,2022-04-15,9999-12-31,ECO-2025-0144
BOM-50104,PLS9P,Meridian Pulse 9 Pro 128GB Black,2,CMP-ADH-0280,structural adhesive 181,ADHESIVE,2,ML,A17,0000127474,2022-04-15,9999-12-31,ECO-2025-0144
BOM-50105,PLS9P,Meridian Pulse 9 Pro 128GB Black,3,CMP-CAM-0285,camera module 186,CAMERA,8,EA,C18,0000108979,2022-04-15,9999-12-31,ECO-2025-0144
BOM-50106,PLS9U,Meridian Pulse 9 Ultra 128GB Black,1,CMP-BAT-0118,Li-ion battery pack 4500mAh,BATTERY,2,EA,B01,0000105143,2022-03-15,9999-12-31,ECO-2026-0149
BOM-50107,PLS9U,Meridian Pulse 9 Ultra 128GB Black,1,CMP-DSP-0451,6.7-inch OLED display module,DISPLAY,8,EA,D02,0000104732,2022-03-15,9999-12-31,ECO-2026-0149
BOM-50108,PLS9U,Meridian Pulse 9 Ultra 128GB Black,1,CMP-DSP-0227,OLED display module 128,DISPLAY,1,EA,D03,0000115281,2022-03-15,9999-12-31,ECO-2026-0149
BOM-50109,PLS9U,Meridian Pulse 9 Ultra 128GB Black,1,CMP-ADH-0232,structural adhesive 133,ADHESIVE,2,ML,A04,0000124186,2022-03-15,9999-12-31,ECO-2026-0149
BOM-50110,PLS9U,Meridian Pulse 9 Ultra 128GB Black,1,CMP-CAM-0237,camera module 138,CAMERA,1,EA,C05,0000105691,2022-03-15,9999-12-31,ECO-2026-0149
BOM-50111,PLS9U,Meridian Pulse 9 Ultra 128GB Black,1,CMP-BAT-0242,Li-ion battery pack 143,BATTERY,1,EA,B06,0000114596,2022-03-15,9999-12-31,ECO-2026-0149
BOM-50112,PLS9U,Meridian Pulse 9 Ultra 128GB Black,1,CMP-FST-0247,torx screw 140,FASTENER,11,EA,F07,0000123501,2022-03-15,9999-12-31,ECO-2026-0150
BOM-50113,PLS9U,Meridian Pulse 9 Ultra 128GB Black,1,CMP-PCB-0252,main logic board assembly 153,PCBA,2,EA,P08,0000105006,2022-03-15,9999-12-31,ECO-2026-0150
BOM-50114,PLS9U,Meridian Pulse 9 Ultra 128GB Black,1,CMP-CBL-0257,flex ribbon cable 158,CABLE,8,EA,C09,0000113911,2022-03-15,9999-12-31,ECO-2026-0150
BOM-50115,PLS9U,Meridian Pulse 9 Ultra 128GB Black,2,CMP-ENC-0262,machined housing 163,ENCLOSURE,1,EA,E10,0000122816,2022-03-15,9999-12-31,ECO-2026-0150
BOM-50116,PLS9U,Meridian Pulse 9 Ultra 128GB Black,2,CMP-DSP-0267,OLED display module 168,DISPLAY,1,EA,D11,0000134461,2022-03-15,2026-12-31,ECO-2026-0150
BOM-50117,PLS9U,Meridian Pulse 9 Ultra 128GB Black,3,CMP-ADH-0272,structural adhesive 173,ADHESIVE,1,ML,A12,0000113226,2022-03-15,9999-12-31,ECO-2026-0150
BOM-50118,PLS9L,Meridian Pulse 9 Lite 128GB Black,1,CMP-BAT-0234,Li-ion battery pack 135,BATTERY,8,EA,B01,0000127748,2023-09-15,9999-12-31,ECO-2023-0156
BOM-50119,PLS9L,Meridian Pulse 9 Lite 128GB Black,1,CMP-FST-0239,torx screw 140,FASTENER,13,EA,F02,0000109253,2023-09-15,9999-12-31,ECO-2023-0156
BOM-50120,PLS9L,Meridian Pulse 9 Lite 128GB Black,1,CMP-PCB-0244,main logic board assembly 145,PCBA,2,EA,P03,0000118158,2023-09-15,9999-12-31,ECO-2023-0156
BOM-50121,PLS9L,Meridian Pulse 9 Lite 128GB Black,1,CMP-CBL-0249,flex ribbon cable 150,CABLE,1,EA,C04,0000127063,2023-09-15,9999-12-31,ECO-2023-0156
BOM-50122,PLS9L,Meridian Pulse 9 Lite 128GB Black,1,CMP-ENC-0254,machined housing 155,ENCLOSURE,1,EA,E05,0000108568,2023-09-15,9999-12-31,ECO-2023-0156
BOM-50123,PLS9L,Meridian Pulse 9 Lite 128GB Black,1,CMP-DSP-0259,OLED display module 160,DISPLAY,8,EA,D06,0000117473,2023-09-15,9999-12-31,ECO-2023-0156
BOM-50124,PLS9L,Meridian Pulse 9 Lite 128GB Black,1,CMP-ADH-0264,structural adhesive 165,ADHESIVE,4,ML,A07,0000126378,2023-09-15,9999-12-31,ECO-2023-0157
BOM-50125,PLS9L,Meridian Pulse 9 Lite 128GB Black,1,CMP-CAM-0269,camera module 170,CAMERA,1,EA,C08,0000107883,2023-09-15,9999-12-31,ECO-2023-0157
BOM-50126,PLS9L,Meridian Pulse 9 Lite 128GB Black,1,CMP-BAT-0274,Li-ion battery pack 167,BATTERY,4,EA,B09,0000116788,2023-09-15,9999-12-31,ECO-2023-0157
BOM-50127,PLS9L,Meridian Pulse 9 Lite 128GB Black,1,CMP-FST-0279,torx screw 180,FASTENER,14,EA,F10,0000125693,2023-09-15,9999-12-31,ECO-2023-0157
BOM-50128,PLS9L,Meridian Pulse 9 Lite 128GB Black,2,CMP-PCB-0284,main logic board assembly 185,PCBA,1,EA,P11,0000107198,2023-09-15,9999-12-31,ECO-2023-0157
BOM-50129,PLS9L,Meridian Pulse 9 Lite 128GB Black,3,CMP-CBL-0289,flex ribbon cable 190,CABLE,8,EA,C12,0000116103,2023-09-15,9999-12-31,ECO-2023-0157
BOM-50130,PLS9L,Meridian Pulse 9 Lite 128GB Black,2,CMP-ENC-0294,machined housing 195,ENCLOSURE,1,EA,E13,0000125008,2023-09-15,9999-12-31,ECO-2023-0158
BOM-50131,PLSXF,Meridian Pulse X Fold 128GB Black,1,CMP-DSP-0251,OLED display module 152,DISPLAY,4,EA,D01,0000133365,2023-08-15,9999-12-31,ECO-2024-0163
BOM-50132,PLSXF,Meridian Pulse X Fold 128GB Black,1,CMP-ADH-0256,structural adhesive 149,ADHESIVE,1,ML,A02,0000112130,2023-08-15,9999-12-31,ECO-2024-0163
BOM-50133,PLSXF,Meridian Pulse X Fold 128GB Black,1,CMP-CAM-0261,camera module 162,CAMERA,2,EA,C03,0000121035,2023-08-15,9999-12-31,ECO-2024-0163
BOM-50134,PLSXF,Meridian Pulse X Fold 128GB Black,1,CMP-BAT-0266,Li-ion battery pack 167,BATTERY,1,EA,B04,0000132680,2023-08-15,9999-12-31,ECO-2024-0163
BOM-50135,PLSXF,Meridian Pulse X Fold 128GB Black,1,CMP-FST-0271,torx screw 172,FASTENER,13,EA,F05,0000111445,2023-08-15,2026-12-31,ECO-2024-0163
BOM-50136,PLSXF,Meridian Pulse X Fold 128GB Black,1,CMP-PCB-0276,main logic board assembly 177,PCBA,8,EA,P06,0000120350,2023-08-15,9999-12-31,ECO-2024-0163
BOM-50137,PLSXF,Meridian Pulse X Fold 128GB Black,1,CMP-CBL-0281,flex ribbon cable 182,CABLE,1,EA,C07,0000131995,2023-08-15,9999-12-31,ECO-2024-0164
BOM-50138,PLSXF,Meridian Pulse X Fold 128GB Black,1,CMP-ENC-0286,machined housing 187,ENCLOSURE,2,EA,E08,0000110760,2023-08-15,2026-12-31,ECO-2024-0164
BOM-50139,PLSXF,Meridian Pulse X Fold 128GB Black,1,CMP-DSP-0291,OLED display module 192,DISPLAY,2,EA,D09,0000119665,2023-08-15,9999-12-31,ECO-2024-0164
