SKU,GTIN,PRODUCT_NAME,MODEL_CODE,PRODUCT_FAMILY,LAUNCH_DATE,END_OF_SALE_DATE,MSRP_USD,COLOR,STORAGE_GB,LIFECYCLE_STATUS,COUNTRY_OF_ORIGIN
MER-ARA15-128-BLU,08193580000866,Meridian Aura 15 128GB Blue,ARA15,AURA,2025-03-15,9999-12-31,"1,298.99",Blue,128,ACTIVE,CN
MER-ARA15-256-BLK,08193580000873,Meridian Aura 15 256GB Black,ARA15,AURA,2025-03-15,9999-12-31,"1,398.99",Black,256,ACTIVE,TW
MER-ARA15-256-SLV,08193580000880,Meridian Aura 15 256GB Silver,ARA15,AURA,2025-03-15,9999-12-31,"1,398.99",Silver,256,ACTIVE,CN
MER-ARA15-256-BLU,08193580000897,Meridian Aura 15 256GB Blue,ARA15,AURA,2025-03-15,9999-12-31,"1,398.99",Blue,256,ACTIVE,VN
MER-ARA15P-128-BLK,08193580000903,Meridian Aura 15 Pro 128GB Black,ARA15P,AURA,2025-09-15,2028-09-30,"1,098.99",Black,128,EOL,CN
MER-ARA15P-128-SLV,08193580000910,Meridian Aura 15 Pro 128GB Silver,ARA15P,AURA,2025-09-15,9999-12-31,"1,098.99",Silver,128,ACTIVE,TW
MER-ARA15P-128-BLU,08193580000927,Meridian Aura 15 Pro 128GB Blue,ARA15P,AURA,2025-09-15,9999-12-31,"1,098.99",Blue,128,ACTIVE,CN
MER-ARA15P-256-BLK,08193580000934,Meridian Aura 15 Pro 256GB Black,ARA15P,AURA,2025-09-15,9999-12-31,"1,198.99",Black,256,ACTIVE,VN
MER-ARA15P-256-SLV,08193580000941,Meridian Aura 15 Pro 256GB Silver,ARA15P,AURA,2025-09-15,2028-09-30,"1,198.99",Silver,256,ACTIVE,CN
MER-ARA15P-256-BLU,08193580000958,Meridian Aura 15 Pro 256GB Blue,ARA15P,AURA,2025-09-15,9999-12-31,"1,198.99",Blue,256,ACTIVE,TW
MER-ARA16-128-BLK,08193580000965,Meridian Aura 16 128GB Black,ARA16,AURA,2021-08-15,9999-12-31,998.99,Black,128,ACTIVE,CN
MER-ARA16-128-SLV,08193580000972,Meridian Aura 16 128GB Silver,ARA16,AURA,2021-08-15,9999-12-31,998.99,Silver,128,ACTIVE,VN
MER-ARA16-128-BLU,08193580000989,Meridian Aura 16 128GB Blue,ARA16,AURA,2021-08-15,9999-12-31,998.99,Blue,128,ACTIVE,CN
MER-ARA16-256-BLK,08193580000996,Meridian Aura 16 256GB Black,ARA16,AURA,2021-08-15,2024-09-30,"1,098.99",Black,256,EOL,TW
MER-ARA16-256-SLV,08193580001009,Meridian Aura 16 256GB Silver,ARA16,AURA,2021-08-15,9999-12-31,"1,098.99",Silver,256,ACTIVE,CN
MER-ARA16-256-BLU,08193580001016,Meridian Aura 16 256GB Blue,ARA16,AURA,2021-08-15,9999-12-31,"1,098.99",Blue,256,ACTIVE,VN
MER-ARA16P-128-BLK,08193580001023,Meridian Aura 16 Pro 128GB Black,ARA16P,AURA,2021-07-15,9999-12-31,"1,148.99",Black,128,ACTIVE,CN
MER-ARA16P-128-SLV,08193580001030,Meridian Aura 16 Pro 128GB Silver,ARA16P,AURA,2021-07-15,9999-12-31,"1,148.99",Silver,128,ACTIVE,TW
MER-ARA16P-128-BLU,08193580001047,Meridian Aura 16 Pro 128GB Blue,ARA16P,AURA,2021-07-15,9999-12-31,"1,148.99",Blue,128,ACTIVE,CN
MER-ARA16P-256-BLK,08193580001054,Meridian Aura 16 Pro 256GB Black,ARA16P,AURA,2021-07-15,9999-12-31,"1,248.99",Black,256,ACTIVE,VN
MER-ARA16P-256-SLV,08193580001061,Meridian Aura 16 Pro 256GB Silver,ARA16P,AURA,2021-07-15,9999-12-31,"1,248.99",Silver,256,ACTIVE,CN
MER-ARA16P-256-BLU,08193580001078,Meridian Aura 16 Pro 256GB Blue,ARA16P,AURA,2021-07-15,9999-12-31,"1,248.99",Blue,256,ACTIVE,TW
MER-ARAST-128-BLK,08193580001085,Meridian Aura Studio 128GB Black,ARAST,AURA,2025-06-15,2028-09-30,"1,048.99",Black,128,EOL,CN
MER-ARAST-128-SLV,08193580001092,Meridian Aura Studio 128GB Silver,ARAST,AURA,2025-06-15,9999-12-31,"1,048.99",Silver,128,ACTIVE,VN
MER-ARAST-128-BLU,08193580001108,Meridian Aura Studio 128GB Blue,ARAST,AURA,2025-06-15,9999-12-31,"1,048.99",Blue,128,ACTIVE,CN
MER-ARAST-256-BLK,08193580001115,Meridian Aura Studio 256GB Black,ARAST,AURA,2025-06-15,9999-12-31,"1,148.99",Black,256,ACTIVE,TW
MER-ARAST-256-SLV,08193580001122,Meridian Aura Studio 256GB Silver,ARAST,AURA,2025-06-15,9999-12-31,"1,148.99",Silver,256,ACTIVE,CN
MER-ARAST-256-BLU,08193580001139,Meridian Aura Studio 256GB Blue,ARAST,AURA,2025-06-15,9999-12-31,"1,148.99",Blue,256,ACTIVE,VN
MER-ARAGO-128-BLK,08193580001146,Meridian Aura Go 128GB Black,ARAGO,AURA,2023-05-15,9999-12-31,"1,248.99",Black,128,ACTIVE,CN
MER-ARAGO-128-SLV,08193580001153,Meridian Aura Go 128GB Silver,ARAGO,AURA,2023-05-15,9999-12-31,"1,248.99",Silver,128,ACTIVE,TW
MER-ARAGO-128-BLU,08193580001160,Meridian Aura Go 128GB Blue,ARAGO,AURA,2023-05-15,9999-12-31,"1,248.99",Blue,128,ACTIVE,CN
MER-ARAGO-256-BLK,08193580001177,Meridian Aura Go 256GB Black,ARAGO,AURA,2023-05-15,2026-09-30,"1,348.99",Black,256,EOL,VN
MER-ARAGO-256-SLV,08193580001184,Meridian Aura Go 256GB Silver,ARAGO,AURA,2023-05-15,9999-12-31,"1,348.99",Silver,256,ACTIVE,CN
MER-ARAGO-256-BLU,08193580001191,Meridian Aura Go 256GB Blue,ARAGO,AURA,2023-05-15,9999-12-31,"1,348.99",Blue,256,ACTIVE,TW
MER-ARA13P-128-BLK,08193580001207,Meridian Aura 13 Pro 128GB Black,ARA13P,AURA,2023-04-15,9999-12-31,998.99,Black,128,ACTIVE,CN
MER-ARA13P-128-SLV,08193580001214,Meridian Aura 13 Pro 128GB Silver,ARA13P,AURA,2023-04-15,2026-09-30,998.99,Silver,128,ACTIVE,VN
MER-ARA13P-128-BLU,08193580001221,Meridian Aura 13 Pro 128GB Blue,ARA13P,AURA,2023-04-15,9999-12-31,998.99,Blue,128,ACTIVE,CN
MER-ARA13P-256-BLK,08193580001238,Meridian Aura 13 Pro 256GB Black,ARA13P,AURA,2023-04-15,9999-12-31,"1,098.99",Black,256,ACTIVE,TW
MER-ARA13P-256-SLV,08193580001245,Meridian Aura 13 Pro 256GB Silver,ARA13P,AURA,2023-04-15,9999-12-31,"1,098.99",Silver,256,ACTIVE,CN
MER-ARA13P-256-BLU,08193580001252,Meridian Aura 13 Pro 256GB Blue,ARA13P,AURA,2023-04-15,9999-12-31,"1,098.99",Blue,256,ACTIVE,VN
MER-ARA14P-128-BLK,08193580001269,Meridian Aura 14 Pro 128GB Black,ARA14P,AURA,2024-03-15,2027-09-30,"1,048.99",Black,128,EOL,CN
MER-ARA14P-128-SLV,08193580001276,Meridian Aura 14 Pro 128GB Silver,ARA14P,AURA,2024-03-15,9999-12-31,"1,048.99",Silver,128,ACTIVE,TW
MER-ARA14P-128-BLU,08193580001283,Meridian Aura 14 Pro 128GB Blue,ARA14P,AURA,2024-03-15,9999-12-31,"1,048.99",Blue,128,ACTIVE,CN
MER-ARA14P-256-BLK,08193580001290,Meridian Aura 14 Pro 256GB Black,ARA14P,AURA,2024-03-15,9999-12-31,"1,148.99",Black,256,ACTIVE,VN
MER-ARA14P-256-SLV,08193580001306,Meridian Aura 14 Pro 256GB Silver,ARA14P,AURA,2024-03-15,9999-12-31,"1,148.99",Silver,256,ACTIVE,CN
MER-ARA14P-256-BLU,08193580001313,Meridian Aura 14 Pro 256GB Blue,ARA14P,AURA,2024-03-15,9999-12-31,"1,148.99",Blue,256,ACTIVE,TW
MER-SLT8-128-BLK,08193580001320,Meridian Slate 8 128GB Black,SLT8,SLATE,2025-09-15,9999-12-31,698.99,Black,128,ACTIVE,CN
MER-SLT8-128-SLV,08193580001337,Meridian Slate 8 128GB Silver,SLT8,SLATE,2025-09-15,9999-12-31,698.99,Silver,128,ACTIVE,VN
MER-SLT8-128-BLU,08193580001344,Meridian Slate 8 128GB Blue,SLT8,SLATE,2025-09-15,9999-12-31,698.99,Blue,128,ACTIVE,CN
MER-SLT8-256-BLK,08193580001351,Meridian Slate 8 256GB Black,SLT8,SLATE,2025-09-15,2028-09-30,798.99,Black,256,EOL,TW
MER-SLT8-256-SLV,08193580001368,Meridian Slate 8 256GB Silver,SLT8,SLATE,2025-09-15,9999-12-31,798.99,Silver,256,ACTIVE,CN
MER-SLT8-256-BLU,08193580001375,Meridian Slate 8 256GB Blue,SLT8,SLATE,2025-09-15,9999-12-31,798.99,Blue,256,ACTIVE,VN
MER-SLT9-128-BLK,08193580001382,Meridian Slate 9 128GB Black,SLT9,SLATE,2021-08-15,9999-12-31,748.99,Black,128,ACTIVE,CN
MER-SLT9-128-SLV,08193580001399,Meridian Slate 9 128GB Silver,SLT9,SLATE,2021-08-15,9999-12-31,748.99,Silver,128,ACTIVE,TW
MER-SLT9-128-BLU,08193580001405,Meridian Slate 9 128GB Blue,SLT9,SLATE,2021-08-15,9999-12-31,748.99,Blue,128,ACTIVE,CN
MER-SLT9-256-BLK,08193580001412,Meridian Slate 9 256GB Black,SLT9,SLATE,2021-08-15,9999-12-31,848.99,Black,256,ACTIVE,VN
MER-SLT9-256-SLV,08193580001429,Meridian Slate 9 256GB Silver,SLT9,SLATE,2021-08-15,9999-12-31,848.99,Silver,256,ACTIVE,CN
MER-SLT9-256-BLU,08193580001436,Meridian Slate 9 256GB Blue,SLT9,SLATE,2021-08-15,9999-12-31,848.99,Blue,256,ACTIVE,TW
MER-SLT10-128-BLK,08193580001443,Meridian Slate 10 128GB Black,SLT10,SLATE,2021-07-15,2024-09-30,648.99,Black,128,EOL,CN
MER-SLT10-128-SLV,08193580001450,Meridian Slate 10 128GB Silver,SLT10,SLATE,2021-07-15,9999-12-31,648.99,Silver,128,ACTIVE,VN
MER-SLT10-128-BLU,08193580001467,Meridian Slate 10 128GB Blue,SLT10,SLATE,2021-07-15,9999-12-31,648.99,Blue,128,ACTIVE,CN
MER-SLT10-256-BLK,08193580001474,Meridian Slate 10 256GB Black,SLT10,SLATE,2021-07-15,9999-12-31,748.99,Black,256,ACTIVE,TW
MER-SLT10-256-SLV,08193580001481,Meridian Slate 10 256GB Silver,SLT10,SLATE,2021-07-15,2024-09-30,748.99,Silver,256,ACTIVE,CN
MER-SLT10-256-BLU,08193580001498,Meridian Slate 10 256GB Blue,SLT10,SLATE,2021-07-15,9999-12-31,748.99,Blue,256,ACTIVE,VN
MER-SLT10P-128-BLK,08193580001504,Meridian Slate 10 Pro 128GB Black,SLT10P,SLATE,2021-06-15,9999-12-31,448.99,Black,128,ACTIVE,CN
MER-SLT10P-128-SLV,08193580001511,Meridian Slate 10 Pro 128GB Silver,SLT10P,SLATE,2021-06-15,9999-12-31,448.99,Silver,128,ACTIVE,TW
MER-SLT10P-128-BLU,08193580001528,Meridian Slate 10 Pro 128GB Blue,SLT10P,SLATE,2021-06-15,9999-12-31,448.99,Blue,128,ACTIVE,CN
MER-SLT10P-256-BLK,08193580001535,Meridian Slate 10 Pro 256GB Black,SLT10P,SLATE,2021-06-15,2024-09-30,548.99,Black,256,EOL,VN
MER-SLT10P-256-SLV,08193580001542,Meridian Slate 10 Pro 256GB Silver,SLT10P,SLATE,2021-06-15,9999-12-31,548.99,Silver,256,ACTIVE,CN
MER-SLT10P-256-BLU,08193580001559,Meridian Slate 10 Pro 256GB Blue,SLT10P,SLATE,2021-06-15,9999-12-31,548.99,Blue,256,ACTIVE,TW
MER-SLT11-128-BLK,08193580001566,Meridian Slate 11 128GB Black,SLT11,SLATE,2022-05-15,9999-12-31,698.99,Black,128,ACTIVE,CN
MER-SLT11-128-SLV,08193580001573,Meridian Slate 11 128GB Silver,SLT11,SLATE,2022-05-15,9999-12-31,698.99,Silver,128,ACTIVE,VN
MER-SLT11-128-BLU,08193580001580,Meridian Slate 11 128GB Blue,SLT11,SLATE,2022-05-15,9999-12-31,698.99,Blue,128,ACTIVE,CN
MER-SLT11-256-BLK,08193580001597,Meridian Slate 11 256GB Black,SLT11,SLATE,2022-05-15,9999-12-31,798.99,Black,256,ACTIVE,TW
MER-SLT11-256-SLV,08193580001603,Meridian Slate 11 256GB Silver,SLT11,SLATE,2022-05-15,9999-12-31,798.99,Silver,256,ACTIVE,CN
MER-SLT11-256-BLU,08193580001610,Meridian Slate 11 256GB Blue,SLT11,SLATE,2022-05-15,9999-12-31,798.99,Blue,256,ACTIVE,VN
MER-SLTMN-128-BLK,08193580001627,Meridian Slate Mini 128GB Black,SLTMN,SLATE,2024-04-15,2027-09-30,748.99,Black,128,EOL,CN
