RespondentID,"Generally speaking, how would you rate your level of knowledgeÊof cuisines from different parts of the world?","How much, if at all, are you interested in cuisines from different parts of the world?",Please rate how much you like the traditional cuisine of Algeria:,Please rate how much you like the traditional cuisine of Argentina.,Please rate how much you like the traditional cuisine ofÊAustralia.,Please rate how much you like the traditional cuisine of Belgium.,Please rate how much you like the traditional cuisine of Bosnia and Herzegovina.,Please rate how much you like the traditional cuisine of Brazil.,Please rate how much you like the traditional cuisine of Cameroon.,Please rate how much you like the traditional cuisine of Chile.,Please rate how much you like the traditional cuisine of Colombia.,Please rate how much you like the traditional cuisine of Costa Rica.,Please rate how much you like the traditional cuisine of Croatia.,Please rate how much you like the traditional cuisine of Ecuador.,Please rate how much you like the traditional cuisine of England.,Please rate how much you like the traditional cuisine of France.,Please rate how much you like the traditional cuisine of Germany.,Please rate how much you like the traditional cuisine of Ghana.,Please rate how much you like the traditional cuisine of Greece.,Please rate how much you like the traditional cuisine of Honduras.,Please rate how much you like the traditional cuisine of Iran.,Please rate how much you like the traditional cuisine of Italy.,Please rate how much you like the traditional cuisine of Ivory Coast.,Please rate how much you like the traditional cuisine of Japan.,Please rate how much you like the traditional cuisine of Mexico.,Please rate how much you like the traditional cuisine of the Netherlands.,Please rate how much you like the traditional cuisine of Nigeria.,Please rate how much you like the traditional cuisine of Portugal.,Please rate how much you like the traditional cuisine of Russia.,Please rate how much you like the traditional cuisine of South Korea.,Please rate how much you like the traditional cuisine of Spain.,Please rate how much you like the traditional cuisine of Switzerland.,Please rate how much you like the traditional cuisine of United States.,Please rate how much you like the traditional cuisine of Uruguay.,Please rate how much you like the traditional cuisine of China.,Please rate how much you like the traditional cuisine of India.,Please rate how much you like the traditional cuisine of Thailand.,Please rate how much you like the traditional cuisine of Turkey.,Please rate how much you like the traditional cuisine of Cuba.,Please rate how much you like the traditional cuisine of Ethiopia.,Please rate how much you like the traditional cuisine of Vietnam.,Please rate how much you like the traditional cuisine of Ireland.,Gender,Age,Household Income,Education,Location (Census Region)
3308845993,Advanced,A lot,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,2,5,2,N/A,4,N/A,N/A,5,N/A,5,4,N/A,N/A,N/A,2,3,3,N/A,5,N/A,4,4,4,N/A,3,3,3,3,Male,30-44,"$50,000 - $99,999",Bachelor degree,Mountain
3308837085,Novice,Some,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,4,N/A,N/A,N/A,N/A,N/A,3,N/A,3,3,N/A,N/A,N/A,N/A,2,3,N/A,4,N/A,3,2,3,2,N/A,N/A,3,3,Male,> 60,"$0 - $24,999",Some college or Associate degree,South Atlantic
3308834022,Intermediate,A lot,3,3,2,4,4,5,4,4,4,3,2,5,5,4,4,3,5,3,4,4,N/A,5,4,4,N/A,N/A,1,3,4,3,3,3,4,5,5,5,N/A,3,N/A,N/A,Male,18-29,"$25,000 - $49,999",High school degree,Middle Atlantic
3308832927,Intermediate,Some,N/A,N/A,N/A,5,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,2,5,2,N/A,2,N/A,N/A,5,N/A,4,3,N/A,N/A,3,N/A,3,5,2,3,N/A,4,1,4,N/A,N/A,N/A,3,2,Female,30-44,,Bachelor degree,Middle Atlantic
3308823251,Intermediate,Some,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,3,4,3,N/A,4,N/A,N/A,4,N/A,4,4,N/A,N/A,N/A,2,3,3,3,3,N/A,3,4,4,N/A,4,4,4,3,Female,30-44,"$50,000 - $99,999",Graduate degree,Pacific
3308819174,Intermediate,Some,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,4,N/A,4,5,N/A,N/A,2,N/A,N/A,N/A,N/A,3,N/A,N/A,3,5,N/A,N/A,N/A,3,N/A,Female,30-44,"$25,000 - $49,999",Some college or Associate degree,Pacific
3308816847,Novice,Not at allÊ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,4,4,N/A,3,N/A,N/A,4,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,3,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,Pacific
3308816305,Novice,Not muchÊ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3308815266,Novice,Not muchÊ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,3,N/A,3,N/A,N/A,5,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Male,> 60,"$0 - $24,999",Some college or Associate degree,Middle Atlantic
3308813105,Novice,Some,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,2,4,N/A,2,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,4,4,N/A,N/A,3,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Male,45-60,,Some college or Associate degree,Mountain
3308809158,Intermediate,A lot,4,3,3,N/A,N/A,3,N/A,N/A,1,4,3,N/A,4,3,4,N/A,4,4,N/A,4,N/A,5,5,N/A,N/A,N/A,5,N/A,4,3,4,N/A,5,4,4,4,N/A,N/A,N/A,N/A,Male,18-29,"$0 - $24,999",Bachelor degree,East North Central
3308805258,Novice,Some,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,4,N/A,4,N/A,N/A,5,N/A,3,5,N/A,N/A,N/A,2,2,2,N/A,4,N/A,4,4,5,N/A,N/A,N/A,1,2,Male,18-29,"$0 - $24,999",Some college or Associate degree,Mountain
3308804182,Intermediate,Not muchÊ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3308800049,Novice,Some,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,3,5,N/A,3,N/A,N/A,2,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,Male,30-44,"$25,000 - $49,999",Some college or Associate degree,East South Central
3308799446,Novice,Not at allÊ,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,5,N/A,N/A,1,N/A,5,N/A,4,4,N/A,N/A,N/A,1,N/A,4,N/A,3,N/A,4,3,5,N/A,N/A,N/A,5,4,Male,18-29,"$150,000+",Some college or Associate degree,West North Central
3308793678,Intermediate,Some,N/A,3,N/A,N/A,N/A,3,N/A,3,N/A,N/A,N/A,N/A,3,3,4,N/A,2,N/A,N/A,5,N/A,4,5,N/A,1,N/A,1,N/A,3,3,5,1,5,2,1,N/A,N/A,N/A,1,3,Male,> 60,"$100,000 - $149,999",Graduate degree,East North Central
3308792170,Intermediate,Not muchÊ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3308784370,Intermediate,A lot,3,3,3,3,4,4,N/A,4,3,4,4,4,3,4,3,N/A,4,N/A,3,3,N/A,2,4,4,N/A,N/A,3,3,3,3,3,N/A,2,4,5,N/A,4,4,3,3,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,Mountain
3308779771,Intermediate,Some,N/A,N/A,4,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,4,4,N/A,5,N/A,N/A,5,N/A,4,2,3,N/A,4,2,N/A,4,4,4,N/A,3,4,3,N/A,N/A,N/A,3,4,Male,> 60,"$50,000 - $99,999",Graduate degree,New England
3308777531,Intermediate,Some,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,2,3,2,3,2,N/A,N/A,4,N/A,3,4,N/A,N/A,N/A,N/A,N/A,4,N/A,4,N/A,2,2,5,N/A,3,N/A,3,4,Female,30-44,"$50,000 - $99,999",Graduate degree,South Atlantic
3308765568,Intermediate,Some,N/A,3,N/A,N/A,N/A,4,N/A,4,4,4,N/A,3,3,3,5,N/A,3,4,N/A,5,3,5,5,4,N/A,3,N/A,4,5,4,4,N/A,5,4,4,3,4,N/A,3,4,Female,30-44,"$25,000 - $49,999",Some college or Associate degree,West South Central
3308761752,Intermediate,Not muchÊ,,,,,,,,,,,,,,,,,,,,,3,4,3,3,3,3,3,3,N/A,3,3,3,3,3,3,N/A,N/A,3,2,3,,,,,
3308760375,Advanced,A lot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,4,N/A,N/A,N/A,3,5,4,N/A,3,N/A,N/A,5,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,3,N/A,5,N/A,N/A,N/A,N/A,N/A,4,N/A,4,N/A,Male,> 60,"$150,000+",Some college or Associate degree,New England
3308756665,Novice,Not muchÊ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,3,3,N/A,4,N/A,N/A,4,N/A,4,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,3,2,5,N/A,N/A,N/A,4,3,Male,18-29,"$25,000 - $49,999",Some college or Associate degree,East North Central
3308755584,Novice,Some,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,3,N/A,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,Male,30-44,"$25,000 - $49,999",High school degree,Pacific
3308755566,Intermediate,Some,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,3,3,4,N/A,3,N/A,N/A,3,N/A,4,4,N/A,N/A,N/A,N/A,3,N/A,N/A,4,N/A,4,3,3,N/A,4,N/A,N/A,3,Male,45-60,"$25,000 - $49,999",Bachelor degree,East North Central
3308750909,Intermediate,Not muchÊ,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,4,5,N/A,N/A,N/A,N/A,4,N/A,N/A,2,N/A,N/A,N/A,N/A,1,N/A,N/A,5,N/A,4,2,N/A,N/A,N/A,N/A,N/A,3,Female,45-60,"$0 - $24,999",Bachelor degree,East North Central
3308750030,Intermediate,Not muchÊ,N/A,4,4,5,N/A,4,3,3,3,4,N/A,3,4,5,4,N/A,2,N/A,3,5,N/A,5,5,4,N/A,5,1,2,4,4,4,N/A,3,3,N/A,N/A,4,N/A,N/A,4,Male,18-29,"$150,000+",Some college or Associate degree,South Atlantic
3308749999,Intermediate,Not muchÊ,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,2,1,1,N/A,4,N/A,N/A,4,N/A,4,4,N/A,N/A,3,N/A,N/A,4,N/A,3,N/A,5,3,4,N/A,3,N/A,N/A,2,Male,45-60,"$50,000 - $99,999",Bachelor degree,Middle Atlantic
3308749256,Intermediate,A lot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,2,5,3,N/A,4,N/A,N/A,4,N/A,4,3,N/A,N/A,N/A,N/A,N/A,4,N/A,3,N/A,3,4,3,N/A,4,3,3,1,Female,45-60,"$150,000+",Some college or Associate degree,Middle Atlantic
3308747452,Intermediate,Not muchÊ,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,2,5,3,N/A,N/A,N/A,N/A,N/A,Male,30-44,"$100,000 - $149,999",Graduate degree,Pacific
3308746473,Novice,Not at allÊ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Male,> 60,"$0 - $24,999",Some college or Associate degree,Pacific
3308744587,Novice,Some,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,South Atlantic
3308742865,Advanced,A lot,5,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,N/A,5,5,5,N/A,4,4,5,5,4,5,4,4,4,4,5,4,5,5,4,Male,> 60,"$150,000+",High school degree,South Atlantic
3308740007,Intermediate,Some,3,N/A,4,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,4,4,N/A,3,N/A,N/A,5,N/A,4,4,4,2,N/A,N/A,1,4,4,3,N/A,3,2,4,4,3,N/A,1,3,Male,18-29,"$0 - $24,999",Bachelor degree,West South Central
3308739057,Novice,Some,N/A,5,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,1,3,1,N/A,4,N/A,N/A,5,N/A,4,5,N/A,N/A,N/A,N/A,N/A,3,N/A,3,N/A,5,2,4,N/A,N/A,N/A,4,4,Female,45-60,,Bachelor degree,West North Central
3308738718,Intermediate,A lot,N/A,N/A,3,4,1,3,N/A,4,N/A,5,N/A,N/A,3,5,3,N/A,N/A,4,N/A,5,N/A,4,4,4,N/A,4,4,N/A,4,3,3,3,4,4,4,3,4,4,4,N/A,Female,45-60,,Bachelor degree,South Atlantic
3308733172,Intermediate,Not muchÊ,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,3,N/A,5,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,Female,45-60,,Some college or Associate degree,New England
3308724205,Novice,Some,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,3,N/A,3,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Male,45-60,"$50,000 - $99,999",Graduate degree,New England
3308721608,Novice,A lot,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,3,3,1,N/A,3,N/A,N/A,4,N/A,3,3,N/A,N/A,N/A,2,N/A,4,N/A,4,N/A,3,3,2,N/A,3,N/A,2,N/A,Female,45-60,,Graduate degree,South Atlantic
3308720038,Novice,Some,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,5,3,4,4,N/A,N/A,5,N/A,2,5,5,N/A,N/A,N/A,N/A,5,N/A,5,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Female,18-29,"$50,000 - $99,999",Some college or Associate degree,East North Central
3308719922,Novice,Not at allÊ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,3,3,N/A,5,N/A,N/A,5,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,4,N/A,3,3,N/A,N/A,3,N/A,Male,45-60,"$50,000 - $99,999",High school degree,New England
3308719451,Advanced,A lot,N/A,3,3,3,N/A,4,N/A,N/A,3,N/A,N/A,N/A,N/A,3,2,N/A,5,N/A,N/A,5,N/A,5,5,N/A,N/A,4,3,4,5,3,3,N/A,4,5,5,N/A,4,5,4,3,Male,45-60,"$25,000 - $49,999",Bachelor degree,Mountain
3308718419,Intermediate,Some,N/A,N/A,4,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,3,2,N/A,4,N/A,N/A,5,N/A,5,5,N/A,N/A,N/A,N/A,4,4,N/A,3,N/A,4,4,4,N/A,N/A,N/A,4,2,Female,18-29,,Bachelor degree,South Atlantic
3308718351,Novice,Some,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,Female,45-60,"$0 - $24,999",Some college or Associate degree,Mountain
3308717519,Novice,A lot,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,4,2,N/A,N/A,N/A,4,3,N/A,3,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,3,4,3,N/A,N/A,4,N/A,N/A,Female,18-29,"$50,000 - $99,999",Some college or Associate degree,East South Central
3308716587,Novice,Some,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,2,N/A,N/A,3,N/A,5,3,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,2,5,N/A,N/A,N/A,N/A,N/A,N/A,Female,18-29,,Some college or Associate degree,Pacific
3308716054,Novice,Not muchÊ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,4,3,N/A,N/A,3,N/A,4,N/A,4,2,4,N/A,N/A,N/A,N/A,3,N/A,3,N/A,4,1,2,N/A,3,N/A,N/A,3,Female,18-29,"$150,000+",Bachelor degree,East North Central
3308715976,Intermediate,Some,N/A,N/A,3,N/A,N/A,N/A,N/A,4,N/A,4,N/A,4,3,3,3,3,4,3,N/A,4,N/A,3,4,N/A,N/A,N/A,3,N/A,4,N/A,2,N/A,3,5,5,3,3,3,N/A,3,Female,18-29,"$25,000 - $49,999",Bachelor degree,New England
3308715946,Novice,Some,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,3,N/A,N/A,3,4,3,N/A,3,N/A,N/A,4,N/A,5,4,N/A,N/A,N/A,N/A,N/A,4,N/A,5,N/A,4,3,3,N/A,N/A,N/A,N/A,3,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,South Atlantic
3308715331,Novice,A lot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,4,N/A,N/A,N/A,N/A,N/A,5,N/A,3,5,N/A,N/A,N/A,N/A,N/A,4,N/A,4,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,4,Female,18-29,"$25,000 - $49,999",Some college or Associate degree,Mountain
3308715206,Novice,Some,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3308712364,Novice,Some,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,5,3,N/A,4,N/A,N/A,5,N/A,5,4,N/A,N/A,N/A,3,4,4,N/A,4,N/A,5,3,4,N/A,4,N/A,4,4,Male,> 60,"$100,000 - $149,999",Graduate degree,South Atlantic
3308710220,Intermediate,Some,N/A,N/A,N/A,4,N/A,4,N/A,3,N/A,3,N/A,3,3,4,4,N/A,4,N/A,N/A,5,N/A,4,3,N/A,N/A,N/A,N/A,N/A,N/A,4,4,N/A,4,3,3,N/A,N/A,N/A,N/A,3,Female,18-29,"$50,000 - $99,999",Some college or Associate degree,West North Central
3308708004,Novice,Some,N/A,3,4,N/A,N/A,3,N/A,3,3,3,4,N/A,3,3,4,N/A,4,N/A,2,4,3,4,4,4,N/A,3,3,3,3,N/A,5,N/A,3,4,3,3,3,N/A,3,4,Male,45-60,,High school degree,Middle Atlantic
3308705135,Novice,Some,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,3,3,N/A,3,N/A,N/A,4,N/A,N/A,4,N/A,N/A,3,N/A,N/A,3,N/A,4,N/A,4,1,1,N/A,N/A,N/A,N/A,3,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,East North Central
3308702964,Novice,Not muchÊ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,3,N/A,N/A,N/A,N/A,5,N/A,3,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,4,1,N/A,N/A,N/A,N/A,N/A,N/A,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,East North Central
3308702870,Intermediate,A lot,N/A,2,N/A,N/A,N/A,3,N/A,3,N/A,3,N/A,N/A,N/A,3,3,N/A,3,N/A,N/A,3,N/A,4,5,N/A,N/A,N/A,N/A,N/A,4,N/A,3,3,5,4,5,3,N/A,N/A,3,N/A,Male,18-29,"$25,000 - $49,999",High school degree,Pacific
3308702323,Intermediate,Some,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,5,N/A,N/A,N/A,N/A,4,N/A,5,N/A,N/A,4,N/A,N/A,N/A,N/A,3,N/A,Female,45-60,"$0 - $24,999",Some college or Associate degree,Mountain
3308702075,Intermediate,A lot,3,4,4,3,N/A,4,N/A,4,N/A,5,N/A,3,3,4,4,N/A,5,3,3,5,N/A,3,5,N/A,N/A,3,4,N/A,3,3,3,N/A,3,5,3,4,4,4,N/A,3,Female,45-60,,Bachelor degree,East North Central
3308698389,Novice,Some,N/A,N/A,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,3,3,N/A,3,N/A,N/A,4,N/A,2,2,N/A,N/A,N/A,N/A,N/A,N/A,3,1,N/A,3,1,3,N/A,N/A,N/A,N/A,4,Male,45-60,"$150,000+",Graduate degree,East North Central
3308697922,Advanced,A lot,N/A,4,3,3,N/A,4,N/A,4,4,4,N/A,4,2,3,3,N/A,3,4,4,4,3,5,5,3,N/A,3,3,4,4,3,4,N/A,5,4,5,3,4,3,5,4,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,Mountain
3308697837,Novice,Some,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,4,3,N/A,4,N/A,N/A,4,N/A,3,5,N/A,N/A,3,3,N/A,3,N/A,5,N/A,5,2,2,N/A,N/A,N/A,N/A,4,Female,45-60,"$50,000 - $99,999",Some college or Associate degree,East North Central
3308697765,Advanced,Not muchÊ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
