Symbol,Company Name,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size,ETF,NextShares
ADP,"Automatic Data Processing, Inc.","Automatic Data Processing, Inc. - Common Stock",Q,N,N,100,N,N
ADPT,Adaptive Biotechnologies Corporation,Adaptive Biotechnologies Corporation - Common Stock,Q,N,N,100,N,N
ADSE,ADS-TEC ENERGY PLC,ADS-TEC ENERGY PLC - Ordinary Shares,S,N,N,100,N,N
ADSEW,ADS-TEC ENERGY PLC,ADS-TEC ENERGY PLC - Warrant,S,N,N,100,N,N
ADSK,"Autodesk, Inc.","Autodesk, Inc. - Common Stock",Q,N,N,100,N,N
ADTN,"ADTRAN Holdings, Inc.","ADTRAN Holdings, Inc. - Common Stock",Q,N,N,100,N,N
ADTX,"Aditxt, Inc.","Aditxt, Inc. - Common Stock",S,N,D,100,N,N
ADUR,Aduro Clean Technologies Inc.,Aduro Clean Technologies Inc. - Common Stock,S,N,N,100,N,N
ADUS,Addus HomeCare Corporation,Addus HomeCare Corporation - Common Stock,Q,N,N,100,N,N
ADV,Advantage Solutions Inc. ,Advantage Solutions Inc.  - Class A Common Stock,Q,N,N,100,N,N
ADVB,Advanced Biomed Inc.,Advanced Biomed Inc. - Common Stock,S,N,N,100,N,N
ADXN,Addex Therapeutics Ltd,Addex Therapeutics Ltd - American Depositary Shares,S,N,N,100,N,N
AEAQ,Activate Energy Acquisition Corp.,Activate Energy Acquisition Corp. - Class A Ordinary Share,G,N,N,100,N,N
AEAQU,Activate Energy Acquisition Corp.,Activate Energy Acquisition Corp. - Unit,G,N,N,100,N,N
AEAQW,Activate Energy Acquisition Corp.,Activate Energy Acquisition Corp. - Warrant,G,N,N,100,N,N
AEBI,Aebi Schmidt Holding AG,Aebi Schmidt Holding AG - Common Stock,Q,N,N,100,N,N
AEC,Anfield Energy Inc.,Anfield Energy Inc. - Common Shares,S,N,N,100,N,N
AEHL,Antelope Enterprise Holdings Limited,Antelope Enterprise Holdings Limited - Class A Ordinary Shares,S,N,N,100,N,N
AEHR,Aehr Test Systems,Aehr Test Systems - Common Stock,S,N,N,100,N,N
AEI,Alset Inc.,Alset Inc. - Common Stock,S,N,N,100,N,N
AEIS,"Advanced Energy Industries, Inc.","Advanced Energy Industries, Inc. - Common Stock",Q,N,N,40,N,N
AEMD,"Aethlon Medical, Inc.","Aethlon Medical, Inc. - Common Stock",S,N,N,100,N,N
AENT,Alliance Entertainment Holding Corporation,Alliance Entertainment Holding Corporation - common stock,S,N,N,100,N,N
AENTW,Alliance Entertainment Holding Corporation,Alliance Entertainment Holding Corporation - Warrants,S,N,N,100,N,N
AEP,"American Electric Power Company, Inc.","American Electric Power Company, Inc. - Common Stock",Q,N,N,100,N,N
AERT,"Aeries Technology, Inc.","Aeries Technology, Inc. - Class A Ordinary Share",S,N,D,100,N,N
AERTW,"Aeries Technology, Inc.","Aeries Technology, Inc. - Warrant",S,N,N,100,N,N
AEVA,"Aeva Technologies, Inc.","Aeva Technologies, Inc. - Common Stock",Q,N,N,100,N,N
AEYE,"AudioEye, Inc.","AudioEye, Inc. - Common Stock",S,N,N,100,N,N
AFBI,"Affinity Bancshares, Inc.","Affinity Bancshares, Inc. - Common Stock",S,N,N,100,N,N
AFCG,Advanced Flower Capital Inc.,Advanced Flower Capital Inc. - Common Stock,G,N,N,100,N,N
AFJK,"Aimei Health Technology Co., Ltd","Aimei Health Technology Co., Ltd - Ordinary Share",G,N,E,100,N,N
AFJKR,"Aimei Health Technology Co., Ltd","Aimei Health Technology Co., Ltd - Right",G,N,E,100,N,N
AFJKU,"Aimei Health Technology Co., Ltd","Aimei Health Technology Co., Ltd - Unit",G,N,E,100,N,N
AFOS,ARS Focused Opportunity Strategy ETF,ARS Focused Opportunity Strategy ETF,G,N,N,100,Y,N
AFRI,Forafric Global PLC,Forafric Global PLC - Ordinary Shares,S,N,N,100,N,N
AFRIW,Forafric Global PLC,Forafric Global PLC - Warrants,S,N,N,100,N,N
AFRM,"Affirm Holdings, Inc.","Affirm Holdings, Inc. - Class A Common Stock",Q,N,N,100,N,N
AFSC,abrdn Focused U.S. Small Cap Active ETF,abrdn Focused U.S. Small Cap Active ETF,G,N,N,100,Y,N
AFYA,Afya Limited,Afya Limited - Class A Common Shares,Q,N,N,100,N,N
AGCC,Agencia Comercial Spirits Ltd,Agencia Comercial Spirits Ltd - Class A Ordinary Share,S,N,N,100,N,N
AGEM,abrdn Emerging Markets Dividend Active ETF,abrdn Emerging Markets Dividend Active ETF,G,N,N,100,Y,N
AGEN,Agenus Inc.,Agenus Inc. - Common Stock,S,N,N,100,N,N
AGGA,EA Astoria Dynamic Core US Fixed Income ETF,EA Astoria Dynamic Core US Fixed Income ETF,G,N,N,100,Y,N
AGIO,"Agios Pharmaceuticals, Inc.","Agios Pharmaceuticals, Inc. - Common Stock",Q,N,N,100,N,N
