id,name,nationality,sex,date_of_birth,height,weight,sport,gold,silver,bronze,info
369092977,Abrar Osman,ERI,male,1994-01-01,1.68,58,athletics,0,0,0,
602585498,Abubaker Haydar Abdalla,QAT,male,1996-08-28,1.80,60,athletics,0,0,0,
140663745,Achraf Kharroubi,MAR,male,1990-09-25,1.60,,boxing,0,0,0,
507726155,Adam Batirov,BRN,male,1985-01-13,1.65,71,wrestling,0,0,0,
60265240,Adam Cwalina,POL,male,1985-01-26,1.87,81,badminton,0,0,0,
256805041,Adam Decker,HUN,male,1984-02-29,2.03,115,aquatics,0,0,0,
275689888,Adam Dixon,GBR,male,1986-09-11,1.69,70,hockey,0,0,0,
136977152,Adam Froese,CAN,male,1991-08-13,1.82,81,hockey,0,0,0,
487206822,Adam Gemili,GBR,male,1993-10-06,1.78,75,athletics,0,0,0,
236523132,Adam Imer,BRA,male,1989-08-18,1.82,88,hockey,0,0,0,
682367963,Adam Kszczot,POL,male,1989-09-02,1.78,68,athletics,0,0,0,
624366946,Adam Lundqvist,SWE,male,1994-03-20,1.74,70,football,0,0,0,
394945344,Adam Marosi,HUN,male,1984-07-26,1.81,75,modern pentathlon,0,0,0,
970243540,Adam Okruashvili,GEO,male,1989-01-01,1.89,130,judo,0,0,0,
765490473,Adam Pattantyus,HUN,male,1978-10-10,1.75,71,table tennis,0,0,0,
561951036,Adam Peaty,GBR,male,1994-12-28,1.93,88,aquatics,1,1,0,
785166259,Adam Sebastian Helcelet,CZE,male,1991-10-27,1.90,92,athletics,0,0,0,
846863992,Adam Telegdy,HUN,male,1995-11-01,1.94,77,aquatics,0,0,0,
390173289,Adam Vella,AUS,male,1971-06-12,1.78,92,shooting,0,0,0,
266751447,Adam Viktora,SEY,male,1996-09-06,1.88,94,aquatics,0,0,0,
983184686,Adam Wisniewski,POL,male,1980-10-24,1.93,93,handball,0,0,0,
184652432,Adam Yates,GBR,male,1992-08-07,1.72,58,cycling,0,0,0,
983411298,Adam van Koeverden,CAN,male,1982-01-29,1.82,85,canoe,0,0,0,
685532077,Adama Diatta,SEN,male,1988-08-14,1.65,57,wrestling,0,0,0,
222063859,Adama Jammeh,GAM,male,1993-06-10,,,athletics,0,0,0,
46940649,Adas Juskevicius,LTU,male,1989-01-03,1.94,90,basketball,0,0,0,
512592841,Adel Gholami,IRI,male,1986-02-09,1.95,88,volleyball,0,0,0,
302277635,Adel Mechaal,ESP,male,1990-12-05,1.82,71,athletics,0,0,0,
216864827,Adel Mojallalimoghadam,IRI,male,1993-03-21,1.85,82,canoe,0,0,0,
153013732,Adela Bruns,CZE,female,1987-02-05,1.71,60,shooting,0,0,0,
123916473,Adela Hanzlickova,CZE,female,1994-05-04,1.71,67,wrestling,0,0,0,
325622113,Adelina Bogus,ROU,female,1988-09-04,1.86,75,rowing,0,0,1,
518639420,Adelina Pastor,ROU,female,1993-05-05,1.68,56,athletics,0,0,0,
457663778,Adelinde Cornelissen,NED,female,1979-07-07,1.68,55,equestrian,0,0,0,"At London 2012, Adelinde Cornelissen won two medals: silver in the individual dressage and bronze in the team event. This Dutch athlete has also won two World Cup titles with her horse Jerich Parzival."
259002430,Adeline Maria Gray,USA,female,1991-01-15,1.73,77,wrestling,0,0,0,
303297765,Adem Boudjemline,ALG,male,1994-02-28,1.80,85,wrestling,0,0,0,
993710181,Adenizia da Silva,BRA,female,1986-12-18,1.87,65,volleyball,0,0,0,
878847288,Adham Ahmed Saleh Kahk,EGY,male,1993-06-27,1.60,66,wrestling,0,0,0,
75289002,Adilbek Niyazymbetov,KAZ,male,1989-05-19,1.80,,boxing,0,1,0,
930618704,Adilson da Silva,BRA,male,1972-01-24,1.70,79,golf,0,0,0,
890593128,Aditi Ashok,IND,female,1998-03-29,1.73,57,golf,0,0,0,
456381770,Adlan Abdurashidov,RUS,male,1990-07-31,1.72,,boxing,0,0,0,
256936407,Adnan Maric,SWE,male,1997-02-17,1.83,78,football,0,0,0,
637015297,Adrian Andres Puentes Perez,CUB,male,1988-07-03,1.71,76,archery,0,0,0,
787208883,Adrian Baches,BRA,male,1990-04-07,1.84,83,aquatics,0,0,0,
941631433,Adrian Blocki,POL,male,1990-04-11,1.74,62,athletics,0,0,0,
839462979,Adrian Chacon,CUB,male,1988-12-10,1.87,90,athletics,0,0,0,
284555275,Adrian Crisan,ROU,male,1980-05-07,1.86,85,table tennis,0,0,0,
366608701,Adrian Dziolko,POL,male,1990-02-22,1.89,85,badminton,0,0,0,
679510102,Adrian Eduardo Goide Arredondo,CUB,male,1998-06-26,1.91,80,volleyball,0,0,0,
242818896,Adrian Edward Zielinski,POL,male,1989-03-28,1.70,94,weightlifting,0,0,0,
400838338,Adrian Gavira Collado,ESP,male,1987-09-17,1.93,89,volleyball,0,0,0,
557196811,Adrian Gomboc,SLO,male,1995-01-20,1.70,69,judo,0,0,0,
653186701,Adrian Griffith,BAH,male,1984-11-11,1.78,75,athletics,0,0,0,
217850967,Adrian Ignacio Carambula Raurich,ITA,male,1988-03-16,1.82,83,volleyball,0,0,0,
370799805,Adrian Juhasz,HUN,male,1989-11-18,1.88,89,rowing,0,0,0,
714030791,Adrian Oquendo,CUB,male,1990-02-23,1.89,87,rowing,0,0,0,
915726586,Adrian Portela,ARG,male,1986-03-08,1.85,95,handball,0,0,0,
80367651,Adriana Aparecida da Silva,BRA,female,1981-07-22,1.66,52,athletics,0,0,0,
593328448,Adriana Araujo,BRA,female,1981-11-04,1.67,,boxing,0,0,0,
770039735,Adriana Diaz,PUR,female,2000-10-31,1.60,50,table tennis,0,0,0,
228337858,Adriana Martin,ESP,female,1996-04-12,1.62,65,archery,0,0,0,
529241363,Adriana Moises,BRA,female,1978-12-06,1.70,65,basketball,0,0,0,
439382128,Adrien Bart,FRA,male,1991-09-04,1.85,84,canoe,0,0,0,
326016199,Adrien Dipanda,FRA,male,1988-05-03,2.02,105,handball,0,1,0,
664737236,Adrien Niyonshuti,RWA,male,1987-01-02,1.65,68,cycling,0,0,0,
447910544,Adrienne Martelli,USA,female,1987-12-03,1.86,77,rowing,0,0,0,
835610998,Adzo Rebecca Kpossi,TOG,female,1999-01-25,1.58,53,aquatics,0,0,0,
26797739,Ae-Ri Noort,NED,female,1983-01-10,1.60,49,rowing,0,0,0,
577601340,Afa Ismail,MDV,female,1993-11-01,,,athletics,0,0,0,
16830155,Afaf Elhodhod,EGY,female,1996-10-01,1.63,75,shooting,0,0,0,
508610852,Afef Ben Ismail,TUN,female,1994-03-17,1.73,60,canoe,0,0,0,
477738986,Africa Zamorano Sanz,ESP,female,1998-01-11,1.70,58,aquatics,0,0,0,
998446972,Afrodite Zegers,NED,female,1991-12-02,1.61,58,sailing,0,0,0,
42409524,Agata Forkasiewicz,POL,female,1994-01-13,1.68,54,athletics,0,0,0,
28097741,Agatha Bednarczuk,BRA,female,1983-06-22,1.82,70,volleyball,0,1,0,
23462736,Ageze Guadie,ISR,male,1989-09-11,1.75,56,athletics,0,0,0,
971796358,Aglaia Pezzato,ITA,female,1994-04-22,1.75,60,aquatics,0,0,0,
810258362,Agnes Osazuwa,NGR,female,1989-11-26,1.62,65,athletics,0,0,0,
107504792,Agnes Raharolahy,FRA,female,1992-11-07,1.67,58,athletics,0,0,0,
