AF3,F7,FC5,T7,P,O1,class
4296.41,4004.1,4122.05,4342.05,4590.77,4082.05,0
4303.59,4003.59,4126.15,4346.67,4598.97,4087.69,0
4313.33,4008.21,4136.92,4342.56,4595.38,4091.28,0
4316.41,4014.36,4139.49,4337.95,4583.59,4085.64,0
4320,4017.44,4137.95,4337.44,4586.15,4086.67,0
4328.21,4021.03,4141.03,4332.82,4599.49,4100,0
4325.13,4019.49,4136.41,4327.69,4606.15,4109.74,0
4312.82,4010.26,4129.74,4331.28,4606.67,4108.72,0
4309.74,4005.64,4133.33,4335.38,4606.15,4105.13,0
4307.18,4005.13,4130.26,4334.36,4607.18,4103.08,0
4300,4000.51,4121.54,4333.85,4602.05,4095.38,0
4299.49,3996.92,4125.64,4337.95,4590.26,4086.15,0
4292.82,4000,4130.26,4340.51,4588.21,4082.56,0
4281.54,4001.54,4120,4334.87,4595.9,4080.51,0
4288.21,4000,4118.97,4334.36,4600.51,4081.03,0
4301.54,4005.64,4134.87,4345.13,4606.15,4088.21,0
4299.49,4013.85,4140.51,4349.74,4612.82,4091.79,0
4295.38,4015.38,4137.44,4347.18,4614.87,4090.26,0
4307.18,4016.41,4138.46,4348.72,4615.9,4093.85,0
4318.97,4021.54,4141.54,4348.72,4612.31,4099.49,0
4317.44,4021.54,4140.51,4347.69,4606.67,4095.38,0
4313.33,4011.28,4136.41,4345.13,4608.72,4090.26,0
4314.87,4002.56,4134.36,4335.38,4609.74,4093.85,0
4314.36,4009.23,4137.44,4334.87,4604.62,4097.95,0
4312.31,4018.46,4142.05,4346.15,4606.15,4096.92,0
4311.79,4013.33,4138.97,4346.15,4608.21,4094.87,0
4306.15,4002.56,4135.38,4339.49,4602.05,4094.36,0
4301.54,4001.03,4135.38,4341.03,4600,4088.72,0
4308.72,4009.74,4136.92,4343.59,4608.21,4083.08,0
4315.38,4021.54,4140.51,4347.18,4613.33,4089.23,0
4306.67,4016.92,4142.05,4350.77,4609.23,4097.44,0
4296.41,4003.59,4136.92,4340.51,4605.13,4096.41,0
4298.97,4006.15,4131.79,4329.23,4604.62,4088.72,0
4314.87,4018.97,4142.05,4337.95,4600,4084.1,0
4323.08,4019.49,4151.79,4345.13,4596.92,4083.08,0
4309.74,4008.21,4141.03,4334.36,4602.05,4084.62,0
4296.41,4000.51,4131.79,4331.79,4603.08,4086.67,0
4305.64,4003.08,4140,4346.15,4600,4086.15,0
4318.46,4005.13,4143.08,4348.21,4605.64,4089.23,0
4313.33,4001.54,4136.92,4338.46,4609.74,4091.79,0
4305.13,4004.1,4137.44,4340,4602.56,4087.69,0
4306.67,4008.21,4142.05,4343.08,4602.05,4084.1,0
4309.23,4004.62,4136.92,4338.97,4608.72,4085.13,0
4308.21,4002.05,4130.26,4345.13,4607.69,4082.05,0
4304.62,4001.54,4127.69,4356.92,4604.62,4080.51,0
4301.03,4002.05,4123.08,4350.77,4606.67,4085.13,0
4303.59,4005.64,4124.62,4343.08,4607.18,4082.56,0
4305.64,4007.69,4134.36,4352.82,4606.15,4078.46,0
4300.51,4003.08,4131.28,4352.31,4606.15,4076.41,0
4295.38,3997.44,4118.97,4335.38,4602.56,4075.38,0
4298.46,3998.46,4120,4333.85,4600,4076.41,0
4304.62,4004.1,4125.13,4345.64,4601.54,4080.51,0
4305.64,4002.05,4120.51,4343.59,4603.59,4085.13,0
4301.54,3998.97,4118.97,4337.44,4603.59,4082.05,0
4300,4005.13,4122.56,4341.03,4599.49,4078.46,0
4304.62,4009.74,4124.62,4349.23,4599.49,4084.62,0
4312.31,4005.13,4123.59,4349.74,4606.67,4093.33,0
4315.38,4003.08,4123.08,4345.13,4611.79,4092.82,0
4309.74,4005.13,4121.54,4344.62,4607.18,4088.72,0
4300,4002.05,4117.95,4345.64,4601.03,4087.18,0
4300,4001.54,4121.03,4342.56,4600.51,4085.13,0
4305.64,4007.18,4126.15,4341.54,4603.08,4088.21,0
4297.95,4004.1,4117.95,4337.95,4602.05,4089.74,0
4287.18,3992.31,4105.64,4328.72,4600.51,4087.18,0
4288.21,3993.85,4110.77,4332.82,4604.1,4086.67,0
4295.38,4007.18,4117.95,4345.13,4606.15,4085.13,0
4302.56,4009.23,4116.92,4342.05,4601.54,4078.97,0
4304.1,4002.56,4120.51,4334.36,4597.95,4074.87,0
4302.56,4003.59,4118.46,4342.05,4601.54,4079.49,0
4303.59,4007.69,4110.26,4343.08,4604.62,4084.62,0
4299.49,4005.13,4114.36,4330.26,4601.03,4084.1,0
4288.21,3996.92,4120,4328.72,4597.44,4077.95,0
4286.15,3991.79,4110.26,4333.33,4596.41,4073.33,0
4291.79,3991.28,4102.05,4330.26,4597.95,4078.46,0
4289.23,3991.28,4104.62,4326.67,4600,4087.69,0
4286.67,3989.74,4101.03,4327.18,4602.05,4091.28,0
4293.85,3994.87,4102.05,4328.72,4598.46,4083.59,0
4297.95,4001.54,4115.38,4332.31,4592.82,4073.33,0
4292.82,3996.41,4116.92,4332.82,4590.77,4069.74,0
4289.74,3992.82,4107.69,4328.21,4593.33,4069.23,0
4295.9,4001.54,4106.15,4329.23,4592.82,4065.64,0
4303.08,4007.69,4112.31,4330.77,4589.74,4065.13,0
4301.54,4003.08,4110.77,4327.69,4592.82,4076.92,0
4295.9,4000,4106.15,4325.13,4599.49,4081.03,0
4300.51,4007.69,4109.74,4326.67,4598.97,4072.31,0
4318.46,4020,4116.41,4330.26,4598.97,4072.31,0
