Domain,Type,Sponsoring Organization
.athleta,generic,"The Gap, Inc."
.attorney,generic,"Dog Beach, LLC"
.au,country-code,.au Domain Administration (auDA)
.auction,generic,"Dog Beach, LLC"
.audi,generic,AUDI Aktiengesellschaft
.audible,generic,"Amazon Registry Services, Inc."
.audio,generic,XYZ.COM LLC
.auspost,generic,Australian Postal Corporation
.author,generic,"Amazon Registry Services, Inc."
.auto,generic,XYZ.COM LLC
.autos,generic,XYZ.COM LLC
.avianca,generic,Not assigned
.aw,country-code,SETAR
.aws,generic,AWS Registry LLC
.ax,country-code,Ålands landskapsregering
.axa,generic,AXA Group Operations SAS
.az,country-code,IntraNS
.azure,generic,Microsoft Corporation
.ba,country-code,University Tele-Informatic Center (UTIC)
.baby,generic,XYZ.COM LLC
.baidu,generic,"Baidu, Inc."
.banamex,generic,Citigroup Inc.
.bananarepublic,generic,Not assigned
.band,generic,"Dog Beach, LLC"
.bank,generic,"fTLD Registry Services, LLC"
.bar,generic,Punto 2012 Sociedad Anonima Promotora de Inversion de Capital Variable
.barcelona,generic,Municipi de Barcelona
.barclaycard,generic,Barclays Bank PLC
.barclays,generic,Barclays Bank PLC
.barefoot,generic,"Gallo Vineyards, Inc."
.bargains,generic,"Binky Moon, LLC"
.baseball,generic,"MLB Advanced Media DH, LLC"
.basketball,generic,Fédération Internationale de Basketball (FIBA)
.bauhaus,generic,Werkhaus GmbH
.bayern,generic,Bayern Connect GmbH
.bb,country-code,"Ministry of Innovation, Science and Smart Technology"
.bbc,generic,British Broadcasting Corporation
.bbt,generic,BB&T Corporation
.bbva,generic,"BANCO BILBAO VIZCAYA ARGENTARIA, S.A."
.bcg,generic,"The Boston Consulting Group, Inc."
.bcn,generic,Municipi de Barcelona
.bd,country-code,Posts and Telecommunications Division
.be,country-code,DNS Belgium vzw/asbl
.beats,generic,"Beats Electronics, LLC"
.beauty,generic,XYZ.COM LLC
.beer,generic,"Registry Services, LLC"
.bentley,generic,Not assigned
.berlin,generic,dotBERLIN GmbH & Co. KG
.best,generic,BestTLD Pty Ltd
.bestbuy,generic,"BBY Solutions, Inc."
.bet,generic,Identity Digital Limited
.bf,country-code,Autorité de Régulation des Communications Electroniques et des Postes (ARCEP)
.bg,country-code,Register.BG
.bh,country-code,Telecommunications Regulatory Authority (TRA)
.bharti,generic,Bharti Enterprises (Holding) Private Limited
.bi,country-code,Centre National de l'Informatique
.bible,generic,American Bible Society
.bid,generic,dot Bid Limited
.bike,generic,"Binky Moon, LLC"
.bing,generic,Microsoft Corporation
.bingo,generic,"Binky Moon, LLC"
.bio,generic,Identity Digital Limited
.biz,generic-restricted,"Registry Services, LLC"
.bj,country-code,Autorité de Régulation des Communications Electroniques et de la Poste du Bénin (ARCEP BENIN)
.bl,country-code,Not assigned
.black,generic,Identity Digital Limited
.blackfriday,generic,"Registry Services, LLC"
.blanco,generic,Not assigned
