Status,Code,Name,Description,Numeric code
,CA,"Can, rectangular ",,22
,CB,"Crate, beer",,23 to 27
,CC,Churn,,32 or 33
,CD,"Can, with handle and spout ",,22
,CE,Creel,,27
,CF,Coffer ,,24
,CG,Cage ,,26
,CH,Chest,,25
,CI,Canister ,,21 or 22
,CJ,Coffin ,,54
,CK,Cask ,,44 or 45
,CL,Coil ,,14
,CM,Card,A flat package usually made of fibreboard from/to which product is often hung or attached.,67
,CN,"Container, not otherwise specified as transport equipment",,25
,CO,"Carboy, non-protected",,43
,CP,"Carboy, protected",,43
,CQ,Cartridge,Package containing a charge such as propelling explosive for firearms or ink toner for a printer.,92
,CR,Crate,,24 to 25
,CS,Case ,,21 to 25
,CT,Carton ,,22 to 24
,CU,Cup,,51
,CV,Cover,,67
,CW,"Cage, roll ",,26
,CX,"Can, cylindrical ",,32
,CY,Cylinder ,,12
,CZ,Canvas ,,67
,DA,"Crate, multiple layer, plastic ",,23 to 25 or 27
,DB,"Crate, multiple layer, wooden",,23 to 25 or 27
,DC,"Crate, multiple layer, cardboard ",,23 to 25 or 27
,DG,"Cage, Commonwealth Handling Equipment Pool  (CHEP)",,26
,DH,"Box, Commonwealth Handling Equipment Pool (CHEP), Eurobox",A box mounted on a pallet base under the control of CHEP.,27
,DI,"Drum, iron ",,34
,DJ,"Demijohn, non-protected",,43
,DK,"Crate, bulk, cardboard ",,23 to 25 or 27
,DL,"Crate, bulk, plastic ",,23 to 25 or 27
,DM,"Crate, bulk, wooden",,23 to 25 or 27
,DN,Dispenser,,93
,DP,"Demijohn, protected",,43
,DR,Drum ,,34
,DS,"Tray, one layer no cover, plastic",,27
,DT,"Tray, one layer no cover, wooden ",,27
,DU,"Tray, one layer no cover, polystyrene",,27
,DV,"Tray, one layer no cover, cardboard",,27
,DW,"Tray, two layers no cover, plastic tray",,27 or 29
,DX,"Tray, two layers no cover, wooden",,27 or 29
,DY,"Tray, two layers no cover, cardboard ",,27 or 29
,EC,"Bag, plastic ",,62 to 64
,ED,"Case, with pallet base ",,23 to 25
,EE,"Case, with pallet base, wooden ",,23 to 25
,EF,"Case, with pallet base, cardboard",,23 to 25
,EG,"Case, with pallet base, plastic",,23 to 25
,EH,"Case, with pallet base, metal",,23 to 25
,EI,"Case, isothermic ",,22 to 25
,EN,Envelope ,,67
,FB,Flexibag,"A flexible containment bag made of plastic, typically for the transportation bulk non-hazardous cargoes using standard size shipping containers.",65
,FC,"Crate, fruit ",,23 to 27
,FD,"Crate, framed",,26
,FE,Flexitank,"A flexible containment tank made of plastic, typically for the transportation bulk non-hazardous cargoes using standard size shipping containers.",65
,FI,Firkin ,,44 or 45
,FL,Flask,,42 or 43
,FO,Footlocker ,,23
,FP,Filmpack ,,67
,FR,Frame,,26
,FT,Foodtainer,,21 to 23
,FW,"Cart, flatbed",Wheeled flat bedded device on which trays or other regular shaped items are packed for transportation purposes.,94
,FX,"Bag, flexible container",,61 to 66
,GB,"Bottle, gas",A narrow-necked metal cylinder for retention of liquefied or compressed gas.,31 or 35
,GI,Girder ,,16
,GL,"Container, gallon",A container with a capacity of one gallon.,32
,GR,"Receptacle, glass ",Containment vessel made of glass for retaining substances or articles.,21 to 23 or 31 to 33 or 41 to 43
,GU,"Tray, containing horizontally stacked flat items",Tray containing flat items stacked on top of one another.,27
,GY,"Bag, gunny","A sack made of gunny or burlap, used for transporting coarse commodities, such as grains, potatoes, and other agricultural products. ",63 to 64
,GZ,"Girders, in bundle/bunch/truss ",,16
,HA,"Basket, with handle, plastic ",,27
,HB,"Basket, with handle, wooden",,27
,HC,"Basket, with handle, cardboard ",,27
,HG,Hogshead ,,44 or 45
,HN,Hanger,A purpose shaped device with a hook at the top for hanging items from a rail.,93
,HR,Hamper ,,23
,IA,"Package, display, wooden ",,21 to 23
