bej,,,Beja; Bedawiyet,"bedja"
bel,,be,Belarusian,"biélorusse"
bem,,,Bemba,"bemba"
ben,,bn,Bengali,"bengali"
ber,,,Berber languages,"berbères, langues"
bho,,,Bhojpuri,"bhojpuri"
bih,,,Bihari languages,"langues biharis"
bik,,,Bikol,"bikol"
bin,,,Bini; Edo,"bini; edo"
bis,,bi,Bislama,"bichlamar"
bla,,,Siksika,"blackfoot"
bnt,,,Bantu languages,"bantou, langues"
bos,,bs,Bosnian,"bosniaque"
bra,,,Braj,"braj"
bre,,br,Breton,"breton"
btk,,,Batak languages,"batak, langues"
bua,,,Buriat,"bouriate"
bug,,,Buginese,"bugi"
bul,,bg,Bulgarian,"bulgare"
bur,mya,my,Burmese,"birman"
byn,,,Blin; Bilin,"blin; bilen"
cad,,,Caddo,"caddo"
cai,,,Central American Indian languages,"amérindiennes de L'Amérique centrale, langues"
car,,,Galibi Carib,"karib; galibi; carib"
cat,,ca,Catalan; Valencian,"catalan; valencien"
cau,,,Caucasian languages,"caucasiennes, langues"
ceb,,,Cebuano,"cebuano"
cel,,,Celtic languages,"celtiques, langues; celtes, langues"
cha,,ch,Chamorro,"chamorro"
chb,,,Chibcha,"chibcha"
che,,ce,Chechen,"tchétchène"
chg,,,Chagatai,"djaghataï"
chi,zho,zh,Chinese,"chinois"
chk,,,Chuukese,"chuuk"
chm,,,Mari,"mari"
chn,,,Chinook jargon,"chinook, jargon"
cho,,,Choctaw,"choctaw"
chp,,,Chipewyan; Dene Suline,"chipewyan"
chr,,,Cherokee,"cherokee"
chu,,cu,Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic,"slavon d'église; vieux slave; slavon liturgique; vieux bulgare"
chv,,cv,Chuvash,"tchouvache"
chy,,,Cheyenne,"cheyenne"
cmc,,,Chamic languages,"chames, langues"
cnr,,,Montenegrin,"monténégrin"
cop,,,Coptic,"copte"
cor,,kw,Cornish,"cornique"
cos,,co,Corsican,"corse"
cpe,,,"Creoles and pidgins, English based","créoles et pidgins basés sur l'anglais"
cpf,,,"Creoles and pidgins, French-based","créoles et pidgins basés sur le français"
cpp,,,"Creoles and pidgins, Portuguese-based","créoles et pidgins basés sur le portugais"
cre,,cr,Cree,"cree"
crh,,,Crimean Tatar; Crimean Turkish,"tatar de Crimé"
crp,,,Creoles and pidgins,"créoles et pidgins"
csb,,,Kashubian,"kachoube"
cus,,,Cushitic languages,"couchitiques, langues"
cze,ces,cs,Czech,"tchèque"
dak,,,Dakota,"dakota"
dan,,da,Danish,"danois"
dar,,,Dargwa,"dargwa"
day,,,Land Dayak languages,"dayak, langues"
del,,,Delaware,"delaware"
den,,,Slave (Athapascan),"esclave (athapascan)"
dgr,,,Tlicho; Dogrib,"tlicho; dogrib"
din,,,Dinka,"dinka"
div,,dv,Divehi; Dhivehi; Maldivian,"maldivien"
doi,,,Dogri,"dogri"
dra,,,Dravidian languages,"dravidiennes, langues"
dsb,,,Lower Sorbian,"bas-sorabe"
dua,,,Duala,"douala"
dum,,,"Dutch, Middle (ca.1050-1350)","néerlandais moyen (ca. 1050-1350)"
dut,nld,nl,Dutch; Flemish,"néerlandais; flamand"
dyu,,,Dyula,"dioula"
dzo,,dz,Dzongkha,"dzongkha"
efi,,,Efik,"efik"
egy,,,Egyptian (Ancient),"égyptien"
eka,,,Ekajuk,"ekajuk"
elx,,,Elamite,"élamite"
eng,,en,English,"anglais"
enm,,,"English, Middle (1100-1500)","anglais moyen (1100-1500)"
epo,,eo,Esperanto,"espéranto"
est,,et,Estonian,"estonien"
ewe,,ee,Ewe,"éwé"
ewo,,,Ewondo,"éwondo"
fan,,,Fang,"fang"
fao,,fo,Faroese,"féroïen"
fat,,,Fanti,"fanti"
fij,,fj,Fijian,"fidjien"
fil,,,Filipino; Pilipino,"filipino; pilipino"
fin,,fi,Finnish,"finnois"
fiu,,,Finno-Ugrian languages,"finno-ougriennes, langues"
fon,,,Fon,"fon"
fre,fra,fr,French,"français"
frm,,,"French, Middle (ca.1400-1600)","français moyen (1400-1600)"
fro,,,"French, Old (842-ca.1400)","français ancien (842-ca.1400)"
frr,,,Northern Frisian,"frison septentrional"
frs,,,Eastern Frisian,"frison oriental"
fry,,fy,Western Frisian,"frison occidental"
ful,,ff,Fulah,"peul"
fur,,,Friulian,"frioulan"
gaa,,,Ga,"ga"
gay,,,Gayo,"gayo"
gba,,,Gbaya,"gbaya"
gem,,,Germanic languages,"germaniques, langues"
geo,kat,ka,Georgian,"géorgien"
