cycle,state,senate_class,start_date,end_date,DEM_poll,REP_poll,DEM_result,REP_result,error,absolute_error
2016,WI,3,2016-08-21,2016-08-22,49.6,46.6,46.81,50.17,-6.359999999999999,6.359999999999999
2016,PA,3,2016-08-21,2016-08-28,47.0,42.0,47.34,48.77,-6.43,6.43
2016,NC,3,2016-08-20,2016-08-23,43.0,45.0,45.37,51.06,-3.690000000000005,3.690000000000005
2016,NH,3,2016-08-20,2016-08-28,51.0,27.0,47.98,47.84,-23.860000000000007,23.860000000000007
2016,NH,3,2016-08-20,2016-08-28,44.0,42.0,47.98,47.84,-1.8600000000000065,1.8600000000000065
2016,FL,3,2016-08-19,2016-08-22,39.0,44.0,44.31,51.98,-2.6699999999999946,2.6699999999999946
2016,UT,3,2016-08-19,2016-08-21,21.0,51.0,27.06,68.15,-11.090000000000003,11.090000000000003
2016,MO,3,2016-08-19,2016-08-22,43.0,48.0,46.39,49.18,2.210000000000001,2.210000000000001
2016,AZ,3,2016-08-18,2016-08-23,39.0,52.0,40.75,53.71,0.03999999999999915,0.03999999999999915
2016,NC,3,2016-08-18,2016-08-23,45.0,50.0,45.37,51.06,-0.6900000000000048,0.6900000000000048
2016,MD,3,2016-08-18,2016-08-30,55.0,26.0,60.89,35.67,-3.780000000000001,3.780000000000001
2016,ID,3,2016-08-18,2016-08-31,20.0,57.0,27.73,66.13,-1.3999999999999915,1.3999999999999915
2016,OH,3,2016-08-18,2016-08-21,40.0,48.0,37.16,58.03,-12.870000000000005,12.870000000000005
2016,FL,3,2016-08-18,2016-08-24,42.0,43.0,44.31,51.98,-6.669999999999995,6.669999999999995
2016,OH,3,2016-08-17,2016-08-19,39.0,46.0,37.16,58.03,-13.870000000000005,13.870000000000005
2016,IA,3,2016-08-17,2016-08-19,38.0,45.0,35.66,60.09,-17.430000000000007,17.430000000000007
2016,IN,3,2016-08-15,2016-08-18,55.0,39.0,42.41,52.11,-25.700000000000003,25.700000000000003
2016,NV,3,2016-08-15,2016-08-17,37.0,37.0,47.1,44.67,2.4299999999999997,2.4299999999999997
2016,FL,3,2016-08-14,2016-08-18,38.0,46.0,44.31,51.98,0.3300000000000054,0.3300000000000054
2016,IN,3,2016-08-13,2016-08-16,48.0,41.0,42.41,52.11,-16.700000000000003,16.700000000000003
2016,FL,3,2016-08-12,2016-08-15,43.0,48.0,44.31,51.98,-2.6699999999999946,2.6699999999999946
2016,NH,3,2016-08-10,2016-08-12,42.0,41.0,47.98,47.84,-0.8600000000000065,0.8600000000000065
2016,FL,3,2016-08-10,2016-08-10,43.4,44.7,44.31,51.98,-6.36999999999999,6.36999999999999
2016,IN,3,2016-08-10,2016-08-14,54.0,36.0,42.41,52.11,-27.700000000000003,27.700000000000003
2016,FL,3,2016-08-09,2016-08-15,45.0,44.0,44.31,51.98,-8.669999999999995,8.669999999999995
2016,WA,3,2016-08-09,2016-08-13,52.0,34.0,58.83,40.86,-0.030000000000001137,0.030000000000001137
2016,SC,3,2016-08-09,2016-08-10,28.0,45.0,36.93,60.57,-6.640000000000001,6.640000000000001
2016,CO,3,2016-08-09,2016-08-16,54.0,38.0,49.97,44.31,-10.340000000000003,10.340000000000003
2016,IA,3,2016-08-09,2016-08-16,42.0,51.0,35.66,60.09,-15.430000000000007,15.430000000000007
2016,IA,3,2016-08-08,2016-08-10,42.0,52.0,35.66,60.09,-14.430000000000007,14.430000000000007
2016,NY,3,2016-08-07,2016-08-10,63.0,24.0,70.6,27.17,4.429999999999993,4.429999999999993
2016,NH,3,2016-08-07,2016-08-08,46.0,43.0,47.98,47.84,-2.8600000000000065,2.8600000000000065
2016,GA,3,2016-08-06,2016-08-07,30.0,39.0,41.03,54.78,-4.75,4.75
2016,NH,3,2016-08-05,2016-08-07,47.0,42.0,47.98,47.84,-4.8600000000000065,4.8600000000000065
2016,NC,3,2016-08-05,2016-08-07,37.0,41.0,45.37,51.06,-1.6900000000000048,1.6900000000000048
2016,FL,3,2016-08-05,2016-08-07,40.0,42.0,44.31,51.98,-5.669999999999995,5.669999999999995
2016,MO,3,2016-08-05,2016-08-06,40.0,47.0,46.39,49.18,4.210000000000001,4.210000000000001
2016,WI,3,2016-08-04,2016-08-07,50.0,39.0,46.81,50.17,-14.36,14.36
2016,NC,3,2016-08-04,2016-08-10,46.0,44.0,45.37,51.06,-7.690000000000005,7.690000000000005
2016,FL,3,2016-08-04,2016-08-10,43.0,49.0,44.31,51.98,-1.6699999999999946,1.6699999999999946
2016,CO,3,2016-08-04,2016-08-10,53.0,38.0,49.97,44.31,-9.340000000000003,9.340000000000003
2016,WI,3,2016-08-04,2016-08-07,49.0,43.0,46.81,50.17,-9.36,9.36
2016,WI,3,2016-08-04,2016-08-07,53.0,42.0,46.81,50.17,-14.36,14.36
2016,WI,3,2016-08-04,2016-08-07,47.0,38.0,46.81,50.17,-12.36,12.36
2016,IA,3,2016-08-03,2016-08-07,42.0,52.0,35.66,60.09,-14.430000000000007,14.430000000000007
2016,OH,3,2016-08-03,2016-08-07,43.0,48.0,37.16,58.03,-15.870000000000005,15.870000000000005
2016,PA,3,2016-08-03,2016-08-07,48.0,44.0,47.34,48.77,-5.43,5.43
2016,KS,3,2016-08-03,2016-08-07,32.0,52.0,32.24,62.18,-9.939999999999998,9.939999999999998
2016,KY,3,2016-08-02,2016-08-04,40.7,59.3,42.72,57.27,4.04999999999999,4.04999999999999
2016,NV,3,2016-08-02,2016-08-05,35.0,38.0,47.1,44.67,5.43,5.43
2016,GA,3,2016-08-01,2016-08-04,42.0,48.0,41.03,54.78,-7.75,7.75
2016,IL,3,2016-08-01,2016-08-04,44.0,37.0,54.86,39.78,8.079999999999998,8.079999999999998
2016,FL,3,2016-08-01,2016-08-03,31.0,45.0,44.31,51.98,6.330000000000005,6.330000000000005
2016,FL,3,2016-08-01,2016-08-03,33.0,46.0,44.31,51.98,5.330000000000005,5.330000000000005
2016,IN,3,2016-08-01,2016-08-03,58.0,32.0,42.41,52.11,-35.7,35.7
2016,KY,3,2016-07-31,2016-08-01,38.0,50.0,42.72,57.27,-2.5500000000000043,2.5500000000000043
2016,PA,3,2016-07-31,2016-08-04,42.0,40.0,47.34,48.77,-3.4299999999999997,3.4299999999999997
2016,PA,3,2016-07-30,2016-08-07,47.0,44.0,47.34,48.77,-4.43,4.43
2016,FL,3,2016-07-30,2016-08-07,45.0,48.0,44.31,51.98,-4.669999999999995,4.669999999999995
2016,FL,3,2016-07-30,2016-08-07,48.0,34.0,44.31,51.98,-21.669999999999995,21.669999999999995
2016,OH,3,2016-07-30,2016-08-07,40.0,49.0,37.16,58.03,-11.870000000000005,11.870000000000005
2016,WI,3,2016-07-30,2016-08-01,49.7,44.2,46.81,50.17,-8.86,8.86
2016,NH,3,2016-07-29,2016-08-01,48.0,37.0,47.98,47.84,-10.860000000000007,10.860000000000007
2016,PA,3,2016-07-29,2016-08-01,39.0,38.0,47.34,48.77,-2.4299999999999997,2.4299999999999997
2016,UT,3,2016-07-18,2016-08-04,22.0,57.0,27.06,68.15,-6.090000000000003,6.090000000000003
2014,IA,2,2014-08-28,2014-08-30,43.0,45.0,43.76,52.1,-6.340000000000003,6.340000000000003
2014,OK,2,2014-08-28,2014-08-30,27.6,59.1,28.55,68.01,-7.960000000000008,7.960000000000008
2014,OK,3,2014-08-28,2014-08-30,27.9,58.4,28.98,67.85,-8.36999999999999,8.36999999999999
2014,NH,2,2014-08-27,2014-08-28,50.0,44.0,51.46,48.21,-2.75,2.75
2014,OK,3,2014-08-27,2014-08-28,34.0,57.0,28.98,67.85,-15.86999999999999,15.86999999999999
2014,IL,2,2014-08-27,2014-08-27,47.78,40.5,53.55,42.69,3.5799999999999983,3.5799999999999983
2014,MI,2,2014-08-27,2014-08-27,46.0,44.0,54.61,41.33,11.280000000000001,11.280000000000001
2014,SD,2,2014-08-27,2014-08-28,37.5,42.0,29.51,50.37,-16.359999999999996,16.359999999999996
2014,IL,2,2014-08-25,2014-08-27,44.0,38.0,53.55,42.69,4.859999999999999,4.859999999999999
2014,AR,2,2014-08-25,2014-08-26,44.0,43.0,39.43,56.5,-18.07,18.07
2014,KY,2,2014-08-25,2014-08-27,42.0,46.0,40.72,56.19,-11.469999999999999,11.469999999999999
2014,GA,2,2014-08-24,2014-08-25,44.74,43.09,45.21,52.89,-9.329999999999998,9.329999999999998
2014,AK,2,2014-08-24,2014-08-27,41.0,40.0,45.83,47.96,-3.1300000000000026,3.1300000000000026
2014,IA,2,2014-08-23,2014-08-26,40.2,40.0,43.76,52.1,-8.540000000000006,8.540000000000006
2014,MI,2,2014-08-22,2014-08-25,45.0,39.0,54.61,41.33,7.280000000000001,7.280000000000001
2014,IA,2,2014-08-22,2014-08-24,41.5,41.0,43.76,52.1,-8.840000000000003,8.840000000000003
2014,WV,2,2014-08-20,2014-08-21,33.0,50.0,34.46,62.12,-10.659999999999997,10.659999999999997
2014,WY,2,2014-08-20,2014-08-21,27.0,63.0,17.45,72.19,-18.739999999999995,18.739999999999995
2014,AK,2,2014-08-20,2014-08-21,45.0,47.0,45.83,47.96,-0.13000000000000256,0.13000000000000256
2014,GA,2,2014-08-20,2014-08-21,47.0,40.0,45.21,52.89,-14.68,14.68
2014,MN,2,2014-08-19,2014-08-21,51.0,42.0,53.15,42.91,1.240000000000002,1.240000000000002
2014,MT,2,2014-08-18,2014-08-19,35.0,55.0,40.07,57.79,2.280000000000001,2.280000000000001
2014,NC,2,2014-08-16,2014-08-19,45.4,43.0,47.26,48.82,-3.960000000000001,3.960000000000001
2014,ME,2,2014-08-16,2014-08-18,33.0,57.0,31.5,68.46,-12.959999999999994,12.959999999999994
2014,WV,2,2014-08-15,2014-08-23,37.0,54.0,34.46,62.12,-10.659999999999997,10.659999999999997
2014,NC,2,2014-08-14,2014-08-17,42.5,40.0,47.26,48.82,-4.060000000000002,4.060000000000002
2014,GA,2,2014-08-14,2014-08-17,41.0,50.0,45.21,52.89,1.3200000000000003,1.3200000000000003
2014,AK,2,2014-08-13,2014-08-13,31.0,42.0,45.83,47.96,8.869999999999997,8.869999999999997
2014,MN,2,2014-08-13,2014-08-14,50.0,42.0,53.15,42.91,2.240000000000002,2.240000000000002
2014,NM,2,2014-08-12,2014-08-14,53.0,35.0,55.56,44.44,-6.8799999999999955,6.8799999999999955
2014,GA,2,2014-08-12,2014-08-13,40.0,47.0,45.21,52.89,-0.6799999999999997,0.6799999999999997
2014,SD,2,2014-08-12,2014-08-13,31.0,39.0,29.51,50.37,-12.859999999999996,12.859999999999996
2014,TN,2,2014-08-11,2014-08-12,32.0,47.0,31.87,61.87,-14.999999999999996,14.999999999999996
2014,SD,2,2014-08-11,2014-08-13,24.0,49.0,29.51,50.37,4.140000000000004,4.140000000000004
2014,IA,2,2014-08-11,2014-08-12,43.0,43.0,43.76,52.1,-8.340000000000003,8.340000000000003
2014,GA,2,2014-08-08,2014-08-10,41.5,47.6,45.21,52.89,-1.5799999999999983,1.5799999999999983
2014,KY,2,2014-08-07,2014-08-10,41.0,45.5,40.72,56.19,-10.969999999999999,10.969999999999999
2014,NH,2,2014-08-07,2014-08-17,46.0,44.0,51.46,48.21,1.25,1.25
2014,AR,2,2014-08-06,2014-08-14,46.0,41.0,39.43,56.5,-22.07,22.07
2014,MI,2,2014-08-06,2014-08-11,42.0,38.0,54.61,41.33,9.280000000000001,9.280000000000001
2014,NC,2,2014-08-05,2014-08-06,40.0,45.0,47.26,48.82,3.4399999999999977,3.4399999999999977
2014,OR,2,2014-08-05,2014-08-07,47.0,38.0,55.73,36.87,9.86,9.86
2014,MI,2,2014-08-05,2014-08-05,45.0,44.0,54.61,41.33,12.280000000000001,12.280000000000001
2014,TX,2,2014-08-04,2014-08-05,29.0,47.0,34.36,61.56,-9.200000000000003,9.200000000000003
2014,IL,2,2014-08-04,2014-08-05,48.0,38.0,53.55,42.69,0.8599999999999994,0.8599999999999994
2014,AR,2,2014-08-01,2014-08-03,40.0,42.0,39.43,56.5,-15.07,15.07
2014,OR,2,2014-08-01,2014-08-05,52.0,33.0,55.73,36.87,-0.14000000000000057,0.14000000000000057
2014,AK,2,2014-07-31,2014-08-03,44.0,39.0,45.83,47.96,-7.130000000000003,7.130000000000003
2014,NJ,2,2014-07-31,2014-08-04,47.0,37.0,55.84,42.33,3.510000000000005,3.510000000000005
2012,MI,1,2012-08-28,2012-08-28,51.0,44.0,58.8,37.98,13.82,13.82
2012,MO,1,2012-08-28,2012-08-29,45.0,44.0,54.81,39.11,14.700000000000003,14.700000000000003
2012,OH,1,2012-08-27,2012-08-27,44.0,41.0,50.7,44.7,3.0,3.0
2012,MO,1,2012-08-27,2012-08-28,42.0,45.0,54.81,39.11,18.700000000000003,18.700000000000003
2012,MI,1,2012-08-23,2012-08-23,44.0,45.0,58.8,37.98,21.82,21.82
2012,NV,1,2012-08-23,2012-08-26,45.0,47.0,44.71,45.87,0.8400000000000034,0.8400000000000034
2012,VA,1,2012-08-23,2012-08-23,45.0,45.0,52.87,46.96,5.909999999999997,5.909999999999997
2012,MO,1,2012-08-23,2012-08-23,38.8,37.3,54.81,39.11,14.200000000000003,14.200000000000003
2012,MO,1,2012-08-22,2012-08-22,48.0,38.0,54.81,39.11,5.700000000000003,5.700000000000003
2012,CT,1,2012-08-22,2012-08-23,48.0,44.0,54.82,43.07,7.75,7.75
2012,CT,1,2012-08-22,2012-08-26,46.0,49.0,54.82,43.07,14.75,14.75
2012,WV,1,2012-08-22,2012-08-25,66.0,27.0,60.57,36.47,-14.899999999999999,14.899999999999999
2012,PA,1,2012-08-21,2012-08-23,53.0,34.0,53.69,44.59,-9.900000000000006,9.900000000000006
