seismic,seismoacoustic,shift,genergy,gpuls,gdenergy,gdpuls,ghazard,nbumps,energy,maxenergy,class
a,a,W,172120,537,-35,-41,a,0,0,0,0
a,a,N,25280,158,-54,-35,a,1,4000,4000,0
a,a,W,270040,717,10,-14,a,2,800,500,0
a,a,N,41120,132,-21,-43,a,0,0,0,0
a,a,N,22710,68,-57,-70,a,0,0,0,0
a,a,N,13160,46,-71,-76,a,0,0,0,0
a,a,N,19500,80,-51,-51,a,1,4000,4000,0
a,a,N,12970,53,-65,-64,a,0,0,0,0
a,a,W,166700,363,-34,-56,a,0,0,0,0
a,a,W,274170,997,15,34,a,0,0,0,0
a,b,N,56120,222,100,89,a,1,5000,5000,0
a,b,W,226790,717,2,0,a,0,0,0,0
a,b,W,134640,611,-41,-16,a,0,0,0,0
a,b,N,49910,208,61,61,a,1,3000,3000,0
a,b,W,328050,707,51,0,a,1,200,200,0
a,b,W,140090,380,-40,-46,a,0,0,0,0
a,a,N,42820,150,28,9,a,1,3000,3000,0
a,a,W,157740,440,-31,-35,a,0,0,0,0
a,a,W,325750,1068,50,67,a,1,3000,3000,0
a,a,W,300520,894,37,37,a,0,0,0,0
a,a,W,465730,1325,-7,-12,a,1,4000,4000,0
a,a,W,336600,984,-32,-34,a,1,4000,4000,0
a,a,N,112300,263,-55,-65,a,0,0,0,0
a,a,W,951410,1332,98,-7,a,0,0,0,0
a,a,N,203850,476,-14,-32,a,1,3000,3000,0
a,a,W,715390,1923,36,36,a,1,300,300,0
a,a,N,160350,828,-31,23,a,0,0,0,0
a,a,N,76150,260,-52,-50,a,1,4000,4000,0
a,a,W,373180,1246,-32,-14,a,1,2000,2000,0
a,a,W,481630,1678,-10,17,a,0,0,0,0
a,a,W,620720,1789,17,23,a,0,0,0,0
a,a,N,99160,514,-34,4,a,1,4000,4000,0
a,a,N,280830,689,94,39,a,1,3000,3000,0
a,a,W,557230,1642,2,11,a,0,0,0,0
a,a,N,65800,259,-58,-49,a,1,4000,4000,0
a,a,N,270490,865,83,78,a,0,0,0,0
a,a,W,307540,1020,-44,-32,a,0,0,0,0
a,a,N,51230,222,-68,-57,a,1,3000,3000,0
a,a,W,314100,904,-41,-37,a,0,0,0,0
a,a,W,368340,1325,-28,-4,a,1,2000,2000,0
a,a,N,114540,488,-23,0,a,2,8000,5000,0
a,a,W,316200,1089,-37,-21,a,3,2700,1000,0
a,a,N,209760,919,46,89,a,0,0,0,0
a,a,N,46300,197,-69,-63,a,1,5000,5000,0
a,a,W,372380,1264,-26,-9,a,0,0,0,0
a,a,N,47830,264,-65,-47,a,1,3000,3000,0
a,a,W,396530,1209,-10,-13,a,1,6000,6000,0
a,a,N,87740,357,-30,-24,a,0,0,0,0
a,a,N,74570,308,-41,-35,a,2,4000,3000,0
a,a,N,37490,224,-70,-51,a,0,0,0,0
a,a,W,303610,1034,-26,-21,a,0,0,0,0
a,a,W,278230,1060,-31,-18,a,1,900,900,0
a,a,N,64930,273,-35,-33,a,1,5000,5000,0
