Candidate name,Date,City,State,Primary Purpose,Host organization,Notes
Donald Trump,3/13/2023,Des Moines,Iowa,Rally,,
Nikki Haley,3/13/2023,Myrtle Beach,South Carolina,Rally,,
Nikki Haley,3/18/2023,Charleston,South Carolina,Candidate Forum,Palmetto Family Council,
Vivek Ramaswamy,3/18/2023,Charleston,South Carolina,Candidate Forum,Palmetto Family Council,
Donald Trump,3/25/2023,Waco,Texas,Rally,,
Vivek Ramaswamy,3/26/2023,Denison,Iowa,"Local event (e.g., Iowa State Fair)",Crawford County for Life Rally,
Nikki Haley,3/27/2023,Dover,New Hampshire,Town Hall,,
Nikki Haley,3/28/2023,Salem,New Hampshire,Town Hall,,
Vivek Ramaswamy,3/31/2023,Washington,District of Columbia,Speech,National Review Institute Ideas Summit,
Nikki Haley,4/3/2023,Del Rio,Texas,Border visit,,
Nikki Haley,4/3/2023,Eagle Pass,Texas,Border visit,,
Donald Trump,4/4/2023,Palm Beach,Florida,Speech,,
Nikki Haley,4/6/2023,Gilbert,South Carolina,Rally,,
Nikki Haley,4/10/2023,Salix,Iowa,Town Hall,,
Nikki Haley,4/10/2023,Sioux City,Iowa,,,
Nikki Haley,4/11/2023,Denison,Iowa,Meet and Greet,Iowa Federation of Republican Women,
Nikki Haley,4/11/2023,Fort Dodge,Iowa,Meet and Greet,,
Nikki Haley,4/11/2023,Newell,Iowa,Meet and Greet,,
Nikki Haley,4/11/2023,Storm Lake,Iowa,Meet and Greet,,
Nikki Haley,4/12/2023,Des Moines,Iowa,Rally,,
Asa Hutchinson,4/13/2023,Des Moines,Iowa,Town Hall,,
Vivek Ramaswamy,4/13/2023,Concord,New Hampshire,Speech,New Hampshire Senate,
Vivek Ramaswamy,4/13/2023,Henniker,New Hampshire,Town Hall,Center for Civic Engagement at New England College,
Vivek Ramaswamy,4/13/2023,Manchester,New Hampshire,Meet and Greet,Merrimack County Republican Committee,
Asa Hutchinson,4/14/2023,Ankeny,Iowa,Town Hall,,
Asa Hutchinson,4/14/2023,Bowling Green,Kentucky,Town Hall,,
Asa Hutchinson,4/14/2023,Indianapolis,Indiana,Speech,National Rifle Association,
Donald Trump,4/14/2023,Indianapolis,Indiana,Speech,National Rifle Association,
Vivek Ramaswamy,4/14/2023,Manchester,New Hampshire,"Local event (e.g., Iowa State Fair)",Made in NH Expo,
Vivek Ramaswamy,4/14/2023,Wolfeboro,New Hampshire,Town Hall,,
Vivek Ramaswamy,4/15/2023,Berlin,New Hampshire,Town Hall,,
Vivek Ramaswamy,4/15/2023,Conway,New Hampshire,Speech,Carroll County Lincoln Day,
Vivek Ramaswamy,4/15/2023,Littleton,New Hampshire,Meet and Greet,,
Vivek Ramaswamy,4/16/2023,Brentwood,New Hampshire,Town Hall,,
Vivek Ramaswamy,4/16/2023,Dover,New Hampshire,Meet and Greet,,
Vivek Ramaswamy,4/16/2023,Nashua,New Hampshire,Town Hall,,
Vivek Ramaswamy,4/17/2023,Portsmouth,New Hampshire,Meet and Greet,,
Vivek Ramaswamy,4/17/2023,Seabrook,New Hampshire,Meet and Greet,,
Asa Hutchinson,4/19/2023,Chicago,Illinois,Meet and Greet,University of Chicago College Republicans,
Vivek Ramaswamy,4/19/2023,Colombus,Ohio,Speech,Ohio State University College Republicans,
Donald Trump,4/21/2023,Fort Myers,Florida,Speech,Lee County Republicans,
Vivek Ramaswamy,4/21/2023,Maquoketa,Iowa,Speech,Jackson County Iowa Republican Central Committee,
Asa Hutchinson,4/22/2023,Clive,Iowa,Speech,Iowa Faith & Freedom Coalition,
Vivek Ramaswamy,4/22/2023,Clive,Iowa,Speech,Iowa Faith & Freedom Coalition,
Vivek Ramaswamy,4/22/2023,Jefferson,Iowa,Speech,Iowa FRW,
Vivek Ramaswamy,4/22/2023,Monticello,Iowa,Speech,The 9/12 Group,
Vivek Ramaswamy,4/23/2023,Des Moines,Iowa,Meet and Greet,,
Vivek Ramaswamy,4/24/2023,Council Bluffs,Iowa,Town Hall,,
Vivek Ramaswamy,4/24/2023,Johnston,Iowa,Meet and Greet,Moms for Liberty,
Nikki Haley,4/25/2023,Arlington,Virginia,Speech,Susan B. Anthony Foundation,
Asa Hutchinson,4/26/2023,Bentonville,Arkansas,Rally,,
Nikki Haley,4/26/2023,Bedford,New Hampshire,Town Hall,,
Donald Trump,4/27/2023,Manchester,New Hampshire,Rally,,
Nikki Haley,4/27/2023,Henniker,New Hampshire,Town Hall,,
Vivek Ramaswamy,4/27/2023,Columbia,South Carolina,Speech,Richland County GOP Convention,
Nikki Haley,4/28/2023,Laconia,New Hampshire,Town Hall,,
Vivek Ramaswamy,4/28/2023,Blythewood,South Carolina,Town Hall,Moms for Liberty,
Vivek Ramaswamy,4/28/2023,Lexington,South Carolina,Meet and Greet,,
Vivek Ramaswamy,4/29/2023,Greenville,South Carolina,Meet and Greet,,
Vivek Ramaswamy,4/29/2023,Irmo,South Carolina,Meet and Greet,,
Vivek Ramaswamy,4/29/2023,Spartanburg,South Carolina,Town Hall,Carolina Pregnancy Center,
Asa Hutchinson,5/1/2023,Iowa City,Iowa,Speech,Iowa College Republicans,
Asa Hutchinson,5/1/2023,Iowa City,Iowa,Meet and Greet,,
Asa Hutchinson,5/1/2023,Tipton,Iowa,Meet and Greet,,
Asa Hutchinson,5/2/2023,Cedar Rapids,Iowa,Town Hall,,
Asa Hutchinson,5/2/2023,Washington,Iowa,Meet and Greet,,
Vivek Ramaswamy,5/2/2023,Bedford,New Hampshire,Town Hall,,
Vivek Ramaswamy,5/3/2023,Keene,New Hampshire,Meet and Greet,,
Vivek Ramaswamy,5/3/2023,Windham,New Hampshire,Town Hall,Salem GOP,
Nikki Haley,5/4/2023,Greer,South Carolina,Rally,,
Vivek Ramaswamy,5/4/2023,Durham,New Hampshire,Meet and Greet,University of New Hampshire College Republicans,
Vivek Ramaswamy,5/4/2023,Manchester,New Hampshire,Town Hall,WMUR,
Vivek Ramaswamy,5/4/2023,Seabrook,New Hampshire,Meet and Greet,,
Vivek Ramaswamy,5/6/2023,Highland,Michigan,"Local event (e.g., Iowa State Fair)",,
Vivek Ramaswamy,5/7/2023,Howell,Michigan,Meet and Greet,Livingston County Republican Party,
Vivek Ramaswamy,5/7/2023,Novi,Michigan,Meet and Greet,,
Vivek Ramaswamy,5/9/2023,Treynor,Iowa,Panel Discussion,,
Asa Hutchinson,5/10/2023,,New Hampshire,Town Hall,New Hampshire Federation of Republican Women,
Asa Hutchinson,5/10/2023,,New Hampshire,Meet and Greet,New Hampshire Home Builders Association,
Donald Trump,5/10/2023,Goffstown,New Hampshire,Town Hall,CNN,
Vivek Ramaswamy,5/10/2023,Cedar Rapids,Iowa,Meet and Greet,,
Vivek Ramaswamy,5/10/2023,Iowa City,Iowa,Speech,Johnson County Republican Central Committee,
Vivek Ramaswamy,5/11/2023,Urbandale,Iowa,Rally,,
Vivek Ramaswamy,5/12/2023,Goose Lake,Iowa,Speech,Clinton County Iowa Republican Central Committee,
Vivek Ramaswamy,5/13/2023,Cedar Rapids,Iowa,Meet and Greet,,focused on business owners
Vivek Ramaswamy,5/15/2023,Florence,Kentucky,Rally,,
Vivek Ramaswamy,5/15/2023,Lexington,Kentucky,Rally,,
Asa Hutchinson,5/17/2023,Cedar Falls,Iowa,Meet and Greet,,
Asa Hutchinson,5/17/2023,Cedar Rapids,Iowa,,,
Asa Hutchinson,5/17/2023,Davenport,Iowa,Meet and Greet,,
Nikki Haley,5/17/2023,Ankeny,Iowa,Town Hall,,
Asa Hutchinson,5/18/2023,Davenport,Iowa,Meet and Greet,,
Asa Hutchinson,5/18/2023,Davenport,Iowa,Meet and Greet,,
Asa Hutchinson,5/18/2023,Muscatine,Iowa,,,
Nikki Haley,5/18/2023,Dubuque,Iowa,Town Hall,,
Nikki Haley,5/18/2023,Waterloo,Iowa,Town Hall,,
Asa Hutchinson,5/19/2023,Clinton,Iowa,Meet and Greet,,
Nikki Haley,5/19/2023,Davenport,Iowa,Town Hall,,
Vivek Ramaswamy,5/19/2023,Chicago,Illinois,Town Hall,,
Vivek Ramaswamy,5/20/2023,Miami Beach,Florida,Speech,Bitcoin 2023,
Asa Hutchinson,5/22/2023,York County,South Carolina,Meet and Greet,York County Reaganites,
Tim Scott,5/22/2023,North Charleston,South Carolina,Rally,,
Asa Hutchinson,5/23/2023,Columbia,South Carolina,Meet and Greet,Richland County Republican Party,
Asa Hutchinson,5/23/2023,,South Carolina,Meet and Greet,Electric Cooperatives of South Carolina,
Nikki Haley,5/23/2023,Atkinson,New Hampshire,Speech,Rockingham County Republican Party,
Nikki Haley,5/24/2023,Bedford,New Hampshire,Meet and Greet,,
Nikki Haley,5/24/2023,Concord,New Hampshire,Meet and Greet,,
Nikki Haley,5/24/2023,Goffstown,New Hampshire,Meet and Greet,New Hampshire Institute of Politics,
Nikki Haley,5/24/2023,Rye,New Hampshire,Meet and Greet,,
Tim Scott,5/24/2023,Sioux City,Iowa,Town Hall,,
Tim Scott,5/24/2023,Sioux City,Iowa,School Tour,,
Tim Scott,5/25/2023,Manchester,New Hampshire,Speech,New Hampshire Federation of Republican Women,
Tim Scott,5/25/2023,Merrimack,New Hampshire,Town Hall,,
Vivek Ramaswamy,5/26/2023,Cedar Falls,Iowa,Business Roundtable,,
Vivek Ramaswamy,5/27/2023,Des Moines,Iowa,"Local event (e.g., Iowa State Fair)",,
Vivek Ramaswamy,5/27/2023,Osceola,Iowa,Town Hall,"Ringgold, Clarke, Decatur County Republican Party, Southern Iowa Republican Women's Group",
Vivek Ramaswamy,5/27/2023,Urbandale,Iowa,Meet and Greet,,
Tim Scott,5/28/2023,Goose Creek,South Carolina,Town Hall,,
Ron DeSantis,5/30/2023,Clive,Iowa,Rally,DeSantis campaign,It was his campaign kick off
Asa Hutchinson,5/31/2023,Manchester,New Hampshire,Candidate Forum,WMUR,
Nikki Haley,5/31/2023,Stamford,Connecticut,Speech,Connecticut Republican Party,
Ron DeSantis,5/31/2023,Cedar Rapids,Iowa,Rally,DeSantis Campaign,
