Contracting Party,Treaty,Signature Date,Instrument Type,Instrument Date,Entry Into Force Date
Antigua and Barbuda,Berne,,Accession,1999-12-17,2000-03-17
Argentina,Berne,,Accession,1967-05-05,1967-06-10
Armenia,Berne,,Accession,2000-07-19,2000-10-19
Australia,Berne,,Declaration of Continued Application,1928-04-14,1928-04-14
Austria,Berne,,Accession,1920-09-11,1920-10-01
Azerbaijan,Berne,,Accession,1999-03-04,1999-06-04
Bahamas,Berne,,Declaration of Continued Application,1976-07-05,1973-07-10
Bahrain,Berne,,Accession,1996-11-29,1997-03-02
Bangladesh,Berne,,Accession,1999-02-04,1999-05-04
Barbados,Berne,,Accession,1983-03-16,1983-07-30
Belarus,Berne,,Accession,1997-09-12,1997-12-12
Belgium,Berne,1886-09-09,Ratification,1887-09-05,1887-12-05
Belize,Berne,,Accession,2000-03-17,2000-06-17
Benin,Berne,,Declaration of Continued Application,1961-01-03,1960-08-01
Bhutan,Berne,,Accession,2004-08-25,2004-11-25
Bolivia (Plurinational State of),Berne,,Accession,1993-08-04,1993-11-04
Bosnia and Herzegovina,Berne,,Declaration of Continued Application,1993-06-02,1992-03-01
Botswana,Berne,,Accession,1998-01-15,1998-04-15
Brazil,Berne,,Accession,1922-02-06,1922-02-09
Brunei Darussalam,Berne,,Accession,2006-05-30,2006-08-30
Bulgaria,Berne,,Accession,1921-12-05,1921-12-05
Burkina Faso,Berne,,Accession,1963-04-26,1963-08-19
Burundi,Berne,,Accession,2016-01-12,2016-04-12
Cabo Verde,Berne,,Accession,1997-04-07,1997-07-07
Cambodia,Berne,,Accession,2021-12-09,2022-03-09
Cameroon,Berne,,Declaration of Continued Application,1964-09-21,1960-01-01
Canada,Berne,,Declaration of Continued Application,1928-04-10,1928-04-10
Central African Republic,Berne,,Accession,1977-05-31,1977-09-03
Chad,Berne,,Accession,1971-08-04,1971-11-25
Chile,Berne,,Accession,1970-04-09,1970-06-05
China,Berne,,Accession,1992-07-10,1992-10-15
Colombia,Berne,,Accession,1987-12-04,1988-03-07
Comoros,Berne,,Accession,2005-01-17,2005-04-17
Congo,Berne,,Declaration of Continued Application,1962-05-08,1960-08-15
Cook Islands,Berne,,Accession,2017-05-03,2017-08-03
Costa Rica,Berne,,Accession,1978-03-03,1978-06-10
Côte d'Ivoire,Berne,,Accession,1961-07-08,1962-01-01
Croatia,Berne,,Declaration/Notification of Succession,1992-07-28,1991-10-08
Cuba,Berne,,Accession,1996-11-20,1997-02-20
Cyprus,Berne,,Declaration of Continued Application,1964-02-24,1960-08-16
Czech Republic,Berne,,Declaration of Continued Application,1992-12-18,1993-01-01
Democratic People's Republic of Korea,Berne,,Accession,2003-01-28,2003-04-28
Democratic Republic of the Congo,Berne,,Declaration of Continued Application,1963-10-08,1960-06-30
Denmark,Berne,,Accession,1903-06-13,1903-07-01
Djibouti,Berne,,Accession,2002-02-13,2002-05-13
Dominica,Berne,,Accession,1999-05-07,1999-08-07
Dominican Republic,Berne,,Accession,1997-09-24,1997-12-24
