Symbol,Security Name
ACGLN,"Arch Capital Group Ltd. - Depositary Shares, each Representing a 1/1,000th Interest in a 4.550% Non-Cumulative Preferred Share, Series G"
ACGLO,"Arch Capital Group Ltd. - Depositary Shares Each Representing 1/1,000th Interest in a Share of5.45% Non-Cumulative Preferred Shares, Series F"
ACHC,"Acadia Healthcare Company, Inc. - Common Stock"
ACHV,"Achieve Life Sciences, Inc.  - Common Shares"
ACIC,American Coastal Insurance Corporation - Common Stock
ACIU,AC Immune SA - Common Stock
ACIW,"ACI Worldwide, Inc. - Common Stock"
ACLS,"Axcelis Technologies, Inc. - Common Stock"
ACMR,"ACM Research, Inc. - Class A Common Stock"
ACNB,ACNB Corporation - Common Stock
ACNT,Ascent Industries Co. - Common Stock
ACOG,Alpha Cognition Inc. - Common Stock
ACON,"Aclarion, Inc. - Common Stock"
ACONW,"Aclarion, Inc. - Warrant"
ACRS,"Aclaris Therapeutics, Inc. - Common Stock"
ACRV,"Acrivon Therapeutics, Inc. - Common Stock"
ACT,"Enact Holdings, Inc. - Common Stock"
ACTG,Acacia Research Corporation - Common Stock
ACTU,"Actuate Therapeutics, Inc. - Common stock"
ACWI,iShares MSCI ACWI ETF
ACWX,iShares MSCI ACWI ex U.S. ETF
ACXP,"Acurx Pharmaceuticals, Inc. - Common Stock"
ADAC,American Drive Acquisition Company - Class A Ordinary Shares
ADACU,American Drive Acquisition Company - Units
ADACW,American Drive Acquisition Company - Warrant
ADAG,"Adagene Inc. - ADS, each representing 1.25 ordinary shares"
ADAM,"Adamas Trust, Inc. - Common Stock"
ADAMG,"Adamas Trust, Inc. - 9.125% Senior Notes Due 2030"
ADAMH,"Adamas Trust, Inc. - 9.875% Senior Notes Due 2030"
ADAMI,"Adamas Trust, Inc. - 9.125% Senior Notes Due 2029"
ADAML,"Adamas Trust, Inc. - 6.875% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock, $0.01 par value per share"
ADAMM,"Adamas Trust, Inc. - 7.875% Series E Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock"
ADAMN,"Adamas Trust, Inc. - 8.00% Series D Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock"
ADAMO,"Adamas Trust, Inc. - 9.250% Senior Notes Due 2031"
ADAMZ,"Adamas Trust, Inc. - 7.000% Series G Cumulative Redeemable Preferred Stock, $0.01 par value per share"
ADBE,Adobe Inc. - Common Stock
ADBG,Leverage Shares 2X Long ADBE Daily ETF
ADEA,Adeia Inc.  - Common Stock
ADGM,"Adagio Medical Holdings, Inc - Common Stock"
ADI,"Analog Devices, Inc. - Common Stock"
ADIL,"Adial Pharmaceuticals, Inc - Common Stock"
ADMA,ADMA Biologics Inc - Common Stock
ADP,"Automatic Data Processing, Inc. - Common Stock"
ADPT,Adaptive Biotechnologies Corporation - Common Stock
ADSE,ADS-TEC ENERGY PLC - Ordinary Shares
ADSEW,ADS-TEC ENERGY PLC - Warrant
ADSK,"Autodesk, Inc. - Common Stock"
ADTN,"ADTRAN Holdings, Inc. - Common Stock"
ADTX,"Aditxt, Inc. - Common Stock"
ADUR,Aduro Clean Technologies Inc. - Common Stock
ADUS,Addus HomeCare Corporation - Common Stock
ADV,Advantage Solutions Inc.  - Class A Common Stock
ADVB,Advanced Biomed Inc. - Common Stock
ADXN,Addex Therapeutics Ltd - American Depositary Shares
AEAQ,Activate Energy Acquisition Corp. - Class A Ordinary Share
AEAQU,Activate Energy Acquisition Corp. - Unit
AEAQW,Activate Energy Acquisition Corp. - Warrant
AEBI,Aebi Schmidt Holding AG - Common Stock
AEC,Anfield Energy Inc. - Common Shares
AEHL,Antelope Enterprise Holdings Limited - Class A Ordinary Shares
AEHR,Aehr Test Systems - Common Stock
AEI,Alset Inc. - Common Stock
AEIS,"Advanced Energy Industries, Inc. - Common Stock"
AEMD,"Aethlon Medical, Inc. - Common Stock"
AENT,Alliance Entertainment Holding Corporation - common stock
AENTW,Alliance Entertainment Holding Corporation - Warrants
AEP,"American Electric Power Company, Inc. - Common Stock"
AERT,"Aeries Technology, Inc. - Class A Ordinary Share"
AERTW,"Aeries Technology, Inc. - Warrant"
AEVA,"Aeva Technologies, Inc. - Common Stock"
AEYE,"AudioEye, Inc. - Common Stock"
AFBI,"Affinity Bancshares, Inc. - Common Stock"
AFCG,Advanced Flower Capital Inc. - Common Stock
AFJK,"Aimei Health Technology Co., Ltd - Ordinary Share"
AFJKR,"Aimei Health Technology Co., Ltd - Right"
AFJKU,"Aimei Health Technology Co., Ltd - Unit"
AFOS,ARS Focused Opportunity Strategy ETF
AFRI,Forafric Global PLC - Ordinary Shares
AFRIW,Forafric Global PLC - Warrants
AFRM,"Affirm Holdings, Inc. - Class A Common Stock"
AFSC,abrdn Focused U.S. Small Cap Active ETF
AFYA,Afya Limited - Class A Common Shares
AGCC,Agencia Comercial Spirits Ltd - Class A Ordinary Share
AGEM,abrdn Emerging Markets Dividend Active ETF
AGEN,Agenus Inc. - Common Stock
AGGA,EA Astoria Dynamic Core US Fixed Income ETF
AGIO,"Agios Pharmaceuticals, Inc. - Common Stock"
