Symbol,Name,Sector
CFG,Citizens Financial Group,Regional Banks
CLX,Clorox,Household Products
CME,CME Group,Financial Exchanges & Data
CMS,CMS Energy,Multi-Utilities
KO,Coca-Cola Company (The),Soft Drinks & Non-alcoholic Beverages
CTSH,Cognizant,IT Consulting & Other Services
CL,Colgate-Palmolive,Household Products
CMCSA,Comcast,Cable & Satellite
CAG,Conagra Brands,Packaged Foods & Meats
COP,ConocoPhillips,Oil & Gas Exploration & Production
ED,Consolidated Edison,Multi-Utilities
STZ,Constellation Brands,Distillers & Vintners
CEG,Constellation Energy,Electric Utilities
COO,Cooper Companies (The),Health Care Supplies
CPRT,Copart,Diversified Support Services
GLW,Corning Inc.,Electronic Components
CPAY,Corpay,Transaction & Payment Processing Services
CTVA,Corteva,Fertilizers & Agricultural Chemicals
CSGP,CoStar Group,Real Estate Services
COST,Costco,Consumer Staples Merchandise Retail
CTRA,Coterra,Oil & Gas Exploration & Production
CRWD,CrowdStrike,Systems Software
CCI,Crown Castle,Telecom Tower REITs
CSX,CSX Corporation,Rail Transportation
CMI,Cummins,Construction Machinery & Heavy Transportation Equipment
CVS,CVS Health,Health Care Services
DHI,D. R. Horton,Homebuilding
DHR,Danaher Corporation,Life Sciences Tools & Services
DRI,Darden Restaurants,Restaurants
DVA,DaVita,Health Care Services
DAY,Dayforce,Human Resource & Employment Services
DECK,Deckers Brands,Footwear
DE,Deere & Company,Agricultural & Farm Machinery
DELL,Dell Technologies,"Technology Hardware, Storage & Peripherals"
DAL,Delta Air Lines,Passenger Airlines
DVN,Devon Energy,Oil & Gas Exploration & Production
DXCM,Dexcom,Health Care Equipment
FANG,Diamondback Energy,Oil & Gas Exploration & Production
DLR,Digital Realty,Data Center REITs
