name,country,subcountry,geonameid
Al Murar al Qadīm,United Arab Emirates,Dubai,8226590
Al Warqaa,United Arab Emirates,Dubai,8469658
International City,United Arab Emirates,Dubai,8469668
Dubai Marina,United Arab Emirates,Dubai,8469788
Dubai Internet City,United Arab Emirates,Dubai,8469811
Al Safa,United Arab Emirates,Dubai,8469819
Ar Rumaylah,United Arab Emirates,Ajman,8475866
Al Jurf,United Arab Emirates,Ajman,8475923
Al Majaz,United Arab Emirates,Sharjah,8476509
Dubai Festival City,United Arab Emirates,Dubai,8541937
Dubai International Financial Centre,United Arab Emirates,Dubai,8541977
Dubai Investments Park,United Arab Emirates,Dubai,11048853
Jebel Ali,United Arab Emirates,Dubai,11524601
Bani Yas City,United Arab Emirates,Abu Dhabi,12042052
Musaffah,United Arab Emirates,Abu Dhabi,12042053
Al Shamkhah City,United Arab Emirates,Abu Dhabi,12047416
Reef Al Fujairah City,United Arab Emirates,Fujairah,12047417
Al Bada'a,United Arab Emirates,Dubai,13118420
Al Muteena,United Arab Emirates,Dubai,13118421
Al Mizhar First,United Arab Emirates,Dubai,13118422
Dubai Silicon Oasis,United Arab Emirates,Dubai,13118424
Al Furjan,United Arab Emirates,Dubai,13118431
Business Bay,United Arab Emirates,Dubai,13118432
Al Qusais 1,United Arab Emirates,Dubai,13118433
Halwan,United Arab Emirates,Sharjah,13118437
Al Sajaah,United Arab Emirates,Sharjah,13118438
Lahbab,United Arab Emirates,Dubai,13118439
Mohammed Bin Zayed City,United Arab Emirates,Abu Dhabi,13118447
Zaranj,Afghanistan,Nimroz,1120985
Bāzār-e Yakāwlang,Afghanistan,Bamyan,1121381
Taloqan,Afghanistan,Takhar,1123004
Shīnḏanḏ,Afghanistan,Herat,1125155
Shibirghān,Afghanistan,Jowzjan,1125444
Shahrak,Afghanistan,Ghowr,1125896
Sar-e Pul,Afghanistan,Sar-e Pol Province,1127110
Sang-e Chārak,Afghanistan,Sar-e Pol Province,1127628
Aībak,Afghanistan,Samangan,1127768
Rustāq,Afghanistan,Takhar,1128265
Qarqīn,Afghanistan,Jowzjan,1129516
Qarāwul,Afghanistan,Kunduz,1129648
Pul-e Khumrī,Afghanistan,Baghlan,1130490
Paghmān,Afghanistan,Kabul,1131316
Nīlī,Afghanistan,Daykundi,1131833
Nahrīn,Afghanistan,Baghlan,1132495
Maymana,Afghanistan,Faryab,1133453
Mehtar Lām,Afghanistan,Laghman,1133574
Mazār-e Sharīf,Afghanistan,Balkh,1133616
Lashkar Gāh,Afghanistan,Helmand,1134720
Kushk,Afghanistan,Herat,1135158
Kunduz,Afghanistan,Kunduz,1135689
Khōst,Afghanistan,Khowst,1136469
Khulm,Afghanistan,Balkh,1136575
Khāsh,Afghanistan,Nimroz,1136863
Khān Neshīn,Afghanistan,Helmand,1137079
Khanabad,Afghanistan,Kunduz,1137168
Karukh,Afghanistan,Herat,1137807
Kandahār,Afghanistan,Kandahar,1138336
Kabul,Afghanistan,Kabul,1138958
Jurm,Afghanistan,Badakhshan,1139085
Jalālābād,Afghanistan,Nangarhar,1139715
Jabal os Saraj,Afghanistan,Parwan,1139807
Herāt,Afghanistan,Herat,1140026
Ghormach,Afghanistan,Badghis,1141089
Ghazni,Afghanistan,Ghazni,1141269
Gereshk,Afghanistan,Helmand,1141540
Gardez,Afghanistan,Paktia,1141857
Fayzabad,Afghanistan,Badakhshan,1142170
Farah,Afghanistan,Farah,1142264
Istālif,Afghanistan,Kabul,1142330
Eslam Qaleh,Afghanistan,Herat,1142404
Charikar,Afghanistan,Parwan,1145352
Baraki Barak,Afghanistan,Logar,1147066
Bāmyān,Afghanistan,Bamyan,1147242
Balkh,Afghanistan,Balkh,1147290
Bahārak,Afghanistan,Badakhshan,1147489
Baghlān,Afghanistan,Baghlan,1147540
Ārt Khwājah,Afghanistan,Takhar,1148106
Āsmār,Afghanistan,Kunar,1148205
Asadābād,Afghanistan,Kunar,1148311
Andkhoy,Afghanistan,Faryab,1148658
Bāzārak,Afghanistan,Panjshir,1429434
Markaz-e Woluswalī-ye Āchīn,Afghanistan,Nangarhar,1469706
Saint John’s,Antigua and Barbuda,Saint John Parish,3576022
The Valley,Anguilla,The Valley,3573374
Sarandë,Albania,Vlore County,363243
Pogradec,Albania,Korce County,781988
Librazhd,Albania,Elbasan County,782519
Kukës,Albania,Kukes County,782661
Korçë,Albania,Korce County,782756
Gjirokastër,Albania,Gjirokaster County,783148
Elbasan,Albania,Elbasan County,783263
Bulqizë,Albania,Diber County,783508
Vlorë,Albania,Vlore County,3183719
Tirana,Albania,Tirana,3183875
Shkodër,Albania,Shkoder County,3184081
Rrashbull,Albania,Durres County,3184271
Peqin,Albania,Elbasan County,3184497
Patos Fshat,Albania,Fier County,3184517
Patos,Albania,Fier County,3184518
Lushnjë,Albania,Fier County,3184862
Lezhë,Albania,Lezhe County,3184935
Kuçovë,Albania,Berat County,3185060
Krujë,Albania,Durres County,3185082
Kavajë,Albania,Tirana,3185211
Fushë-Krujë,Albania,Durres County,3185638
Fier-Çifçi,Albania,Fier County,3185670
Fier,Albania,Fier County,3185672
Durrës,Albania,Durres County,3185728
Berat,Albania,Berat County,3186084
Kapan,Armenia,Syunik,174875
Goris,Armenia,Syunik,174895
Artashat,Armenia,Ararat,174979
Ararat,Armenia,Ararat,174991
