Entity,Year,Bottom decile income/consumption per day,Difference between top and bottom decile income/consumption per day,World Bank region (including Advanced Industrialized category),pop
Argentina-Urban (inc),2004,1.790446,52.28102,Latin America and Caribbean,34.82
Argentina-Urban (inc),2005,2.012605,57.48826,Latin America and Caribbean,35.26
Argentina-Urban (inc),2006,2.270255,62.37431,Latin America and Caribbean,35.71
Argentina-Urban (inc),2007,2.49161,63.61516,Latin America and Caribbean,36.15
Argentina-Urban (inc),2008,2.630117,61.34243,Latin America and Caribbean,36.6
Argentina-Urban (inc),2009,2.69507,62.76565,Latin America and Caribbean,37.04
Argentina-Urban (inc),2010,3.513474,63.74136,Latin America and Caribbean,37.5
Argentina-Urban (inc),2011,3.953185,67.08787,Latin America and Caribbean,37.96
Argentina-Urban (inc),2012,3.981597,64.14539,Latin America and Caribbean,38.43
Argentina-Urban (inc),2013,4.130731,63.8871,Latin America and Caribbean,38.9
Argentina-Urban (inc),2014,3.92292,59.05701,Latin America and Caribbean,39.37
Argentina-Urban (inc),2016,4.232532,67.60424,Latin America and Caribbean,40.29
Armenia (cons),1999,1.223629,10.70273,Eastern Europe and Central Asia,3.09
Armenia (cons),2001,1.220031,9.909404,Eastern Europe and Central Asia,3.05
Armenia (cons),2002,1.33999,10.29465,Eastern Europe and Central Asia,3.03
Armenia (cons),2003,1.51741,10.11057,Eastern Europe and Central Asia,3.02
Armenia (cons),2004,1.574597,14.62637,Eastern Europe and Central Asia,3
Armenia (cons),2005,1.875821,15.46285,Eastern Europe and Central Asia,2.98
Armenia (cons),2006,2.028057,11.26578,Eastern Europe and Central Asia,2.96
Armenia (cons),2007,2.125733,13.08749,Eastern Europe and Central Asia,2.93
Armenia (cons),2008,2.383161,12.28101,Eastern Europe and Central Asia,2.91
Armenia (cons),2009,2.195265,10.41513,Eastern Europe and Central Asia,2.89
Armenia (cons),2010,2.18488,11.87361,Eastern Europe and Central Asia,2.88
Armenia (cons),2011,2.196007,11.54767,Eastern Europe and Central Asia,2.88
Armenia (cons),2012,2.251198,12.32516,Eastern Europe and Central Asia,2.88
Armenia (cons),2013,2.194052,13.02256,Eastern Europe and Central Asia,2.89
Armenia (cons),2014,2.225064,14.04572,Eastern Europe and Central Asia,2.91
Armenia (cons),2015,2.290362,15.82247,Eastern Europe and Central Asia,2.92
Armenia (cons),2016,2.329781,15.68149,Eastern Europe and Central Asia,2.92
Armenia (inc),1996,1.228389,17.58199,Eastern Europe and Central Asia,3.17
Australia (inc),1981,9.55455,70.23793,Advanced industrial economies,14.93
Australia (inc),1985,9.636938,76.31604,Advanced industrial economies,15.76
Australia (inc),1989,9.609976,80.19234,Advanced industrial economies,16.81
Australia (inc),1995,9.556979,72.93484,Advanced industrial economies,18.07
Australia (inc),2001,10.62555,86.24081,Advanced industrial economies,19.41
Australia (inc),2003,10.83192,89.04475,Advanced industrial economies,19.9
Australia (inc),2008,15.40431,134.6918,Advanced industrial economies,21.25
Australia (inc),2010,15.07922,129.3207,Advanced industrial economies,22.03
Austria (inc),2003,16.21784,98.62994,Advanced industrial economies,8.12
Austria (inc),2004,17.78704,105.3779,Advanced industrial economies,8.17
Austria (inc),2005,17.29526,95.51922,Advanced industrial economies,8.23
Austria (inc),2006,17.29999,102.5353,Advanced industrial economies,8.27
Austria (inc),2007,16.12139,109.3726,Advanced industrial economies,8.3
Austria (inc),2008,16.17684,112.8094,Advanced industrial economies,8.32
Austria (inc),2009,15.69799,121.0908,Advanced industrial economies,8.34
Austria (inc),2010,17.31341,114.5823,Advanced industrial economies,8.36
Austria (inc),2011,16.11214,113.9948,Advanced industrial economies,8.39
Austria (inc),2012,15.36774,110.5295,Advanced industrial economies,8.43
Austria (inc),2013,17.52977,119.1573,Advanced industrial economies,8.48
Austria (inc),2014,17.20403,116.2105,Advanced industrial economies,8.54
Austria (inc),2015,16.53144,115.1672,Advanced industrial economies,8.63
Azerbaijan (cons),1995,1.51548,13.56608,Eastern Europe and Central Asia,7.69
Azerbaijan (cons),2001,2.10471,18.19267,Eastern Europe and Central Asia,8.11
Azerbaijan (cons),2002,4.611953,9.44771,Eastern Europe and Central Asia,8.17
Azerbaijan (cons),2003,4.442307,10.30517,Eastern Europe and Central Asia,8.23
Azerbaijan (cons),2004,5.050705,9.21109,Eastern Europe and Central Asia,8.31
Azerbaijan (cons),2005,5.037564,9.340139,Eastern Europe and Central Asia,8.39
Bangladesh (cons),1984,1.097109,4.712522,South Asia,90.73
Bangladesh (cons),1986,1.30911,5.546878,South Asia,95.74
Bangladesh (cons),1989,1.072801,5.26601,South Asia,100.98
Bangladesh (cons),1992,0.9679404,4.503742,South Asia,111.22
Bangladesh (cons),1996,1.075349,6.934144,South Asia,121.27
Bangladesh (cons),2000,1.101589,7.104364,South Asia,131.58
Bangladesh (cons),2005,1.26588,7.94052,South Asia,143.43
Bangladesh (cons),2010,1.354862,8.118618,South Asia,152.15
Bangladesh (cons),2016,1.427004,8.920702,South Asia,162.95
Belarus (cons),1998,1.387559,9.655283,Eastern Europe and Central Asia,10.07
Belarus (cons),1999,1.396893,9.909943,Eastern Europe and Central Asia,10.03
Belarus (cons),2000,1.613234,10.93762,Eastern Europe and Central Asia,9.98
Belarus (cons),2001,2.112802,13.43509,Eastern Europe and Central Asia,9.93
Belarus (cons),2002,2.385016,14.71591,Eastern Europe and Central Asia,9.87
Belarus (cons),2003,2.534247,14.08895,Eastern Europe and Central Asia,9.8
Belarus (cons),2004,3.167779,14.44474,Eastern Europe and Central Asia,9.73
Belarus (cons),2005,3.681954,18.43005,Eastern Europe and Central Asia,9.66
Belarus (cons),2006,4.232305,22.02909,Eastern Europe and Central Asia,9.6
Belarus (cons),2007,4.729441,27.02923,Eastern Europe and Central Asia,9.56
Belarus (cons),2008,5.166445,26.09825,Eastern Europe and Central Asia,9.53
Belarus (cons),2009,5.246163,26.68332,Eastern Europe and Central Asia,9.51
Belarus (cons),2010,5.82276,30.62931,Eastern Europe and Central Asia,9.49
Belarus (cons),2011,6.160944,29.54638,Eastern Europe and Central Asia,9.47
Belarus (cons),2012,7.247126,32.64867,Eastern Europe and Central Asia,9.46
Belarus (cons),2013,8.099583,36.90717,Eastern Europe and Central Asia,9.47
Belarus (cons),2014,8.328916,39.60484,Eastern Europe and Central Asia,9.47
Belarus (cons),2015,8.002874,36.6966,Eastern Europe and Central Asia,9.49
Belarus (cons),2016,7.863942,36.58864,Eastern Europe and Central Asia,9.51
Belarus (inc),1993,3.371588,10.05938,Eastern Europe and Central Asia,10.24
Belarus (inc),1995,3.503941,19.80399,Eastern Europe and Central Asia,10.19
Belgium (inc),2003,14.14987,81.74999,Advanced industrial economies,10.38
Belgium (inc),2004,15.73406,101.1076,Advanced industrial economies,10.42
Belgium (inc),2005,15.80905,95.13329,Advanced industrial economies,10.48
Belgium (inc),2006,15.63287,86.71213,Advanced industrial economies,10.55
Belgium (inc),2007,15.89908,94.73591,Advanced industrial economies,10.63
Belgium (inc),2008,16.35078,91.85992,Advanced industrial economies,10.71
Belgium (inc),2009,15.55688,93.72661,Advanced industrial economies,10.8
Belgium (inc),2010,15.72894,92.89159,Advanced industrial economies,10.9
Belgium (inc),2011,15.43889,88.71532,Advanced industrial economies,11.05
Belgium (inc),2012,16.1174,89.02943,Advanced industrial economies,11.13
Belgium (inc),2013,15.89245,88.50945,Advanced industrial economies,11.18
Belgium (inc),2014,16.56745,91.94453,Advanced industrial economies,11.21
Belgium (inc),2015,16.86158,91.95443,Advanced industrial economies,11.27
Belize (cons),1995,1.037269,59.98178,Latin America and Caribbean,0.21
Belize (inc),1993,0.9524564,56.3406,Latin America and Caribbean,0.2
Belize (inc),1994,1.078444,56.11174,Latin America and Caribbean,0.2
Belize (inc),1996,0.8845276,39.8738,Latin America and Caribbean,0.21
Belize (inc),1997,0.5792403,44.94543,Latin America and Caribbean,0.22
Belize (inc),1998,0.8492166,35.1889,Latin America and Caribbean,0.23
Belize (inc),1999,0.7686947,34.30197,Latin America and Caribbean,0.24
Benin (cons),2003,0.7393374,7.30548,Sub-Saharan Africa,7.52
Benin (cons),2011,0.6665859,8.676455,Sub-Saharan Africa,9.46
Benin (cons),2015,0.2714301,9.939772,Sub-Saharan Africa,10.58
Bhutan (cons),2003,1.372265,14.36239,South Asia,0.62
Bhutan (cons),2007,1.61242,15.73439,South Asia,0.69
Bhutan (cons),2012,2.22203,22.61623,South Asia,0.75
Bhutan (cons),2017,2.405645,22.11613,South Asia,0.81
Bolivia (inc),1991,1.776116,22.52299,Latin America and Caribbean,6.86
Bolivia (inc),1997,0.4497692,42.05342,Latin America and Caribbean,7.87
Bolivia (inc),1999,0.2133054,34.73597,Latin America and Caribbean,8.18
Bolivia (inc),2000,0.1838545,36.45681,Latin America and Caribbean,8.34
Bolivia (inc),2001,0.3734452,34.71452,Latin America and Caribbean,8.5
Bolivia (inc),2002,0.3017595,36.71143,Latin America and Caribbean,8.65
Bolivia (inc),2004,0.8405523,39.28668,Latin America and Caribbean,8.97
Bolivia (inc),2005,0.4859178,43.50908,Latin America and Caribbean,9.13
Bolivia (inc),2006,0.6004859,44.49808,Latin America and Caribbean,9.28
Bolivia (inc),2007,0.8042933,42.33882,Latin America and Caribbean,9.44
Bolivia (inc),2008,0.951673,40.72728,Latin America and Caribbean,9.6
