TL,TM,TR,ML,MM,MR,BL,BM,BR,class
x,x,x,b,b,o,x,o,o,true
x,x,x,b,b,o,o,x,o,true
x,x,x,b,b,o,o,o,x,true
x,x,x,b,b,o,o,b,b,true
x,x,x,b,b,o,b,o,b,true
x,x,x,b,b,o,b,b,o,true
x,x,x,b,b,b,o,o,b,true
x,x,x,b,b,b,o,b,o,true
x,x,x,b,b,b,b,o,o,true
x,x,o,x,x,o,o,o,x,true
x,x,o,x,o,x,x,o,o,true
x,x,o,x,o,o,x,o,x,true
x,x,o,x,o,o,x,b,b,true
x,x,o,x,o,b,x,o,b,true
x,x,o,x,o,b,x,b,o,true
x,x,o,x,b,o,x,o,b,true
x,x,o,x,b,b,x,o,o,true
x,x,o,o,x,x,o,x,o,true
x,x,o,o,x,x,o,o,x,true
x,x,o,o,x,o,x,o,x,true
x,x,o,o,x,o,o,x,x,true
x,x,o,o,x,o,b,x,b,true
x,x,o,o,x,o,b,b,x,true
x,x,o,o,x,b,o,x,b,true
x,x,o,o,x,b,o,b,x,true
x,x,o,o,x,b,b,x,o,true
x,x,o,o,x,b,b,o,x,true
x,x,o,b,x,o,o,x,b,true
x,x,o,b,x,o,o,b,x,true
x,x,o,b,x,o,b,o,x,true
x,x,o,b,x,b,o,x,o,true
x,x,o,b,x,b,o,o,x,true
x,x,b,x,o,o,x,o,b,true
x,x,b,x,o,o,x,b,o,true
x,x,b,x,o,b,x,o,o,true
x,x,b,x,b,o,x,o,o,true
x,x,b,o,x,o,o,x,b,true
x,x,b,o,x,o,o,b,x,true
x,x,b,o,x,o,b,x,o,true
x,x,b,o,x,o,b,o,x,true
x,x,b,o,x,b,o,x,o,true
x,x,b,o,x,b,o,o,x,true
x,x,b,b,x,o,o,x,o,true
x,x,b,b,x,o,o,o,x,true
x,o,x,x,x,o,x,o,o,true
x,o,x,x,x,o,o,o,x,true
x,o,x,x,o,o,x,x,o,true
x,o,x,x,o,o,x,b,b,true
x,o,x,x,o,b,x,b,o,true
x,o,x,x,b,o,x,o,b,true
x,o,x,x,b,o,x,b,o,true
x,o,x,x,b,b,x,o,o,true
x,o,x,o,x,x,x,o,o,true
x,o,x,o,x,x,o,o,x,true
x,o,x,o,x,o,x,x,o,true
x,o,x,o,x,o,x,o,x,true
x,o,x,o,x,o,x,b,b,true
x,o,x,o,x,o,o,x,x,true
x,o,x,o,x,o,b,b,x,true
x,o,x,o,x,b,x,o,b,true
x,o,x,o,x,b,x,b,o,true
x,o,x,o,x,b,o,b,x,true
x,o,x,o,x,b,b,o,x,true
x,o,x,o,o,x,o,x,x,true
x,o,x,o,o,x,b,b,x,true
x,o,x,o,b,x,o,b,x,true
x,o,x,o,b,x,b,o,x,true
x,o,x,b,x,o,x,o,b,true
x,o,x,b,x,o,x,b,o,true
x,o,x,b,x,o,o,b,x,true
x,o,x,b,x,o,b,o,x,true
x,o,x,b,x,b,x,o,o,true
x,o,x,b,x,b,o,o,x,true
x,o,x,b,o,x,o,b,x,true
x,o,x,b,b,x,o,o,x,true
x,o,o,x,x,x,x,o,o,true
x,o,o,x,x,x,o,x,o,true
x,o,o,x,x,x,o,o,x,true
x,o,o,x,x,x,o,b,b,true
x,o,o,x,x,x,b,o,b,true
x,o,o,x,x,x,b,b,o,true
