name,year,team,league,goose_eggs,broken_eggs,mehs,league_average_gpct,ppf,replacement_gpct,gwar,key_retro
Lefty Weinert,1921,PHI,NL,0,0,0,0.728262,111,0.693262,,weinl101
Phil Douglas,1921,NY1,NL,6,4,0,0.746462,98,0.711462,-0.5796021,dougp101
Cy Morgan,1921,BSN,NL,4,0,0,0.749262,96,0.7142619,0.5943351,morgc101
Whitey Glazner,1921,PIT,NL,1,1,2,0.742262,101,0.707262,-0.2155525,glazw101
Tony Kaufmann,1921,CHN,NL,3,0,0,0.742262,101,0.707262,0.4566713,kauft101
Sweetbreads Bailey,1921,BRO,NL,0,0,0,0.738062,104,0.703062,,bails101
Burleigh Grimes,1921,BRO,NL,0,0,0,0.738062,104,0.703062,,grimb101
Charlie Eckert,1922,PHA,AL,0,2,1,0.7100418,105,0.6750417,-0.7020434,eckec101
Dixie Leverett,1922,CHA,AL,4,0,0,0.7170418,100,0.6820418,0.6613531,leved101
Ferdie Schupp,1922,CHA,AL,5,0,3,0.7170418,100,0.6820418,0.8266914,schuf102
Guy Morton,1922,CLE,AL,4,1,1,0.7170418,100,0.6820418,0.3066914,mortg101
Urban Shocker,1922,SLA,AL,5,2,3,0.7128418,103,0.6778418,0.132656,shocu101
Chief Youngblood,1922,WS1,AL,0,0,0,0.7226418,96,0.6876417,,younc101
Ray Kolp,1922,SLA,AL,1,1,1,0.7128418,103,0.6778418,-0.1849554,kolpr101
Dutch Henry,1922,SLA,AL,0,0,0,0.7128418,103,0.6778418,,henrd101
Dave Keefe,1922,CLE,AL,1,1,0,0.7170418,100,0.6820418,-0.1893234,keefd101
Jose Acosta,1922,CHA,AL,1,3,0,0.7170418,100,0.6820418,-0.8986469,acosj101
Jim Bagby,1922,CLE,AL,5,0,0,0.7170418,100,0.6820418,0.8266914,bagbj101
Tom Zachary,1922,WS1,AL,4,0,1,0.7226418,96,0.6876417,0.6497052,zacht101
Dan Boone,1922,CLE,AL,0,0,1,0.7170418,100,0.6820418,,boond102
Jim Lindsey,1922,CLE,AL,10,3,0,0.7170418,100,0.6820418,0.5893978,lindj102
Stan Coveleski,1922,CLE,AL,3,0,0,0.7170418,100,0.6820418,0.4960148,coves101
Carl Mays,1922,NYA,AL,2,1,1,0.7198418,98,0.6848418,-0.0283531,maysc101
Lum Davenport,1922,CHA,AL,2,1,0,0.7170418,100,0.6820418,-0.0239851,davel101
Allen Sothoron,1922,CLE,AL,0,1,0,0.7170418,100,0.6820418,-0.3546617,sotha101
Doug McWeeny,1922,CHA,AL,0,0,0,0.7170418,100,0.6820418,,mcwed101
Syl Johnson,1922,DET,AL,2,0,0,0.7226418,96,0.6876417,0.3248526,johns101
Dave Danforth,1922,SLA,AL,1,0,0,0.7128418,103,0.6778418,0.1675223,danfd101
Gus Ketchum,1922,PHA,AL,1,1,0,0.7100418,105,0.6750417,-0.1820434,ketcg101
Ted Odenwald,1922,CLE,AL,0,0,0,0.7170418,100,0.6820418,,odent101
Ray Francis,1922,WS1,AL,2,0,0,0.7226418,96,0.6876417,0.3248526,franr101
Eddie Rommel,1922,PHA,AL,10,3,2,0.7100418,105,0.6750417,0.636718,romme101
Tom Phillips,1922,WS1,AL,0,0,0,0.7226418,96,0.6876417,,philt102
Jim Sullivan,1922,PHA,AL,3,1,0,0.7100418,105,0.6750417,0.1559132,sullj108
Eric Erickson,1922,WS1,AL,0,0,0,0.7226418,96,0.6876417,,erice101
Jack Quinn,1922,BOS,AL,1,0,1,0.7156418,101,0.6806418,0.1660663,quinj102
Herman Pillette,1922,DET,AL,0,0,0,0.7226418,96,0.6876417,,pillh101
Ole Olsen,1922,DET,AL,1,1,1,0.7226418,96,0.6876417,-0.1951474,olseo101
Joe Shaute,1922,CLE,AL,0,0,0,0.7170418,100,0.6820418,,shauj101
John Russell,1922,CHA,AL,1,0,0,0.7170418,100,0.6820418,0.1653383,russj101
George Edmondson,1922,CLE,AL,0,0,0,0.7170418,100,0.6820418,,edmog101
Elmer Myers,1922,BOS,AL,0,0,0,0.7156418,101,0.6806418,,myere101
Roy Moore,1922,DET,AL,0,0,0,0.7226418,96,0.6876417,,moorr102
Hooks Dauss,1922,DET,AL,2,0,0,0.7226418,96,0.6876417,0.3248526,daush101
George Murray,1922,NYA,AL,6,1,2,0.7198418,98,0.6848418,0.627176,murrg101
Curt Fullerton,1922,BOS,AL,0,0,1,0.7156418,101,0.6806418,,fullc102
Lefty O'Doul,1922,NYA,AL,0,0,0,0.7198418,98,0.6848418,,odoul101
Cy Warmoth,1922,WS1,AL,0,0,0,0.7226418,96,0.6876417,,warmc101
Joe Gleason,1922,WS1,AL,0,1,0,0.7226418,96,0.6876417,-0.3575737,gleaj101
Elam Vangilder,1922,SLA,AL,5,2,1,0.7128418,103,0.6778418,0.132656,vange101
Shovel Hodge,1922,CHA,AL,10,2,2,0.7170418,100,0.6820418,0.9440593,hodgs101
Slim Harriss,1922,PHA,AL,3,2,1,0.7100418,105,0.6750417,-0.1951084,harrs101
Waite Hoyt,1922,NYA,AL,7,2,0,0.7198418,98,0.6848418,0.4349407,hoytw101
Allen Russell,1922,BOS,AL,8,4,0,0.7156418,101,0.6806418,-0.0872045,russa101
Hub Pruett,1922,SLA,AL,5,2,1,0.7128418,103,0.6778418,0.132656,prueh101
Rip Collins,1922,BOS,AL,0,0,1,0.7156418,101,0.6806418,,collr104
Duster Mails,1922,CLE,AL,1,2,1,0.7170418,100,0.6820418,-0.5439851,mailw101
Tex Jeanes,1922,CLE,AL,0,0,0,0.7170418,100,0.6820418,,jeant101
Jim Brillheart,1922,WS1,AL,1,0,0,0.7226418,96,0.6876417,0.1624263,brilj101
George Mogridge,1922,WS1,AL,3,3,1,0.7226418,96,0.6876417,-0.5854422,mogrg101
Benn Karr,1922,BOS,AL,2,3,2,0.7156418,101,0.6806418,-0.7296686,karrb101
George Winn,1922,CLE,AL,2,1,1,0.7170418,100,0.6820418,-0.0239851,winng101
Roy Wilkinson,1922,CHA,AL,0,1,0,0.7170418,100,0.6820418,-0.3546617,wilkr101
