Survey,All Bacc Institutions,4-yr Coll(Baccalaureate Institutions),Universities(Baccalaureate Institutions),Public 4-year Colleges,Private 4-year Colleges,Nonsec 4-year Colleges,Catholic 4-year Colleges,Oth Relig 4-year Colleges,Public Universities,Private Universities,All HBCU,Public HBCU,Private HBCU
Public school (not charter or magnet),77.0,77.2,76.7,82.3,70.3,70.7,62.5,73.8,80.4,61.2,79.2,85.3,68.0
Public charter school,3.5,4.4,2.6,5.2,3.2,2.8,3.4,3.4,2.8,1.9,5.7,3.8,9.3
Public magnet school,2.8,3.1,2.5,3.6,2.4,2.6,2.0,2.4,2.4,3.1,7.9,7.0,9.5
Private religious/parochial school,10.0,9.5,10.6,6.3,13.9,11.3,24.1,11.7,8.8,17.9,4.9,2.7,8.7
Private independent college-prep school,6.1,5.0,7.2,2.2,8.9,11.9,7.6,6.5,5.2,15.4,2.2,1.0,4.4
Home school,0.6,0.7,0.4,0.4,1.3,0.7,0.4,2.3,0.4,0.4,0.2,0.2,0.2
"Prior to this term, have you ever taken courses for",,,,,,,,,,,,,
credit at this institution?,,,,,,,,,,,,,
Yes,5.7,6.2,5.1,7.0,5.2,4.9,5.6,5.2,5.2,4.9,7.1,6.2,8.8
No,94.3,93.8,94.9,93.0,94.8,95.1,94.4,94.8,94.8,95.1,92.9,93.8,91.2
"Since leaving high school, have you ever taken",,,,,,,,,,,,,
"courses, whether for credit or not for credit, at",,,,,,,,,,,,,
"any other institution (university, 4- or 2-year",,,,,,,,,,,,,
"college, technical, vocational, or business school)?",,,,,,,,,,,,,
Yes,10.4,10.9,10.0,10.6,11.3,10.7,11.5,11.8,10.1,9.7,13.2,12.2,15.0
No,89.6,89.1,90.0,89.4,88.7,89.3,88.5,88.2,89.9,90.3,86.8,87.8,85.0
Where do you plan to live during the fall term?,,,,,,,,,,,,,
With my family or other relatives,18.6,24.3,12.6,34.0,11.1,11.2,17.5,7.9,13.3,9.7,7.8,5.9,11.3
"Other private home, apartment, or room",2.1,1.9,2.3,2.8,0.8,1.0,0.7,0.6,2.6,0.9,2.5,2.6,2.3
College residence hall,75.8,70.0,82.1,58.0,86.4,85.6,80.8,90.0,80.6,87.9,86.9,89.1,82.8
Fraternity or sorority house,0.6,0.2,1.1,0.1,0.4,0.8,0.1,0.1,1.3,0.0,0.1,0.1,0.1
Other campus student housing,2.5,3.2,1.8,4.7,1.1,1.3,0.7,1.1,2.0,1.4,2.3,2.0,2.8
Other,0.3,0.3,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.1,0.5,0.4,0.6
To how many colleges other than this one did you,,,,,,,,,,,,,
apply for admission this year?,,,,,,,,,,,,,
None,9.8,10.7,8.7,10.5,11.0,10.4,8.2,12.9,9.5,5.6,7.5,7.3,7.7
1,7.7,7.9,7.5,8.0,7.7,6.9,5.7,9.5,8.3,4.1,5.8,5.9,5.7
2,10.1,10.8,9.2,11.2,10.4,8.9,8.3,12.9,10.1,5.4,12.0,13.4,9.5
3,13.7,15.7,11.6,16.9,14.1,12.4,12.7,16.5,12.3,8.6,17.3,17.9,16.0
4,12.9,14.6,11.1,15.4,13.4,12.4,13.3,14.5,11.4,10.0,17.4,18.6,15.2
5,10.5,10.8,10.1,10.7,11.0,10.8,12.0,10.8,9.9,10.6,12.7,12.9,12.2
6,8.6,8.0,9.2,7.7,8.3,8.7,10.4,6.8,8.9,10.4,8.6,8.3,9.2
7 to 10,20.1,16.8,23.7,16.5,17.2,20.4,21.8,11.7,22.2,30.2,12.4,11.0,15.0
11 or more,6.7,4.7,8.9,3.1,6.9,9.1,7.5,4.4,7.5,15.0,6.3,4.6,9.5
Were you accepted by your first choice college?,,,,,,,,,,,,,
Yes,72.7,75.6,69.6,71.8,80.7,77.7,80.5,83.9,70.2,67.1,74.2,73.7,75.0
No,27.3,24.4,30.4,28.2,19.3,22.3,19.5,16.1,29.8,32.9,25.8,26.3,25.0
Is this college your:,,,,,,,,,,,,,
First choice,55.0,55.2,54.8,51.6,60.1,59.2,57.3,62.3,54.6,55.5,41.7,38.4,47.8
Second choice,27.2,28.5,25.9,30.7,25.5,25.8,27.8,24.0,26.0,25.5,32.7,35.1,28.2
Third choice,11.0,10.6,11.5,11.6,9.4,9.6,9.9,8.9,11.5,11.4,14.6,15.4,13.0
Less than third choice,6.7,5.7,7.8,6.2,5.1,5.4,5.0,4.8,7.9,7.6,11.1,11.2,10.9
Citizenship status:,,,,,,,,,,,,,
U.S. citizen,94.9,95.6,94.3,95.9,95.1,93.1,96.6,96.4,94.9,91.8,98.8,99.1,98.1
Permanent resident (green card),2.0,2.0,2.2,2.4,1.4,1.8,1.5,0.9,2.2,1.9,0.4,0.4,0.5
International student,2.3,1.6,3.0,0.4,3.2,4.7,1.3,2.5,2.3,6.0,0.6,0.3,1.2
None of the above,0.7,0.9,0.5,1.3,0.4,0.4,0.6,0.3,0.6,0.3,0.2,0.2,0.2
Are your parents:,,,,,,,,,,,,,
Both alive and living with each other,70.5,66.2,75.0,64.8,68.2,68.0,70.4,67.3,74.2,78.3,33.7,32.9,35.2
"Both alive, divorced or living apart",26.1,30.0,22.0,31.4,28.0,28.1,26.0,28.9,22.8,18.9,59.0,60.1,57.1
One or both deceased,3.4,3.8,2.9,3.8,3.8,3.9,3.6,3.8,3.0,2.7,7.3,7.0,7.8
Please mark which of the following courses you,,,,,,,,,,,,,
have completed:,,,,,,,,,,,,,
Algebra II,98.3,98.2,98.4,98.8,97.2,97.0,98.1,97.1,98.5,98.2,96.4,96.8,95.8
Pre-calculus/Trigonometry,85.4,80.1,90.9,79.2,81.3,83.1,85.0,77.5,90.2,93.8,70.2,67.6,74.6
Probability & Statistics,33.7,31.6,35.9,30.2,33.5,34.0,29.6,34.9,35.5,37.3,27.0,23.8,32.5
Calculus,38.8,27.8,49.8,24.3,32.3,36.0,30.2,29.6,48.5,54.7,16.8,13.2,22.9
AP Probability & Statistics,21.2,15.4,27.0,15.6,15.2,17.0,12.9,14.6,26.7,28.4,9.9,9.2,11.0
AP Calculus,39.0,25.0,52.6,24.9,25.3,29.0,22.2,23.2,52.0,55.0,14.2,11.4,19.1
During high school (grades 9-12) how many years,,,,,,,,,,,,,
did you study each of the following subjects?,,,,,,,,,,,,,
English (4 years),97.8,97.5,98.0,98.1,96.8,96.8,98.0,96.3,98.0,97.8,94.7,94.3,95.4
Mathematics (3 years),98.9,98.5,99.4,98.5,98.5,98.6,99.0,98.3,99.3,99.4,96.8,96.2,97.8
Foreign Language (2 years),93.5,92.5,94.7,92.8,92.1,93.0,94.6,90.0,94.2,96.7,85.2,83.4,88.4
Physical Science (2 years),62.3,57.7,67.1,57.6,57.9,60.7,59.4,54.4,66.5,69.6,40.3,39.4,42.1
Biological Science (2 years),50.9,48.6,53.3,47.8,49.8,50.1,50.1,49.2,53.1,54.3,37.9,36.0,41.5
History/Am. Gov’t (1 year),98.6,98.5,98.7,98.5,98.3,98.5,98.8,97.9,98.8,98.4,96.2,96.2,96.2
Computer Science (1/2 year),44.2,46.0,42.3,45.8,46.2,42.7,45.4,50.2,43.1,39.0,45.7,45.5,46.1
Arts and/or Music (1 year),81.9,82.3,81.3,83.5,80.8,81.7,81.9,79.3,80.7,83.7,73.8,72.3,76.4
Have you had any remedial work in any of the,,,,,,,,,,,,,
following subjects?,,,,,,,,,,,,,
English,20.7,22.1,19.3,21.9,22.3,20.5,24.5,23.2,19.2,19.5,23.3,23.5,23.0
Reading,19.2,20.2,18.1,19.5,21.2,19.3,23.7,21.9,18.1,18.0,22.8,23.2,22.0
Mathematics,20.2,22.2,18.1,22.4,22.1,20.9,24.0,22.3,17.9,18.9,22.6,23.1,21.8
Writing,17.3,18.2,16.4,17.7,18.8,17.1,21.1,19.3,16.3,16.5,18.5,18.8,18.0
Do you feel you will need any remedial work in,,,,,,,,,,,,,
any of the following subjects?,,,,,,,,,,,,,
English,8.8,9.9,7.6,10.4,9.3,9.2,8.5,9.9,7.7,6.9,10.0,10.1,9.7
Reading,6.9,7.7,6.0,7.7,7.6,7.7,7.3,7.7,6.1,5.6,8.0,8.4,7.3
Mathematics,18.3,22.1,14.2,23.3,20.5,19.3,20.6,21.7,14.8,12.1,27.6,28.3,26.4
Writing,12.3,13.9,10.6,13.9,13.9,14.0,13.4,14.1,10.8,9.9,16.0,16.8,14.6
"At this institution, which course placement tests",,,,,,,,,,,,,
have you taken in the following subject areas:,,,,,,,,,,,,,
English,23.8,30.7,15.9,40.3,17.0,16.3,20.1,16.1,17.0,11.7,60.5,72.8,33.3
Reading,14.7,21.6,7.0,29.6,10.5,7.9,14.3,11.1,7.5,5.3,53.9,65.6,28.9
Mathematics,54.1,51.9,56.4,56.0,46.1,52.5,47.0,38.9,60.4,39.0,65.8,69.5,58.5
Writing,25.6,25.8,25.4,33.0,15.8,16.4,23.6,11.0,28.3,14.1,42.0,51.5,23.3
Do you consider yourself:,,,,,,,,,,,,,
Pre-Med,20.4,19.1,21.7,19.4,18.8,17.2,22.4,18.7,22.0,20.1,30.8,28.5,35.2
Pre-Law,6.4,6.7,6.1,6.5,6.9,7.0,7.1,6.8,5.7,7.7,12.7,11.5,14.9
Your intended major:,,,,,,,,,,,,,
Arts and Humanities,,,,,,,,,,,,,
"Art, fine and applied",1.3,1.7,0.9,1.5,1.9,3.3,0.8,1.1,0.9,1.0,1.0,1.1,0.7
English (language and literature),1.4,1.6,1.2,1.4,1.8,2.2,1.3,1.7,1.2,1.4,0.8,0.6,1.3
History,1.0,1.2,0.8,1.2,1.2,1.3,0.9,1.3,0.8,0.9,0.5,0.4,0.7
Journalism/Communication,2.2,2.2,2.2,2.2,2.3,2.2,2.9,2.2,1.9,3.5,3.4,3.7,2.9
Classical and Modern Languages and Literature,0.3,0.3,0.3,0.3,0.4,0.3,0.2,0.5,0.4,0.3,0.1,0.1,0.1
Media/Film Studies,0.9,1.1,0.8,1.2,0.9,0.9,0.5,1.1,0.5,1.6,1.2,0.4,2.7
Music,1.2,1.5,1.0,1.2,1.8,1.5,0.6,2.8,0.9,1.5,1.2,1.4,1.0
Philosophy,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.2,0.3,0.3,0.3,0.2,0.3
Theatre/Drama,0.8,0.8,0.7,0.7,1.0,1.0,0.3,1.3,0.6,1.3,0.8,0.6,1.2
Theology/Religion,0.2,0.3,0.1,0.1,0.5,0.2,0.2,1.0,0.1,0.2,0.2,0.2,0.1
Other Arts and Humanities,0.7,0.7,0.8,0.6,0.8,0.8,0.6,0.9,0.8,0.7,0.6,0.5,0.8
Your intended major (continued): (1),,,,,,,,,,,,,
Biological & Life Sciences,,,,,,,,,,,,,
Biology (general),6.9,6.5,7.3,5.8,7.5,6.9,10.1,6.8,7.0,8.2,12.0,9.4,16.6
Animal Biology (zoology),0.6,0.7,0.6,0.6,0.9,1.1,0.4,0.9,0.7,0.2,0.5,0.5,0.4
Ecology & Evolutionary Biology,0.1,0.1,0.2,0.1,0.1,0.1,0.0,0.2,0.2,0.2,0.2,0.2,0.1
Marine Biology,0.5,0.6,0.3,0.7,0.6,0.6,0.2,0.9,0.4,0.2,0.1,0.1,0.1
Microbiology,0.3,0.2,0.4,0.2,0.1,0.1,0.1,0.1,0.5,0.1,0.1,0.1,0.1
"Molecular, Cellular, & Developmental Biology",0.6,0.4,0.9,0.4,0.4,0.4,0.3,0.4,0.9,0.7,0.1,0.1,0.2
Neurobiology/Neuroscience,1.3,0.6,2.0,0.2,1.1,1.4,0.6,0.9,1.9,2.1,0.8,0.7,1.0
Plant Biology (botany),0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.2,0.1,0.3
Agriculture/Natural Resources,0.3,0.3,0.3,0.3,0.3,0.3,0.1,0.3,0.3,0.2,0.7,1.0,0.1
Biochemistry/Biophysics,1.7,1.2,2.2,1.0,1.5,1.5,1.4,1.6,2.4,1.7,0.4,0.1,0.8
