date,open,high,low,close,adjclose,volume
2000-02-14,1387.119995,1394.930054,1380.530029,1389.939941,1389.939941,927300000
2000-02-15,1389.939941,1407.719971,1376.250000,1402.050049,1402.050049,1092100000
2000-02-16,1402.050049,1404.550049,1385.579956,1387.670044,1387.670044,1018800000
2000-02-17,1387.670044,1399.880005,1380.069946,1388.260010,1388.260010,1034800000
2000-02-18,1388.260010,1388.589966,1345.319946,1346.089966,1346.089966,1042300000
2000-02-22,1346.089966,1358.109985,1331.880005,1352.170044,1352.170044,980000000
2000-02-23,1352.170044,1370.109985,1342.439941,1360.689941,1360.689941,993700000
2000-02-24,1360.689941,1364.800049,1329.880005,1353.430054,1353.430054,1215000000
2000-02-25,1353.430054,1362.140015,1329.150024,1333.359985,1333.359985,1065200000
2000-02-28,1333.359985,1360.819946,1325.069946,1348.050049,1348.050049,1026500000
2000-02-29,1348.050049,1369.630005,1348.050049,1366.420044,1366.420044,1204300000
2000-03-01,1366.420044,1383.459961,1366.420044,1379.189941,1379.189941,1274100000
2000-03-02,1379.189941,1386.560059,1370.349976,1381.760010,1381.760010,1198600000
2000-03-03,1381.760010,1410.880005,1381.760010,1409.170044,1409.170044,1150300000
2000-03-06,1409.170044,1409.739990,1384.750000,1391.280029,1391.280029,1029000000
2000-03-07,1391.280029,1399.209961,1349.989990,1355.619995,1355.619995,1314100000
2000-03-08,1355.619995,1373.790039,1346.619995,1366.699951,1366.699951,1203000000
2000-03-09,1366.699951,1401.819946,1357.880005,1401.689941,1401.689941,1123000000
2000-03-10,1401.689941,1413.459961,1392.069946,1395.069946,1395.069946,1138800000
2000-03-13,1395.069946,1398.390015,1364.839966,1383.619995,1383.619995,1016100000
2000-03-14,1383.619995,1395.150024,1359.150024,1359.150024,1359.150024,1094000000
2000-03-15,1359.150024,1397.989990,1356.989990,1392.140015,1392.140015,1302800000
2000-03-16,1392.150024,1458.469971,1392.150024,1458.469971,1458.469971,1482300000
2000-03-17,1458.469971,1477.329956,1453.319946,1464.469971,1464.469971,1295100000
2000-03-20,1464.469971,1470.300049,1448.489990,1456.630005,1456.630005,920800000
2000-03-21,1456.630005,1493.920044,1446.060059,1493.869995,1493.869995,1065900000
2000-03-22,1493.869995,1505.079956,1487.329956,1500.640015,1500.640015,1075000000
2000-03-23,1500.640015,1532.500000,1492.390015,1527.349976,1527.349976,1078300000
2000-03-24,1527.349976,1552.869995,1516.829956,1527.459961,1527.459961,1052200000
2000-03-27,1527.459961,1534.630005,1518.459961,1523.859985,1523.859985,901000000
2000-03-28,1523.859985,1527.359985,1507.089966,1507.729980,1507.729980,959100000
2000-03-29,1507.729980,1521.449951,1497.449951,1508.520020,1508.520020,1061900000
2000-03-30,1508.520020,1517.380005,1474.630005,1487.920044,1487.920044,1193400000
2000-03-31,1487.920044,1519.810059,1484.380005,1498.579956,1498.579956,1227400000
2000-04-03,1498.579956,1507.189941,1486.959961,1505.969971,1505.969971,1021700000
2000-04-04,1505.979980,1526.449951,1416.410034,1494.729980,1494.729980,1515460000
2000-04-05,1494.729980,1506.550049,1478.050049,1487.369995,1487.369995,1110300000
2000-04-06,1487.369995,1511.760010,1487.369995,1501.339966,1501.339966,1008000000
2000-04-07,1501.339966,1518.680054,1501.339966,1516.349976,1516.349976,891600000
2000-04-10,1516.349976,1527.189941,1503.349976,1504.459961,1504.459961,853700000
2000-04-11,1504.459961,1512.800049,1486.780029,1500.589966,1500.589966,971400000
2000-04-12,1500.589966,1509.079956,1466.150024,1467.170044,1467.170044,1175900000
2000-04-13,1467.170044,1477.520020,1439.339966,1440.510010,1440.510010,1032000000
2000-04-14,1440.510010,1440.510010,1339.400024,1356.560059,1356.560059,1279700000
2000-04-17,1356.560059,1401.530029,1346.500000,1401.439941,1401.439941,1204700000
2000-04-18,1401.439941,1441.609985,1397.810059,1441.609985,1441.609985,1109400000
2000-04-19,1441.609985,1447.689941,1424.260010,1427.469971,1427.469971,1001400000
2000-04-20,1427.469971,1435.489990,1422.079956,1434.540039,1434.540039,896200000
2000-04-24,1434.540039,1434.540039,1407.130005,1429.859985,1429.859985,868700000
2000-04-25,1429.859985,1477.670044,1429.859985,1477.439941,1477.439941,1071100000
2000-04-26,1477.439941,1482.939941,1456.979980,1460.989990,1460.989990,999600000
2000-04-27,1460.989990,1469.209961,1434.810059,1464.920044,1464.920044,1111000000
2000-04-28,1464.920044,1473.619995,1448.150024,1452.430054,1452.430054,984600000
2000-05-01,1452.430054,1481.510010,1452.430054,1468.250000,1468.250000,966300000
2000-05-02,1468.250000,1468.250000,1445.219971,1446.290039,1446.290039,1011500000
2000-05-03,1446.290039,1446.290039,1398.359985,1415.099976,1415.099976,991600000
2000-05-04,1415.099976,1420.989990,1404.939941,1409.569946,1409.569946,925800000
2000-05-05,1409.569946,1436.030029,1405.079956,1432.630005,1432.630005,805500000
2000-05-08,1432.630005,1432.630005,1417.050049,1424.170044,1424.170044,787600000
2000-05-09,1424.170044,1430.280029,1401.849976,1412.140015,1412.140015,896600000
2000-05-10,1412.140015,1412.140015,1375.140015,1383.050049,1383.050049,1006400000
2000-05-11,1383.050049,1410.260010,1383.050049,1407.810059,1407.810059,953600000
2000-05-12,1407.810059,1430.130005,1407.810059,1420.959961,1420.959961,858200000
2000-05-15,1420.959961,1452.390015,1416.540039,1452.359985,1452.359985,854600000
2000-05-16,1452.359985,1470.400024,1450.760010,1466.040039,1466.040039,955500000
2000-05-17,1466.040039,1466.040039,1441.670044,1447.800049,1447.800049,820500000
2000-05-18,1447.800049,1458.040039,1436.589966,1437.209961,1437.209961,807900000
2000-05-19,1437.209961,1437.209961,1401.739990,1406.949951,1406.949951,853700000
2000-05-22,1406.949951,1410.550049,1368.729980,1400.719971,1400.719971,869000000
2000-05-23,1400.719971,1403.770020,1373.430054,1373.859985,1373.859985,869900000
2000-05-24,1373.859985,1401.750000,1361.089966,1399.050049,1399.050049,1152300000
2000-05-25,1399.050049,1411.650024,1373.930054,1381.520020,1381.520020,984500000
2000-05-26,1381.520020,1391.420044,1369.750000,1378.020020,1378.020020,722600000
2000-05-30,1378.020020,1422.449951,1378.020020,1422.449951,1422.449951,844200000
2000-05-31,1422.439941,1434.489990,1415.500000,1420.599976,1420.599976,960500000
2000-06-01,1420.599976,1448.810059,1420.599976,1448.810059,1448.810059,960100000
2000-06-02,1448.810059,1483.229980,1448.810059,1477.260010,1477.260010,1162400000
2000-06-05,1477.260010,1477.280029,1464.680054,1467.630005,1467.630005,838600000
2000-06-06,1467.630005,1471.359985,1454.739990,1457.839966,1457.839966,950100000
2000-06-07,1457.839966,1474.640015,1455.060059,1471.359985,1471.359985,854600000
2000-06-08,1471.359985,1475.650024,1456.489990,1461.670044,1461.670044,854300000
2000-06-09,1461.670044,1472.670044,1454.959961,1456.949951,1456.949951,786000000
2000-06-12,1456.949951,1462.930054,1445.989990,1446.000000,1446.000000,774100000
2000-06-13,1446.000000,1470.420044,1442.380005,1469.439941,1469.439941,935900000
2000-06-14,1469.439941,1483.619995,1467.709961,1470.540039,1470.540039,929700000
2000-06-15,1470.540039,1482.040039,1464.619995,1478.729980,1478.729980,1011400000
2000-06-16,1478.729980,1480.770020,1460.420044,1464.459961,1464.459961,1250800000
2000-06-19,1464.459961,1488.930054,1459.050049,1486.000000,1486.000000,921700000
2000-06-20,1486.000000,1487.319946,1470.180054,1475.949951,1475.949951,1031500000
2000-06-21,1475.949951,1482.189941,1468.000000,1479.130005,1479.130005,1009600000
2000-06-22,1479.130005,1479.130005,1448.030029,1452.180054,1452.180054,1022700000
2000-06-23,1452.180054,1459.939941,1438.310059,1441.479980,1441.479980,847600000
2000-06-26,1441.479980,1459.660034,1441.479980,1455.310059,1455.310059,889000000
2000-06-27,1455.310059,1463.349976,1450.550049,1450.550049,1450.550049,1042500000
2000-06-28,1450.550049,1467.630005,1450.550049,1454.819946,1454.819946,1095100000
2000-06-29,1454.819946,1455.140015,1434.630005,1442.390015,1442.390015,1110900000
2000-06-30,1442.390015,1454.680054,1438.709961,1454.599976,1454.599976,1459700000
2000-07-03,1454.599976,1469.579956,1450.849976,1469.540039,1469.540039,451900000
2000-07-05,1469.540039,1469.540039,1442.449951,1446.229980,1446.229980,1019300000
2000-07-06,1446.229980,1461.650024,1439.560059,1456.670044,1456.670044,947300000
2000-07-07,1456.670044,1484.119995,1456.670044,1478.900024,1478.900024,931700000
2000-07-10,1478.900024,1486.560059,1474.760010,1475.619995,1475.619995,838700000
2000-07-11,1475.619995,1488.770020,1470.479980,1480.880005,1480.880005,980500000
2000-07-12,1480.880005,1497.689941,1480.880005,1492.920044,1492.920044,1001200000
2000-07-13,1492.920044,1501.390015,1489.650024,1495.839966,1495.839966,1026800000
2000-07-14,1495.839966,1509.989990,1494.560059,1509.979980,1509.979980,960600000
2000-07-17,1509.979980,1517.319946,1505.260010,1510.489990,1510.489990,906000000
2000-07-18,1510.489990,1510.489990,1491.349976,1493.739990,1493.739990,908300000
2000-07-19,1493.739990,1495.630005,1479.920044,1481.959961,1481.959961,909400000
2000-07-20,1481.959961,1501.920044,1481.959961,1495.569946,1495.569946,1064600000
2000-07-21,1495.569946,1495.569946,1477.910034,1480.189941,1480.189941,968300000
2000-07-24,1480.189941,1485.880005,1463.800049,1464.290039,1464.290039,880300000
2000-07-25,1464.290039,1476.229980,1464.290039,1474.469971,1474.469971,969400000
2000-07-26,1474.469971,1474.469971,1452.420044,1452.420044,1452.420044,1235800000
2000-07-27,1452.420044,1464.910034,1445.329956,1449.619995,1449.619995,1156400000
2000-07-28,1449.619995,1456.680054,1413.890015,1419.890015,1419.890015,980000000
2000-07-31,1419.890015,1437.650024,1418.709961,1430.829956,1430.829956,952600000
2000-08-01,1430.829956,1443.540039,1428.959961,1438.099976,1438.099976,938700000
2000-08-02,1438.099976,1451.589966,1433.489990,1438.699951,1438.699951,994500000
2000-08-03,1438.699951,1454.189941,1425.430054,1452.560059,1452.560059,1095600000
2000-08-04,1452.560059,1462.930054,1451.310059,1462.930054,1462.930054,956000000
