Member,Party,District,Congress,Resignation Date,Reason,Source,Category
Frank Ballance,D,NC-01,108th,6/11/2004,Ill health; fraud and money laundering,Associated Press,B & E
Bill Janklow,R,SD-AL,108th,1/20/2004,Convicted of manslaughter for a fatal car accident,Minnesota Public Radio,B
Ernie Fletcher,R,KY-06,108th,12/8/2003,Elected Kentucky governor,Fletcher/Pence Inaugural,C
Larry Combest,R,TX-19,108th,5/31/2003,"Wife lost DC-area job, wanted to spend more time with her",Plainview Daily Herald,E
Frank Murkowski,R,AK-SEN,107th,12/2/2002,Elected Alaska governor,U.S. Congress,C
Tony Hall,D,OH-03,107th,9/9/2002,Appointed to Bush administration,New York Times,C
James Traficant,D,OH-17,107th,7/24/2002,"Convicted of bribery, tax evasion, and racketeering",CNN,B
Steve Largent,R,OK-01,107th,2/15/2002,To focus on his run for governor,The Oklahoman,C
Joe Scarborough,R,FL-01,107th,9/5/2001,To spend more time with his sons,Northwest Florida Daily News,E
Asa Hutchinson,R,AR-03,107th,8/6/2001,Appointed to Bush administration,Log Cabin Democrat,C
Bud Shuster,R,PA-09,107th,2/5/2001,"Ethics rebuke; ""health scares""",ABC News,B & E
Bob Livingston,R,LA-01,106th,3/1/1999,Extramarital affairs,New York Times,A
Newt Gingrich,R,GA-06,106th,1/3/1999,Faced caucus revolt after disappointing midterm,New York Times,F
Ron Dellums,D,CA-09,105th,2/6/1998,"""To do other things""; ended up consulting for healthcare company",Washington Post,D
Floyd Flake,D,NY-06,105th,11/17/1997,To focus on his job as church pastor,New York Times,D
Thomas Foglietta,D,PA-01,105th,11/11/1997,Appointed to Clinton administration,Associated Press,C
Susan Molinari,R,NY-13,105th,8/2/1997,Took a job with CBS,CNN,D
Bill Richardson,D,NM-03,105th,2/13/1997,Appointed to Clinton administration,San Francisco Chronicle,C
Ray Thornton,D,AR-02,104th,1/1/1997,Elected Arkansas Supreme Court justice,U.S. Congress,C
Sam Brownback,R,KS-02,104th,11/7/1996,Elected U.S. senator,U.S. House of Representatives,C
Charlie Wilson,D,TX-02,104th,10/8/1996,Probably to start clock on lobbyist waiting period,Longview News-Journal,D
Bob Dole,R,KS-SEN,104th,6/11/1996,To focus on his run for president,U.S. Congress,C
Kweisi Mfume,D,MD-07,104th,2/18/1996,Took a job with the NAACP,Washington Post,D
Ron Wyden,D,OR-03,104th,2/5/1996,Elected U.S. senator,U.S. Congress,C
Walter Tucker III,D,CA-37,104th,12/15/1995,Convicted of extortion and tax evasion,New York Times,B
Norman Mineta,D,CA-15,104th,10/10/1995,Took a job with Lockheed Martin,Los Angeles Times,D
Mel Reynolds,D,IL-02,104th,10/1/1995,Convicted of sex with 16-year-old girl,New York Times,X
Bob Packwood,R,OR-SEN,104th,10/1/1995,Sexual harassment/assault,NPR,X
David Boren,D,OK-SEN,103rd,11/15/1994,Took a job with University of Oklahoma,Los Angeles Times,D
Jim Inhofe,R,OK-01,103rd,11/15/1994,Elected U.S. senator,U.S. Congress,C
Glenn English,D,OK-06,103rd,1/7/1994,Took a job with National Rural Electric Cooperative Association,UPI,D
Bill Gradison,R,OH-02,103rd,1/31/1993,Took a job with Health Insurance Association of America,Science Corruption,D
Mike Espy,D,MS-02,103rd,1/22/1993,Appointed to Clinton administration,Washington Post,C
Leon Panetta,D,CA-17,103rd,1/21/1993,Appointed to Clinton administration,Washington Post,C
Lloyd Bentsen,D,TX-SEN,103rd,1/20/1993,Appointed to Clinton administration,New York Times,C
Les Aspin,D,WI-01,103rd,1/20/1993,Appointed to Clinton administration,U.S. Congress,C
Al Gore Jr.,D,TN-SEN,102nd,1/2/1993,Elected vice president,CQ Almanac,C
Jocelyn Burdick,D,ND-SEN,102nd,12/14/1992,Appointment was expiring; resigned to let successor start early,New York Observer,G
Kent Conrad,D,ND-SEN,102nd,12/14/1992,Elected to North Dakota's other U.S. Senate seat,U.S. Senate,C
French Slaughter,R,VA-07,102nd,11/4/1991,Series of strokes,Washington Post,E
William Gray III,D,PA-02,102nd,9/11/1991,Took a job with United Negro College Fund,Los Angeles Times,D
Mo Udall,D,AZ-02,102nd,5/4/1991,Parkinson's disease,Baltimore Sun,E
Steve Bartlett,R,TX-03,102nd,3/11/1991,To focus on his run for Dallas mayor,D Magazine,C
Ed Madigan,R,IL-15,102nd,3/8/1991,Appointed to Bush administration,U.S. Congress,C
Pete Wilson,R,CA-SEN,102nd,1/7/1991,Elected California governor,U.S. Congress,C
Bob Smith,R,NH-01,101st,12/7/1990,Appointed U.S. senator,U.S. Congress,C
Gordon Humphrey,R,NH-SEN,101st,12/4/1990,Elected New Hampshire state senator,UPI,C
Daniel Akaka,D,HI-02,101st,5/16/1990,Appointed U.S. senator,U.S. Congress,C
Jim Florio,D,NJ-01,101st,1/16/1990,Elected New Jersey governor,U.S. House of Representatives,C
Robert Garcia,D,NY-18,101st,1/7/1990,Convicted of extortion,New York Times,B
Guy Molinari,R,NY-14,101st,12/31/1989,Elected Staten Island borough president,U.S. House of Representatives,C
Jim Wright,D,TX-12,101st,6/30/1989,Ethics investigation into personal financial gain,Washington Post,B
Tony Coelho,D,CA-15,101st,6/15/1989,Personal finances under investigation,New York Times,B
Dick Cheney,R,WY-AL,101st,3/17/1989,Appointed to Bush administration,U.S. Congress,C
Dan Quayle,R,IN-SEN,101st,1/3/1989,Elected vice president,U.S. Congress,C
Dan Coats,R,IN-04,101st,1/3/1989,Appointed U.S. senator,U.S. Congress,C
Mario Biaggi,D,NY-19,100th,8/8/1988,Convicted twice of corruption,New York Times,B
Buddy Roemer,D,LA-04,100th,3/14/1988,Elected Louisiana governor,New York Times,C
Bill Boner,D,TN-05,100th,10/5/1987,Elected Nashville mayor,U.S. House of Representatives,C
Charles Whitley,D,NC-03,99th,12/31/1986,"Was retiring & left early, probably to take a job with the Tobacco Institute",Science Corruption,D
Jim Broyhill,R,NC-10,99th,7/13/1986,Appointed U.S. senator,U.S. Congress,C
Cecil Heftel,D,HI-01,99th,7/11/1986,To focus on his run for governor,UPI,C
Sam Hall,D,TX-01,99th,5/27/1985,Appointed federal judge,UPI,C
Paul Tsongas,D,MA-SEN,98th,1/2/1985,Retired due to ill health; resigned early to give successor seniority,WBUR,E & G
Tom Corcoran,R,IL-14,98th,11/28/1984,Recess-appointed to Synthetic Fuels Corporation board,Nexis search,D
Harold Washington,D,IL-01,98th,4/30/1983,Elected Chicago mayor,U.S. House of Representatives,C
Phil Gramm,D,TX-06,98th,1/5/1983,Dem Party ostracized him; resigned to seek seat as Republican,New York Times,F
Nicholas Brady,R,NJ-SEN,97th,12/26/1982,Appointment was expiring; resigned to let successor start early,New York Times,G
Fred Richmond,D,NY-14,97th,8/25/1982,"Tax evasion, drug possession, campaign-finance irregularities",UPI,B
George Danielson,D,CA-30,97th,3/9/1982,Appointed California appellate judge,U.S. House of Representatives,C
Raymond Lederer,D,PA-03,97th,4/29/1981,Bribery and conspiracy in Abscam scandal,Associated Press,B
