LOCATION,Country,TIME,Business enterprise,Government,Higher Education,Private non-profit,Rest of the world,Not specified source,Basic research,Applied research,Experimental development,Not specified activities,Medical and health sciences
AUT,Austria,1997,1450886.0811100001,1374029.09731,,12303.553440000002,512962.71069,,,,,,
AUT,Austria,1998,1535568.21454,1390658.18789,,13207.494059999999,741165.59383,,641809.5132899999,1398797.03546,1559318.96964,80672.88935,
AUT,Austria,1999,1672518.63285,1585691.6179799999,,13648.57464,799767.50882,,,,,,
AUT,Austria,2000,1854693.88115,1685676.9431200002,,14567.38821,880980.14409,,,,,,
AUT,Austria,2001,1992974.67385,1826193.77865,,14771.86698,937687.70318,,,,,,
AUT,Austria,2002,2323441.8429900003,1749540.1740599999,,19438.828980000002,1113545.61084,,910143.0656,1919818.5813,2279859.7906,96145.01938,
AUT,Austria,2003,2558408.91583,1953171.65333,,23616.60135,1135013.8607,,,,,,
AUT,Austria,2004,2818703.61557,1947675.96765,24620.32797,28694.301669999997,1157531.15827,,1044268.31296,2171216.20298,2649968.4602900003,111772.3949,
AUT,Austria,2005,3119206.65715,2455158.4633400002,,29537.19021,1233089.81687,,,,,,
AUT,Austria,2006,3552906.597,2368657.47273,38661.26157,31296.2709,1352069.1009799999,,1237155.72126,2549388.55585,3424051.22138,132995.20468,
AUT,Austria,2007,3846967.8844199996,2551501.10426,49098.18717,37172.17263,1415112.26649,,1359707.14089,2742280.5282,3647793.7793300003,150070.16655999998,
AUT,Austria,2008,4073586.4161099996,3269255.0771,,39359.84944,1451890.39634,,,,,,
AUT,Austria,2009,4177083.81542,3098978.63645,59479.26716,50052.39131,1490366.05091,,1657769.04391,3028300.80088,4012914.48765,176975.8288,
AUT,Austria,2010,4329297.0892199995,3670721.9440599997,,52020.32278,1543634.38028,,,,,,
AUT,Austria,2011,4595890.65812,3559638.62233,66317.92671,47194.162919999995,1685966.84525,,1896298.1762700002,3496768.0009199996,4380729.97231,181212.06581,
AUT,Austria,2012,5215191.33581,4309246.750440001,,52061.825260000005,1838559.18038,,,,,,
AUT,Austria,2013,5858828.02042,4035264.11356,70720.3508,57100.91642,1996844.39991,,2268212.19496,4273167.227969999,5278903.31282,198475.06535999998,
AUT,Austria,2014,6001577.37635,4603951.49127,,58642.173310000006,2040098.56715,,,,,,
AUT,Austria,2015,6172981.56972,4801206.49174,,60035.65206,2086135.26928,,,,,,
AZE,Azerbaijan,2001,28101.773810000002,74816.75452999999,26.467409999999997,5773.50483,,,,,,,
AZE,Azerbaijan,2002,23054.92321,79783.95313,34.35287,5354.30972,49.75244,,,,,,
AZE,Azerbaijan,2003,32743.630380000002,94517.67833,36.471090000000004,5042.12815,,,,,,,
AZE,Azerbaijan,2004,31580.15258,102310.74234,35.13771,1788.7797600000001,1843.3783600000002,,,,,,
AZE,Azerbaijan,2005,24786.58694,102548.78631,27.865209999999998,1740.6149100000002,3218.4320399999997,,,,,,7501.98781
AZE,Azerbaijan,2006,26175.15045,114136.77199000001,,2791.83215,57.393840000000004,,,,,,8967.676309999999
AZE,Azerbaijan,2007,37816.65383,139262.35915,,4820.42845,187.25975,,53906.645979999994,94927.85782,25053.16506,8199.03232,10655.3064
AZE,Azerbaijan,2008,50367.87904,146680.26418,,2918.98625,224.46787,,53701.45292999999,97722.1639,40231.27145,8536.70906,12110.71968
AZE,Azerbaijan,2009,82456.62187999999,247557.47726999997,,2722.80271,245.28067000000001,,113794.13009,160937.45,47375.119510000004,10875.48293,16318.467030000002
AZE,Azerbaijan,2010,29703.65186,272642.89765,963.30945,5766.5283,69.64084,,143753.02636,109128.53259,51009.08464,5255.38451,12365.74783
AZE,Azerbaijan,2011,28799.605860000003,273344.58655999997,317.15305,2232.5577,,,166505.62941,94166.70881,43551.246119999996,470.31883,22977.64145
AZE,Azerbaijan,2012,31478.44357,289434.53871,557.1405900000001,5014.26535,278.5703,,,,,,
AZE,Azerbaijan,2013,104237.41892000001,233133.152,2802.08115,1120.8324599999999,560.4162299999999,,173729.03154,75656.19115,11208.32462,81260.35346,21856.232999999997
AZE,Azerbaijan,2014,107603.96024000001,238265.91197,2846.66561,3131.33218,569.33312,,178485.93405,75436.63879,14517.99464,83976.63564,22488.658359999998
AZE,Azerbaijan,2015,122788.34827,250942.76830999998,1578.2564,6313.02562,,,196966.39927,77018.91254,19886.0307,87751.05609,31565.12809
BDI,Burundi,2007,,,,,,,,10510.24385,,714.7968400000001,
BDI,Burundi,2008,,5530.09786,19.5532,,3687.0151,,,8594.005159999999,,642.661,
BDI,Burundi,2009,,,,,,,,8416.39767,,598.20547,
BDI,Burundi,2010,,,,,,,,8590.57709,,433.97037,
BEL,Belgium,1996,2719046.33212,925700.21459,98734.75237,8847.36598,269194.86493000004,,,,,,
BEL,Belgium,1997,2951852.13914,969520.28821,140448.85717,9129.2619,298250.20685,,,,,,
BEL,Belgium,1998,2998476.3487,1085387.46869,124973.57367,7430.335929999999,349570.6656,,,,,,
BEL,Belgium,1999,3281963.34775,1165214.29154,138956.65208,8998.78456,362761.28794,,,,,,
BEL,Belgium,2000,3439783.4085699995,1263675.7479299998,107783.87933,26912.93931,673164.3354699999,,,,,,
BEL,Belgium,2001,3824938.52595,1328051.8258,131406.75322,22218.2781,729443.40287,,,,,,
BEL,Belgium,2002,3536142.2191699995,1380519.86717,152759.64731,31699.3015,854148.6316300001,,,,,,
BEL,Belgium,2003,3559736.4604800004,1390036.43677,160789.20487000002,29879.06094,762228.4343600001,,,,,,
BEL,Belgium,2004,3658276.5715099997,1484767.72297,159034.02108,32925.98378,746670.82345,,,,,,
BEL,Belgium,2005,3715283.22875,1534695.46574,163458.1313,39555.36518,772201.4649199999,,,,,,
BEL,Belgium,2006,4135598.10352,1516747.4016,170337.94344,50554.89309,902451.54475,,,,,,
BEL,Belgium,2007,4433246.34246,1599804.1285299999,200035.44774,50092.65266,939218.49099,,,,,,
BEL,Belgium,2008,4792934.920530001,1826368.60682,229525.68805,43774.65569,965724.27158,,,,,,
BEL,Belgium,2009,4784545.86034,2064148.05899,261345.68886,60772.589210000006,984845.71889,,,,,,
BEL,Belgium,2010,5163318.46352,2279572.46789,279273.07566,50417.65217,1194215.74204,,,,,,
BEL,Belgium,2011,5907963.71246,2300005.64964,281881.11469,59020.73659,1273092.91499,,,,,,
BEL,Belgium,2012,6829685.3200900005,2705410.41213,107930.91662,46203.97817,1444552.42861,,,,,,
BEL,Belgium,2013,7267497.9328,2853983.79515,121047.18178,48499.07752,1560490.06876,,2361685.19489,4583183.31144,4901071.21839,,
BFA,Burkina Faso,2001,,20560.75548,,,,,,,,,
BFA,Burkina Faso,2002,,38715.10984,,,,,,,,,
BFA,Burkina Faso,2003,,34086.838110000004,,,,,,,,,
BFA,Burkina Faso,2004,,32649.815489999997,,,,,,,,,
BFA,Burkina Faso,2005,,25814.83904,,,,,,,,,
BFA,Burkina Faso,2007,,14200.65393,,,4815.75532,625.26169,,,,,
BFA,Burkina Faso,2008,5869.3586700000005,3678.08724,7825.64121,421.09497000000005,15525.97089,2370.21583,,,,,
BFA,Burkina Faso,2009,4732.6014700000005,3589.46054,4847.4874899999995,503.49172999999996,23641.08371,2348.08955,,,,,
BGR,Bulgaria,1996,144429.40342000002,84089.19449,9180.49993,967.74501,601.57122,,43103.8857,158762.49163,30000.095210000003,,
BGR,Bulgaria,1997,51761.23726,150626.27948,5339.98705,1929.72276,12652.35654,,39502.855339999995,124719.31223,45914.35295,,
BGR,Bulgaria,1998,58026.493420000006,171177.3853,6576.41295,487.21302000000003,9453.473259999999,,72741.09704,119486.58692999999,42491.52321,,
BGR,Bulgaria,1999,58438.858620000006,178439.40831,8092.7060599999995,628.37482,10415.78875,,80068.28172,130045.02605,45899.92463,,
BGR,Bulgaria,2000,63258.3992,179625.51515999998,2287.59375,684.22731,13787.08701,,72209.28557000001,136729.86975,50703.6671,,17679.91157
BGR,Bulgaria,2001,67691.5422,165493.66462999998,1707.9796,719.62393,14251.80024,,72490.83864,127665.61374000002,49708.15823,,18080.77669
BGR,Bulgaria,2002,70402.51922999999,197890.09855999998,682.44142,478.24635,14139.61294,,82082.83542,140389.48357,61120.5995,,23514.674280000003
BGR,Bulgaria,2003,82625.21375,206643.32232,1088.3476699999999,517.41119,17806.08148,,115031.21154,144894.75780999998,48752.62288,,18758.83173
BGR,Bulgaria,2004,94352.98561,219820.96994,1018.32785,721.9617,18266.14804,,101980.96763,169219.89744,62979.528060000004,,19375.79801
BGR,Bulgaria,2005,97158.30345,223122.9416,1232.18623,948.86722,26476.07776,,107270.61276,174043.37139000001,67624.3921,,15014.23114
BGR,Bulgaria,2006,117287.58540999999,237060.15951,2580.37862,1424.38193,24882.22237,,100290.39219,200210.54207999998,82733.79357000001,,19516.13426
BGR,Bulgaria,2007,141885.70515,235490.86843000003,4308.3720299999995,2116.15307,31590.16424,,104528.22512,202473.70809,108389.32970999999,,17426.69547
BGR,Bulgaria,2008,147250.69543,294164.94938,2074.72244,4447.52023,32900.43497,,116786.50992000001,249809.27236,114242.54015999999,,21483.55906
BGR,Bulgaria,2009,157639.13749000002,315372.15852,3834.7817,943.16853,43712.17835,,136525.4505,287020.77242,97955.20167000001,,76884.84554
BGR,Bulgaria,2010,103974.41221000001,269327.97433,3020.6362,591.9914200000001,247061.69723000002,,101519.12782000001,445985.61253000004,76471.97104,,237931.70963000003
BGR,Bulgaria,2011,103706.65746,237510.0122,1220.9845,1121.1376300000002,269167.17331,,108318.15615,444241.51568,60166.29327,,266554.03826
BGR,Bulgaria,2012,148732.54866,225673.82849,1221.1068699999998,9109.2263,331438.13795,,95649.04121,529901.20203,90624.60502999999,,312733.26335
BGR,Bulgaria,2013,149820.95956,242798.3572,1020.03129,3556.1264,370671.71708000003,,95766.66069,566712.01655,105388.51428999999,,332842.24494
BGR,Bulgaria,2014,222418.36216999998,264064.10993000004,457.05080999999996,4048.8086200000002,508553.21495,,114013.12764,717226.9769,168301.44193,,361599.35325
BHR,Bahrain,2014,13589.61893,25900.87599,13247.610209999999,1248.61199,7766.773009999999,672.4649,15780.687240000001,19041.63812,14464.422680000001,13139.20681,4324.5488
BIH,Bosnia and Herzegovina,2012,1133.8975,24458.54121,,42.49661,47971.50442,24953.3038,,,,,14052.213880000001
BIH,Bosnia and Herzegovina,2013,2295.83839,31816.89581,,1.75046,67658.94644,23743.830169999997,,,,,80.22944
BIH,Bosnia and Herzegovina,2014,24981.65602,52949.049000000006,12588.9285,112.74656,12422.59511,,,,,,2942.7644
BIH,Bosnia and Herzegovina,2015,28423.607460000003,34048.04103,12741.21161,28.977059999999998,15303.25715,,18558.35564,48230.86118,16527.07704,7228.800440000001,2218.19365
BLR,Belarus,1997,99353.94925,224244.84425999998,3039.3444,,12844.55632,,,,,,
BLR,Belarus,1998,85699.00763,248497.80766,3613.63944,25.357039999999998,21815.4147,,,,,,
BLR,Belarus,1999,80908.22987000001,249907.47836999997,4172.22055,,117181.79050999999,,,,,,
BLR,Belarus,2000,99321.2968,261747.49504,4739.99757,5.07019,52193.84405,,,,,,
BLR,Belarus,2001,106683.2474,288404.41418,4616.079479999999,,39762.19019,,,,,,
BLR,Belarus,2002,100325.90633,260142.77169000002,8858.16464,7.33732,41281.0055,,,,,,
BLR,Belarus,2003,93144.42048,304975.19195,10460.639879999999,,32914.43548,,,,,,
BLR,Belarus,2004,105211.55972,361676.01411,12494.45055,,39524.770710000004,,,,,,
BLR,Belarus,2005,134456.7981,455177.26368000003,4241.54843,,39617.43979,,,,,,30851.6687
BLR,Belarus,2006,144462.27816,502081.73527,4937.11214,,47859.4062,,,,,,43197.39417
BLR,Belarus,2007,512613.4234,559073.96828,3144.65898,847.8068599999999,59702.36497,,,,,,36684.04425
BLR,Belarus,2008,358880.28080999997,566216.6440399999,3042.64844,840.8662400000001,54272.14313,,,,,,46404.98633
BLR,Belarus,2009,247970.27094000002,538311.0469300001,,1114.3724300000001,73059.58156,,,,,,51894.29813
BLR,Belarus,2010,274426.64157,594575.96557,,6101.269679999999,137458.33031,,,,,,56005.98055
