congress,chamber,bioguide,firstname,middlename,lastname,suffix,birthday,state,party,incumbent,termstart,age
80,house,A000296,Samuel,Washington,Arnold,,1879-09-21,MO,R,Yes,1947-01-03,67.3
80,house,B000940,Paul,,Brown,,1880-03-31,GA,D,Yes,1947-01-03,66.8
80,house,C000831,Edward,Eugene,Cox,,1880-04-03,GA,D,Yes,1947-01-03,66.7
80,house,T000001,John,,Taber,,1880-05-05,NY,R,Yes,1947-01-03,66.7
80,house,J000096,John,,Jennings,Jr.,1880-06-06,TN,R,Yes,1947-01-03,66.6
80,house,G000206,Wilson,Darwin,Gillette,,1880-07-01,PA,R,Yes,1947-01-03,66.5
80,house,G000360,Louis,Edward,Graham,,1880-08-04,PA,R,Yes,1947-01-03,66.4
80,house,G000207,George,W.,Gillie,,1880-08-15,IN,R,Yes,1947-01-03,66.4
80,house,M000574,Rolla,Coral,McMillen,,1880-10-05,IL,R,Yes,1947-01-03,66.2
80,house,K000301,Harold,,Knutson,,1880-10-20,MN,R,Yes,1947-01-03,66.2
80,house,W000683,Charles,Anderson,Wolverton,,1880-10-24,NJ,R,Yes,1947-01-03,66.2
80,house,J000088,Thomas,Albert,Jenkins,,1880-10-28,OH,R,Yes,1947-01-03,66.2
80,house,F000241,John,Hamlin,Folger,,1880-12-18,NC,D,Yes,1947-01-03,66.0
80,house,Z000009,Orville,,Zimmerman,,1880-12-31,MO,D,Yes,1947-01-03,66.0
80,house,G000297,Angier,Louis,Goodwin,,1881-01-30,MA,R,Yes,1947-01-03,65.9
80,house,V000125,Charles,Wesley,Vursell,,1881-02-08,IL,R,Yes,1947-01-03,65.9
80,house,R000392,Edith,Nourse,Rogers,,1881-03-19,MA,R,Yes,1947-01-03,65.8
80,house,B001096,Raymond,Hugh,Burke,,1881-11-04,OH,R,No,1947-01-03,65.2
80,house,R000082,Samuel,Taliaferro,Rayburn,,1882-01-06,TX,D,Yes,1947-01-03,65.0
80,house,N000135,Fred,Barthold,Norman,,1882-03-21,WA,R,No,1947-01-03,64.8
80,house,R000056,John,Elliott,Rankin,,1882-03-29,MS,D,Yes,1947-01-03,64.8
80,house,C000439,Jerome,Bayard,Clark,,1882-04-05,NC,D,Yes,1947-01-03,64.7
80,house,S000755,Raymond,Smiley,Springer,,1882-04-26,IN,R,Yes,1947-01-03,64.7
80,house,M000224,Noah,Morgan,Mason,,1882-07-19,IL,R,Yes,1947-01-03,64.5
80,house,H000356,Franck,Roberts,Havenner,,1882-09-20,CA,D,Yes,1947-01-03,64.3
80,house,S000554,Howard,Worth,Smith,,1883-02-02,VA,D,Yes,1947-01-03,63.9
80,house,B001056,Alfred,Lee,Bulwinkle,,1883-04-21,NC,D,Yes,1947-01-03,63.7
80,house,C000390,Ralph,Edwin,Church,,1883-05-05,IL,R,Yes,1947-01-03,63.7
80,house,R000209,Robert,Fleming,Rich,,1883-06-23,PA,R,Yes,1947-01-03,63.5
80,house,K000058,Augustine,Bernard,Kelley,,1883-07-09,PA,D,Yes,1947-01-03,63.5
80,house,V000105,Carl,,Vinson,,1883-11-18,GA,D,Yes,1947-01-03,63.1
80,house,D000411,George,Anthony,Dondero,,1883-12-16,MI,R,Yes,1947-01-03,63.0
80,house,C000268,E.,Wallace,Chadwick,,1884-01-17,PA,R,No,1947-01-03,63.0
80,house,S000845,Karl,,Stefan,,1884-03-01,NE,R,Yes,1947-01-03,62.8
80,house,G000541,Ralph,Waldo,Gwinn,,1884-03-29,NY,R,Yes,1947-01-03,62.8
80,house,J000264,Bartel,John,Jonkman,,1884-04-28,MI,R,Yes,1947-01-03,62.7
80,house,B000750,Willis,Winter,Bradley,,1884-06-28,CA,R,No,1947-01-03,62.5
80,house,S000536,Frederick,Cleveland,Smith,,1884-07-29,OH,R,Yes,1947-01-03,62.4
80,house,J000224,Hamilton,Chamberlain,Jones,,1884-09-26,NC,D,No,1947-01-03,62.3
80,house,M000191,Joseph,William,Martin,Jr.,1884-11-03,MA,R,Yes,1947-01-03,62.2
80,house,L000251,John,,Lesinski,,1885-01-03,MI,D,Yes,1947-01-03,62.0
80,house,S000335,Harry,Richard,Sheppard,,1885-01-10,CA,D,Yes,1947-01-03,62.0
80,house,B000332,Charles,Jasper,Bell,,1885-01-16,MO,D,Yes,1947-01-03,62.0
80,house,A000227,James,Coats,Auchincloss,,1885-01-19,NJ,R,Yes,1947-01-03,62.0
80,house,W000699,John,Stephens,Wood,,1885-02-08,GA,D,Yes,1947-01-03,61.9
80,house,F000191,John,William,Flannagan,Jr.,1885-02-20,VA,D,Yes,1947-01-03,61.9
80,house,B000725,Frank,William,Boykin,,1885-02-21,AL,D,Yes,1947-01-03,61.9
80,house,B000607,Frances,Payne,Bolton,,1885-03-29,OH,R,Yes,1947-01-03,61.8
80,house,M001081,John,Robert,Murdock,,1885-04-20,AZ,D,Yes,1947-01-03,61.7
80,house,G000031,Ralph,Abernethy,Gamble,,1885-05-06,NY,R,Yes,1947-01-03,61.7
80,house,T000263,Harve,,Tibbott,,1885-05-27,PA,R,Yes,1947-01-03,61.6
80,house,C000515,Cliff,,Clevenger,,1885-08-20,OH,R,Yes,1947-01-03,61.4
80,house,S000029,John,Carfield,Sanborn,,1885-09-28,ID,R,No,1947-01-03,61.3
80,house,C000529,Roy,,Clippinger,,1886-01-13,IL,R,Yes,1947-01-03,61.0
80,house,H000613,William,Silas,Hill,,1886-01-20,CO,R,Yes,1947-01-03,61.0
80,house,R000369,Robert,Fay,Rockwell,,1886-02-11,CO,R,Yes,1947-01-03,60.9
80,house,D000158,William,Levi,Dawson,,1886-04-26,IL,D,Yes,1947-01-03,60.7
80,house,R000132,Edward,Herbert,Rees,,1886-06-03,KS,R,Yes,1947-01-03,60.6
80,house,S000155,George,Blaine,Schwabe,,1886-07-26,OK,R,Yes,1947-01-03,60.4
80,house,R000391,Dwight,Laing,Rogers,,1886-08-17,FL,D,Yes,1947-01-03,60.4
80,house,M000680,Herbert,Alton,Meyer,,1886-08-30,KS,R,No,1947-01-03,60.3
80,house,G000332,Martin,,Gorski,,1886-10-30,IL,D,Yes,1947-01-03,60.2
80,house,K000244,Michael,Joseph,Kirwan,,1886-12-02,OH,D,Yes,1947-01-03,60.1
80,house,B001148,Clarence,Godber,Burton,,1886-12-14,VA,D,No,1947-01-03,60.1
80,house,L000279,Earl,Ramage,Lewis,,1887-02-22,OH,R,Yes,1947-01-03,59.9
80,house,L000157,Karl,Miles,Le Compte,,1887-05-25,IA,R,Yes,1947-01-03,59.6
80,house,B001179,John,Cornelius,Butler,,1887-07-02,NY,R,Yes,1947-01-03,59.5
80,house,E000135,Hubert,Summers,Ellis,,1887-07-06,WV,R,Yes,1947-01-03,59.5
80,house,J000165,Noble,Jacob,Johnson,,1887-08-23,IN,R,Yes,1947-01-03,59.4
80,house,P000309,John,,Phillips,,1887-09-11,CA,R,Yes,1947-01-03,59.3
80,house,K000041,Frank,Bateman,Keefe,,1887-09-23,WI,R,Yes,1947-01-03,59.3
80,house,M001062,Frederick,Augustus,Muhlenberg,,1887-09-25,PA,R,No,1947-01-03,59.3
80,house,H000663,Samuel,Francis,Hobbs,,1887-10-05,AL,D,Yes,1947-01-03,59.2
80,house,M001112,Reid,Fred,Murray,,1887-10-16,WI,R,Yes,1947-01-03,59.2
80,house,E000178,Albert,Joseph,Engel,,1888-01-01,MI,R,Yes,1947-01-03,59.0
80,house,R000083,Leo,Frederick,Rayfiel,,1888-03-22,NY,D,Yes,1947-01-03,58.8
80,house,J000157,Justin,Leroy,Johnson,,1888-04-08,CA,R,Yes,1947-01-03,58.7
80,house,C000889,Fred,Lewis,Crawford,,1888-05-05,MI,R,Yes,1947-01-03,58.7
80,house,C000264,Emanuel,,Celler,,1888-05-06,NY,D,Yes,1947-01-03,58.7
80,house,W000304,Milton,Horace,West,,1888-06-30,TX,D,Yes,1947-01-03,58.5
80,house,N000097,Donald,William,Nicholson,,1888-08-11,MA,R,No,1947-01-03,58.4
80,house,M000442,Robert,Neill,McGarvey,,1888-08-14,PA,R,No,1947-01-03,58.4
80,house,L000077,Henderson,Lovelace,Lanham,,1888-09-14,GA,D,No,1947-01-03,58.3
80,house,G000379,Walter,Keil,Granger,,1888-10-11,UT,D,Yes,1947-01-03,58.2
80,house,G000493,Chester,Heilman,Gross,,1888-10-13,PA,R,Yes,1947-01-03,58.2
80,house,H000443,James,Joseph,Heffernan,,1888-11-08,NY,D,Yes,1947-01-03,58.1
80,house,K000030,Bernard,William,Kearney,,1889-05-23,NY,R,Yes,1947-01-03,57.6
80,house,C000655,Jesse,Martin,Combs,,1889-07-07,TX,D,Yes,1947-01-03,57.5
80,house,A000250,Walter,Gresham,Andrews,,1889-07-16,NY,R,Yes,1947-01-03,57.5
80,house,F000075,Ivor,David,Fenton,,1889-08-03,PA,R,Yes,1947-01-03,57.4
80,house,R000319,Charles,Raymond,Robertson,,1889-09-05,ND,R,Yes,1947-01-03,57.3
80,house,C000810,William,Wirt,Courtney,,1889-09-07,TN,D,Yes,1947-01-03,57.3
80,house,D000281,Wesley,Abner,D'Ewart,,1889-10-01,MT,R,Yes,1947-01-03,57.3
80,house,G000543,John,Williams,Gwynne,,1889-10-20,IA,R,Yes,1947-01-03,57.2
80,house,F000066,Frank,,Fellows,,1889-11-07,ME,R,Yes,1947-01-03,57.2
80,house,M000037,William,Kingsland,Macy,,1889-11-21,NY,R,No,1947-01-03,57.1
80,house,H000036,Robert,,Hale,,1889-11-29,ME,R,Yes,1947-01-03,57.1
80,house,C000645,William,Meyers,Colmer,,1890-02-11,MS,D,Yes,1947-01-03,56.9
80,house,G000111,Bertrand,Wesley,Gearhart,,1890-05-31,CA,R,Yes,1947-01-03,56.6
80,house,R000111,Chauncey,William,Reed,,1890-06-02,IL,R,Yes,1947-01-03,56.6
80,house,C000993,Paul,Harvey,Cunningham,,1890-06-15,IA,R,Yes,1947-01-03,56.6
80,house,B001024,Charles,Anthony,Buckley,,1890-06-23,NY,D,Yes,1947-01-03,56.5
80,house,B000486,Cecil,William,Bishop,,1890-06-29,IL,R,Yes,1947-01-03,56.5
80,house,L000095,Henry,Dominique,Larcade,Jr.,1890-07-12,LA,D,Yes,1947-01-03,56.5
80,house,S000797,Thomas,Bahnson,Stanley,,1890-07-16,VA,D,Yes,1947-01-03,56.5
80,house,M000233,Frank,Asbury,Mathews,Jr.,1890-08-03,NJ,R,Yes,1947-01-03,56.4
80,house,C000473,Charles,Russell,Clason,,1890-09-03,MA,R,Yes,1947-01-03,56.3
80,house,A000239,August,Herman,Andresen,,1890-10-11,MN,R,Yes,1947-01-03,56.2
80,house,A000114,Asa,Leonard,Allen,,1891-01-05,LA,D,Yes,1947-01-03,56.0
80,house,M000727,George,Paul,Miller,,1891-01-15,CA,D,Yes,1947-01-03,56.0
80,house,B000232,George,Joseph,Bates,,1891-02-25,MA,R,Yes,1947-01-03,55.9
80,house,R000022,Homer,Alonzo,Ramey,,1891-03-02,OH,R,Yes,1947-01-03,55.8
