API_WellNo,Cnty,Hole,SideTrck,Completion,Well_Name,Company_name,Operator_number,Well_Type,Map_Symbol,Well_Status,Date_Status,Date_Permit_Application,Permit_Issued,Date_Spudded,Date_Total_Depth,Date_Well_Completed,Date_well_plugged,Date_well_confidential,confid,town,quad,quadsec,Producing_name,Producing_formation,Financial_security,Slant,County,Region,State_lease,Proposed_depth,Surface_location,Surface_Longitude,Surface_latitude,Bottom_hole_location,Bottom_hole_longitude,Bottom_hole_latitude,True_vertical_depth,Measured_depth,Kickoff,DrilledDepth,Elevation,Original_well_type,Permit_Fee,Objective_formation,Depth_Fee,Spacing,Spacing_Acres,Integration,Dt_Hearing,Dt_Mod,LINK
31003000120000,3,12,0,0,Billings EC-542,National Fuel Gas Supply Corp.,431,MS,O,AC,2009-12-31 00:00:00,,1977-07-01 00:00:00,1977-11-08 00:00:00,1977-11-28 00:00:00,1938-09-06 00:00:00,,,No,Independence,Whitesville,E,Beech Hill,Oriskany,True,Vertical,Allegany,9,NA,0,SURF,-77.815219999999997,42.060299999999998,BH,-77.815219999999997,42.060299999999998,5008,5008,0,5008,2199 ,NL,0,Not Applicable,-100,,,,,2011-04-26 15:48:21.423000000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003000120000
31003000130000,3,13,0,0,Forsythe Farms Corp (McLean) EC-541     ,National Fuel Gas Supply Corp.,431,MS,O,AC,2009-12-31 00:00:00,,1977-10-01 00:00:00,1939-11-30 00:00:00,,1940-02-19 00:00:00,,,No,Independence,Whitesville,E,Beech Hill,Oriskany,False,Vertical,Allegany,9,NA,0,SURF,-77.822580000000002,42.060679999999998,BH,-77.822580000000002,42.060679999999998,4945,4945,0,4945,2226 ,NL,0,Not Applicable,-100,,,,,2011-04-26 15:48:21.423000000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003000130000
31003000140000,3,14,0,0,Clark EC-444,National Fuel Gas Supply Corp.,431,MS,O,AC,2009-12-31 00:00:00,,1976-07-01 00:00:00,1976-07-12 00:00:00,1976-08-26 00:00:00,1977-05-24 00:00:00,,,No,Independence,Whitesville,C,West Independence,Oriskany,False,Vertical,Allegany,9,NA,0,SURF,-77.764110000000002,42.091520000000003,BH,-77.764110000000002,42.091520000000003,5141,5141,0,5141,2288 ,NL,0,Not Applicable,-100,,,,,2011-04-26 15:48:21.423000000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003000140000
31003000150000,3,15,0,0,Barney H. (Livermore) 454,Penn-York Energy Corp.,706,NL,OP,PA,,,1976-09-01 00:00:00,1938-10-27 00:00:00,,1938-12-22 00:00:00,1976-11-10 00:00:00,,No,Independence,Whitesville,E,Beech Hill-Independence,Not Applicable,False,Vertical,Allegany,9,NA,0,SURF,-77.792209999999997,42.078040000000001,BH,-77.792209999999997,42.078040000000001,4754,4754,0,4754,2039 ,NL,0,Not Applicable,-100,,,,,1999-03-10 00:00:00,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003000150000
31003000160000,3,16,0,0,Barney (Livermore) EC-452,National Fuel Gas Supply Corp.,431,MS,O,AC,2009-12-31 00:00:00,,1976-09-01 00:00:00,1976-10-06 00:00:00,1976-10-19 00:00:00,1977-05-26 00:00:00,,,No,Independence,Whitesville,E,West Independence,Oriskany,True,Vertical,Allegany,9,NA,0,SURF,-77.801339999999996,42.07873,BH,-77.801339999999996,42.07873,4853,4853,0,4853,2049 ,NL,0,Not Applicable,-100,,,,,2011-04-26 15:48:21.423000000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003000160000
31003000170000,3,17,0,0,Newton C (Heselton) EC-446,National Fuel Gas Supply Corp.,431,ST,S,AC,2009-12-31 00:00:00,,1976-08-01 00:00:00,1976-08-30 00:00:00,1976-09-12 00:00:00,1977-05-25 00:00:00,,,No,Independence,Whitesville,C,West Independence,Oriskany,True,Vertical,Allegany,9,NA,0,SURF,-77.779229999999998,42.09028,BH,-77.779229999999998,42.09028,4939,4939,0,4939,2152 ,NL,0,Not Applicable,-100,,,,,2011-04-26 15:48:21.423000000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003000170000
31003000180000,3,18,0,0,Nye SC-451Nye EC-451     ,National Fuel Gas Supply Corp.,431,ST,S,AC,2009-12-31 00:00:00,1976-08-30 00:00:00,1976-09-02 00:00:00,1976-09-18 00:00:00,1976-09-30 00:00:00,1977-06-03 00:00:00,,,No,Independence,Whitesville,E,West Independence,Oriskany,False,Vertical,Allegany,9,NA,0,SURF,-77.806690000000003,42.08182,BH,-77.806690000000003,42.08182,4705,4705,0,4705,1951 ,NL,0,Not Applicable,-100,,,,,2016-06-23 13:45:42.230000000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003000180000
31003000190000,3,19,0,0,Wilson (NFGSC) EC-449,National Fuel Gas Supply Corp.,431,ST,S,AC,2009-12-31 00:00:00,1976-07-05 00:00:00,1976-09-01 00:00:00,1976-09-08 00:00:00,1976-09-22 00:00:00,1977-06-02 00:00:00,,,No,Independence,Whitesville,E,West Independence,Oriskany,True,Vertical,Allegany,9,NA,4715,SURF,-77.800240000000002,42.081890000000001,BH,-77.800240000000002,42.081890000000001,4705,4705,0,4705,1966 ,NL,0,Not Applicable,-100,,,,,2011-04-26 15:48:21.423000000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003000190000
31003000200000,3,20,0,0,Crandell EC-431     ,National Fuel Gas Supply Corp.,431,NL,OP,PA,1999-12-31 00:00:00,,,1940-02-07 00:00:00,1940-05-11 00:00:00,1940-05-11 00:00:00,,,No,Independence,Whitesville,C,East Independence,Not Applicable,False,Vertical,Allegany,9,NA,0,SURF,-77.770009999999999,42.102649999999997,BH,-77.770009999999999,42.102649999999997,4923,4923,0,4923,2280 ,NL,0,Not Applicable,-100,,,,,2004-12-13 12:25:43.223000000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003000200000
31003000210000,3,21,0,0,Cornelius (Crandell) EC-432 ,National Fuel Gas Supply Corp.,431,MS,O,AC,2009-12-31 00:00:00,1971-08-11 00:00:00,1971-08-17 00:00:00,1971-10-05 00:00:00,1971-11-14 00:00:00,1971-11-14 00:00:00,,,No,Independence,Whitesville,,East Independence,Oriskany,False,Vertical,Allegany,9,NA,0,SURF,-77.766229999999993,42.102519999999998,BH,-77.766229999999993,42.102519999999998,5118,5118,0,5118,2211 ,NL,0,Not Applicable,-100,,,,,2011-04-26 15:48:21.423000000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003000210000
31003000220000,3,22,0,0,Martin (Lafever) EC-433,National Fuel Gas Supply Corp.,431,ST,S,AC,2009-12-31 00:00:00,1971-08-11 00:00:00,1971-08-17 00:00:00,1971-09-08 00:00:00,1971-09-22 00:00:00,1971-09-22 00:00:00,,,No,Andover,Whitesville,C,East Independence,Oriskany,False,Vertical,Allegany,9,NA,4940,SURF,-77.767060000000001,42.104849999999999,BH,-77.767060000000001,42.104849999999999,4879,4879,0,4879,2260 ,NL,0,Not Applicable,-100,,,,,2011-04-26 15:48:21.423000000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003000220000
31003000230000,3,23,0,0,Hess EC-430,National Fuel Gas Supply Corp.,431,ST,S,AC,2009-12-31 00:00:00,,1971-08-17 00:00:00,1971-10-10 00:00:00,1971-10-28 00:00:00,1972-03-14 00:00:00,,,No,Independence,Whitesville,C,East Independence,Oriskany,False,Vertical,Allegany,9,NA,0,SURF,-77.7761,42.102519999999998,BH,-77.7761,42.102519999999998,4922,4922,0,4922,2292 ,NL,0,Not Applicable,-100,,,,,2011-04-26 15:48:21.423000000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003000230000
31003000440000,3,44,0,0,Stallknecht (Graves) EC-485,National Fuel Gas Supply Corp.,431,MS,O,AC,2009-12-31 00:00:00,,1977-09-01 00:00:00,1947-08-13 00:00:00,,1947-12-04 00:00:00,,,No,Independence,Whitesville,E,Beech Hill,Oriskany,False,Vertical,Allegany,9,NA,0,SURF,-77.833609999999993,42.045720000000003,BH,-77.833609999999993,42.045720000000003,5219,5219,0,5219,2183 ,NL,0,Not Applicable,-100,,,,,2011-04-26 15:48:21.423000000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003000440000
31003000460000,3,46,0,0,Allegany County Farm 1,"Christman, Raymond L.",9111,DW,DHP,PA,,,,1947-09-20 00:00:00,1947-11-06 00:00:00,,,,No,Angelica,West Almond,,Not Applicable,Not Applicable,False,Vertical,Allegany,9,NA,0,SURF,-77.968739999999997,42.339860000000002,BH,-77.968739999999997,42.339860000000002,4102,4102,0,4102,2182 ,NL,0,Not Applicable,-100,,,,,2016-06-23 13:55:55.633000000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003000460000
31003000550000,3,55,0,0,Clarence Clark Est 1,Empire Gas & Fuel,9263,DW,DHP,PA,,,,1947-09-29 00:00:00,1948-02-23 00:00:00,1948-02-23 00:00:00,,,No,Andover,Whitesville,B,Not Applicable,Not Applicable,False,Vertical,Allegany,9,NA,0,SURF,-77.793459999999996,42.116819999999997,BH,-77.793459999999996,42.116819999999997,4880,4880,0,4880,2135 ,NL,0,Not Applicable,-100,,,,,2016-06-23 14:05:27.503000000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003000550000
31003000590000,3,59,0,0,Clark Herb 1,Belmont Quadrangle Drilling,9034,GD,GW,UN,,,,1940-05-09 00:00:00,,1940-07-29 00:00:00,,,No,Wellsville,Wellsville North,I,Not Applicable,Not Applicable,False,Vertical,Allegany,9,NA,0,SURF,-77.897549999999995,42.137309999999999,BH,-77.897549999999995,42.137309999999999,4694,4694,0,4694,1978 ,NL,0,Not Applicable,-100,,,,,2003-01-24 15:53:37.327000000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003000590000
31003000840000,3,84,0,0,Greene EC-447,National Fuel Gas Supply Corp.,431,ST,S,AC,2009-12-31 00:00:00,,1976-09-01 00:00:00,1976-09-12 00:00:00,1976-09-30 00:00:00,1977-05-31 00:00:00,,,No,Independence,Whitesville,B,West Independence,Oriskany,False,Vertical,Allegany,9,NA,0,SURF,-77.791569999999993,42.085599999999999,BH,-77.791569999999993,42.085599999999999,4820,4820,0,4820,2083 ,NL,0,Not Applicable,-100,,,,,2011-04-26 15:48:21.423000000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003000840000
31003000850000,3,85,0,0,Woodruff Fanny Est,Kerr & Kaufman,9271,GD,GWP,PA,,,,,,1933-04-13 00:00:00,,,No,UNK,,,Not Applicable,Not Applicable,False,Vertical,Statewide,9,NA,0,SURF,0,0,BH,0,0,2973,2973,0,2973,1644 ,NL,0,Not Applicable,-100,,,,,1995-10-12 00:00:00,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003000850000
31003000860000,3,86,0,0,Sheldon Arthur 1,Penn United,9257,GD,GW,UN,,,,,,1932-11-25 00:00:00,,,No,Allen,Fillmore,,Allen,Medina,False,Vertical,Allegany,9,NA,0,SURF,-78.035880000000006,42.391710000000003,BH,-78.035880000000006,42.391710000000003,3027,3027,0,3027,1623 ,NL,0,Not Applicable,-100,,,,,2003-01-24 15:53:37.343000000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003000860000
31003000870000,3,87,0,0,Smith J S 1,Kerr & Kaufman,9271,GD,GW,UN,,,,,,1933-07-21 00:00:00,,,No,Allen,Fillmore,,Allen,Oriskany,False,Vertical,Allegany,9,NA,0,SURF,-78.013270000000006,42.421280000000003,BH,-78.013270000000006,42.421280000000003,2903,2903,0,2903,1595 ,NL,0,Not Applicable,-100,,,,,2003-01-24 15:53:37.343000000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003000870000
