Date,Country,Confirmed,Recovered,Deaths
2020-04-08,Afghanistan,423,29,14
2020-04-09,Afghanistan,444,32,15
2020-04-10,Afghanistan,521,32,15
2020-04-11,Afghanistan,521,32,15
2020-04-12,Afghanistan,555,32,18
2020-04-13,Afghanistan,607,32,19
2020-04-14,Afghanistan,665,40,22
2020-04-15,Afghanistan,770,43,25
2020-04-16,Afghanistan,794,54,29
2020-04-17,Afghanistan,845,99,30
2020-04-18,Afghanistan,908,112,30
2020-04-19,Afghanistan,933,131,30
2020-04-20,Afghanistan,996,135,33
2020-04-21,Afghanistan,1026,150,36
2020-04-22,Afghanistan,1092,166,36
2020-04-23,Afghanistan,1176,179,40
2020-04-24,Afghanistan,1226,188,40
2020-04-25,Afghanistan,1330,188,43
2020-04-26,Afghanistan,1463,207,49
2020-04-27,Afghanistan,1531,220,50
2020-04-28,Afghanistan,1703,228,60
2020-04-29,Afghanistan,1827,252,60
2020-04-30,Afghanistan,1827,260,60
2020-05-01,Afghanistan,2171,310,64
2020-05-02,Afghanistan,2469,331,72
2020-05-03,Afghanistan,2469,345,72
2020-05-04,Afghanistan,2469,397,72
2020-05-05,Afghanistan,2469,421,72
2020-05-06,Afghanistan,3224,458,95
2020-05-07,Afghanistan,3392,468,104
2020-05-08,Afghanistan,3563,472,105
2020-05-09,Afghanistan,3563,502,105
2020-05-10,Afghanistan,4402,558,119
2020-05-11,Afghanistan,4664,558,120
2020-05-12,Afghanistan,4967,610,127
2020-05-13,Afghanistan,4967,648,127
2020-05-14,Afghanistan,5339,691,136
2020-05-15,Afghanistan,6053,745,153
2020-05-16,Afghanistan,6402,745,168
2020-05-17,Afghanistan,6635,778,169
2020-05-18,Afghanistan,7072,801,173
2020-05-19,Afghanistan,7655,850,177
2020-05-20,Afghanistan,8145,930,187
2020-05-21,Afghanistan,8676,938,193
2020-05-22,Afghanistan,9216,996,205
2020-05-23,Afghanistan,9952,1040,215
2020-05-24,Afghanistan,10668,1075,222
2020-05-25,Afghanistan,11180,1097,223
2020-05-26,Afghanistan,11917,1128,224
2020-05-27,Afghanistan,12465,1138,230
2020-05-28,Afghanistan,13102,1209,239
2020-05-29,Afghanistan,13745,1259,250
2020-05-30,Afghanistan,14529,1303,252
2020-05-31,Afghanistan,15180,1328,254
2020-06-01,Afghanistan,15836,1428,269
2020-06-02,Afghanistan,16578,1450,274
2020-06-03,Afghanistan,17353,1522,298
2020-06-04,Afghanistan,17977,1585,303
2020-06-05,Afghanistan,19055,1762,313
2020-06-06,Afghanistan,19637,1830,331
2020-06-07,Afghanistan,20428,1875,361
2020-06-08,Afghanistan,21003,2171,373
2020-06-09,Afghanistan,21308,2651,380
2020-06-10,Afghanistan,22228,3013,409
2020-06-11,Afghanistan,22976,3326,430
2020-06-12,Afghanistan,23632,3928,450
2020-06-13,Afghanistan,24188,4201,455
2020-06-14,Afghanistan,24852,4725,475
2020-06-15,Afghanistan,25613,5164,480
2020-06-16,Afghanistan,25719,5508,488
2020-06-17,Afghanistan,26960,6158,508
2020-06-18,Afghanistan,27423,7660,550
2020-06-19,Afghanistan,27964,7962,552
