Year,Region,Country,Christians,Muslims,Unaffiliated,Hindus,Buddhists,Folk Religions,Other Religions,Jews,All Religions
2010,Middle East-North Africa,Israel,150000,1380000,         230000,         10000,          20000,          20000,         10000,       5610000,7420000
2010,Europe,Italy,50440000,2220000,       7500000,          90000,         110000,          80000,          60000,          50000,60550000
2010,Latin America-Caribbean,Jamaica,2120000,10000,         470000,         10000,         10000,         120000,          30000,         10000,2740000
2010,Asia-Pacific,Japan,2030000,200000,      72120000,          30000,      45820000,         450000,       5890000,         10000,126540000
2010,Middle East-North Africa,Jordan,130000,6010000,         10000,         10000,          20000,         10000,         10000,         10000,6190000
2010,Asia-Pacific,Kazakhstan,3970000,11290000,         670000,         10000,          40000,          50000,          20000,         10000,16030000
2010,Sub-Saharan Africa,Kenya,34340000,3920000,       1000000,          60000,         10000,         690000,         500000,         10000,40510000
2010,Asia-Pacific,Kiribati,90000,10000,         10000,         10000,         10000,         10000,         10000,         10000,100000
2010,Europe,Kosovo,110000,1660000,         10000,         10000,         10000,         10000,         10000,         10000,1770000
2010,Middle East-North Africa,Kuwait,390000,2030000,         10000,         230000,          80000,         10000,         10000,         10000,2740000
2010,Asia-Pacific,Kyrgyzstan,610000,4690000,          20000,         10000,         10000,         10000,         10000,         10000,5330000
2010,Asia-Pacific,Laos,90000,10000,          50000,         10000,       4100000,       1910000,          50000,         10000,6200000
2010,Europe,Latvia,1260000,10000,         990000,         10000,         10000,         10000,         10000,         10000,2250000
2010,Middle East-North Africa,Lebanon,1620000,2590000,          10000,         10000,         10000,         10000,         10000,         10000,4230000
2010,Sub-Saharan Africa,Lesotho,2100000,10000,          70000,         10000,         10000,         10000,         10000,         10000,2170000
2010,Sub-Saharan Africa,Liberia,3430000,480000,          60000,         10000,         10000,          20000,         10000,         10000,3990000
2010,Middle East-North Africa,Libya,170000,6140000,          10000,         10000,          20000,         10000,         10000,         10000,6360000
2010,Europe,Liechtenstein,30000,10000,         10000,         10000,         10000,         10000,         10000,         10000,40000
2010,Europe,Lithuania,2980000,10000,         330000,         10000,         10000,         10000,         10000,         10000,3320000
2010,Europe,Luxembourg,360000,10000,         140000,         10000,         10000,         10000,         10000,         10000,510000
2010,Asia-Pacific,Macau,40000,10000,          80000,         10000,          90000,         320000,         10000,         10000,540000
2010,Europe,Republic of Macedonia,1220000,810000,          30000,         10000,         10000,         10000,         10000,         10000,2060000
2010,Sub-Saharan Africa,Madagascar,17680000,620000,       1440000,          10000,         10000,         940000,          20000,         10000,20710000
2010,Sub-Saharan Africa,Malawi,12320000,1930000,         370000,         10000,         10000,         260000,         10000,         10000,14900000
2010,Asia-Pacific,Malaysia,2670000,18100000,         190000,       1720000,       5010000,         650000,          60000,         10000,28400000
2010,Asia-Pacific,Maldives,10000,310000,         10000,         10000,         10000,         10000,         10000,         10000,320000
2010,Sub-Saharan Africa,Mali,370000,14510000,          70000,         10000,         10000,         410000,         10000,         10000,15370000
2010,Europe,Malta,400000,10000,          10000,         10000,         10000,         10000,         10000,         10000,420000
2010,Asia-Pacific,Marshall Islands,50000,10000,         10000,         10000,         10000,         10000,         10000,         10000,50000
2010,Latin America-Caribbean,Martinique,390000,10000,         10000,         10000,         10000,         10000,         10000,         10000,410000
2010,Sub-Saharan Africa,Mauritania,10000,3430000,         10000,         10000,         10000,          20000,         10000,         10000,3460000
2010,Sub-Saharan Africa,Mauritius,420000,220000,         10000,         630000,         10000,         10000,         10000,         10000,1300000
2010,Sub-Saharan Africa,Mayotte,10000,200000,         10000,         10000,         10000,         10000,         10000,         10000,200000
2010,Latin America-Caribbean,Mexico,107910000,10000,       5330000,         10000,         10000,          70000,          20000,          70000,113420000
2010,Asia-Pacific,Federated States of Micronesia,110000,10000,         10000,         10000,         10000,         10000,         10000,         10000,110000
2010,Europe,Moldova,3480000,20000,          50000,         10000,         10000,         10000,         10000,          20000,3570000
2010,Europe,Monaco,30000,10000,         10000,         10000,         10000,         10000,         10000,         10000,40000
2010,Asia-Pacific,Mongolia,60000,90000,         990000,         10000,       1520000,         100000,         10000,         10000,2760000
2010,Europe,Montenegro,490000,120000,          20000,         10000,         10000,         10000,         10000,         10000,630000
2010,Latin America-Caribbean,Montserrat,10000,10000,         10000,         10000,         10000,         10000,         10000,         10000,10000
2010,Middle East-North Africa,Morocco,20000,31930000,         10000,         10000,         10000,         10000,         10000,         10000,31950000
2010,Sub-Saharan Africa,Mozambique,13260000,4200000,       4200000,         10000,         10000,       1720000,         10000,         10000,23390000
2010,Asia-Pacific,Burma (Myanmar),3750000,1900000,         240000,         820000,      38410000,       2760000,          80000,         10000,47960000
2010,Sub-Saharan Africa,Namibia,2230000,10000,          40000,         10000,         10000,         10000,         10000,         10000,2280000
