Entity,Year,Average weekly hours worked per person by demographic group (Ramey and Francis (2009)),Average weekly hours devoted to school (Ramey and Francis (2009)),Weekly home production time by demographic group (Ramey and Francis (2009)),Average weekly leisure estimates by age (Ramey and Francis (2009))
Ages 14+ (female),1900,9.6000004,,42.5,
Ages 14+ (female),1910,10.6,,41.599998,
Ages 14+ (female),1920,10.9,,40.700001,
Ages 14+ (female),1930,10.4,,39.599998,
Ages 14+ (female),1940,10,,38.599998,
Ages 14+ (female),1950,10.6,,38.799999,
Ages 14+ (female),1960,11.5,,38.099998,
Ages 14+ (female),1970,12.5,,33.299999,
Ages 14+ (female),1980,14.6,,28,
Ages 14+ (female),1990,18.1,,27.5,
Ages 14+ (female),2000,19.299999,,27.9,
Ages 14+ (female),2005,18.9,,27.6,
Ages 14+ (male),1900,44.799999,,4,
Ages 14+ (male),1910,45.200001,,4.0999999,
Ages 14+ (male),1920,44,,4.0999999,
Ages 14+ (male),1930,38.400002,,6,
Ages 14+ (male),1940,34.099998,,7.5999999,
Ages 14+ (male),1950,34.400002,,9,
Ages 14+ (male),1960,32.099998,,10.7,
Ages 14+ (male),1970,29.4,,11.4,
Ages 14+ (male),1980,26.700001,,12.9,
Ages 14+ (male),1990,28.299999,,14.9,
Ages 14+ (male),2000,28,,16.299999,
Ages 14+ (male),2005,27.299999,,16.4,
Ages 14+ (total),1900,27.700001,.80000001,22.799999,36.900002
Ages 14+ (total),1910,28.5,1.2,22.200001,36.099998
Ages 14+ (total),1920,27.799999,1.3,22,37
Ages 14+ (total),1930,24.5,1.7,22.700001,39.5
Ages 14+ (total),1940,22,1.9,23.200001,41.599998
Ages 14+ (total),1950,22.299999,1.8,24.200001,40.400002
Ages 14+ (total),1960,21.4,2.5,24.9,39.799999
Ages 14+ (total),1970,20.5,3.5,22.9,41.700001
Ages 14+ (total),1980,20.4,3.0999999,20.799999,44.299999
Ages 14+ (total),1990,23,2.5999999,21.4,41.400002
Ages 14+ (total),2000,23.5,2.5999999,22.299999,39.900002
Ages 14+ (total),2005,23,2.7,22.200001,40.599998
Ages 14-17 (female),1900,12.2,,21,
Ages 14-17 (female),1910,12.3,,19.6,
Ages 14-17 (female),1920,11.8,,18.200001,
Ages 14-17 (female),1930,7.5999999,,17.299999,
Ages 14-17 (female),1940,2.9000001,,16,
Ages 14-17 (female),1950,3.3,,14.4,
Ages 14-17 (female),1960,2.8,,12.8,
Ages 14-17 (female),1970,2.9000001,,11.4,
Ages 14-17 (female),1980,3.7,,9.5,
Ages 14-17 (female),1990,3.8,,9.1000004,
Ages 14-17 (female),2000,3.5999999,,8.8999996,
Ages 14-17 (female),2005,2.9000001,,8.8000002,
Ages 14-17 (male),1900,,,3.8,
Ages 14-17 (male),1910,,,3.9000001,
Ages 14-17 (male),1920,,,3.9000001,
Ages 14-17 (male),1930,,,3.8,
Ages 14-17 (male),1940,,,3.7,
Ages 14-17 (male),1950,,,4.0999999,
Ages 14-17 (male),1960,,,4.5,
Ages 14-17 (male),1970,,,4.8000002,
Ages 14-17 (male),1980,,,5.1999998,
Ages 14-17 (male),1990,,,5.5999999,
Ages 14-17 (male),2000,,,6,
Ages 14-17 (male),2005,,,6.1999998,
Ages 14-17 (total),1900,20.700001,6.3000002,12.3,49
Ages 14-17 (total),1910,19.299999,9.6999998,11.7,47.400002
Ages 14-17 (total),1920,16.9,10.5,11.1,49.799999
Ages 14-17 (total),1930,11.5,13.9,10.5,52.599998
Ages 14-17 (total),1940,5.5,16.299999,9.8000002,57.200001
Ages 14-17 (total),1950,6.0999999,18.4,9.1999998,54.900002
Ages 14-17 (total),1960,4.5,20.9,8.6000004,54.5
Ages 14-17 (total),1970,4.0999999,22.299999,8.1000004,53.900002
Ages 14-17 (total),1980,4.5,22.5,7.3000002,54
Ages 14-17 (total),1990,3.9000001,23.700001,7.3000002,53.5
Ages 14-17 (total),2000,3.9000001,24,7.4000001,53
Ages 14-17 (total),2005,2.9000001,24,7.5,54
Ages 18 to 24 (male),1900,44.299999,,,
Ages 18 to 24 (male),1910,41.700001,,,
Ages 18 to 24 (male),1920,43.099998,,,
Ages 18 to 24 (male),1930,36.099998,,,
Ages 18 to 24 (male),1940,32.299999,,,
Ages 18 to 24 (male),1950,32.200001,,,
Ages 18 to 24 (male),1960,32.299999,,,
Ages 18 to 24 (male),1970,28.1,,,
Ages 18 to 24 (male),1980,26.5,,,
Ages 18 to 24 (male),1990,25.9,,,
Ages 18 to 24 (male),2000,25.1,,,
Ages 18 to 24 (male),2005,23.5,,,
Ages 18-24 (female),1900,14.9,.80000001,35.5,
Ages 18-24 (female),1910,16.299999,2.0999999,34.700001,
Ages 18-24 (female),1920,17.9,1.4,33.299999,
Ages 18-24 (female),1930,17.4,2.2,32.299999,
Ages 18-24 (female),1940,16.4,2.3,32.400002,
Ages 18-24 (female),1950,16.1,1.8,34.599998,
Ages 18-24 (female),1960,15.2,3.5999999,36.400002,
Ages 18-24 (female),1970,16.700001,5.5,28.9,
Ages 18-24 (female),1980,18.5,6.5,21.9,
Ages 18-24 (female),1990,20.200001,8.3000002,20.1,
Ages 18-24 (female),2000,20,8.6000004,19.9,
Ages 18-24 (female),2005,18.299999,9.3000002,20.9,
Ages 18-24 (male),1900,,1,4.3000002,
Ages 18-24 (male),1910,,2,4.1999998,
Ages 18-24 (male),1920,,1.6,4.5,
Ages 18-24 (male),1930,,2.7,6.8000002,
Ages 18-24 (male),1940,,3,7.5,
Ages 18-24 (male),1950,,4,7.3000002,
