City,State,Population,lat,lon
East Providence,Rhode Island,47149,41.813711600000005,-71.37005450000001
Urbandale,Iowa,41776,41.6266555,-93.71216559999999
Mount Vernon,New York,68224,40.9125992,-73.8370786
Lakewood,Colorado,147214,39.7047095,-105.08137340000002
Henderson,Nevada,270811,36.0395247,-114.9817213
Covina,California,48508,34.0900091,-117.89033970000001
Stamford,Connecticut,126456,41.0534302,-73.53873409999999
Bloomington,Indiana,82575,39.165325,-86.5263857
Kingsport,Tennessee,52962,36.548434,-82.5618186
Spokane,Washington,210721,47.6587802,-117.4260466
Kennewick,Washington,76762,46.2112458,-119.1372338
Philadelphia,Pennsylvania,1553165,39.9525839,-75.1652215
Bellingham,Washington,82631,48.74908,-122.4781473
Visalia,California,127763,36.330228399999996,-119.2920585
La Crosse,Wisconsin,51522,43.8013556,-91.2395807
Council Bluffs,Iowa,61969,41.2619444,-95.8608333
North Lauderdale,Florida,42757,26.217305,-80.2258811
Dallas,Texas,1257676,32.7766642,-96.7969879
Antioch,California,107100,38.0049214,-121.80578899999999
Sterling Heights,Michigan,131224,42.5803122,-83.0302033
Deerfield Beach,Florida,78041,26.318412300000002,-80.0997657
Fishers,Indiana,83891,39.95675479999999,-86.01335
Cheyenne,Wyoming,62448,41.1399814,-104.8202462
Murrieta,California,107479,33.553914299999995,-117.21392320000001
Lenexa,Kansas,50344,38.9536174,-94.7335709
Noblesville,Indiana,56540,40.0455917,-86.0085955
Southaven,Mississippi,50997,34.9889818,-90.0125913
Chino,California,80988,34.0122346,-117.68894399999999
Gaithersburg,Maryland,65690,39.143440600000005,-77.2013705
Fountain Valley,California,56707,33.7091847,-117.95366969999999
Frederick,Maryland,66893,39.414268799999995,-77.41054090000002
Greenville,North Carolina,89130,35.612660999999996,-77.3663538
DeKalb,Illinois,43849,41.9294736,-88.7503647
West Allis,Wisconsin,60697,43.0166806,-88.0070315
Thornton,Colorado,127359,39.8680412,-104.9719243
West Des Moines,Iowa,61255,41.5772115,-93.711332
Fall River,Massachusetts,88697,41.7014912,-71.1550451
Tulare,California,61170,36.20772879999999,-119.3473379
Chula Vista,California,256780,32.6400541,-117.0841955
Coral Springs,Florida,126604,26.271192,-80.27060440000001
Concord,North Carolina,83506,35.4087517,-80.579511
Smyrna,Georgia,53438,33.883992600000006,-84.51437609999999
Apopka,Florida,45587,28.6934076,-81.53221490000001
Grand Forks,North Dakota,54932,47.9252568,-97.0328547
Lancaster,Ohio,39325,39.71367539999999,-82.59932940000002
Naperville,Illinois,144864,41.7508391,-88.15353520000001
Hollywood,Florida,146526,26.0112014,-80.1494901
Rogers,Arkansas,60112,36.3320196,-94.1185366
New Orleans,Louisiana,378715,29.9510658,-90.0715323
Lakewood,Washington,59097,47.1717649,-122.51845800000001
Oak Lawn,Illinois,57073,41.719978000000005,-87.7479528
Caldwell,Idaho,48957,43.662938399999994,-116.6873596
Portland,Oregon,609456,45.523062200000005,-122.67648159999999
Concord,California,125880,37.9779776,-122.0310733
Burien,Washington,49858,47.4703767,-122.3467918
St. Charles,Missouri,67569,38.7881062,-90.4974359
Waukesha,Wisconsin,71016,43.0116784,-88.2314813
Flagstaff,Arizona,68667,35.1982836,-111.651302
Puyallup,Washington,38609,47.1853785,-122.29289740000002
Schenectady,New York,65902,42.8142432,-73.93956870000001
Denver,Colorado,649495,39.739235799999996,-104.990251
Springfield,Illinois,117006,39.7817213,-89.6501481
Campbell,California,40584,37.2871651,-121.9499568
Moreno Valley,California,201175,33.9424658,-117.2296717
Kettering,Ohio,55870,39.6895036,-84.16882740000001
Lincoln Park,Michigan,37313,42.250594299999996,-83.17853609999999
Lake Havasu City,Arizona,52844,34.483901,-114.32245479999999
North Little Rock,Arkansas,66075,34.769535999999995,-92.2670941
Reno,Nevada,233294,39.529632899999996,-119.8138027
Littleton,Colorado,44275,39.613321,-105.0166498
Prescott,Arizona,40590,34.540024200000005,-112.46850249999999
Dublin,California,52105,37.7021521,-121.9357918
Texarkana,Texas,37442,33.425125,-94.0476882
Portland,Maine,66318,43.661471,-70.2553259
Brooklyn Park,Minnesota,78373,45.0941315,-93.3563405
West Haven,Connecticut,55046,41.2705484,-72.94697109999998
El Centro,California,43363,32.792,-115.56305139999999
The Colony,Texas,39458,33.0806083,-96.8928309
Flint,Michigan,99763,43.012527399999996,-83.6874562
Pittsburg,California,66695,38.027976200000005,-121.88468059999998
Buckeye,Arizona,56683,33.370319699999996,-112.58377659999998
Brea,California,40963,33.9166805,-117.9000604
Indio,California,83539,33.7205771,-116.2155619
Scottsdale,Arizona,226918,33.494170399999994,-111.9260519
Columbus,Ohio,822553,39.9611755,-82.9987942
Lancaster,Pennsylvania,59325,40.0378755,-76.3055144
Lincoln,Nebraska,268738,40.8257625,-96.6851982
Trenton,New Jersey,84349,40.2170534,-74.74293840000001
Boston,Massachusetts,645966,42.360082500000004,-71.0588801
Glendora,California,51074,34.136118700000004,-117.86533899999999
Rochester,Minnesota,110742,44.0121221,-92.4801989
Florissant,Missouri,52363,38.789217,-90.322614
Annapolis,Maryland,38722,38.9784453,-76.4921829
Chapel Hill,North Carolina,59635,35.913199600000006,-79.05584449999999
Lawrence,Indiana,47135,39.8386516,-86.0252612
Calexico,California,39389,32.6789476,-115.4988834
Calumet City,Illinois,37240,41.6155909,-87.5294871
Missoula,Montana,69122,46.8787176,-113.99658600000001
Clovis,California,99769,36.8252277,-119.70291940000001
Pearland,Texas,100065,29.5635666,-95.2860474
Gilbert,Arizona,229972,33.3528264,-111.789027
Wausau,Wisconsin,39309,44.9591352,-89.6301221
Raleigh,North Carolina,431746,35.7795897,-78.6381787
Orange,California,139969,33.787794399999996,-117.8531119
Walnut Creek,California,66900,37.9100783,-122.06518190000001
Bremerton,Washington,39056,47.567320200000005,-122.6329356
Porterville,California,55174,36.06523,-119.0167679
Marana,Arizona,38290,32.436381,-111.2224422
