subgroup,modeldate,dem_estimate,dem_hi,dem_lo,rep_estimate,rep_hi,rep_lo,timestamp
All polls,12/20/1995,46.83237,51.96213,41.70262,39.51804,44.6478,34.38829,11:37:08  3 Sep 2020
All polls,12/21/1995,46.83295,51.96394,41.70196,39.51908,44.65007,34.38808,11:37:08  3 Sep 2020
All polls,12/22/1995,46.83299,51.96511,41.70088,39.51947,44.65158,34.38736,11:37:08  3 Sep 2020
All polls,12/23/1995,46.834,51.96748,41.70051,39.5209,44.6544,34.38741,11:37:07  3 Sep 2020
All polls,12/24/1995,46.83422,51.96862,41.69981,39.52148,44.65588,34.38708,11:37:07  3 Sep 2020
All polls,12/25/1995,46.83465,51.9706,41.6987,39.52238,44.65834,34.38643,11:37:07  3 Sep 2020
All polls,12/26/1995,46.83577,51.97317,41.69837,39.52396,44.66136,34.38656,11:37:07  3 Sep 2020
All polls,12/27/1995,46.83591,51.97433,41.69749,39.5245,44.66292,34.38607,11:37:07  3 Sep 2020
All polls,12/28/1995,46.83658,51.9765,41.69666,39.52569,44.66561,34.38577,11:37:06  3 Sep 2020
All polls,12/29/1995,46.83695,51.97762,41.69628,39.52628,44.66695,34.38561,11:37:06  3 Sep 2020
All polls,12/30/1995,46.83733,51.97919,41.69547,39.52718,44.66904,34.38531,11:37:06  3 Sep 2020
All polls,12/31/1995,46.83709,51.9796,41.69458,39.52719,44.6697,34.38468,11:37:06  3 Sep 2020
All polls,1/1/1996,46.83772,51.98116,41.69429,39.52814,44.67158,34.38471,11:37:06  3 Sep 2020
All polls,1/2/1996,46.83785,51.98229,41.69342,39.52866,44.67309,34.38422,11:37:05  3 Sep 2020
All polls,1/3/1996,46.83806,51.98319,41.69292,39.52909,44.67422,34.38395,11:37:05  3 Sep 2020
All polls,1/4/1996,46.83815,51.98431,41.69199,39.52958,44.67574,34.38342,11:37:05  3 Sep 2020
All polls,1/5/1996,46.83834,51.98517,41.69151,39.52997,44.6768,34.38314,11:37:05  3 Sep 2020
All polls,1/6/1996,46.8383,51.98597,41.69063,39.53032,44.67799,34.38265,11:37:05  3 Sep 2020
All polls,1/7/1996,46.83786,51.9861,41.68962,39.53012,44.67836,34.38188,11:37:05  3 Sep 2020
All polls,1/8/1996,45.2837,50.5344,40.03299,41.37106,46.62176,36.12035,11:37:04  3 Sep 2020
All polls,1/9/1996,45.28025,50.53354,40.02695,41.37775,46.63104,36.12445,11:37:04  3 Sep 2020
All polls,1/10/1996,45.27694,50.53181,40.02206,41.38431,46.63918,36.12943,11:37:04  3 Sep 2020
All polls,1/11/1996,45.27478,50.53111,40.01844,41.38881,46.64515,36.13248,11:37:04  3 Sep 2020
All polls,1/12/1996,45.27116,50.52907,40.01326,41.39592,46.65383,36.13802,11:37:04  3 Sep 2020
All polls,1/13/1996,45.26739,50.52583,40.00894,41.40332,46.66177,36.14488,11:37:03  3 Sep 2020
All polls,1/14/1996,45.26497,50.52497,40.00496,41.40823,46.66823,36.14822,11:37:03  3 Sep 2020
All polls,1/15/1996,45.26095,50.52235,39.99955,41.41603,46.67743,36.15464,11:37:03  3 Sep 2020
All polls,1/16/1996,45.2467,50.50137,39.99203,42.526,47.78067,37.27133,11:37:03  3 Sep 2020
All polls,1/17/1996,45.84953,50.8928,40.80627,43.46525,48.50851,38.42199,11:37:03  3 Sep 2020
All polls,1/18/1996,45.84786,50.89272,40.80301,43.47421,48.51907,38.42936,11:37:02  3 Sep 2020
All polls,1/19/1996,45.84605,50.89153,40.80057,43.48325,48.52874,38.43777,11:37:02  3 Sep 2020
All polls,1/20/1996,45.84506,50.89202,40.7981,43.4895,48.53646,38.44254,11:37:02  3 Sep 2020
All polls,1/21/1996,46.29257,51.30605,41.27908,43.18067,48.19415,38.16718,11:37:02  3 Sep 2020
All polls,1/22/1996,47.31876,52.22254,42.41498,43.14642,48.05019,38.24264,11:37:02  3 Sep 2020
All polls,1/23/1996,47.32055,52.2254,42.4157,43.15158,48.05643,38.24673,11:37:01  3 Sep 2020
All polls,1/24/1996,47.32148,52.22701,42.41595,43.15717,48.0627,38.25164,11:37:01  3 Sep 2020
All polls,1/25/1996,47.3227,52.22958,42.41582,43.16148,48.06835,38.2546,11:37:01  3 Sep 2020
All polls,1/26/1996,47.3242,52.2315,42.41689,43.16785,48.07515,38.26055,11:37:01  3 Sep 2020
All polls,1/27/1996,47.32588,52.23462,42.41714,43.17373,48.08247,38.265,11:37:01  3 Sep 2020
All polls,1/28/1996,47.32728,52.23745,42.41711,43.17857,48.08873,38.2684,11:37:00  3 Sep 2020
All polls,1/29/1996,47.32894,52.23957,42.41831,43.18518,48.09581,38.27455,11:37:00  3 Sep 2020
All polls,1/30/1996,47.33036,52.2425,42.41821,43.18966,48.10181,38.27751,11:37:00  3 Sep 2020
All polls,1/31/1996,47.33178,52.24429,42.41927,43.19553,48.10804,38.28302,11:37:00  3 Sep 2020
All polls,2/1/1996,47.33325,52.2461,42.42041,43.20356,48.11641,38.29071,11:37:00  3 Sep 2020
All polls,2/2/1996,47.3346,52.24759,42.42162,43.20912,48.1221,38.29614,11:36:59  3 Sep 2020
All polls,2/3/1996,47.33587,52.24919,42.42254,43.21645,48.12977,38.30312,11:36:59  3 Sep 2020
All polls,2/4/1996,47.33793,52.25154,42.42432,43.22602,48.13963,38.31241,11:36:59  3 Sep 2020
All polls,2/5/1996,47.33966,52.25341,42.42591,43.2324,48.14615,38.31865,11:36:59  3 Sep 2020
All polls,2/6/1996,47.34105,52.25518,42.42691,43.23971,48.15384,38.32558,11:36:59  3 Sep 2020
All polls,2/7/1996,47.34314,52.25741,42.42886,43.24677,48.16104,38.3325,11:36:58  3 Sep 2020
All polls,2/8/1996,47.34552,52.25989,42.43114,43.2542,48.16858,38.33983,11:36:58  3 Sep 2020
All polls,2/9/1996,47.34824,52.26262,42.43385,43.26219,48.17657,38.3478,11:36:58  3 Sep 2020
All polls,2/10/1996,47.35122,52.26572,42.43672,43.2707,48.1852,38.3562,11:36:58  3 Sep 2020
All polls,2/11/1996,47.36095,52.27815,42.44375,43.26939,48.18659,38.35219,11:36:58  3 Sep 2020
All polls,2/12/1996,47.36066,52.27788,42.44343,43.26952,48.18674,38.35229,11:36:57  3 Sep 2020
All polls,2/13/1996,47.36107,52.27837,42.44377,43.27155,48.18884,38.35425,11:36:57  3 Sep 2020
All polls,2/14/1996,47.36149,52.27892,42.44405,43.27372,48.19116,38.35629,11:36:57  3 Sep 2020
All polls,2/15/1996,47.362,52.27948,42.44453,43.27596,48.19344,38.35848,11:36:57  3 Sep 2020
All polls,2/16/1996,47.36232,52.27993,42.44471,43.27743,48.19504,38.35983,11:36:57  3 Sep 2020
All polls,2/17/1996,47.36323,52.28108,42.44538,43.28014,48.19799,38.36229,11:36:56  3 Sep 2020
All polls,2/18/1996,47.36376,52.28162,42.4459,43.28221,48.20007,38.36435,11:36:56  3 Sep 2020
All polls,2/19/1996,47.37345,52.2939,42.45299,43.27808,48.19854,38.35762,11:36:56  3 Sep 2020
All polls,2/20/1996,47.37399,52.29447,42.45352,43.28018,48.20065,38.3597,11:36:56  3 Sep 2020
All polls,2/21/1996,47.37446,52.29505,42.45387,43.28231,48.2029,38.36172,11:36:56  3 Sep 2020
All polls,2/22/1996,47.37511,52.29578,42.45445,43.28482,48.20549,38.36416,11:36:55  3 Sep 2020
All polls,2/23/1996,47.3756,52.29639,42.4548,43.28698,48.20778,38.36618,11:36:55  3 Sep 2020
All polls,2/24/1996,47.38321,52.30603,42.46039,43.28347,48.20628,38.36065,11:36:55  3 Sep 2020
All polls,2/25/1996,46.59739,51.87663,41.31815,43.62137,48.90061,38.34213,11:36:55  3 Sep 2020
All polls,2/26/1996,46.889,52.01451,41.76349,43.93083,49.05634,38.80532,11:36:55  3 Sep 2020
All polls,2/27/1996,46.88814,52.01531,41.76097,43.93298,49.06015,38.80581,11:36:54  3 Sep 2020
All polls,2/28/1996,46.88945,52.02236,41.75653,43.93946,49.07237,38.80654,11:36:54  3 Sep 2020
All polls,2/29/1996,46.88858,52.02254,41.75462,43.9416,49.07556,38.80764,11:36:54  3 Sep 2020
All polls,3/1/1996,46.88711,52.02341,41.75081,43.9434,49.0797,38.80709,11:36:54  3 Sep 2020
All polls,3/2/1996,46.88715,52.02488,41.74941,43.94598,49.08372,38.80824,11:36:53  3 Sep 2020
All polls,3/3/1996,46.88623,52.02599,41.74646,43.94806,49.08783,38.80829,11:36:53  3 Sep 2020
All polls,3/4/1996,46.8857,52.02779,41.7436,43.95039,49.09249,38.8083,11:36:53  3 Sep 2020
All polls,3/5/1996,46.88474,52.02783,41.74165,43.95266,49.09575,38.80957,11:36:53  3 Sep 2020
All polls,3/6/1996,46.88423,52.02978,41.73868,43.95497,49.10052,38.80943,11:36:53  3 Sep 2020
All polls,3/7/1996,46.8826,52.02868,41.73651,43.95712,49.10321,38.81103,11:36:52  3 Sep 2020
All polls,3/8/1996,46.88087,52.02794,41.73381,43.95929,49.10635,38.81223,11:36:52  3 Sep 2020
All polls,3/9/1996,46.88034,52.0283,41.73239,43.962,49.10995,38.81404,11:36:52  3 Sep 2020
All polls,3/10/1996,46.87857,52.02679,41.73036,43.96432,49.11253,38.8161,11:36:52  3 Sep 2020
All polls,3/11/1996,47.2929,52.53849,42.04732,43.81835,49.06393,38.57277,11:36:51  3 Sep 2020
All polls,3/12/1996,47.29463,52.5406,42.04865,43.82052,49.0665,38.57455,11:36:51  3 Sep 2020
All polls,3/13/1996,47.29598,52.54226,42.0497,43.82262,49.0689,38.57634,11:36:51  3 Sep 2020
All polls,3/14/1996,47.29737,52.54396,42.05078,43.82479,49.07138,38.5782,11:36:51  3 Sep 2020
All polls,3/15/1996,47.2988,52.5457,42.05189,43.82702,49.07393,38.58011,11:36:51  3 Sep 2020
All polls,3/16/1996,47.30026,52.54749,42.05303,43.82932,49.07655,38.58209,11:36:50  3 Sep 2020
All polls,3/17/1996,47.30165,52.54922,42.05408,43.83154,49.07911,38.58397,11:36:50  3 Sep 2020
All polls,3/18/1996,48.25539,53.23357,43.27722,42.3879,47.36607,37.40973,11:36:50  3 Sep 2020
All polls,3/19/1996,48.25786,53.23646,43.27926,42.38773,47.36633,37.40913,11:36:50  3 Sep 2020
All polls,3/20/1996,48.26876,53.2499,43.28762,42.37718,47.35832,37.39604,11:36:49  3 Sep 2020
All polls,3/21/1996,48.27136,53.25296,43.28975,42.37699,47.3586,37.39539,11:36:49  3 Sep 2020
All polls,3/22/1996,48.27405,53.2561,43.292,42.37679,47.35883,37.39474,11:36:49  3 Sep 2020
All polls,3/23/1996,48.2766,53.25898,43.29423,42.37661,47.35898,37.39423,11:36:49  3 Sep 2020
All polls,3/24/1996,48.28296,53.26799,43.29792,42.36681,47.35184,37.38178,11:36:48  3 Sep 2020
All polls,3/25/1996,48.28564,53.27113,43.30015,42.36661,47.3521,37.38112,11:36:48  3 Sep 2020
All polls,3/26/1996,48.28844,53.27439,43.30249,42.3664,47.35235,37.38045,11:36:48  3 Sep 2020
All polls,3/27/1996,48.29131,53.27774,43.30487,42.36616,47.35259,37.37973,11:36:47  3 Sep 2020
All polls,3/28/1996,48.29423,53.28101,43.30745,42.36591,47.35269,37.37914,11:36:47  3 Sep 2020
All polls,3/29/1996,48.29726,53.28431,43.31022,42.36566,47.3527,37.37862,11:36:47  3 Sep 2020
All polls,3/30/1996,48.3004,53.28794,43.31285,42.36538,47.35292,37.37783,11:36:47  3 Sep 2020
All polls,3/31/1996,48.30336,53.29127,43.31546,42.36511,47.35302,37.3772,11:36:46  3 Sep 2020
All polls,4/1/1996,48.54152,53.54171,43.54132,42.44511,47.4453,37.44492,11:36:46  3 Sep 2020
All polls,4/2/1996,48.54494,53.54663,43.54324,42.4454,47.44709,37.4437,11:36:46  3 Sep 2020
All polls,4/3/1996,48.33862,53.29887,43.37836,42.17446,47.13472,37.2142,11:36:46  3 Sep 2020
All polls,4/4/1996,48.34081,53.30208,43.37954,42.17392,47.13519,37.21265,11:36:45  3 Sep 2020
All polls,4/5/1996,48.34299,53.30572,43.38026,42.17337,47.1361,37.21064,11:36:45  3 Sep 2020
All polls,4/6/1996,48.34526,53.30929,43.38124,42.17278,47.13681,37.20876,11:36:45  3 Sep 2020
