ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,icao_code,iata_code,gps_code,local_code,coordinates
01NC,small_airport,Topsail Airpark,65,NA,US,US-NC,Holly Ridge,,,01NC,01NC,"34.47529983520508, -77.5813980102539"
01NH,small_airport,Moore Airfield,835,NA,US,US-NH,Canaan,,,01NH,01NH,"43.6445, -72.086998"
01NJ,heliport,Albert Guido Memorial Heliport,10,NA,US,US-NJ,Newark,,,01NJ,01NJ,"40.739956, -74.136128"
01NM,small_airport,Champion Ranch Airport,3630,NA,US,US-NM,Lake Arthur,,,01NM,01NM,"33.008611, -104.540278"
01NR,heliport,McGee 01 Heliport,40,NA,US,US-NC,Wilmington,,,01NR,01NR,"34.196264, -77.919917"
01NV,small_airport,Lantana Ranch Airport,4600,NA,US,US-NV,Yerington,,,01NV,01NV,"38.76390075683594, -119.0270004272461"
01NY,heliport,Vassar Hospital Heliport,100,NA,US,US-NY,Poughkeepsie,,,01NY,01NY,"41.692415, -73.93683"
01OH,heliport,Atrium Medical Center Heliport,775,NA,US,US-OH,Middletown,,,01OH,01OH,"39.497455, -84.313851"
01OI,heliport,Avita Health System Galion Hospital Heliport,1140,NA,US,US-OH,Galion,,,01OI,01OI,"40.730267, -82.802022"
01OL,small_airport,Spring Creek Ranch East Airport,1060,NA,US,US-OK,Tishomingo,,,01OL,01OL,"34.391667, -96.690833"
01PN,small_airport,Bierly(Personal Use) Airport,960,NA,US,US-PA,Bellefonte,,,01PN,01PN,"40.930599212646484, -77.73889923095703"
01PS,small_airport,Nort's Resort Airport,1040,NA,US,US-PA,Meshoppen,,,01PS,01PS,"41.59590148925781, -76.02960205078125"
01SC,small_airport,York Airport,779,NA,US,US-SC,York,,,01SC,01SC,"35.032100677490234, -81.25279998779297"
01TA,closed,Thirty Thirty Matlock Office Center Helistop,630,NA,US,US-TX,Arlington,,,,,"32.694867, -97.115964"
01TE,small_airport,Smith Field,505,NA,US,US-TX,Forney,,,01TE,01TE,"32.737598, -96.428001"
01TN,small_airport,Colonial Air Park,370,NA,US,US-TN,Collierville,,,01TN,01TN,"34.99589920043945, -89.73059844970703"
01TT,heliport,Clute Fire & EMS Station #1 Heliport,7,NA,US,US-TX,Clute,,,01TT,01TT,"29.012067, -95.402119"
01U,small_airport,Duckwater Airport,5124,NA,US,US-NV,Duckwater,,,K01U,01U,"38.849785, -115.634987"
01UT,small_airport,La Sal Junction Airport,6000,NA,US,US-UT,La Sal,,,01UT,01UT,"38.30830001831055, -109.39600372314453"
01VA,small_airport,Pickles Airport,500,NA,US,US-VA,Berryville,,,01VA,01VA,"39.125, -77.9250030518"
01WA,heliport,Willapa Harbor Heliport,154,NA,US,US-WA,South Bend,,,01WA,01WA,"46.66320037841797, -123.81199645996094"
01WI,closed,Prehn Cranberry Company Airport,930,NA,US,US-WI,Tomah,,,,,"44.009328, -90.38993"
01WN,heliport,Whidbey General Hospital Heliport,103,NA,US,US-WA,Coupeville,,,01WN,01WN,"48.213401794433594, -122.68499755859375"
01WT,heliport,Odyssey Heliport,20,NA,US,US-WA,Renton,,,01WT,01WT,"47.518178, -122.210908"
01WY,small_airport,Keyhole Airport,4250,NA,US,US-WY,Pine Haven,,,01WY,01WY,"44.348312, -104.8106"
01XA,heliport,Ascension Seton Hays Heliport,715,NA,US,US-TX,Kyle,,,01XA,01XA,"30.007222, -97.853333"
01XS,heliport,Meadowood Ranch Heliport,500,NA,US,US-TX,Athens,,,01XS,01XS,"32.020198822021484, -95.74549865722656"
02AA,small_airport,Barefoot Airport,160,NA,US,US-AK,Big Lake,,,02AA,02AA,"61.506147, -149.912825"
02AK,small_airport,Rustic Wilderness Airport,190,NA,US,US-AK,Willow,,,02AK,02AK,"61.876907, -150.097626"
02AL,small_airport,Bass Field,61,NA,US,US-AL,Foley,,,02AL,02AL,"30.37150001525879, -87.76439666748047"
02AN,small_airport,Emerald Ridge Airport,222,NA,US,US-AK,Homer,,,02AN,02AN,"59.704223, -151.295869"
02CA,heliport,Swepi Beta Platform Ellen Heliport,122,NA,US,US-CA,Huntington Beach,,,02CA,02CA,"33.58250045776367, -118.12899780273438"
02CD,small_airport,Shannon Field,165,NA,US,US-MS,Clarksdale,,,02CD,02CD,"34.129600524902344, -90.52400207519531"
02CL,small_airport,Conover Air Lodge Airport,5160,NA,US,US-CA,Frazier Park,,,02CL,02CL,"34.761101, -119.058998"
02CO,small_airport,Mc Cullough Airport,7615,NA,US,US-CO,Monte Vista,,,02CO,02CO,"37.64329910279999, -106.04699707"
02CT,heliport,Strangers Point Heliport,540,NA,US,US-CT,Ellington,,,02CT,02CT,"41.91960144042969, -72.44450378417969"
02FA,small_airport,Osborn Airfield,121,NA,US,US-FL,Groveland,,,02FA,02FA,"28.526699, -81.874802"
02FD,small_airport,Triple R Ranch Airport,209,NA,US,US-FL,Baker,,,02FD,02FD,"30.950976, -86.635555"
02GA,small_airport,Doug Bolton Field,884,NA,US,US-GA,Commerce,,,02GA,02GA,"34.202598571777344, -83.42900085449219"
02GE,small_airport,Etowah Fields Airport,710,NA,US,US-GA,Euharlee,,,02GE,02GE,"34.17530059814453, -84.92440032958984"
02HI,heliport,K3 Helipad Heliport,9,OC,US,US-HI,Honolulu,,,02HI,02HI,"21.35839, -157.94789"
02IA,heliport,Boone County Hospital Heliport,1160,NA,US,US-IA,Boone,,,02IA,02IA,"42.05609893798828, -93.87799835205078"
02ID,small_airport,Morgan Ranch Airport,5634,NA,US,US-ID,Cascade,,,02ID,02ID,"44.55550003051758, -115.30500030517578"
02II,small_airport,King Ultralightport,925,NA,US,US-IN,Westfield,,,02II,02II,"40.06230163574219, -86.21050262451172"
02IN,small_airport,Diamond P. Field,904,NA,US,US-IN,Muncie,,,02IN,02IN,"40.208900451660156, -85.54080200195312"
02IS,heliport,Condell Medical Center Heliport,762,NA,US,US-IL,Libertyville,,,02IS,02IS,"42.274600982666016, -87.9572982788086"
02KS,small_airport,JMJ Landing Airport,1170,NA,US,US-KS,Saint Marys,,,02KS,02KS,"39.221416, -96.057072"
02KT,heliport,St Claire Healthcare Heliport,781,NA,US,US-KY,Morehead,,,02KT,02KT,"38.181441, -83.443319"
02KY,heliport,Boone National Guard Heliport,760,NA,US,US-KY,Frankfort,,,02KY,02KY,"38.190282, -84.906442"
02LA,heliport,Louisiana State Police Troop G Heliport,168,NA,US,US-LA,Bossier City,,,02LA,02LA,"32.531491, -93.659939"
02LS,heliport,Windy Hill Heliport,25,NA,US,US-LA,Broussard,,,02LS,02LS,"30.148300170898438, -91.91899871826172"
02MA,heliport,Cuttyhunk Heliport,9,NA,US,US-MA,Cuttyhunk,,,02MA,02MA,"41.419601, -70.927002"
02MD,small_airport,Garner Field,141,NA,US,US-MD,Brandywine,,,02MD,02MD,"38.672544, -76.709739"
02ME,small_airport,Nadeau's Airfield,700,NA,US,US-ME,Acton,,,02ME,02ME,"43.537467, -70.930685"
02MI,small_airport,Fairplains Airpark,850,NA,US,US-MI,Greenville,,,02MI,02MI,"43.157100677490234, -85.14849853515625"
02MO,small_airport,Troy Airpark,650,NA,US,US-MO,Troy,,,02MO,02MO,"39.04999923706055, -91.03350067138672"
02MS,small_airport,Watts Field,153,NA,US,US-MS,Rochdale,,,02MS,02MS,"34.095701, -90.846131"
02NE,small_airport,Benes Service Airport,1550,NA,US,US-NE,Valparaiso,,,02NE,02NE,"41.074501037597656, -96.90450286865234"
02NH,seaplane_base,Iroquois Landing Seaplane Base,1180,NA,US,US-NH,Dummer,,,02NH,02NH,"44.657100677490234, -71.21910095214844"
