IATA,NAME,CITY
LAR,Laramie Regional Airport,Laramie
LAS,McCarran International Airport,Las Vegas
LAW,Lawton Fort Sill Regional Airport,Lawton
LAX,Los Angeles International Airport,Los Angeles
LBB,Lubbock Preston Smith International Airport,Lubbock
LBE,Arnold Palmer Regional Airport,Latrobe
LBF,North Platte Regional Airport Lee Bird Field,North Platte
LBL,Liberal Mid-America Regional Airport,Liberal
LBT,Lumberton Regional Airport,Lumberton
LCH,Lake Charles Regional Airport,Lake Charles
LCK,Rickenbacker International Airport,Columbus
LCQ,Lake City Gateway Airport,Lake City
LDJ,Linden Airport,Linden
LDM,Mason County Airport,Ludington
LEB,Lebanon Municipal Airport,Lebanon
LEE,Leesburg International Airport,Leesburg
LEW,Auburn Lewiston Municipal Airport,Lewiston
LEX,Blue Grass Airport,Lexington KY
LFI,Langley Air Force Base,Hampton
LFK,Angelina County Airport,Lufkin
LFT,Lafayette Regional Airport,Lafayette
LGA,La Guardia Airport,New York
LGB,Long Beach /Daugherty Field/ Airport,Long Beach
LGC,LaGrange Callaway Airport,LaGrange
LGD,La Grande/Union County Airport,La Grande
LGU,Logan-Cache Airport,Logan
LHV,William T. Piper Memorial Airport,Lock Haven
LIH,Lihue Airport,Lihue
LIT,Bill & Hillary Clinton National Airport/Adams Field,Little Rock
LIY,Wright AAF (Fort Stewart)/Midcoast Regional Airport,Wright
LJN,Texas Gulf Coast Regional Airport,Angleton
LKP,Lake Placid Airport,Lake Placid
LKV,Lake County Airport,Lakeview
LLY,South Jersey Regional Airport,Mount Holly
LMA,Minchumina Airport,Lake Minchumina
LMT,Crater Lake-Klamath Regional Airport,Klamath Falls
LNA,Palm Beach County Park Airport,West Palm Beach
LNK,Lincoln Airport,Lincoln
LNN,Willoughby Lost Nation Municipal Airport,Willoughby
LNR,Tri-County Regional Airport,Lone Rock
LNS,Lancaster Airport,Lancaster
LNY,Lanai Airport,Lanai
LOL,Derby Field,Lovelock
LOT,Lewis University Airport,Lockport
LOU,Bowman Field,Louisville
LOZ,London-Corbin Airport/Magee Field,London
LPC,Lompoc Airport,Lompoc
LPS,Lopez Island Airport,Lopez
LRD,Laredo International Airport,Laredo
LRF,Little Rock Air Force Base,Jacksonville
LRU,Las Cruces International Airport,Las Cruces
LSE,La Crosse Municipal Airport,La Crosse
LSF,Lawson Army Air Field (Fort Benning),Fort Benning
LSV,Nellis Air Force Base,Las Vegas
LTS,Altus Air Force Base,Altus
LUF,Luke Air Force Base,Phoenix
LUK,Cincinnati Municipal Airport Lunken Field,Cincinnati
LUP,Kalaupapa Airport,Molokai
LUR,Cape Lisburne LRRS Airport,Cape Lisburne
LVK,Livermore Municipal Airport,Livermore
LVM,Mission Field,Livingston-Montana
LVS,Las Vegas Municipal Airport,Las Vegas
LWB,Greenbrier Valley Airport,Lewisburg
LWC,Lawrence Municipal Airport,Lawrence
LWM,Lawrence Municipal Airport,Lawrence
LWS,Lewiston Nez Perce County Airport,Lewiston
LWT,Lewistown Municipal Airport,Lewistown
LXN,Jim Kelly Field,Lexington
LYH,Lynchburg Regional Preston Glenn Field,Lynchburg
LYU,Ely Municipal Airport,Ely
LZU,Gwinnett County Briscoe Field,Lawrenceville
MAE,Madera Municipal Airport,Madera
MAF,Midland International Airport,Midland
MBG,Mobridge Municipal Airport,Mobridge
MBL,Manistee Co Blacker Airport,Manistee
MBS,MBS International Airport,Saginaw
MCB,Mc Comb/Pike County Airport/John E Lewis Field,Mc Comb
MCC,Mc Clellan Airfield,Sacramento
MCE,Merced Regional Macready Field,Merced
MCF,Mac Dill Air Force Base,Tampa
MCG,McGrath Airport,Mcgrath
MCI,Kansas City International Airport,Kansas City
MCK,Mc Cook Ben Nelson Regional Airport,McCook
MCL,McKinley National Park Airport,McKinley Park
MCN,Middle Georgia Regional Airport,Macon
MCO,Orlando International Airport,Orlando
MCW,Mason City Municipal Airport,Mason City
MDH,Southern Illinois Airport,Carbondale/Murphysboro
MDT,Harrisburg International Airport,Harrisburg
MDW,Chicago Midway International Airport,Chicago
MEI,Key Field,Meridian
MEM,Memphis International Airport,Memphis
MEO,Dare County Regional Airport,Manteo
MER,Castle Airport,Merced
MFD,Mansfield Lahm Regional Airport,Mansfield
MFE,Mc Allen Miller International Airport,Mcallen
MFI,Marshfield Municipal Airport,Marshfield
MFR,Rogue Valley International Medford Airport,Medford
MGC,Michigan City Municipal Airport,Michigan City
MGE,Dobbins Air Reserve Base,Marietta
MGJ,Orange County Airport,Montgomery
MGM,Montgomery Regional (Dannelly Field) Airport,MONTGOMERY
MGW,Morgantown Municipal Walter L. Bill Hart Field,Morgantown
MGY,Dayton-Wright Brothers Airport,Dayton
MHE,Mitchell Municipal Airport,Mitchell
MHK,Manhattan Regional Airport,Manhattan
MHR,Sacramento Mather Airport,Sacramento
MHT,Manchester-Boston Regional Airport,Manchester NH
MHV,Mojave Airport,Mojave
MIA,Miami International Airport,Miami
MIB,Minot Air Force Base,Minot
MIE,Delaware County Johnson Field,Muncie
MIV,Millville Municipal Airport,Millville
MKC,Charles B. Wheeler Downtown Airport,Kansas City
MKE,General Mitchell International Airport,Milwaukee
MKG,Muskegon County Airport,Muskegon
MKK,Molokai Airport,Molokai
MKL,McKellar-Sipes Regional Airport,Jackson
MLB,Melbourne International Airport,Melbourne
MLC,Mc Alester Regional Airport,Mcalester
MLI,Quad City International Airport,Moline
MLL,Marshall Don Hunter Sr Airport,Marshall
MLS,Frank Wiley Field,Miles City
MLU,Monroe Regional Airport,Monroe
MLY,Manley Hot Springs Airport,Manley Hot Springs
MMH,Mammoth Yosemite Airport,Mammoth Lakes
MMI,McMinn County Airport,Athens
MMT,Mc Entire Joint National Guard Base,Eastover
MMU,Morristown Municipal Airport,Morristown
MNM,Menominee Regional Airport,Macon
MNZ,Manassas Regional Airport/Harry P. Davis Field,Manassas
MOB,Mobile Regional Airport,Mobile
MOD,Modesto City Co-Harry Sham Field,Modesto
MOT,Minot International Airport,Minot
MOU,Mountain Village Airport,Mountain Village
MPO,Pocono Mountains Municipal Airport,Mount Pocono
MPV,Edward F Knapp State Airport,Montpelier
MQT,Sawyer International Airport,Gwinn
MQY,Smyrna Airport,Smyrna
MRB,Eastern WV Regional Airport/Shepherd Field,Martinsburg
MRF,Marfa Municipal Airport,Marfa
MRI,Merrill Field,Anchorage
MRK,Marco Island Executive Airport,Marco Island Airport
MRN,Foothills Regional Airport,Morganton
MRY,Monterey Peninsula Airport,Monterey
MSC,Falcon Field,Mesa
MSL,Northwest Alabama Regional Airport,Muscle Shoals
MSN,Dane County Regional Truax Field,Madison
MSO,Missoula International Airport,Missoula
MSP,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis
MSS,Massena International Richards Field,Massena
MSY,Louis Armstrong New Orleans International Airport,New Orleans
MTC,Selfridge Air National Guard Base Airport,Mount Clemens
MTH,The Florida Keys Marathon Airport,Marathon
MTJ,Montrose Regional Airport,Montrose CO
MTM,Metlakatla Seaplane Base,Metakatla
MTN,Martin State Airport,Baltimore
MTP,Montauk Airport,Montauk
MUE,Waimea Kohala Airport,Kamuela
MUI,Muir Army Air Field (Fort Indiantown Gap) Airport,Muir
MUO,Mountain Home Air Force Base,Mountain Home
MVL,Morrisville Stowe State Airport,Morrisville
MVW,Skagit Regional Airport,Skagit
MVY,Martha's Vineyard Airport,Vineyard Haven MA
MWA,Williamson County Regional Airport,Marion
MWC,Lawrence J Timmerman Airport,Milwaukee
MWH,Grant County International Airport,Grant County Airport
MWL,Mineral Wells Airport,Mineral Wells
MXF,Maxwell Air Force Base,Montgomery
MYL,McCall Municipal Airport,McCall
MYR,Myrtle Beach International Airport,Myrtle Beach
MYU,Mekoryuk Airport,Mekoryuk
MYV,Yuba County Airport,Yuba City
MZJ,Pinal Airpark,Marana
NBG,New Orleans NAS JRB/Alvin Callender Field,New Orleans
NCN,Chenega Bay Airport,Chenega
NCO,Quonset State Airport,North Kingstown
NEL,Lakehurst Maxfield Field Airport,Lakehurst
NEW,Lakefront Airport,New Orleans
NFL,Fallon Naval Air Station,Fallon
NGF,Kaneohe Bay MCAS (Marion E. Carl Field) Airport,Kaneohe Bay
NGU,Norfolk Naval Station (Chambers Field),Norfolk
NGZ,Alameda Naval Air Station,Alameda
NHK,Patuxent River Naval Air Station (Trapnell Field),Patuxent River
NHZ,Brunswick Executive Airport,Brunswick
NIB,Nikolai Airport,Nikolai
NIP,Jacksonville Naval Air Station (Towers Field),Jacksonville
NJK,El Centro NAF Airport (Vraciu Field),El Centro
NKX,Miramar Marine Corps Air Station - Mitscher Field,Miramar
NLC,Lemoore Naval Air Station (Reeves Field) Airport,Lemoore
NLG,Nelson Lagoon Airport,Nelson Lagoon
NME,Nightmute Airport,Nightmute
NNL,Nondalton Airport,Nondalton
NOT,Marin County Airport - Gnoss Field,Novato
NPA,Pensacola Naval Air Station/Forrest Sherman Field,Pensacola
NQA,Millington-Memphis Airport,Millington
NQI,Kingsville Naval Air Station,Kingsville
NQX,Naval Air Station Key West/Boca Chica Field,Key West
NRB,Naval Station Mayport (Admiral David L. Mcdonald Field),Mayport
NSE,Whiting Field Naval Air Station - North,Milton
NTD,Point Mugu Naval Air Station (Naval Base Ventura Co),Point Mugu
NTU,Oceana Naval Air Station,Oceana
NUI,Nuiqsut Airport,Nuiqsut
NUL,Nulato Airport,Nulato
NUQ,Moffett Federal Airfield,Mountain View
NUW,Whidbey Island Naval Air Station (Ault Field),Whidbey Island
NXX,Willow Grove Naval Air Station/Joint Reserve Base,Willow Grove
NZJ,El Toro Marine Corps Air Station,Santa Ana
NZY,North Island Naval Air Station-Halsey Field,San Diego
OAJ,Albert J Ellis Airport,Jacksonville NC
OAK,Metropolitan Oakland International Airport,Oakland
OAR,Marina Municipal Airport,Fort Ord
OBE,Okeechobee County Airport,Okeechobee
OBU,Kobuk Airport,Kobuk
OCA,Ocean Reef Club Airport,Ocean Reef Club Airport
OCF,Ocala International Airport - Jim Taylor Field,Ocala
OCW,Warren Field,Washington
OEL,Oryol Yuzhny Airport,Oakley
OFF,Offutt Air Force Base,Omaha
OFK,Karl Stefan Memorial Airport,Norfolk  Nebraska
OGB,Orangeburg Municipal Airport,Orangeburg
OGD,Ogden Hinckley Airport,Ogden
OGG,Kahului Airport,Kahului
OGS,Ogdensburg International Airport,Ogdensburg
OJC,Johnson County Executive Airport,Olathe
OKC,Will Rogers World Airport,Oklahoma City
OKK,Kokomo Municipal Airport,Kokomo
OKM,Okmulgee Regional Airport,Okmulgee
OLF,L M Clayton Airport,Wolf Point
OLM,Olympia Regional Airport,Olympia
OLS,Nogales International Airport,Nogales
OLV,Olive Branch Airport,Olive Branch
OMA,Eppley Airfield,Omaha
OME,Nome Airport,Nome
ONO,Ontario Municipal Airport,Ontario
ONP,Newport Municipal Airport,Newport
ONT,Ontario International Airport,Ontario
OOK,Toksook Bay Airport,Toksook Bay
OPF,Opa-locka Executive Airport,Miami
ORD,Chicago O'Hare International Airport,Chicago
ORF,Norfolk International Airport,Norfolk
ORH,Worcester Regional Airport,Worcester
ORL,Orlando Executive Airport,Orlando
ORT,Northway Airport,Northway
ORV,Robert (Bob) Curtis Memorial Airport,Noorvik
OSC,Oscoda Wurtsmith Airport,Oscoda
OSH,Wittman Regional Airport,Oshkosh
OSU,The Ohio State University Airport - Don Scott Field,Columbus
OTH,Southwest Oregon Regional Airport,North Bend
OTK,Tillamook Airport,Tillamook
OTM,Ottumwa Regional Airport,Ottumwa
OTZ,Ralph Wien Memorial Airport,Kotzebue
OWB,Owensboro Daviess County Airport,Owensboro
OWD,Norwood Memorial Airport,Norwood
OXC,Waterbury Oxford Airport,Oxford
OXR,Oxnard Airport,Oxnard
OZA,Ozona Municipal Airport,Ozona
OZR,Cairns AAF (Fort Rucker) Air Field,Fort Rucker/Ozark
PAE,Snohomish County (Paine Field) Airport,Everett
PAH,Barkley Regional Airport,PADUCAH
PAM,Tyndall Air Force Base,Panama City
PAO,Palo Alto Airport of Santa Clara County,Palo Alto
PAQ,"Warren ""Bud"" Woods Palmer Municipal Airport",Palmer
PBF,"Pine Bluff Regional Airport, Grider Field",Pine Bluff
PBG,Plattsburgh International Airport,Plattsburgh
PBI,Palm Beach International Airport,West Palm Beach
PCD,Prairie Du Chien Municipal Airport,Prairie du Chien
PDK,DeKalb Peachtree Airport,Atlanta
PDT,Eastern Oregon Regional At Pendleton Airport,Pendleton
PDX,Portland International Airport,Portland
PEQ,Pecos Municipal Airport,Pecos
PFN,Panama City-Bay Co International Airport,Panama City
PGA,Page Municipal Airport,Page
PGD,Charlotte County Airport,Punta Gorda
PGV,Pitt Greenville Airport,Greenville
PHD,Harry Clever Field,New Philadelpha
PHF,Newport News Williamsburg International Airport,Newport News
PHK,Palm Beach County Glades Airport,Pahokee
PHL,Philadelphia International Airport,Philadelphia
PHN,St Clair County International Airport,Port Huron
PHX,Phoenix Sky Harbor International Airport,Phoenix
PIA,General Wayne A. Downing Peoria International Airport,Peoria
PIB,Hattiesburg Laurel Regional Airport,Hattiesburg/Laurel
PIE,St Petersburg Clearwater International Airport,St. Petersburg
PIH,Pocatello Regional Airport,Pocatello
PIM,Harris County Airport,Pine Mountain
PIP,Pilot Point Airport,Pilot Point
PIR,Pierre Regional Airport,Pierre
PIT,Pittsburgh International Airport,Pittsburgh
PIZ,Point Lay LRRS Airport,Point Lay
PKA,Napaskiak Airport,Napaskiak
PKB,Mid Ohio Valley Regional Airport,PARKERSBURG
PLN,Pellston Regional Airport of Emmet County Airport,Pellston
PMB,Pembina Municipal Airport,Pembina
PMD,Palmdale Regional/USAF Plant 42 Airport,Palmdale
PMH,Greater Portsmouth Regional Airport,Portsmouth
PML,Port Moller Airport,Cold Bay
PNC,Ponca City Regional Airport,Ponca City
PNE,Northeast Philadelphia Airport,Philadelphia
PNS,Pensacola Regional Airport,Pensacola
POB,Pope Field,Fort Bragg
POC,Brackett Field,La Verne
POE,Polk Army Air Field,Fort Polk
POF,Poplar Bluff Municipal Airport,Poplar Bluff
POU,Dutchess County Airport,Poughkeepsie
PPA,Perry Lefors Field,Pampa
PPC,Prospect Creek Airport,Prospect Creek
PPF,Tri-City Airport,Parsons
PPM,Pompano Beach Airpark,Pompano Beach
PQI,Northern Maine Regional Airport at Presque Isle,Presque Isle
PRB,Paso Robles Municipal Airport,Paso Robles
PRC,Ernest A. Love Field,Prescott
PRX,Cox Field,Paris
PRZ,Prineville Airport,Prineville
PSC,Tri Cities Airport,Pasco
PSG,Petersburg James A Johnson Airport,Petersburg
PSM,Portsmouth International at Pease Airport,Portsmouth
PSP,Palm Springs International Airport,Palm Springs
PSX,Palacios Municipal Airport,Palacios
PTA,Port Alsworth Airport,Port alsworth
PTB,Dinwiddie County Airport,Petersburg
PTH,Port Heiden Airport,Port Heiden
PTK,Oakland County International Airport,Pontiac
PTT,Pratt Regional Airport,Pratt
PTU,Platinum Airport,Port Moller
PUB,Pueblo Memorial Airport,Pueblo
PUC,Carbon County Regional/Buck Davis Field,Price
PUW,Pullman Moscow Regional Airport,Pullman
PVC,Provincetown Municipal Airport,Provincetown
PVD,Theodore Francis Green State Airport,Providence
PVL,Pike County-Hatcher Field,Pikeville
PVU,Provo Municipal Airport,Provo
PWA,Wiley Post Airport,Oklahoma City
PWK,Chicago Executive Airport,Chicago-Wheeling
PWM,Portland International Jetport Airport,Portland
PWT,Bremerton National Airport,Bremerton
PWY,Ralph Wenz Field,Pinedale
PYM,Plymouth Municipal Airport,Plymouth
RAC,John H Batten Airport,Racine
RAL,Riverside Municipal Airport,Riverside
RAP,Rapid City Regional Airport,Rapid City
RBD,Dallas Executive Airport,Dallas
RBK,French Valley Airport,Murrieta-Temecula
RBL,Red Bluff Municipal Airport,Red Bluff
RBY,Ruby Airport,Ruby
RCA,Ellsworth Air Force Base,Rapid City
RDB,Red Dog Airport,Red Dog
RDD,Redding Municipal Airport,Redding
RDG,Reading Regional Carl A Spaatz Field,Reading
RDM,Roberts Field,Redmond-Bend
RDR,Grand Forks Air Force Base,Red River
RDU,Raleigh Durham International Airport,Raleigh-durham
RFD,Chicago Rockford International Airport,Rockford
RHI,Rhinelander Oneida County Airport,Rhinelander
RHV,Reid-Hillview Airport of Santa Clara County,San Jose
RIC,Richmond International Airport,Richmond
RIL,Garfield County Regional Airport,Rifle
RIV,March ARB Airport,Riverside
RIW,Riverton Regional Airport,Riverton WY
RKD,Knox County Regional Airport,Rockland
RKH,Rock Hill - York County Airport,Rock Hill
RKP,Aransas County Airport,Rockport
RKS,Southwest Wyoming Regional Airport,Rock Springs
RME,Griffiss International Airport,Rome
RMG,Richard B Russell Airport,Rome
RMY,Mariposa Yosemite Airport,Mariposa
RND,Randolph Air Force Base,San Antonio
RNO,Reno Tahoe International Airport,Reno
RNT,Renton Municipal Airport,Renton
RNZ,Jasper County Airport,Rensselaer
ROA,Roanoke–Blacksburg Regional Airport,Roanoke VA
ROC,Greater Rochester International Airport,Rochester
ROW,Roswell International Air Center Airport,Roswell
RSH,Russian Mission Airport,Russian Mission
RSL,Russell Municipal Airport,Russell
RST,Rochester International Airport,Rochester
RSW,Southwest Florida International Airport,Fort Myers
RTN,Raton Municipal-Crews Field,Raton
RUI,Sierra Blanca Regional Airport,Ruidoso
RUT,Rutland - Southern Vermont Regional Airport,Rutland
RVS,Richard Lloyd Jones Jr Airport,Tulsa
RWF,Redwood Falls Municipal Airport,Redwood Falls
RWI,Rocky Mount Wilson Regional Airport,Rocky Mount
RWL,Rawlins Municipal Airport/Harvey Field,Rawlins
SAA,Shively Field,SARATOGA
SAC,Sacramento Executive Airport,Sacramento
SAD,Safford Regional Airport,Safford
SAF,Santa Fe Municipal Airport,Santa Fe
SAN,San Diego International Airport,San Diego
SAT,San Antonio International Airport,San Antonio
SAV,Savannah Hilton Head International Airport,Savannah
SBA,Santa Barbara Municipal Airport,Santa Barbara
SBD,San Bernardino International Airport,San Bernardino
SBM,Sheboygan County Memorial Airport,Sheboygan
SBN,South Bend Regional Airport,South Bend
SBP,San Luis County Regional Airport,San Luis Obispo
SBS,Steamboat Springs Bob Adams Field,Steamboat Springs
SBY,Salisbury Ocean City Wicomico Regional Airport,Salisbury
SCC,Deadhorse Airport,Deadhorse
SCE,University Park Airport,State College Pennsylvania
SCF,Scottsdale Airport,Scottsdale
SCH,Schenectady County Airport,Scotia NY
SCK,Stockton Metropolitan Airport,Stockton
SCM,Scammon Bay Airport,Scammon Bay
SDF,Louisville International Standiford Field,Louisville
SDM,Brown Field Municipal Airport,San Diego
SDP,Sand Point Airport,Sand Point
SDX,Sedona Airport,Sedona
SDY,Sidney - Richland Regional Airport,Sidney
SEA,Seattle Tacoma International Airport,Seattle
SEE,Gillespie Field,El Cajon
SEF,Sebring Regional Airport,Sebring
SEM,Craig Field,Selma
SEP,Stephenville Clark Regional Airport,Stephenville
SFB,Orlando Sanford International Airport,Sanford
SFF,Felts Field,Spokane
SFO,San Francisco International Airport,San Francisco
SFZ,North Central State Airport,Smithfield
SGF,Springfield Branson National Airport,Springfield
SGH,Springfield-Beckley Municipal Airport,Springfield
SGR,Sugar Land Regional Airport,Sugar Land
SGU,St George Municipal Airport,Saint George
SGY,Skagway Airport,Skagway
SHD,Shenandoah Valley Regional Airport,Weyers Cave
SHG,Shungnak Airport,Shungnak
SHH,Shishmaref Airport,Shishmaref
SHN,Sanderson Field,Shelton
SHR,Sheridan County Airport,Sheridan
SHV,Shreveport Regional Airport,Shreveport
SHX,Shageluk Airport,Shageluk
SIK,Sikeston Memorial Municipal Airport,Sikeston
SIT,Sitka Rocky Gutierrez Airport,Sitka
SJC,Norman Y. Mineta San Jose International Airport,San Jose
SJT,San Angelo Regional Mathis Field,San Angelo
SKA,Fairchild Air Force Base,Spokane
SKF,Lackland Air Force Base,San Antonio
SKK,Shaktoolik Airport,Shaktoolik
SKY,Griffing Sandusky Airport,Sandusky
SLC,Salt Lake City International Airport,Salt Lake City
SLE,Salem Municipal Airport/McNary Field,Salem
SLK,Adirondack Regional Airport,Saranac Lake
SLN,Salina Municipal Airport,Salina
SLQ,Sleetmute Airport,Sleetmute
SMD,Smith Field,Fort Wayne IN
SME,Lake Cumberland Regional Airport,Somerset
SMF,Sacramento International Airport,Sacramento
SMK,St Michael Airport,St. Michael
SMN,Lemhi County Airport,Salmon
SMO,Santa Monica Municipal Airport,Santa Monica
SMX,Santa Maria Pub/Capt G Allan Hancock Field,Santa Maria
SNA,John Wayne Airport-Orange County Airport,Santa Ana
SNP,St Paul Island Airport,St. Paul Island
SNS,Salinas Municipal Airport,Salinas
SNY,Sidney Municipal-Lloyd W Carr Field,Sidney
SOP,Moore County Airport,Pinehurst-Southern Pines
SOV,Seldovia Airport,Seldovia
SOW,Show Low Regional Airport,Show Low
SPA,Spartanburg Downtown Memorial Airport,Spartangurg
SPF,Black Hills Airport-Clyde Ice Field,Spearfish-South Dakota
SPG,Albert Whitted Airport,St. Petersburg
SPI,Abraham Lincoln Capital Airport,Springfield
SPS,Sheppard Air Force Base-Wichita Falls Municipal Airport,Wichita Falls
SPW,Spencer Municipal Airport,Spencer
SQA,Santa Ynez Airport,Santa Ynez
SQL,San Carlos Airport,San Carlos
SRQ,Sarasota Bradenton International Airport,Sarasota
SSC,Shaw Air Force Base,Sumter
SSF,Stinson Municipal Airport,Stinson
SSI,Malcolm McKinnon Airport,Brunswick
STC,St Cloud Regional Airport,Saint Cloud
STE,Stevens Point Municipal Airport,Stevens Point
STG,St George Airport,Point Barrow
STJ,Rosecrans Memorial Airport,Rosecrans
STK,Sterling Municipal Airport,Sterling
STL,St Louis Lambert International Airport,St. Louis
STP,St Paul Downtown Holman Field,St. Paul
STS,Charles M. Schulz Sonoma County Airport,Santa Rosa
SUA,Witham Field,Stuart
SUN,Friedman Memorial Airport,Hailey
SUS,Spirit of St Louis Airport,Null
SUU,Travis Air Force Base,Fairfield
SUX,Sioux Gateway Col. Bud Day Field,Sioux City
SVA,Savoonga Airport,Savoonga
SVH,Statesville Regional Airport,Statesville
SVN,Hunter Army Air Field,Hunter Aaf
SVW,Sparrevohn LRRS Airport,Sparrevohn
SWD,Seward Airport,Seward
SWF,Stewart International Airport,Newburgh
SWO,Stillwater Regional Airport,Stillwater
SXQ,Soldotna Airport,Soldotna
SYA,Eareckson Air Station,Shemya
SYR,Syracuse Hancock International Airport,Syracuse
SZL,Whiteman Air Force Base,Knobnoster
TBN,Waynesville-St. Robert Regional Forney field,Fort Leonardwood
TBR,Statesboro Bulloch County Airport,Statesboro
TCC,Tucumcari Municipal Airport,Tucumcari
TCL,Tuscaloosa Regional Airport,Tuscaloosa AL
TCM,McChord Air Force Base,Tacoma
TCS,Truth Or Consequences Municipal Airport,Truth Or Consequences
TEB,Teterboro Airport,Teterboro
TEX,Telluride Regional Airport,Telluride
TIK,Tinker Air Force Base,Oklahoma City
TIW,Tacoma Narrows Airport,Tacoma
TIX,Space Coast Regional Airport,Titusville
TKA,Talkeetna Airport,Talkeetna
TKF,Truckee Tahoe Airport,Truckee
TKJ,Tok Junction Airport,Tok
TLA,Teller Airport,Teller
TLH,Tallahassee Regional Airport,Tallahassee
TLJ,Tatalina LRRS Airport,Tatalina
TMA,Henry Tift Myers Airport,Tifton
TMB,Kendall-Tamiami Executive Airport,Kendall-tamiami
TNC,Tin City Long Range Radar Station Airport,Tin City
TNT,Dade Collier Training and Transition Airport,Miami
TOA,Zamperini Field,Torrance
TOC,Toccoa Airport - R.G. Letourneau Field,Toccoa
TOG,Togiak Airport,Togiak Village
TOI,Troy Municipal Airport at N Kenneth Campbell Field,Troy
TOL,Toledo Express Airport,Toledo
TOP,Philip Billard Municipal Airport,Topeka
TPA,Tampa International Airport,Tampa
TPF,Peter O Knight Airport,Tampa
TPH,Tonopah Airport,Tonopah
TPL,Draughon Miller Central Texas Regional Airport,Temple
TRI,Tri-Cities Regional TN/VA Airport,BRISTOL
TRM,Jacqueline Cochran Regional Airport,Palm Springs
TSM,Taos Regional Airport,Taos
TTD,Portland Troutdale Airport,Troutdale
TTN,Trenton Mercer Airport,Trenton
TUL,Tulsa International Airport,Tulsa
TUP,Tupelo Regional Airport,Tupelo
TUS,Tucson International Airport,Tucson
TVC,Cherry Capital Airport,Traverse City
TVF,Thief River Falls Regional Airport,Thief River Falls
TVI,Thomasville Regional Airport,Thomasville
TVL,Lake Tahoe Airport,South Lake Tahoe
TWF,Joslin Field Magic Valley Regional Airport,Twin Falls
TXK,Texarkana Regional Webb Field,Texarkana
TYR,Tyler Pounds Regional Airport,Tyler
TYS,McGhee Tyson Airport,Knoxville
TZR,Taszár Air Base,Columbus
UDD,Bermuda Dunes Airport,Palm Springs
UGN,Waukegan National Airport,Chicago
UIN,Quincy Regional Baldwin Field,Quincy
UKI,Ukiah Municipal Airport,Ukiah
UKT,Quakertown Airport,Quakertown
UNK,Unalakleet Airport,Unalakleet
UOS,Franklin County Airport,Sewanee
UOX,University Oxford Airport,Oxford
UPP,Upolu Airport,Opolu
USA,Concord-Padgett Regional Airport,Concord
UST,Northeast Florida Regional Airport,St. Augustine Airport
UTM,Tunica Municipal Airport,Tunica
UTO,Indian Mountain LRRS Airport,Indian Mountains
UUK,Ugnu-Kuparuk Airport,Kuparuk
UVA,Garner Field,Uvalde
VAD,Moody Air Force Base,Valdosta
VAK,Chevak Airport,Chevak
VBG,Vandenberg Air Force Base,Lompoc
VCT,Victoria Regional Airport,Victoria
VCV,Southern California Logistics Airport,Victorville
VDI,Vidalia Regional Airport,Vidalia
VDZ,Valdez Pioneer Field,Valdez
VEE,Venetie Airport,Venetie
VEL,Vernal Regional Airport,Vernal
VGT,North Las Vegas Airport,Las Vegas
VIS,Visalia Municipal Airport,Visalia
VLD,Valdosta Regional Airport,Valdosta
VNC,Venice Municipal Airport,Venice
VNY,Van Nuys Airport,Van Nuys
VOK,Volk Field,Camp Douglas
VPS,Destin-Ft Walton Beach Airport,Valparaiso
VPZ,Porter County Municipal Airport,Valparaiso IN
VQQ,Cecil Airport,Jacksonville
VRB,Vero Beach Regional Airport,Vero Beach
VTN,Miller Field,Valentine
VYS,Illinois Valley Regional Airport-Walter A Duncan Field,Peru
WAA,Wales Airport,Wales
WAL,Wallops Flight Facility Airport,Wallops Island
WBQ,Beaver Airport,Beaver
WBU,Boulder Municipal Airport,Boulder
WBW,Wilkes Barre Wyoming Valley Airport,Wilkes-Barre
WDR,Barrow County Airport,Winder
WFK,Northern Aroostook Regional Airport,Frenchville
WHP,Whiteman Airport,Los Angeles
WJF,General WM J Fox Airfield,Lancaster
WKK,Aleknagik / New Airport,Aleknagik
WKL,Waikoloa Heliport,Waikoloa Village
WLD,Strother Field,Winfield
WLK,Selawik Airport,Selawik
WMC,Winnemucca Municipal Airport,Winnemucca
WMH,Ozark Regional Airport,Mountain Home
WMO,White Mountain Airport,White Mountain
WNA,Napakiak Airport,Napakiak
WRB,Robins Air Force Base,Macon
WRG,Wrangell Airport,Wrangell
WRI,Mc Guire Air Force Base,Wrightstown
WRL,Worland Municipal Airport,Worland
WSD,Condron Army Air Field,White Sands
WSN,South Naknek Nr 2 Airport,South Naknek
WST,Westerly State Airport,Washington County
WTK,Noatak Airport,Noatak
WVI,Watsonville Municipal Airport,Watsonville
WWA,Wasilla Airport,Wasilla
WWD,Cape May County Airport,Wildwood
WWR,West Woodward Airport,Woodward
WYS,Yellowstone Airport,West Yellowstone
XNA,Northwest Arkansas Regional Airport,Bentonville
XSD,Tonopah Test Range Airport,Tonopah
YAK,Yakutat Airport,Yakutat
YIP,Willow Run Airport,Detroit
YKM,Yakima Air Terminal McAllister Field,Yakima
YKN,Chan Gurney Municipal Airport,Yankton
YNG,Youngstown Warren Regional Airport,Youngstown
YUM,Yuma MCAS/Yuma International Airport,Yuma
ZPH,Zephyrhills Municipal Airport,Zephyrhills
