ACN,DATE,LOCAL TIME OF DAY,PLACE.LOCALE REFERENCE,STATE REFERENCE,AIRCRAFT 1 MAKE MODEL,AIRCRAFT 1 OPERATOR,FLIGHT PHASE,ALTITUDE.AGL.SINGLE VALUE,NARRATIVE,SYNOPSIS
1501170,199005,0001-0600,EWR.Airport,NJ,Piper PA-28 (ABOVE 200 HP),Wells Fargo Trust Co Trustee,Cruise,3049,"While in cruise out of EWR, the crew of a Piper PA-28 (ABOVE 200 HP), tail number N44304, experienced a pitot static anomaly. The aircraft was operated by Wells Fargo Trust Co Trustee and was at 3049 ft AGL when the event began.",Piper PA-28 (ABOVE 200 HP) reported a pitot static anomaly during cruise near EWR.
1501202,199110,1801-2400,PWM.Airport,ME,Cessna 182 SKYLANE,Private Individual,Initial Approach,5966,"While in initial approach out of PWM, the crew of a Cessna 182 SKYLANE, tail number N26726, experienced an airspace incursion. The aircraft was operated by Private Individual and was at 5966 ft AGL when the event began. The autopilot was disengaged and the aircraft was hand flown. The flight continued to the destination and landed uneventfully.",Cessna 182 SKYLANE reported an airspace incursion during initial approach near PWM.
1501217,201611,1201-1800,TPA.Airport,FL,Piper PA-46-500TP,ATP Flight School,Initial Climb,666,"While in initial climb into TPA, the crew of a Piper PA-46-500TP, tail number N316SU, experienced a gear indication anomaly. The aircraft was operated by ATP Flight School and was at 666 ft AGL when the event began.",Piper PA-46-500TP reported a gear indication anomaly during initial climb near TPA.
1501264,200002,1801-2400,HOU.Airport,TX,Medium Large Transport,Fractional,Descent,13234,"During descent near HOU, we experienced a near midair collision. Company maintenance was contacted and a logbook entry was made.",Medium Large Transport flight crew reported a near midair collision near HOU.
1501275,201808,0601-1200,PBI.Airport,FL,Small Aircraft,Fractional,Descent,11867,"During descent near PBI, we experienced a flap asymmetry indication. The first officer noticed the discrepancy during the checklist flow. The aircraft diverted and maintenance inspected the system.",Small Aircraft flight crew reported a flap asymmetry indication near PBI.
1501323,201804,1201-1800,IAD.Airport,VA,Cirrus SR22T,Private Individual,Final Approach,4425,"While in final approach into IAD, the crew of a Cirrus SR22T, tail number N95469, experienced a loss of separation. The aircraft was operated by Private Individual and was at 4425 ft AGL when the event began. ATC issued a traffic alert and the crew initiated an immediate climb.",Cirrus SR22T reported a loss of separation during final approach near IAD.
1501347,200808,0001-0600,RSW.Airport,FL,Boeing 737-7H4,Untied Airlines,Final Approach,7957,"While in final approach into RSW, the crew of a Boeing 737-7H4, tail number N55914, experienced a runway incursion. The aircraft was operated by Untied Airlines and was at 7957 ft AGL when the event began. A flight attendant reported an unusual odor in the aft cabin. The aircraft diverted and maintenance inspected the system.",Boeing 737-7H4 reported a runway incursion during final approach near RSW.
1501368,199605,0001-0600,BUF.Airport,NY,Piper PA-31-350,ATP Flight School,Initial Approach,1930m,"While in initial approach into BUF, the crew of a Piper PA-31-350, tail number N893JW, experienced a gear indication anomaly. The aircraft was operated by ATP Flight School and was at 1930m AGL when the event began. The first officer noticed the discrepancy during the checklist flow.",Piper PA-31-350 reported a gear indication anomaly during initial approach near BUF.
1501438,199412,0001-0600,ABQ.Airport,NM,Medium Large Transport,Corporate,Descent,15878,"During descent near ABQ, we experienced an unstabilized approach. ATC issued a traffic alert and the crew initiated an immediate climb. The aircraft landed without further incident.",Medium Large Transport flight crew reported an unstabilized approach near ABQ.
1501468,199709,1201-1800,BOS.Airport,MA,Medium Large Transport,Fractional,Cruise,4714,"During cruise near BOS, we experienced smoke in the cockpit. ATC issued a traffic alert and the crew initiated an immediate climb. The flight continued to the destination and landed uneventfully.",Medium Large Transport flight crew reported smoke in the cockpit near BOS.
1501528,202204,0001-0600,BTV.Airport,VT,Beechcraft BARON,Private Individual,Landing,243,"While in landing into BTV, the crew of a Beechcraft BARON, tail number N53105, experienced a loss of separation. The aircraft was operated by Private Individual and was at 243 ft AGL when the event began. The crew returned to the departure airport as a precaution.",Beechcraft BARON reported a loss of separation during landing near BTV.
1501574,202412,0601-1200,JAC.Airport,WY,Cessna 172S,Embry Riddle University,Initial Approach,,"While in initial approach into JAC, the crew of a Cessna 172S, tail number N627LP, experienced a loss of separation. The aircraft was operated by Embry Riddle University and was at low altitude when the event began. The flight continued to the destination and landed uneventfully.",Cessna 172S reported a loss of separation during initial approach near JAC.
1501628,201912,0601-1200,MCI.Airport,MO,Cessna 210 CENTURION,Pinnacle Energy Partners,Descent,15222,"While in descent out of MCI, the crew of a Cessna 210 CENTURION, tail number N922UB, experienced a fuel imbalance. The aircraft was operated by Pinnacle Energy Partners and was at 15222 ft AGL when the event began. The aircraft landed without further incident.",Cessna 210 CENTURION reported a fuel imbalance during descent near MCI.
1501687,199812,1201-1800,DTW.Airport,MI,Small Aircraft,Fractional,Taxi,421,"During taxi near DTW, we experienced a flap asymmetry indication. The crew reviewed the chart and identified the published restriction. The aircraft diverted and maintenance inspected the system.",Small Aircraft flight crew reported a flap asymmetry indication near DTW.
1501731,199905,0001-0600,IAH.Airport,TX,Medium Large Transport,Air Carrier,Climb,5694,"During climb near IAH, we experienced a wake turbulence encounter. The first officer noticed the discrepancy during the checklist flow.",Medium Large Transport flight crew reported a wake turbulence encounter near IAH.
1501794,200005,1801-2400,LGA.Airport,NY,Piper PA-28-181,Private Individual,Descent,1363m,"While in descent into LGA, the crew of a Piper PA-28-181, tail number N94XM, experienced a partial loss of engine power. The aircraft was operated by Private Individual and was at 1363m AGL when the event began.",Piper PA-28-181 reported a partial loss of engine power during descent near LGA.
1501885,202403,1801-2400,OGG.Airport,HI,Robinson R44 II,Northern Lights Heli Services,Initial Climb,3907,"While in initial climb out of OGG, the crew of a Robinson R44 II, tail number N599RJ, experienced a loss of separation. The aircraft was operated by Northern Lights Heli Services and was at 3907 ft AGL when the event began. The crew returned to the departure airport as a precaution.",Robinson R44 II reported a loss of separation during initial climb near OGG.
1501931,201103,0001-0600,SLC.Airport,UT,Cessna 172N,Private Individual,Initial Approach,4040,"While in initial approach into SLC, the crew of a Cessna 172N, tail number N863RT, experienced an unstabilized approach. The aircraft was operated by Private Individual and was at 4040 ft AGL when the event began. Company maintenance was contacted and a logbook entry was made. The crew returned to the departure airport as a precaution.",Cessna 172N reported an unstabilized approach during initial approach near SLC.
1502008,200206,0601-1200,BDL.Airport,CT,Light Transport,Personal,Final Approach,3918,"During final approach near BDL, we experienced a fuel imbalance. A flight attendant reported an unusual odor in the aft cabin. The flight continued to the destination and landed uneventfully.",Light Transport flight crew reported a fuel imbalance near BDL.
1502077,199311,0601-1200,BHM.Airport,AL,Medium Large Transport,Air Carrier,Takeoff,306,"During takeoff near BHM, we experienced a fuel imbalance. Weather at the field was marginal VFR with gusting crosswinds. The crew returned to the departure airport as a precaution.",Medium Large Transport flight crew reported a fuel imbalance near BHM.
1502154,202101,1801-2400,SYR.Airport,NY,Beechcraft 1900D,Meridian Air Charter,Takeoff,750,"While in takeoff into SYR, the crew of a Beechcraft 1900D, tail number N6838L, experienced a fuel imbalance. The aircraft was operated by Meridian Air Charter and was at 750 ft AGL when the event began. The aircraft landed without further incident.",Beechcraft 1900D reported a fuel imbalance during takeoff near SYR.
1502192,202012,1201-1800,SEA.Airport,WA,Piper PA-28 (UP TO 180 HP),Private Individual,Cruise,16405,"While in cruise out of SEA, the crew of a Piper PA-28 (UP TO 180 HP), tail number N909WP, experienced an airspace incursion. The aircraft was operated by Private Individual and was at 16405 ft AGL when the event began. The autopilot was disengaged and the aircraft was hand flown. The aircraft diverted and maintenance inspected the system.",Piper PA-28 (UP TO 180 HP) reported an airspace incursion during cruise near SEA.
1502265,200204,1801-2400,SMF.Airport,CA,Embraer 175,American Airlines,Climb,5301,"While in climb into SMF, the crew of a Embraer 175, tail number N5638E, experienced a fuel imbalance. The aircraft was operated by American Airlines and was at 5301 ft AGL when the event began. The autopilot was disengaged and the aircraft was hand flown. The aircraft landed without further incident.",Embraer 175 reported a fuel imbalance during climb near SMF.
1502298,200009,1801-2400,ORF.Airport,VA,Medium Large Transport,Corporate,Initial Climb,2398m,"During initial climb near ORF, we experienced a TCAS resolution advisory. Company maintenance was contacted and a logbook entry was made. The aircraft diverted and maintenance inspected the system.",Medium Large Transport flight crew reported a TCAS resolution advisory near ORF.
1502382,199401,0001-0600,OAK.Airport,CA,Medium Large Transport,Fractional,Landing,409,"During landing near OAK, we experienced a near midair collision. ATC issued a traffic alert and the crew initiated an immediate climb. The aircraft landed without further incident.",Medium Large Transport flight crew reported a near midair collision near OAK.
1502453,202008,1201-1800,ELP.Airport,TX,Bell 212,State of Alaska,Cruise,14520,"While in cruise into ELP, the crew of a Bell 212, tail number N36041, experienced an unstabilized approach. The aircraft was operated by State of Alaska and was at 14520 ft AGL when the event began. The aircraft landed without further incident.",Bell 212 reported an unstabilized approach during cruise near ELP.
1502495,200905,0001-0600,CRW.Airport,WV,Cessna CITATION EXCEL,Bank of Utah Trustee,Taxi,471,"While in taxi out of CRW, the crew of a Cessna CITATION EXCEL, tail number N4710J, experienced a flap asymmetry indication. The aircraft was operated by Bank of Utah Trustee and was at 471 ft AGL when the event began.",Cessna CITATION EXCEL reported a flap asymmetry indication during taxi near CRW.
1502540,201510,0601-1200,FAI.Airport,AK,Piper PA-18-150,Embry Riddle University,Initial Climb,4865,"While in initial climb out of FAI, the crew of a Piper PA-18-150, tail number N426JD, experienced an airspace incursion. The aircraft was operated by Embry Riddle University and was at 4865 ft AGL when the event began. A flight attendant reported an unusual odor in the aft cabin.",Piper PA-18-150 reported an airspace incursion during initial climb near FAI.
1502560,201401,0601-1200,SDF.Airport,KY,Small Aircraft,Corporate,Climb,5255,"During climb near SDF, we experienced a loss of separation. The first officer noticed the discrepancy during the checklist flow. The aircraft diverted and maintenance inspected the system.",Small Aircraft flight crew reported a loss of separation near SDF.
1502647,201111,0601-1200,ABQ.Airport,NM,Medium Large Transport,Personal,Cruise,11571,"During cruise near ABQ, we experienced a gear indication anomaly. The controller advised of opposite direction traffic at the same altitude.",Medium Large Transport flight crew reported a gear indication anomaly near ABQ.
1502678,199603,0601-1200,CLE.Airport,OH,Piper PA-31-350,Bank of Utah Trustee,Descent,5600,"While in descent into CLE, the crew of a Piper PA-31-350, tail number N28ZV, experienced a wake turbulence encounter. The aircraft was operated by Bank of Utah Trustee and was at 5600 ft AGL when the event began. The autopilot was disengaged and the aircraft was hand flown. The aircraft landed without further incident.",Piper PA-31-350 reported a wake turbulence encounter during descent near CLE.
1502732,199704,1201-1800,GRR.Airport,MI,Piper PA-28 (UP TO 180 HP),Ameriflite,Descent,1702m,"While in descent out of GRR, the crew of a Piper PA-28 (UP TO 180 HP), tail number N2802A, experienced a runway incursion. The aircraft was operated by Ameriflite and was at 1702m AGL when the event began. ATC issued a traffic alert and the crew initiated an immediate climb. The aircraft diverted and maintenance inspected the system.",Piper PA-28 (UP TO 180 HP) reported a runway incursion during descent near GRR.
1502754,202105,0001-0600,HOU.Airport,TX,Boeing 737-8H4,Republic Airways,Cruise,7474,"While in cruise into HOU, the crew of a Boeing 737-8H4, tail number N823JG, experienced a loss of separation. The aircraft was operated by Republic Airways and was at 7474 ft AGL when the event began. Company maintenance was contacted and a logbook entry was made.",Boeing 737-8H4 reported a loss of separation during cruise near HOU.
1502814,202101,0601-1200,IAH.Airport,TX,Light Transport,Corporate,Climb,6231,"During climb near IAH, we experienced a TCAS resolution advisory. Weather at the field was marginal VFR with gusting crosswinds. The crew returned to the departure airport as a precaution.",Light Transport flight crew reported a TCAS resolution advisory near IAH.
1502860,202208,1801-2400,JFK.Airport,NY,Light Transport,Fractional,Initial Climb,6546,"During initial climb near JFK, we experienced an unstabilized approach. The controller advised of opposite direction traffic at the same altitude. The crew returned to the departure airport as a precaution.",Light Transport flight crew reported an unstabilized approach near JFK.
1502888,202203,0001-0600,CAE.Airport,SC,Boeing 737-8H4,Delta Airlines,Initial Approach,,"While in initial approach into CAE, the crew of a Boeing 737-8H4, tail number N97769, experienced a pitot static anomaly. The aircraft was operated by Delta Airlines and was at low altitude when the event began. The crew returned to the departure airport as a precaution.",Boeing 737-8H4 reported a pitot static anomaly during initial approach near CAE.
1502912,202105,1801-2400,DAB.Airport,FL,Cirrus SR22T,Private Individual,Takeoff,307,"While in takeoff out of DAB, the crew of a Cirrus SR22T, tail number N593US, experienced a TCAS resolution advisory. The aircraft was operated by Private Individual and was at 307 ft AGL when the event began. The first officer noticed the discrepancy during the checklist flow. The crew returned to the departure airport as a precaution.",Cirrus SR22T reported a TCAS resolution advisory during takeoff near DAB.
1502944,202203,0601-1200,FAI.Airport,AK,Piper PA-44 SEMINOLE,Private Individual,Climb,7539,"While in climb out of FAI, the crew of a Piper PA-44 SEMINOLE, tail number N59FR, experienced a near midair collision. The aircraft was operated by Private Individual and was at 7539 ft AGL when the event began. The autopilot was disengaged and the aircraft was hand flown. The aircraft diverted and maintenance inspected the system.",Piper PA-44 SEMINOLE reported a near midair collision during climb near FAI.
1502961,201502,0601-1200,BHM.Airport,AL,Medium Large Transport,Fractional,Taxi,179,"During taxi near BHM, we experienced an altitude deviation. ATC issued a traffic alert and the crew initiated an immediate climb.",Medium Large Transport flight crew reported an altitude deviation near BHM.
1502993,199108,1201-1800,PVD.Airport,RI,Medium Large Transport,Air Carrier,Climb,1759m,"During climb near PVD, we experienced a runway incursion. ATC issued a traffic alert and the crew initiated an immediate climb.",Medium Large Transport flight crew reported a runway incursion near PVD.
1503022,201806,0001-0600,JAC.Airport,WY,Robinson R22 BETA,Northern Lights Heli Services,Descent,11046,"While in descent into JAC, the crew of a Robinson R22 BETA, tail number N509TY, experienced a fuel imbalance. The aircraft was operated by Northern Lights Heli Services and was at 11046 ft AGL when the event began. Weather at the field was marginal VFR with gusting crosswinds. The flight continued to the destination and landed uneventfully.",Robinson R22 BETA reported a fuel imbalance during descent near JAC.
1503054,199311,1801-2400,ANC.Airport,AK,Piper PA-31 NAVAJO,Private Individual,Takeoff,688,"While in takeoff into ANC, the crew of a Piper PA-31 NAVAJO, tail number N93XG, experienced a runway incursion. The aircraft was operated by Private Individual and was at 688 ft AGL when the event began. Weather at the field was marginal VFR with gusting crosswinds.",Piper PA-31 NAVAJO reported a runway incursion during takeoff near ANC.
1503138,202402,1201-1800,OKC.Airport,OK,Cessna CITATION EXCEL,Gulf Coast Areal Survey,Taxi,253,"While in taxi into OKC, the crew of a Cessna CITATION EXCEL, tail number N549PG, experienced an unstabilized approach. The aircraft was operated by Gulf Coast Areal Survey and was at 253 ft AGL when the event began. ATC issued a traffic alert and the crew initiated an immediate climb. The flight continued to the destination and landed uneventfully.",Cessna CITATION EXCEL reported an unstabilized approach during taxi near OKC.
1503155,201409,1801-2400,ABQ.Airport,NM,Light Transport,Air Carrier,Landing,484,"During landing near ABQ, we experienced a pitot static anomaly. The autopilot was disengaged and the aircraft was hand flown. The aircraft landed without further incident.",Light Transport flight crew reported a pitot static anomaly near ABQ.
1503179,200507,1201-1800,BHM.Airport,AL,Small Aircraft,Fractional,Final Approach,5870,"During final approach near BHM, we experienced a runway incursion. ATC issued a traffic alert and the crew initiated an immediate climb.",Small Aircraft flight crew reported a runway incursion near BHM.
1503263,202004,1801-2400,BHM.Airport,AL,Diamond DA42,Private Individual,Taxi,334,"While in taxi out of BHM, the crew of a Diamond DA42, tail number N82432, experienced a near midair collision. The aircraft was operated by Private Individual and was at 334 ft AGL when the event began. Weather at the field was marginal VFR with gusting crosswinds. The aircraft diverted and maintenance inspected the system.",Diamond DA42 reported a near midair collision during taxi near BHM.
1503279,201805,0001-0600,PVD.Airport,RI,Mooney M20R,Private Individual,Landing,706,"While in landing out of PVD, the crew of a Mooney M20R, tail number N245UW, experienced a loss of separation. The aircraft was operated by Private Individual and was at 706 ft AGL when the event began. The aircraft diverted and maintenance inspected the system.",Mooney M20R reported a loss of separation during landing near PVD.
1503337,199210,0001-0600,ELP.Airport,TX,Piper PA-44 SEMINOLE,Private Individual,Descent,1961m,"While in descent out of ELP, the crew of a Piper PA-44 SEMINOLE, tail number N198ZB, experienced a loss of separation. The aircraft was operated by Private Individual and was at 1961m AGL when the event began. Weather at the field was marginal VFR with gusting crosswinds.",Piper PA-44 SEMINOLE reported a loss of separation during descent near ELP.
1503361,199607,0601-1200,IAD.Airport,VA,Medium Large Transport,Corporate,Final Approach,8792,"During final approach near IAD, we experienced a loss of separation. Company maintenance was contacted and a logbook entry was made.",Medium Large Transport flight crew reported a loss of separation near IAD.
1503444,202009,1201-1800,SMF.Airport,CA,Small Aircraft,Fractional,Landing,553,"During landing near SMF, we experienced a pitot static anomaly. The first officer noticed the discrepancy during the checklist flow. The flight continued to the destination and landed uneventfully.",Small Aircraft flight crew reported a pitot static anomaly near SMF.
1503541,202401,0001-0600,IAH.Airport,TX,Cessna 182T,Private Individual,Landing,83,"While in landing out of IAH, the crew of a Cessna 182T, tail number N68793, experienced an airspace incursion. The aircraft was operated by Private Individual and was at 83 ft AGL when the event began. The controller advised of opposite direction traffic at the same altitude. The aircraft diverted and maintenance inspected the system.",Cessna 182T reported an airspace incursion during landing near IAH.
1503628,201207,0601-1200,DTW.Airport,MI,Piper PA-28 (UP TO 180 HP),Private Individual,Initial Approach,3590,"While in initial approach out of DTW, the crew of a Piper PA-28 (UP TO 180 HP), tail number N6618K, experienced a TCAS resolution advisory. The aircraft was operated by Private Individual and was at 3590 ft AGL when the event began.",Piper PA-28 (UP TO 180 HP) reported a TCAS resolution advisory during initial approach near DTW.
1503653,199801,1201-1800,DCA.Airport,VA,De Havilland DHC-2 TURBO-BEAVER,Private Individual,Descent,3180,"While in descent into DCA, the crew of a De Havilland DHC-2 TURBO-BEAVER, tail number N536WD, experienced an unstabilized approach. The aircraft was operated by Private Individual and was at 3180 ft AGL when the event began. A flight attendant reported an unusual odor in the aft cabin. The aircraft landed without further incident.",De Havilland DHC-2 TURBO-BEAVER reported an unstabilized approach during descent near DCA.
1503749,199912,0001-0600,PBI.Airport,FL,Light Transport,Air Carrier,Landing,57,"During landing near PBI, we experienced a gear indication anomaly. The crew reviewed the chart and identified the published restriction. The aircraft landed without further incident.",Light Transport flight crew reported a gear indication anomaly near PBI.
1503826,202402,1801-2400,OGG.Airport,HI,Medium Large Transport,Air Carrier,Initial Approach,4707,"During initial approach near OGG, we experienced a fuel imbalance. Weather at the field was marginal VFR with gusting crosswinds.",Medium Large Transport flight crew reported a fuel imbalance near OGG.
1503878,200704,1201-1800,CAE.Airport,SC,Cessna 182 SKYLANE,Private Individual,Landing,1140m,"While in landing out of CAE, the crew of a Cessna 182 SKYLANE, tail number N90UW, experienced a TCAS resolution advisory. The aircraft was operated by Private Individual and was at 1140m AGL when the event began. The aircraft landed without further incident.",Cessna 182 SKYLANE reported a TCAS resolution advisory during landing near CAE.
1503917,199910,0001-0600,MHT.Airport,NH,Boeing 717,United Airlines,Descent,3380,"While in descent into MHT, the crew of a Boeing 717, tail number N128AL, experienced an airspace incursion. The aircraft was operated by United Airlines and was at 3380 ft AGL when the event began. ATC issued a traffic alert and the crew initiated an immediate climb.",Boeing 717 reported an airspace incursion during descent near MHT.
1503928,201603,1201-1800,PHL.Airport,PA,Beechcraft A36,Private Individual,Climb,3468,"While in climb out of PHL, the crew of a Beechcraft A36, tail number N40HA, experienced a loss of separation. The aircraft was operated by Private Individual and was at 3468 ft AGL when the event began. A flight attendant reported an unusual odor in the aft cabin. The crew returned to the departure airport as a precaution.",Beechcraft A36 reported a loss of separation during climb near PHL.
1503949,201911,0001-0600,OKC.Airport,OK,Medium Large Transport,Fractional,Taxi,123,"During taxi near OKC, we experienced a pitot static anomaly. The crew reviewed the chart and identified the published restriction.",Medium Large Transport flight crew reported a pitot static anomaly near OKC.
1504017,201610,0601-1200,BWI.Airport,MD,Light Transport,Fractional,Initial Approach,,"During initial approach near BWI, we experienced a loss of separation. ATC issued a traffic alert and the crew initiated an immediate climb.",Light Transport flight crew reported a loss of separation near BWI.
1504062,201701,0001-0600,SYR.Airport,NY,Bombardier CL-600-2B16,Wells Fargo Trust Co Trustee,Descent,11746,"While in descent into SYR, the crew of a Bombardier CL-600-2B16, tail number N3007X, experienced a fuel imbalance. The aircraft was operated by Wells Fargo Trust Co Trustee and was at 11746 ft AGL when the event began. The crew returned to the departure airport as a precaution.",Bombardier CL-600-2B16 reported a fuel imbalance during descent near SYR.
1504140,201906,0601-1200,AUS.Airport,TX,Cirrus SR22,Private Individual,Takeoff,426,"While in takeoff out of AUS, the crew of a Cirrus SR22, tail number N46087, experienced a fuel imbalance. The aircraft was operated by Private Individual and was at 426 ft AGL when the event began. The first officer noticed the discrepancy during the checklist flow.",Cirrus SR22 reported a fuel imbalance during takeoff near AUS.
1504175,200109,0001-0600,LGA.Airport,NY,Cessna 152,ATP Flight School,Landing,603,"While in landing out of LGA, the crew of a Cessna 152, tail number N87516, experienced an airspace incursion. The aircraft was operated by ATP Flight School and was at 603 ft AGL when the event began. The flight continued to the destination and landed uneventfully.",Cessna 152 reported an airspace incursion during landing near LGA.
