CODE,MFR,MODEL,TYPE-ACFT,TYPE-ENG,AC-CAT,NO-ENG,NO-SEATS,AC-WEIGHT,SPEED
2080083,DIAMOND AIRCRAFT IND INC,DA20-C1,4,1,1,1,6,CLASS 1,138
2080125,DIAMOND AIRCRAFT IND INC,DA40,4,1,1,1,2,CLASS 1,136
2080254,DIAMOND AIRCRAFT IND INC,DA42,5,1,1,2,5,CLASS 1,216
2190084,EMBRAER,170,5,5,1,2,225,CLASS 3,0
2190108,EMBRAER S A,175,5,5,1,2,166,CLASS 3,0
2190212,EMBRAER,175 (LONG WING),5,5,1,2,117,CLASS 3,0
2190382,EMBRAER,175 (SHORT WING),5,5,1,2,143,CLASS 3,0
2190453,EMBRAER S A,190,5,5,1,2,157,CLASS 3,0
2190587,EMBRAER,EMB-505,5,5,1,2,19,CLASS 2,0
2190601,EMBRAER,ERJ 170-200 LR,5,5,1,2,160,CLASS 3,0
2190700,EMBRAER,ERJ 190-100 IGW,5,5,1,2,123,CLASS 3,0
2190842,EMBRAER S A,PHENOM 300,5,5,1,2,14,CLASS 2,0
2300068,GULFSTREAM AEROSPACE,G-IV,5,5,1,2,6,CLASS 2,0
2300111,GULFSTREAM AEROSPACE,G280,5,5,1,2,17,CLASS 2,0
2300228,GULFSTREAM AEROSPACE,G550,5,5,1,2,6,CLASS 2,0
2300359,GULFSTREAM AEROSPACE,G650,5,5,1,2,14,CLASS 2,0
2300426,GULFSTREAM AEROSPACE,G650ER,5,5,1,2,8,CLASS 2,0
2300504,GULFSTREAM AEROSPACE,IV,5,5,1,2,11,CLASS 2,0
2300605,GULFSTREAM AEROSPACE,V,5,5,1,2,9,CLASS 2,0
2410031,MAULE,M-7-235,4,1,1,1,4,CLASS 1,157
2410192,MAULE,MX-7-180,4,1,1,1,3,CLASS 1,125
2520026,MOONEY AIRCRAFT CORP,M20J,4,1,1,1,2,CLASS 1,127
2520156,MOONEY AIRCRAFT CORP,M20K,4,1,1,1,3,CLASS 1,139
2520221,MOONEY AIRCRAFT CORP,M20R,4,1,1,1,5,CLASS 1,109
2630073,PIPER,PA-18-150,4,1,1,1,3,CLASS 1,163
2630154,PIPER AIRCRAFT INC,PA-28 (ABOVE 200 HP),4,1,1,1,3,CLASS 1,133
2630203,PIPER,PA-28 (UP TO 180 HP),4,1,1,1,4,CLASS 1,113
2630345,PIPER,PA-28-161,4,1,1,1,5,CLASS 1,173
2630450,PIPER,PA-28-181,4,1,1,1,4,CLASS 1,127
2630594,PIPER,PA-31 NAVAJO,5,1,1,2,8,CLASS 1,215
2630655,PIPER,PA-31-350,5,1,1,2,8,CLASS 1,174
2630769,PIPER,PA-32R-301,4,1,1,1,2,CLASS 1,160
2630808,PIPER AIRCRAFT INC,PA-34-220T,5,1,1,2,8,CLASS 1,185
2630956,PIPER,PA-44 SEMINOLE,5,1,1,2,6,CLASS 1,239
2631051,PIPER AIRCRAFT INC,PA-46-500TP,5,2,1,2,44,CLASS 2,289
2740065,ROBINSON HELICOPTER CO,R22 BETA,6,1,1,1,5,CLASS 1,134
2740182,ROBINSON HELICOPTER CO,R44 II,6,3,1,2,3,CLASS 1,116
2740262,ROBINSON HELICOPTER CO,R66,6,1,1,1,6,CLASS 1,126
2850068,ROCKWELL INTERNATIONAL CORP,COMMANDER 112A,4,1,1,1,2,CLASS 1,143
2850143,ROCKWELL INTL,COMMANDER 114,4,1,1,1,5,CLASS 1,146
2850277,ROCKWELL INTERNATIONAL CORP,COMMANDER 685,5,1,1,2,5,CLASS 1,225
2850372,ROCKWELL INTL,COMMANDER 690B,5,2,1,2,42,CLASS 2,291
2850413,ROCKWELL INTL,S-2R,4,1,1,1,3,CLASS 1,130
2850520,ROCKWELL INTERNATIONAL CORP,SABRELINER 65,5,5,1,2,13,CLASS 2,0
